제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
충남도청 홈페이지 공고/고시 모바일에서 가로쓰기로 볼 수 있게 제작 제안,"현황 및 문제점
안녕하세요?
격무에 노고가 많으십니다.





충남도청 홈페이지 공고/고시 모바일에서 가로쓰기로 볼 수 있게 제작 제안드립니다.



충청남도 > 행정 > 도정공고 > 공고/고시 > 공고/고시

충남도청 홈페이지 /행정/ 도정공고/
-공고/고시-는
도 및 산하기관 기 타
충청남도의 도정소식 및 실국 및 사업소에서의 알림사항을 공지합니다.

pc에서 볼때는 가로쓰기라 읽기가 좋은데,
모바일로 볼 때 세로로 되어 있어 읽기가 어렵(불편)습니다.
모바일로 볼 때도 가로쓰기로 볼 수 있으면 읽기가 쉽고 편리하겠습니다.
개선방안

모바일로 볼 때도 가로쓰기로 볼 수 있으면 읽기가 쉽고 편리하겠습니다.
기대효과
업무처리를 신속하게 할 수 있어서 좋습니다.",2022-02-11,"충청남도 누리집(홈페이지)에 관심을 가져주셔서 감사합니다.

제안주신 내용은 '충청남도 누리집에서 공고/고시 게시판의 목록보기를 휴대전화에서 가로로 볼수 있도록 기능 개선'으로 이해 됩니다.

제안주신바와 같이 목록 박스를 가로로 크게 늘여놓으면
세로화면 상태에서 목록의 내용을 표현하기 위해 박스 폭이 넓어지며
화면 우측 밖으로 박스가 넘어가게 되어 내용을 보기위해 우측으로 스크롤해야 하는 상황이 발생합니다.

즉, 현재 상하로 스크롤하는것과 같이 좌우로 스크롤해야하는 상황이 발생하여
개선의 효과가 미흡하다고 판단되어 채택이 어려움을 답변드립니다.

아울러 전화로 직접 통화드린바와 같이
휴대전화를 가로로 돌리면 휴대전화 화면의 가로크기에 맞춰 자동으로 가로보기가 가능하오니,
해당 기능으로 활용하여 주시기를 부탁드립니다.

충청남도 대표 누리집에 깊은 관심과 애정에 다시한번 감사드리오며,
더 궁금하신 사항있으시면
충청남도 공보관실 김범수 주무관(041-635-4927)에게 연락주시면
친절히 안내해 드리겠습니다.

댁내에 건강과 행복이 언제나 함께하시길 기원드립니다.

감사합니다.",2022-02-15,충청남도,답변완료
버스정류장 건설 요망,"현황 및 문제점
송산행 시내버스 정류장이 없다
개선방안
개설
기대효과
이용편의",2022-02-11,"1. 항상 당진시정에 관심을 갖고 소중한 의견을 주셔서 감사드립니다.
2. 귀하께서 제안해 주신 ""당진3동 행정복지센터 인근 버스승강장 신설 요청""에 대한 검토결과를 아래와 같이 답변 드립니다.
3. 우리시에서는 매년 버스승강장 신규 설치사업을 추진하고 있으나, 한정된 예산범위 내에서 당진시 전 지역을 대상으로 사업 추진해야 하기에, 각 읍면동별 사전 수요조사 후 이용자가 많은 버스승강장을 우선순위로 사업 진행하고 있습니다.
4. 이에, 해당 버스승강장에 대한 현황조사(이용자 수, 부지확보 등) 결과를 바탕으로 설치가능 여부를 종합적으로 검토 후 사업 추진토록 하겠습니다.
5. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 교통과 교통관리팀(350-4541)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.",2022-03-18,당진시,답변완료
합덕재 고니 숫자가 줄어든 이유,"현황 및 문제점
합덕재는 봄날엔 유체꽃과 능수버들로 여름엔 연꽃으로 가을에는 각종꽃들로 겨울에는 철새도래지로 이름이 나기 시작하였습니다
그런데 올해 그 개체수가 현저하게 줄어들었습니다 특히 진객 큰고니의 개체수가 수백마리에서 열댓마리로 줄어들어 이름이 날수 있는 계기를 잃어 버릴까 걱정이됩니다
물론 천둥오리도 기러기도 쥴어들어 황람하기 그지 없습니다
개선방안
철새들이 오지 않는 이유는 먹이가 부족하거나 오염이 심하거나 그런이유가 아닙니다
큰고니는 날거나 내릴때 약 70 미터의 활주거리가 필요하고 기러기는 50 미터의 활주거리가 필요하다고 합니다
합덕재는 해마다 수초 면적이 늘어나서 고니의 먹이인 부들과 갈대뿌리는 풍부하지만 고니가 내릴수 있는 활주거리가 작아졌기 때문에 내리지 못하고 있는 것으로 파악됩니다

때문에 활주거리를 확보하기 위한 수초제거가 필요합니다 늦가을에 수초들이 갈색으로 변한 후에 수면 아래까지 수초 줄기를 제거하신다면 아주 좋은 결과를 얻을 수 있을 것입니다
기대효과
작년엔 전국에서 사진 작가들이 고니를 찍으러 차로 오기도하고 인근 서야학생들은 학습 공간으로 정서 안정의 공간으로 활용하고 있으며 지역주민은 운동과 레저의 공간으로 고맙게 사요하고 있습니다 감사함을 전해드립니다
지금 당잔 수초 제거를 해도 더 많은 새들이 찾아들 것입니다만, 내년엔 더 많은 새들이 찾아올 수 있도록 깊은 배려를 부탁드립니다",2022-02-09,"국민신문고 제안(1AB-2202-0006778)에 대하여 다음과 같이 답변하고자 합니다.

1. 평소 우리 시정에 관심을 가져주셔서 감사드립니다.
2. 귀하께서 국민신문고를 통해 제안하신 합덕제 내에 ""고니 및 철새 유치방안"" 건에 대한 처리내용을 답변드립니다.

가. 현재 합덕제에 고니와 오리 등 철새 개체수가 점점 늘어나고 있어 지난해와 비슷한 것으로 파악되고 있으며,
나. 귀하께서 제안하신 귀중한 의견을 생태 전문가 등과 함께 문화재와 생태가 조화롭게 조성될 수 있도록 노력하겠습니다.

3. 앞으로도 합덕제 발전에 많은 관심 부탁드리며, 기타 궁금하신 사항은 문화관광과 문화시설관리팀 합덕수리민속박물관 현장(041-350-4931)에 문의하여 주시기 바랍니다. 끝.",2023-01-10,당진시,제안실현
쓰레기 투기 적발시스템을 양성화하여 클린하우스로 대체 운영할 것을 제안합니다.,"현황 및 문제점
1. 사진 별첨
1) 아산시 법곡안길 36(신창맹씨 대종회) 앞 도로를 지나 삼거리 분기점에 쓰레기 적치 장소가 있음
2) 불법 쓰레기 투기임을 공지하며 CCTV를 설치하여 관리하고 있으나 효과는 미비함
- 주변에 인가가 드믈게 있어 자체 발생 쓰레기 처리 방법이 마땅하지 않음
- 대흥농장(시민로 180번길) 부근에서도 차량을 이용하여 쓰레기를 버리는 실정임.
- 차량을 이용한 쓰레기 투기가 주요 사례로 확인됨.
개선방안
1. 클린하우스 설치하여 양성화 관리
- 마을에 수거 요일을 공지 안내하여 주기적 관리
2. 기 설치한 CCTV 철거하여 다른 용처에 활용.
기대효과
1. 시민정신 함양
2. 주기적으로 깨끗하고 청결한 관리상태 유지",2022-02-05,"1. 귀하의 환경문제 관심에 감사드리며 아래와 같이 답변드립니다.

2. 귀하의 제안 내용은 '법곡동 산8-1번지 내에 위치한 마을 쓰레기배출장소에 클린하우스를 설치해서 배출장소를 관리하고 있음을 보여 투기를 방지하고 기존 설치된 CCTV를 보다 유용하게 쓸 수 있는 다른 장소로 이전 설치'에 대한 것으로 파악됩니다.

3. 클린하우스는 크게는 비가림막, CCTV, 쓰레기상차용기로 구성되어 주민들의 쓰레기 적정배출을 유도하기 위한 쓰레기 집하장입니다. 설치를 제안해주신 장소는 마을 바깥쪽에 위치하여 마을 주민들의 쓰레기 배출방법 보다는 차량을 이용한 투기가 쓰레기 관련 문제의 주요 원인으로 생각되며, 기존에도 쓰레기 불법투기 감시 CCTV가 설치되어있는 만큼 클린하우스를 설치하여 얻을 수 있는 효과는 다른 장소에 비해 크지 않을 것으로 보입니다.

4. 따라서 위 장소의 쓰레기 불법투기 예방을 위하여 관리되는 장소임을 보다 명확히 알 수 있도록 이각분리수거함 설치를 검토하고, 기간제 근로자를 채용해 기존 CCTV의 활용 및 단속을 보다 효과적으로 할 수 있도록 관할 행정복지센터에 요청했습니다.

5. 클린하우스 설치 사업은 읍면동에서 들어온 신청 건들을 취합하여 설치장소를 선정하게 되므로 관리자 선정 및 부지협의를 완료하여 관할 동사무소로 신청하여 주시기 바랍니다.

6. 귀하의 제안에 만족스러운 답변이 되셨기를 바라며 추가적인 문의사항은 청소행정팀 신영대 주무관(041-540-2338)로 연락주시면 친절히 답변드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2022-03-10,아산시,답변완료
장항제련소 굴뚝을 활용한 전망대+하늘길 구축 제안,"현황 및 문제점
1. (현황) 장항제련소 굴뚝은 일제시대 화려했던 장항의 수탈의 역사를 안고 있음
2. (문제점) 그럼에도 불구하고 이를 LS의 부지내 있으면서 활용하지 못하고 있음
개선방안
1. (개선방안)
가. (하늘길) 굴뚝에 오르는 돌산의 사(4)면으로 '하늘길'을 조성
- 벤치마킹 : 전북 순창의 '용궐산 하늘길'
나. (전망대) 장항 인근에는 높은 고지가 없는데, 제련소 돌산을 정점으로 하여 전망대를 조성
- 전망대에서 금강하구둑으로 이르는 해안수로와 유부도에 이르는 장항.서천갯벌, 장항단지 및 자원관, 그리고 앞으로 조성될 장항 브라운필드 등 360도로 전망을 감상할 수 있도록 근대산업시설물을 활용한 관광 거점 포인트로 조성
- 입장료 등은 장항 스카이워크처럼 서천사랑상품권으로 환원하여 지역경제 활성화
기대효과
장항 브라운필드내 관광 거점 포인트로 개발 및 지역경제 활성화",2022-02-03,"국민신문고 국민제안 접수번호 1AB-2202-0002051/2AB-2202-0002558(2022.2.3.)호 관련, 제안 신청 건에 대하여 아래와 같이 답변 처리하고자 합니다.

▣ 답변 자료

접수번호
제안 요약
답변 내용
채택
여부
1AB-2202
-0002051/

2AB-2202
-0002558
(2022.2.3.)
장항제련소 굴뚝을 활용한 전망대 및 하늘길 구축
▸장항 브라운필드에 관심을 갖고 깊은 고민과 함께 건설적인 제안을 해주신데 대해 진심으로 감사를 드립니다.
▸귀하께서 제안하신 장항제련소 굴뚝을 활용한 전망대 및 하늘길 구축은 좋은 의견으로 생각되오나, 사업 시행에 앞서 LS메탈과의 협의 과정, 예산확보 등 상당한 시간이 소요될 수 있다는 점 양해 부탁드립니다.
▸현재 우리 군은 장항 오염정화토지 토지이용계획 구체화를 위한 연구용역을 진행하고 있는 바, 제안주신 내용을 참고하여 활용될 수 있도록 적극 검토하겠습니다.
▸다시 한번 서천군정 업무에 관심을 갖고 의견을 주신 데에 대해 깊은 감사를 드리며, 새해에도 귀하의 가정에 행복하고 즐거운 일이 가득하시길 바랍니다.
불채택
(단순
참조)


붙임 국민신문고 제안신청서 1부. 끝.",2022-02-04,서천군,답변완료
지역상생형 공공자전거 도입 제안,"현황 및 문제점
안녕하세요, 국립해양생물자원관 직원입니다. 다음 제안을 자원관파견 서천군과 자원관간 지역협력사업으로 우선 추진하고, 이를 바탕으로 생태원 등 군내 확대하는 사업으로 제안합니다.

1. (현황) 서천군내 공공자전거 사업 전무

2. (문제점) 서천군은 지리.교통적으로 관광.여행에 있어 자가차량없이는 인프라가 인근 지자체대비 상당히 열악하여 관광.여행으로 지역경제활성화 기여도가 적다고 보임
- 특히, 자가차량 등 없는 뚜벅이여행자들에게는 불모지임
개선방안
1. 지역상생형 공공자전거 도입
- (벤치마킹) 군산 공공자전거, 서울뚜벅이자전거 등
- (시범사업) 우선 자원관과 서천군간 시범사업 시행

2. 방법
- 자원관 씨큐리움 앞 광장에 공공자전거 5~10대 비치 및 시설 설치
- 운영계획은 별도 수립
- 조기 시범사업 도입을 위해 군산형을 적극 벤치마킹하되, 대여관련 전산 시스템 장치 등 시설부분은 최소 6개월내지 운영결과 평가를 통해 추가 예산 확보후 확대추진
- 실시간 예약 등은 자원관이 이미 운영중인 ‘네이버예약.페이’ 등으로 연동 가능
- 적정한 이용료 등을 부과하여 스카이워크 입장료처럼 지역사랑상품권으로 환급해준다면 지역경제활성화에 조금이라도 보탬 가능

3. 전기자전거 등으로 탄소중립 실현 가능
기대효과
뚜벅이여행자 및 자원관방문 관광.여행객들이 자원관을 포인트로 스쳐지나가는 여행이 아닌, 자원관(씨큐리움)-장항스카이워크-장항갯벌-장항읍내-금강하구둑-생태원 등 장항지역 중심으로 삼각벨트내 자전거여행으로인해 장시간 머무르며 때에따라 소비지출을 유도할 수 있어 지역경제 활성화 및 기관 및 지역홍보 효과 상승 유도",2022-01-29,"1. 안녕하십니까? 군정에 관심을 가지고 소중한 의견을 주셔서 감사드립니다.
2. 귀하의 제안은 서천군와 국립해양생물자원관 협력사업으로 공공자전거 시범운영을 제안하신 것으로 파악됩니다.
3. 공공자전거 대여 서비스를 운영하기 위해서는 초기사업비와 운영에 따른 유지관리 비용이 많이 소요되며, 기 운영중인 지자체의 경우 방치자전거 및 적자 발생 등의 문제점으로 도입에 신중한 검토가 필요한 사업입니다.
4. 앞으로 국립해양생물자원관과 상생발전을 위하여 공공자전거 도입 등을 포함한 관광활성화 협력방안을 심도있게 검토할 계획임을 알려드립니다.
5. 기타 궁금하신 사항은 서천군 자치행정과 이윤미 주무관(☏041-950-4181)에게 문의하시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2022-03-03,서천군,답변완료
충청도 하수관 연장건의,"현황 및 문제점
승언리 일대 상하수도관이 거의 매립이 되어있으나 해당구간은 미설치되어있음

해당구간 10가구 이상 거주중임

해당구간 논있는지역 장마철 배수문제가있음. 침수구간
개선방안
해당구간 하수관 연장하여 구간 물빠짐이나 거주 가구 하수관이용
기대효과
장마철 배수가 잘되도록 유도할수있음",2022-01-26,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 안면읍 승언리 일원 하수관로 매설 요청 관련하여 국민제안하신 민원에 대해 안내해드립니다.
2. 귀하의 국민제안 내용은 승언1호저수지 인근 주택에 대해 하수관로 연결요청하신 것으로 이해됩니다.
3. 귀하의 국민제안에 대해 검토한 의견을 다음과 같습니다.
가. 우리군은 공공수역 수질 보전을 위하여 하수도정비기본계획을 수립하고 있으며 민원인께서 요청하신 지역은 하수도정비기본계획에 미반영된 지역으로 향후 하수도정비기본계획에 반영될 수 있도록 관계부처와 지속적으로 건의 및 협의를 통해 반영될 수 있도록 노력하겠습니다.
나. 아울러, 우리군 하수도 보급률이 2020년 말 기준 58.6%으로 아직 미반영 지역이 많은 실적으로 보급률 확대를 위해 관계부처와 지속적인 협의를 통해 하수처리구역 확대 및 예산확보에 최선의 노력을 하겠습니다.
4. 귀하의 국민제안 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 태안군 상하수도센터 하수도팀 고원상 주무관(041-670-5793)에게 연락주시면 친절히 안내해드리도록 하겠습니다. 감사합니다. 끝.",2022-02-28,태안군,답변완료
코로나 선별검사의 차별화 관리체계 보완,"현황 및 문제점
직장에서의 의무 검사규정에 따라 선별검사소를 실시중(1.25.1500경, 계룡시 보건소 선별검사소),
어떤 시민은 ""확진자와 접촉하여 검사를 한다""며 문진표에 내용 중 ""확진자 이름을 모르는데, 어떻게 하느냐?""는 질문을 함에도
보건소 안내직원은 ""그냥 모른다고 하면 됩니다!"" 대답후 별도의 조치를 취하지 않음으로서, 확진자와 접촉한 자와 단순히
의심스러워 검사를 하거나 직장에서의 검사규정에 따라 검사를 실시하는 사람들이 그냥 뒤섞여 검사를 진행하는 것은
만약 접촉자가 양성으로 판정(감염)을 받을 경우에는 검사서 현장에서 제2,3의 감염을 유발하는 결과가 될것입니다.

개선방안
1. 확진장와 접촉으로 통보된 사람은 처음부터 분리하여 검사를 하도록 사전 안내문구 발송,
검서소에서도 안내 간판 등을 비치하여 일반건사자(대기자)와는 처음부터 분리 검사를 하므로서 만약에라도
감염되었을 경우 추가 전파를 사전에 차단가능할 것입니다.
2. 검사 라인도 분리하여 운영하여 일반 검사자와 접촉이 없도록 현장에서 안내자가 확진자와 접촉/접촉 의심자는 분리하여
검사되도록 안내가 필요함.
기대효과
코로나 사태의 확산 방지는 현재 국가적 제1의 과제로서,
확산을 방지하기 위한 조치는 어떠한 것이든지 필요하다면 즉각 개선하고 조치가 요구되며
확진자와 접촉자는 추가 확지/전파 가능성이 높으므로 사전 분리검사 등을 통해 추가 감염의 피해가 없도록 해야겠습니다.",2022-01-25,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 제안해주신 건에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안내용은 ""코로나 선별검사의 차별화 관리체계 보완""에 관한 것으로 이해됩니다.

3. 귀하의 제안사항에 대해 검토한 의견 및 결과는 다음과 같습니다.

4. 앞으로 오미크론 변이 대응체계 전환에 따른 선별진료소 PCR검사를 고위험군(역학 연관자, 의사소견서 보유자, 60세이상 등)대상으로 한정하고 이외 대상은 신속항원검사(자가검사키트)로 먼저 검사한 뒤 양성이 나오면 PCR 검사를 하도록 하는 방침으로
변경될 예정입니다.

5. 귀하의 제안사항에 대해 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우, 계룡시보건소 감염병대응팀 박윤정 주무관 ☎ 042-840-3532로 전화주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2022-02-03,계룡시,답변완료
충청권 광역철도에 천안역 포함시켜주세요.,"현황 및 문제점
충청권 광역철도에 천안역이 포함되지 않음.
개선방안
충청권 광역철도에 천안역 포함.
기존 경부선이용하는 거라 추가로 예산이 들어가지도 않음.
기대효과
1. 충청권광역철도 이용승객들이 수도권전철 1호선 이용가능.
2. 천안시는 충남에서 가장인구가 많은 도시임.
3. 기존경부선을 이용하여 추가로 예산이 들어가지도 않음.
4. 충청권공역철도 이용승객들이 장항선으로 환승가능함.
5. 천안 구도심 발전에 기여.

비용대비 효과가 탁월히 높으므로 꼭 들어올 필요가 있음.",2022-01-25,"1. 도정 발전에 관심을 가져주시는 귀하께 진심으로 감사드립니다.

2. 귀하께서 제안해 주신 충청권 광역철도 건설사업에 천안역 포함 건에 대하여 아래와 같이 답변드립니다.

가. 광역철도란, 「광역교통법」제2조 제2호 및 같은 법 시행령 제4조 제1항에서 둘 이상의 시·도에 걸쳐 운행되며, 전체 구간이 대도시권범위에 해당하는 지역에 포함되고, 권역별 구분에 따른 지점을 중심으로 반경 40㎞이내에 해당하는 도시철도 또는 철도로 명시하고 있음.

나. 한편, 대도시권 범위는「광역교통법 시행령」제2조 '별표1'에서 5개 권역별 범위를 명시하고 있으며, 충청권 광역철도는 대전권역에 해당되어, 대전광역시청을 중심으로 반경 40㎞ 이내인 대전, 세종, 공주, 논산, 계룡, 금산, 청주, 보은, 옥천으로 한정하고 있음.

다. 따라서, 천안의 경우 관련규정에서 정하고 있는 대전권역 범위에 해당되지 않아 제안사항이 불채택 되었음.

3. 귀하의 제안에 대한 채택심사 답변이 충분하였기를 바라며, 기타 궁금하신 사항은 충청남도 도로철도항공과(☏041-635-4692)로 문의 주시면 성심섬의껏 답변드리겠습니다. 끝.",2022-06-07,충청남도,답변완료
해수욕장 이벤트,"현황 및 문제점
휑한 갯벌
개선방안
태안은 조수간만의 차가 크고 작은 해수욕장이 많은데 이를 적극 활용한 이벤트를 생각해 보았습니다.
. 갯벌이 있는 해수욕장을 선별 합니다.
. 각 해수욕장의 트레이드 이벤트 형상을 정 합니다. ( 예 : 거북선, 피라미드, 자유의여신상 )
. 각 해수욕장의 간만의 차를 확인 합니다.
. 간만의 차이로 갯벌이 보이는 지점에 형상 조형물(조명포함)을 설치 합니다.
기대효과
관광산업 활성화",2022-01-22,"1. 태안관광 발전에 많은 관심 가져주시는 귀하께 깊은 감사의 말씀 드립니다.
2. 귀하께서 건의하신 사항은, 해수욕장 이벤트 사업 일환으로, 갯벌이 있는 해수욕장에 조형물 설치를 건의하는 내용으로 이해됩니다.
3. 관광진흥과에서 해수욕장에 실시하는 이벤트 사업은, 관광객에게 즐길거리를 제공하기 위한 일회성의 공연이나 체험 프로그램을 내용으로 하기 때문에, 귀하께서 건의하신 관광 시설물 설치 사업은 해수욕장 이벤트 사업으로 추진할 수 없는 사항임을 우선 말씀드립니다.
4. 또한, 관광시설물 설치는 해당 업무 소관부서와 사업의 타당성 및 효과성, 사업비 확보 등을 심도있게 검토하여 추진하여야 하며, 덧붙여 사업계획의 구체화를 위해서는 ""조수간만의 차이로 갯벌이 보이는 지점에 조형물 설치""라는 사항과 ""당해 공간에 관광시설물 설치의 필요성"" 관련, 사업효과 부분에 대한 좀 더 명확한 당위성이 필요할 것으로 판단됩니다.
5. 다른 문의 사항이 있으실 경우 언제든지 연락주시면 친절히 안내하여 드리겠습니다. 끝.",2022-08-23,태안군,답변완료
