제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
천안아산역에서 천안방향으로 택시승차장을 추가,"현황 및 문제점
현재 천안방향으로의 택시승차역은 택시와 승객에게 기피되고 있습니다.따라서 기존의 와이시티몰측에 있는 택시승차장의 폐기나 모다아울렛의 택시승차역에 천안아산역의 천안방향으로의 택시승차장 추가하여 공고와 홍보가 필요 합니다.
여기에는 추가적인 예산은 불필요하고 즉시 실시도 가능하고 다만 공고와 홍보가 필요합니다.
운영되던 와이몰의 롯데마트가 철수되어 유동인구가 아주 적어져 택시가 정차하지 않으려 하고 택시가 없으니 천안아산역의 택시승객도 지금의 택시승차에 가지 않습니다.또한 시내버스 승차장도 오르막으로 떨어져 있어서 버스나 택시 승객들이 갈수록 적어지고 있습니다.
개선방안
천안아산역 옆의 모다아울렛 택시승차장을 천안아산역의 천안방향으로의 택시승차장으로 추가지정하여 공고와 홍보를 하면 좋습니다.
여기는 주변의 시티프라디움3차.프라디움레이크.시티프라디움4차.펜타포의 5000여 세대와 모다아울렛과 이마트.CGV등의 성업중인 상업시설이 있어서 풍부한 유동인구로 택시의 승차대기가 충분히 가능합니다.또한 바로 옆의 버스정류장의 이용도 편리합니다.지금도 천안아산역의 이용자는 대부분 천안방향으로 이동합니다.
기대효과
천안아산역의 천안방향으로의 택시승차장을 모다아울렛 택시승차장에 빠른 시일내에 추가하여 시민들의 불편이 조금씩 해소되는 천안이 되기를 바래봅니다.",2022-04-14,"장○○님 안녕하세요? 우리 천안시청 대중교통과 업무에 관하여 소중한 의견을 주셔서 감사드립니다.
귀하의 제안요지는 ‘모다아울렛 택시승차장을 천안아산역의 천안방향 택시승차장으로 추가지정’으로, 국민제안규정의 심사기준에 따른 결과를 아래와 같이 안내해 드립니다.
□ 실시가능성
- 천안아산역에서 천안방향으로의 택시승차대 확보는 천안시민의 교통편의 제공 측면에서 매우 바람직한 사항이나, 역사 내에 설치되는 승차대가 아닌 한 천안방향 승차대 지정은 현실적으로 의미가 없다 사료됩니다. 왜냐하면 택시승차대는 정해진 노선을 운행하는 버스 등과 달리 방향 또는 방면이 큰 의미가 없기 때문입니다.
□ 창의성
- 천안아산역의 택시 이용 문제는 다수의 불편 민원 및 제안이 제기되고 있고 이에 따라 요진와이시티 아파트 앞 택시승차대를 설치한 바 있기에 귀하의 제안이 독창적이라고 보기는 어려우나, 실행 방법 측면에서 일부 구체적인 대안을 포함하고 있는 것으로 판단됩니다.
□ 효율성 및 효과성
- 천안아산역부터의 거리는 모다아울렛보다 요진와이시티 아파트 앞 택시승차대가 대략 200미터 더 가깝기에 효과가 미미할 것으로 보입니다. 더불어, 앞서 기술한 이유와 같이 요진와이시티 아파트 앞 택시승차대 폐지 또는 천안방향 택시승차대 추가지정 및 홍보는 불필요한 행위이며, 천안아산역 이용 시민의 혼란과 또다른 불편이 초래될 가능성이 있다고 판단됩니다.
< 종합의견 >
- 위와 같은 심사기준을 적용하여 종합적으로 검토한 결과 귀하의 제안을 채택하지 못하는 점을 이해하여 주시기 바라며, 이 외 문의사항이 있으실 경우 천안시청 대중교통과 강재훈 주무관(041-521-5635)에게 연락주시기 바랍니다. 감사합니다.
< 재심사 요청에 따른 추가 검토 의견 >
- 귀하의 재심사 요청에 대한 검토 결과 원안대로 불채택 결정하였음을 알려드리며 그 이유는 다음과 같습니다.
○ 천안아산역에는 아산시에서 운영하는 택시 승차대가 존재하며 아산택시가 천안지역으로 운행 시 시계 외 할증요금(20%)을 적용하지 않고 있습니다. 아산시에서는 역사 내 택시 승차대 입구에서 이러한 사실 및 부당요금과 승차거부 신고 방법 등을 안내하고 있습니다.
○ 이러한 상황에서 철도 이용객에게 천안 방향으로 가실 분은 역에서 약 750m 거리를 도보로 이동하여 모다아울렛 앞 택시 승차대에서 천안택시를 이용하라고 홍보하는 것은 택시 이용 시민의 편의를 고려하지 않는 것이라 판단됩니다.
○ 더불어, 최근에는 택시 호출서비스의 활성화로 택시 승차대의 역할이 축소되고 있는 현실을 감안할 때 귀하의 제안대로 모다아울렛 앞 택시 승차대의 천안 방향 승차대 지정 및 홍보는 실효성이 없어 보이며, 위와 같이 시민 불편 및 혼동을 유발할 수 있기에 수용이 어려움을 이해하여 주시기 바랍니다.",2022-06-09,천안시,답변완료
시민 자전거와 안전장비를 함께 대여,"현황 및 문제점
요즘 사람들은 자전거를 대여하여 타는 경우가 많이 있습니다. 하지만 자전거를 대여 해줄 때 안전장비를 제공해 주지 않아 사람들은 안전장비 없이 자전거를 탑니다. 공주시에도 시내 GS마트 앞 자전거 대여소 등 거의 모든 대여소가 안전장비를 제공해 주지 않습니다. 안전장비 없이 자전거를 타면 사고 발생 시 큰 부상을 당할 수 있습니다.
개선방안
시민 자전거와 함께 안전모 등의 안전장비를 제공해주고 분실에 대비해 자전거와 안전장비를 같이 반납하도록 합니다.
기대효과
시민 자전거를 타는 사람들에게 안전장비를 제공해 더욱 안전하게 자전거를 탈 수 있을 것입니다.",2022-04-14,"1. 안녕하십니까? 귀하게서 국민신문고를 통해 ""시민 자전거와 안전장비를 함께 대여""건과 관련하여 제안하신 민원(1AB-2204-0008487)에 대해 다음과 같이 안내드립니다.
2. 귀하께서 질의하신 사항에 대해 검토의견은 다음과 같습니다.
가. 공주시에는 2019년도에 공공자전거용 안전모를 구입하여 공공자전거와 같이 대여를 하였습니다. 그러나 공용으로 사용하다보니 땀 등으로 인해 비위생적인 측면과 의식부족 등으로 인해 안전모가 대부분 분실 및 파손으로 활용이 불가능합니다.
나. 이러한 사항은 공주시뿐만 아니라, 타 지자체도 큰 고민으로 남아있습니다.
다. 추후, 적절한 대책을 마련하여 공공자전거 이용에 안전도 함께 제공할 예정임을 알려드리며, 이용객 또한 이용수칙을 준수하며 안전한 이용을 당부드립니다.
3. 이점 깊은 양해를 바라며, 귀하의 제안에 대해 기타 더 궁금하신 사항은 도로과 도로행정팀(☎041-840 -8507)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2022-04-20,공주시,답변완료
계룡시 시내버스내 전광판에 주요3개국언어로 정차역 표기필요,"현황 및 문제점
계룡시는 세계군문화 축전을 준비하고 있는데 시내버스의 경우 외국어로 정류장을 안내하지 않고 있어 외국인들이 시내버스 이용시 불편을 초래하고 있음
시내버스내 LED 전광판이 있으나 한국어로 이번청차는 어디 다음정차는 어디 라고 한번 안내후 쓸데없는 시간표시 또는 엉뚱한 홍보만 하고있음
일본 온천으로 유명한 어는 두시의 경우 시내버스내 전광판에 다음내릴 정류장을 영어 중국어 한국어로 계속해서 표시해주고 있어 초보 여행자도 불편이 없었음
개선방안
계룡시는 세계군문화 축전 대비 시내버스회사와 협조하여 버스내 전광판에 영어 중국어 일본어 등으로 내릴정류장을표기늣 물 아내방송을 실시하도록 조치
기대효과
계룡시 세계군문화 축전에 도움은 뮬론 계룡시를 찾는 외국 관광객들의 대중교통 이용 편리등 시 홍보에 기여 가능",2022-04-13,"1. 귀하의 무궁한 발전을 기원합니다.

2. 귀하께서 제안하신 사항은 ""시내버스 전광판에 3개국 언어를 표기하자""는 의견으로 판단됩니다.

3. 귀하께서 제안하신 사업에 대해 검토해 본 결과, 시민들의 시내버스 이용 만족도 증진에 크게 기여할 것으로 판단됩니다.

4. 다만, 시내버스 전광판에 별도의 언어표기를 하기 위해서는 기존 홍보가 종료되어야하며(전광판 표기 문구용량 한계),
※ 현재 전광판에 나오고 있는 홍보문구는 홍보주체에서 별도의 비용을 지급하고 홍보되고 있는 사안임

5. 우리 시에서도 추가적인 예산확보가 선행되어야 함으로, 현재는 별도의 예산이 없기에 추후 예산확보가 가능하다면 해당 사업의 추진여부를 검토하도록 하겠습니다.

6. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 추가 설명이 필요하신 경우 건설교통과 교통팀(☏042-840-2533)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2022-05-11,계룡시,답변완료
"공주시 시내버스 갑사,신원사 방면 4시50분 버스를 만들어주세요.","현황 및 문제점
공주시 시내버스 갑사,신원사 방면 하교시간버스(5시20분)
에 버스 승객이 많이 몰려서 버스 승객이 버스 이용에 불편함을 겪는다. 2019년에 4시50분버스가 사라지면서 더욱 심해졌다.
개선방안
공주시 시내버스 갑사,신원사 방면 4시50분 버스를 만들어주세요.
기대효과
하교시간버스(5시20분)에 버스 승객이 몰리는 현상을 4시50분버스를 만들어서 버스 승객이 몰리는것을 줄여서 버스 승객이 버스 이용을 편리하게 할 수 있다.",2022-04-12,"1. 먼저 우리시 대중교통에 관심을 가져주신데 대해 감사드리며, 귀하께서 국민신문고로 제안하신 민원(1AB-2204-0006620)에 대해 답변 드립니다.

2. 귀하의 제안 내용은 갑사, 신원사 방면 시내버스를 증차해 달라는 것으로 이해(판단)됩니다.

3. 귀하의 제안사항에 대해 검토한 의견은 다음과 같습니다.
가. 먼저, 귀하께서 말씀하신 갑사, 신원사 방면 하교시간 5시 20분 버스는 320번 버스로 추정됨에 따라, 이와 관련하여 설명드리는 점 양지하여 주시기 바랍니다.
나. 우리시는 공주시내와 계룡면(갑사, 신원사 방면)을 왕래하는 시민들의 위하여 310번(신원사 방면), 320번(갑사 방면) 노선이 운행중이며, 특히 하교시간에는 17:20(320번), 17:40(310번), 18:20(310번), 19:00(320번) 버스가 운행하여 해당 시간대 수요를 충족함과 동시에 혼잡함을 최소화하기 위해 노력하고 있습니다.
다. 또한, 계룡을 경유하는 280번(공주역 방면), 330번(구왕 방면) 버스가 하교시간 각각 18:15, 17:45 시간에 운행하므로, 계룡 방면 시내버스 이용객은 해당 시간 버스도 이용 가능함을 알려드리며, 이에 따라 귀하께서 제안하신 버스 증차는 우리시 여건상 당장 시행하기 어려움을 양해해 주시기 바랍니다.
라. 다만, 추후 320번 노선(17:20 배차)의 혼잡함이 계속하여 가중되는 것이 파악된다면, 버스
증차 여부를 적극 검토하도록 하겠습니다.

4. 다시 한 번 우리시 대중교통에 관심을 가져주신데 대해 감사드리며, 답변 내용에 추가 설명이
필요한 경우 공주시 교통과(대중교통팀) 윤승목 주무관(☎041-840-8733)에게 연락 주시면
친절히 안내해 드리겠습니다.

※ 우리시는 민원처리 결과에 대한 민원인의 만족도를 파악하고 있습니다.
잠시 시간을 내주시어 민원처리 만족도를 표시(답변내용 하단 만족도평가 체크)해
주시면 감사하겠습니다. 끝.",2022-04-14,공주시,답변완료
금강교 개선방안,"현황 및 문제점
금강교 좁은 인도에 오토바이등이 지나다녀 위험하고 뒤에서 크락션을 울리면 놀란다.
개선방안
인도 입구에 기둥(=첨부파일)을 세워 오토바이 출입을 막는다.
기대효과
인도에 사람들만 걸어다녀 쾌적하고 안전하게 걸어다닐 수 있다.",2022-04-12,"1. 먼저 우리시 대중교통에 관심을 가져주신데 대해 감사드리며, 귀하께서 국민신문고로 제안하신 민원(1AB-2204-0006620)에 대해 답변 드립니다.

2. 귀하의 제안 내용은 갑사, 신원사 방면 시내버스를 증차해 달라는 것으로 이해(판단)됩니다.

3. 귀하의 제안사항에 대해 검토한 의견은 다음과 같습니다.
가. 먼저, 귀하께서 말씀하신 갑사, 신원사 방면 하교시간 5시 20분 버스는 320번 버스로 추정됨에 따라, 이와 관련하여 설명드리는 점 양지하여 주시기 바랍니다.
나. 우리시는 공주시내와 계룡면(갑사, 신원사 방면)을 왕래하는 시민들의 위하여 310번(신원사 방면), 320번(갑사 방면) 노선이 운행중이며, 특히 하교시간에는 17:20(320번), 17:40(310번), 18:20(310번), 19:00(320번) 버스가 운행하여 해당 시간대 수요를 충족함과 동시에 혼잡함을 최소화하기 위해 노력하고 있습니다.
다. 또한, 계룡을 경유하는 280번(공주역 방면), 330번(구왕 방면) 버스가 하교시간 각각 18:15, 17:45 시간에 운행하므로, 계룡 방면 시내버스 이용객은 해당 시간 버스도 이용 가능함을 알려드리며, 이에 따라 귀하께서 제안하신 버스 증차는 우리시 여건상 당장 시행하기 어려움을 양해해 주시기 바랍니다.
라. 다만, 추후 320번 노선(17:20 배차)의 혼잡함이 계속하여 가중되는 것이 파악된다면, 버스
증차 여부를 적극 검토하도록 하겠습니다.

4. 다시 한 번 우리시 대중교통에 관심을 가져주신데 대해 감사드리며, 답변 내용에 추가 설명이
필요한 경우 공주시 교통과(대중교통팀) 윤승목 주무관(☎041-840-8733)에게 연락 주시면
친절히 안내해 드리겠습니다.

※ 우리시는 민원처리 결과에 대한 민원인의 만족도를 파악하고 있습니다.
잠시 시간을 내주시어 민원처리 만족도를 표시(답변내용 하단 만족도평가 체크)해
주시면 감사하겠습니다. 끝.",심사 중,공주시,제안심사
자전거 렌탈할 수 있는곳에 안전장미도 렌탈할수 있도록 해주세요.,"현황 및 문제점
공주에는 메가박스 앞에 신한은행 앞에 있는 자전거를 렌탈할 수 있는 장소가 있어 자전거는 렌탈이 가능하지만 안전장비는 렌탈할 수 없다.
개선방안
자전거와 함께 안전장비도 렌탈할 수 있도록 배치한다
기대효과
자전거를 렌탈한 후 안전사고가 줄어든다.",2022-04-12,"1. 안녕하십니까? 귀하게서 국민신문고를 통해 ""자전거 렌탈할 수 있는곳에 안전장비도 렌탈할수 있도록 해주세요.""건과 관련하여 제안하신 민원(1AB-2204-0006571)에 대해 다음과 같이 안내드립니다.
2. 귀하께서 질의하신 사항에 대해 검토의견은 다음과 같습니다.
가. 공주시에는 2019년도에 공공자전거용 안전모를 구입하여 공공자전거와 같이 대여를 하였습니다. 그러나 공용으로 사용하다보니 땀 등으로 인해 비위생적인 측면과 의식부족 등으로 인해 안전모가 대부분 분실 및 파손으로 활용이 불가능합니다.
나. 이러한 사항은 공주시뿐만 아니라, 타 지자체도 큰 고민으로 남아있습니다.
다. 추후, 적절한 대책을 마련하여 공공자전거 이용에 안전도 함께 제공할 예정임을 알려드리며, 이용객 또한 이용수칙을 준수하며 안전한 이용을 당부드립니다.
3. 이점 깊은 양해를 바라며, 귀하의 제안에 대해 기타 더 궁금하신 사항은 도로과 도로행정팀(☎041-840 -8507)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2022-04-20,공주시,답변완료
농촌 산불발생 방지,"현황 및 문제점
충남 당진시 면천면의 경우 샘활쓰레기를 집에서 소각하고 있습니다. 최근 건조, 바람으로 산불 발생이 잦으므로 개인집 소각을 허용해서는 안됩니다. 시골의 생활쓰레농촌기 수거제도를 도입해주길 건의합니다.
개선방안
시골의 생활쓰레기를 도시처럼 종량제 봉투로 수거한다
기대효과
개인집 소각을 안하게 되어 산불발생 방지",2022-04-11,"1. 시정 발전을 위한 귀하의 제안에 대하여 깊은 감사의 말씀을 드립니다.
2. 우리시는 2015년부터 농촌지역 190개 마을을 대상으로 종량제봉투를 사용하여 주1회 정기 순회수거를 실시하고 있어, 이미 시행중인 사항으로 귀하의 제안을 불채택 함을 알려드립니다. 끝.",2022-04-21,당진시,답변완료
당진3동 주민센터 앞 정거장 가건물설치 요망,"현황 및 문제점
비를 피할 건물이 없다
개선방안
비를 피할 건물설치
기대효과
버스이용 편의",2022-04-07,"1. 항상 당진시정에 관심을 갖고 소중한 의견을 주셔서 감사드립니다.
2. 귀하께서 제안해 주신 ""당진3동 행정복지센터 인근 버스승강장 신설 요청""에 대한
검토결과를 아래와 같이 답변 드립니다.
3. 귀하께서 요청하신 대상지는 사유지로 토지주의 동의를 얻은 후 사업추진이 가능하나, 토지사용승낙 등 협의지연 사유(인도통행 불편, 상가 가림 등)가 발생하여, 추후 토지주 협의완료 후 설치를 검토하여 사업추진토록 하겠습니다.
4. 귀하의 의견을 수용하지 못하는 점 양해 부탁드리며, 답변 내용에 대해 문의사항이있을 경우, 교통과 교통관리팀(041-350-4541)으로 연락주시면 상세히 답변해드리겠습니다. 끝.",2022-05-04,당진시,답변완료
태안 시내버스 막차시간 조정,"현황 및 문제점
태안 시내버스 막차시간 조정 안녕하세요! 항상 고생이 많으십니다! 태안생활 6년 이상 하면서 정말 불편하고 어려운 점이 있어 이렇게 글을 쓰게 되었습니다. 태안 시내버스 막차시간이 너무 이른거 같아 태안 살면서 불편한 점이 많습니다. 타 지역에서도 막차시간이 10시인데 태안에서도 막차시간을 10시도 바라지 않고 9시까지만이라도 연장해주시면 안될까요? 태안읍내에 볼일을 보러 가거나 기타 업무 후에 집으로 돌아가려면 버스가 8시면 마감되어 곤란한 적이 많았습니다. 가뜩이나 농로길이어서 길도 험하기도 하고 일차선 도로에 도로공사도 자주해서 30분 시간 지체는 다반사입니다. 정말 불편하고 힘들어서 몇년째 고생하다가 이렇게 글을 남기니 정말 긍정적으로 생각해서 조정해주시면 좋겠습니다. 읽어주셔서 감사합니다.
개선방안
태안 시내버스 막차시간 조정 안녕하세요! 항상 고생이 많으십니다! 태안생활 6년 이상 하면서 정말 불편하고 어려운 점이 있어 이렇게 글을 쓰게 되었습니다. 태안 시내버스 막차시간이 너무 이른거 같아 태안 살면서 불편한 점이 많습니다. 타 지역에서도 막차시간이 10시인데 태안에서도 막차시간을 10시도 바라지 않고 9시까지만이라도 연장해주시면 안될까요? 태안읍내에 볼일을 보러 가거나 기타 업무 후에 집으로 돌아가려면 버스가 8시면 마감되어 곤란한 적이 많았습니다. 가뜩이나 농로길이어서 길도 험하기도 하고 일차선 도로에 도로공사도 자주해서 30분 시간 지체는 다반사입니다. 정말 불편하고 힘들어서 몇년째 고생하다가 이렇게 글을 남기니 정말 긍정적으로 생각해서 조정해주시면 좋겠습니다. 읽어주셔서 감사합니다.
기대효과
보다 쾌적하고 질 좋은 태안생활로 군민 만족도 향상",2022-04-05,"1. 귀하의 가정에 행복이 가득하시길 기원합니다.
2. 귀하의 민원은 ""태안 시내버스 막차시간 연장""을 요청한 것으로 이해되며 관련 내용 검토의견을 다음과 같이 안내해 드립니다.
3. 농어촌버스 운수업체인 ㈜태안여객은 최근 코로나19 확산 및 지속적인 승객감소, 근로기준법 개정(운수종사자 휴게시간 보장) 등에 따라 관내 버스노선 적자가 계속 늘고 있는 상황입니다.
4. 이에, 상기업체와 협의결과 현재 시내버스 막차시간 연장은 현실적으로 어려운 점 널리 양해해 주시기 바라며, 더욱 안전하고 편리한 대중교통 환경조성을 위해 노력하겠습니다.
5. 우리 군정에 깊은 관심을 가져주신 귀하께 깊이 감사드리며, 궁금하신 사항이 있으면 도시교통과 교통행정팀 강양훈(670-2808)에게 연락 주시기 바랍니다. 끝.",2022-04-14,태안군,답변완료
당진 3동주민센터앞 인도 주구장창 맨홀 위험,"현황 및 문제점
핸드폰 떨어뜨려 빠질까 무섭다
이렇게 인도에다 맨홀구덩이를 쫙 만들어댔는지
어이없다.
인도에 대형화단 다니기도 줄편
[네이버 지도]
충남 당진시 원당동 791-6
http://naver.me/FVclLJ4H
개선방안
인도 복원
화단 철거
기대효과
이용편의",2022-04-01,"1. 항상 시정에 관심과 성원을 주심에 감사드리며 귀하께서 제안하신 당진3동 주민센터앞 인도 개선사항에 대하여 다음과 같이 제안심사 결과를 알려드립니다.
2. 당진3동앞 인도의 우수받이는 우기시 배수기능을 위하여 설치된 시설로 우수시설을 제외한 인도의 유효폭이 확보되었으며 배수시설 철거 시 배수기능 저하로 인한 불편이 예상되는 사항으로 해당 시설물의 철거는 어렵다고 판단됩니다. 다만 귀하의 의견을 참고하여 인도 개설 시 좀더 주민이 편리한 보행환경을 제공할 수 있도록 노력하겠 습니다.
3. 귀하의 제안이 채택하지 못하는 점 이해하여 주시기 바라며, 귀하의 의견을 참고하여 더욱 도로관리 불편사항에 적극 대응할 수 있도록하겠습니다. 추가 궁금하신 사항은 도로과 도로관리팀(041-350-4361)으로 전화주시면 친절히 답변드리겠습니다. 끝.",2022-04-29,당진시,답변완료
