제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
계룡시 주민을 위한 조식 서비스,"현황 및 문제점
최근 1인 가구, 맞벌이 가구가 늘어나며 조식 서비스를 제공하는 아파트가 증가하고 있다. 조식 서비스 아파트의 경우 일반 식당(1끼 당 10.000원 이상)보다 저렴한 가격으로 푸짐한 한 끼를 제공해 주민들에게 만족도 높은 평가를 받고 있다.
요즘 코로나19 이후 물가 상승으로 가계 부담이 되고 있으며 외식을 하려고 하면 적게는 1인 10,000원 부터 20,000원 이상의 가격으로 너무 비싸기도 하다. 계룡시는 은퇴 하신 분들이 많은 특성을 가지고 있는 도시로 나이드신 어르신들이 식사를 규칙적으로 하지 못하거나 거르실 수 있다. 또한 바쁘고 힘든 젊은 가족을 위한 간편한 식사를 할 수 있는 곳이 필요하다.
개선방안
1. 가격: 현재 대도시 아파트 조식 서비스의 가격은 1끼 당 7,000원, 학교 급식비 4.700원으로 저렴하게 제공 가능.

2. 장소: 학교 급식실 이용으로 새로운 시설 신축에 많은 비용이 들어가지 않음. (필요할 경우 증축)

3. 메뉴: 한식, 일품요리, 샌드위치, 샐러드 바, 토스트 등 다양하게 제공.

4. 직원: 영양사, 조리원 채용으로 일자리 창출.

5. 운영 방법: 시에서 직접 운영, 학교 행정직 요원 채용, 외부 업체 운영(3개 중 택 1)

6. ‘계룡시 조식 또는 점심’ 어플 설치로 주문
기대효과
1. 주민들의 편의를 위한 편리한 시설로 삶이 윤택해 짐.
2. 직장인들의 바쁜 아침 시간 절약이 됨.
3. 몸이 불편하시고 식사를 드시기 어려운 어르신들의 영양식 제공.
4. 이웃을 만나기 어려운 분, 우울증으로 힘드신 분은 만남의 시간과 활기찬 분위기 속에서 식사할 수 있음.
5. 저렴한 가격으로 균형잡힌 식사를 제공함.
6. 외식의 경우 육류 섭취, 과식으로 성인병 등 다양한 병이 발생할 수 있는데 균형잡힌 영양식으로 건강 지킴이 계룡시가 될 수 있음",2022-09-15,"1. 안녕하십니까? 제안 참여에 감사드리며 귀하(사)의 제안에 대해 다음과 같이 회신하여 드립니다.

2. 귀하(사)께서는 “학교 급식실을 이용한 조식 서비스 제공하자”는 내용으로 제안해주셨습니다.

3. 귀하(사)께서 제안하신 사항에 대하여 학교급식실 이용가능여부에 대해 논산계룡교육지원청에 문의한 결과,「학교급식법」 및 동법 시행령, 관련 지침에 따라 학교급식시설을 양도할 수 없는 점, 학교급식관계자와 학교급식시설을 이용하는 학생이 아닌 외부인(불특정 다수인)의 출입이 불허한 점 등의 사유로 학교급식실 이용이 불가하는 회신을 받았습니다.

4. 따라서 귀하(사)께서 제안하신 “학교 급식실을 이용한 조식 서비스 제공”은 관련법에 따라 체택이 불가함을 알려드립니다.

5. 귀하(사)께서 제안하신 사항을 수용하지 못하는 점을 널리 이해해 주시기 바라며, 기타 문의 사항이 있으신 경우 계룡시청 기획감사실(담당자 임충환 ☏042-840-2053)로 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2022-10-13,계룡시,답변완료
칭찬합시다.,"현황 및 문제점
주민의견반영 및 수정에 빠른 조치나 답변이 부족합니다.
상/하수도비 관련 협조와 민원을 시청관계자에게 3년간 전달하였으나 개선되지 않아 약4년간 누진세 적용을 받았었습니다.
이러한 문제점을 제차 요청하였는데 수도과 이주용님께서 발빠른 대처 및 답변으로 해결되었습니다.
현재 공무원의 사기가 떨어지고 있는 시점이라고 판단됩니다.
낮은 임금과 처후개선 미비로 인해 예전과 다르게 공무원 지원자나 근속자가 날로 적어 지고 있는 시점입니다.
개선방안
현 근속자중 주민들에게 칭찬 공무원 릴레이를 통해 본업에 종사하시는 모든분들의 의욕고취를 통해 더 나은 지역발전에
이바지 할수 있도록 칭찬합시다!를 만들었으면 합니다.
기대효과
위와 상동되는 내용으로 현업에 종사하시는 공무원분들중 칭찬합시다를 통한 의욕고취는 공무원들에게 귀감과 더 나은 지역이 될수 있을 것이며 주민들의 만족도는 향상될것입니다.

이에 디바인힐스13개동 94세대 주민은 수도과 이주용님을 칭찬합니다.",2022-09-14,"1. 시정에 관심을 갖고 소중한 의견을 주심에 감사드리며, 답변이 늦어져 죄송합니다.
2. 민원처리 담당자에 대한 귀하의 칭찬에 감사드리며, 시민 모두의 만족을 위하여 신속.정확.친절한 민원처리를 하겠습니다.
3. 기타 궁금하신 사항은 당진시청 민원정보과(☏350-3524)로 문의하시기 바랍니다.",2022-12-31,당진시,답변완료
부여 백마강테마파크 제안,"현황 및 문제점
140억의 예산으로 지어진 백마강 테마파크가 저희 부모님 집근처라 몇번 가보고 제안드립니다
1.주변에 볼거리가 너무나 없다
2. 전망대는 언제 제대로 운영할지 안내표지나 아무런 조치가 없다
3.하늘자전거도 운영 언제될지알림도 없다
4.부지는 넓으나 활용이 하나도 안되고 있다
개선방안
1. 언제 이용가능한지 알림 및공고 게시
2. 주변에 부여군 농수산물관이나 관련 테마 카페 등 쉴수 있는 공간을 마련 가능하다면 주변에 사는 주민 고용
3. 주변에 열기구 체험도 가능해서 아침마다 뜨고 내릴때 풍경이 좋습니다 허가 되지 않았으나 주변 주차장에서 캠핑 차박 하는 경우가 많은데 최근 캠핑족 증가에 따라 주변을 대규모 캠핑 조성해서 유동인구를 늘리고 농수산물관을 운영하면 좋을것 같습니다
부여메론이나 농수산물을 접하신분들은 항상 또 주문해달라고 하시는 경우가 많습니다
대규모 캠핑장조성에는 큰예산 필요치 않으니 전기시설 세면시설 정도만 갖춘다면 충분히 인기 있을것 같습니다 주변에 궁남지도 있어 아이들과도 좋은추억만들고 아침에 일출과 열기구 뜰때는 정말 멋짐니다 이런걸 관광상품화 하지않고 있는 부여군의 행정이 참 아쉽습니다 아니면 영업할수 있는 허가라도 주시면 운영하고자 합니다
기대효과
관광객 증가 유동인구 증가",2022-09-14,"1. 군정발전을 위한 소중한 의견 감사드리며. 귀하의 가정에 건강과 행운이 항상 함께하기를 기원합니다.
2. 귀하께서 국민신문고 국민제안을 통해 신청하신 제안사항(신청번호 1AB-2209-0007828)에 대한 검토 결과를 다음과 같이 알려드립니다.
3. 귀하의 제안내용은 ‘백마강테마파크 활성화’에 관한 것으로 판단됩니다.
◯ 백마강전망대, 백마강하늘자전거, 백마강정원열차는 현재 운영되고 있음을 알려드리며,
◯ 백마강테마파크는 환경청에 하천점용허가를 받아 조성된 시설로 사용에 제약이 있어 농수산물관, 테마카페를 운영할 수 없어 이동식 카페, 푸드트럭 등을 운영할 계획에 있습니다.
◯ 부여군에서는 백마강테마파크 활성화를 위하여 백마강테마파크 인근 백마강에 국가정원조성사업과 연계하여 백마강 유원지 조성을 추진하고 있습니다. 이곳에 수상공연장, 물놀이시설, 짚라인, 생태테크로드, 캠핑장 등을 조성할 계획입니다.
◯ 따라서, 제안하신 내용을 현재 부여군에서 추진하고 있어 제안채택으로 수용하기는 곤란하다는 말씀을 전해 드립니다.
4. 위 답변 내용에 궁금하신 사항 있으시면 부여군청 문화체육관광과 관광개발팀(☏041-830-2223)으로 연락 주시면 친절히 답변 드리겠습니다.",2022-10-13,부여군,답변완료
현수막 게첩과 지면 전달로 재활용 봉투 사용을 권장하도록 합니다.,"현황 및 문제점
1. 사진 별첨
2. 산들어린이 공원 주변으로 모델하우스 및 상가가 조성되어 있음
- 쓰레기 분리수거는 둘째치고 종량제 봉투를 사용하는 경우가 드믐
- 어린이공원 청소할때는 시에서 사용하는 표기된 청색 봉투를 사용하나, 기존 주민들과 상가에서는 그러하지 아니함.
개선방안
1. 현수막 게첩...종량제 봉투 사용.
2. 지면 안내문 전달...시청 담당 직원 개별 방문 안내
기대효과
1. 깨끗한 도심환경 조성
2. 선진 시민의식 함양",2022-09-12,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AB-2209-0006817)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 산들어린이공원 내 종량제봉투 사용 및 인근 상가 종량제 봉투사용 안내 유인물 전달을 제안한 것으로 판단됩니다.

3. 귀하의 질의 사항에 대해 검토한 의견은 다음과 같습니다.
- 현재 산들어린이공원에는 공원 내 쓰레기 무단투기 금지를 안내하는 현수막을 이미 설치하여 안내하고 있는 것을 고려할 때, 현수막을 추가 설치하는 것은 효율성이 낮다고 판단되며,
- 인근 주민과 상가에 재활용 봉투사용을 권장하는 지면 전달의 경우는 담당직원이 상당한 시간을 어린이공원에서 대기하며 유인물 전달해야 하는 상황으로 소요되는 인력, 시간 대비 개선 효과가 크지 않고, 불특정 다수가 이용하는 공원임을 감안할 때 제안의 효과가 장기간 지속되기 어렵다고 판단되는바 본 제안을 불채택하고자 합니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 아산시 공원녹지과 공원관리팀(☎041-540-2123)으로 연락주시기 바랍니다. 끝.",2022-11-21,아산시,답변완료
"나날이 발전하는 아산- 도로나 골목, 주택가에 아름다움이 넘쳐나게 가꿉시다.","현황 및 문제점
아산이 옛날 과는 다르게 외국인, 특히 중국인이나 조선족이 많이 살게 되면서 경제가 다시 활기 차 지고 있는 반면에 도로나 도로 이면 주택가에는 낮에도 쓰레기가 잔뜩 쌓여 악취가 진동하고, 보기에 민망 한 곳이 군데 군데 있어서 출근시 쓰레기 냄세와 여기 저기서 쓰레기를 보게되면 아산 자체가 쓰레기 화 된듯한 기분을 갖게됩니다.
특히 사람이 밀집되어있는 온양온천역과 터미널 주변은 주택이 오래되고 더러운 느낌이 나니 고객들이 찾지않아 빈 상가도 속출하고 있어서 시 차원에서 깨끗하고 활기 넘치는 중심지가 되도록 각별히 더 신경을 써야 도심 공동화 현상을 막을 수있다고 봅니다.
개선방안
각 빌딩과 각 주택앞에는 아름다운 디자인의 분리 수거통을 나눠 주어(분리수거통 ;재활용 할 수있도록 만든 아름답고 실용성있게 디자인되어 도시를 빛낼 수 있도록 만들어진 것, 특히 위에는 꽃울 심을 수 있도록 디자인되거나 예쁜 장식등을 놓을 수 있도록 2,3가지로 다양하게 디자인 하여 각 주인이 취향을 살려 선택하고 꾸밀 수 있도록 하면 더욱 좋겠어요 ) 1주택 1 수거통을 본인 집 앞에 (쓰레기를 공공 장소나 남의 집앞에 버리기 시작하면 분리를 하지 않거나 지저분하게 던져버리거나 쌓아두어 악취의 원인이 됩니다.) 깨끗하게 관리하도록 하고 일몰 시에만 쓰레기를 버리도록 홍보하고, 환경 미화원은 익일 1시부터 새벽까지 모든 쓰레기를 수거하여 출근시에는 전혀 쓰레기가 없는 깨끗하고 아름다운 거리를 활보 할 수 있도록 꾸준히 홍보하고 노력한다면 쓰레기 천지 같은 모습이 아닌 발전한 도시의 모습을 가진 매력적인 아산으로 탈바꿈 하리라 기대합니다. 우선 온양 온천 역 주변과 터미널 주변의 사람이 많은 도심부터라도 조속히 실천하여 도심 공동화 현상을 막아야한다고 봅니다.
***제안 *** 낮에 쌓이고 악취나는 쓰레기 와의 전쟁***
1. 각 집마다 도시를 빛낼 수 있도록 개성있게 디자인 된 분리 수거함을 3종류로 만들어 주민 취향에 맞는 것으로 선택하여 꽃을 좋아하면 꽃을 심고 조형을 좋하하면 조형물로 꾸미도록 하고 아무것도 하기 싫은 주민은 기본적으로 깔끔하게 고안 된 것으로 골라 꺠끗하게 개성껏 관리하도록한다
2. 쓰레기는 남의 집앞이나 공공장소에 버리지 못하도록 한다. 반드시 본인 집 앞에 두고 책임감 갖고 관리하도록 한다.(일단 남의집 앞에 두면 분리 수거를 안하고 던지거나 함부로 처리해서 보기도 흉하고 악취가 나게된다)
3.아산시 전체가 하기 어렵다면 먼저 도심 공동화 현상이 진행되는 온양온천역과 터미널 부근 부터라도 시작하여 깨끗하고 개성있는 도시로 재 탄생하여 주목 받게 되면 좋겠습니다.
기대효과
주관있는 아산시의 미래지향적 계획과 추진력있는 홍보로 주민의 마음을 움직여 쓰레기가 낮에도 나뒹굴고 악취가 나는 도로와 골목들이 꽃들이 만발하고 개성있는 조각들이 즐비한 감성있는 도시로 변하면 다시말해 아산이 구도시적 구태의연함에서 벗어나 깨긋하고 쾌적하고 위생관리 잘 된 도시적 개성을 갖추게 된다면 외국인도 살기 좋다 칭찬하는 국제 도시로 발돋음 할 수 있다고 생각합니다.",2022-09-12,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AB-2209-0006817)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 산들어린이공원 내 종량제봉투 사용 및 인근 상가 종량제 봉투사용 안내 유인물 전달을 제안한 것으로 판단됩니다.

3. 귀하의 질의 사항에 대해 검토한 의견은 다음과 같습니다.
- 현재 산들어린이공원에는 공원 내 쓰레기 무단투기 금지를 안내하는 현수막을 이미 설치하여 안내하고 있는 것을 고려할 때, 현수막을 추가 설치하는 것은 효율성이 낮다고 판단되며,
- 인근 주민과 상가에 재활용 봉투사용을 권장하는 지면 전달의 경우는 담당직원이 상당한 시간을 어린이공원에서 대기하며 유인물 전달해야 하는 상황으로 소요되는 인력, 시간 대비 개선 효과가 크지 않고, 불특정 다수가 이용하는 공원임을 감안할 때 제안의 효과가 장기간 지속되기 어렵다고 판단되는바 본 제안을 불채택하고자 합니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 아산시 공원녹지과 공원관리팀(☎041-540-2123)으로 연락주시기 바랍니다. 끝.",심사 중,아산시,제안심사
삽교호방조제에서 삽교유원지 가는 길이 막혀 통행시 위험합니다,"현황 및 문제점
현재 삽교호 방조제에서 삽교유원지로 가는 인도가 없어 사진에서 보는 것처럼 방조제 끝에서 회전 교차로 찻길로 자전거를 들고 넘어가야하는 상황이며 이는 인명사고로 연결될 수 있는 위험한 상황입니다.
사유를 알 수 없는 펜스로 인해 하루에도 수백명씩 위험을 무릅쓰고 차도로 다니고 있읍니다.
개선방안
펜스가 왜 있는지 이해가 가지않으나 펜스를 철거하던지 아니면 우회할 수 있는 길을 만들어 주었으면 합니다
기대효과
예고된 인명 사고 예방",2022-09-11,"1. 시정 발전에 관심을 가져주셔서 감사합니다.
2. 귀하께서 국민신문고로 신청하신 제안 내용은 농어촌공사에서 관리하는 삽교호 배수갑문 도로 옆 메시휀스를 이설 또는 대체 인도 설치를 제안하신 사항으로 이해됩니다.
3. 해당 시설물은 한국농어촌공사 당진지사에서 관리하고 있어 기관 협의 결과 삽교호 방조제 상단부는 도보 및 자전거 통행을 위한 도로가 아니며 안전사고 위험이 있어 무단으로 진입하는 일이 없도록 협조 요청 의견이 있어 제안을 채택하지 못한 점 양해하여 주시기 바랍니다.
4. 기타 궁금하신 사항에 대하여 당진시청 건설과 기반조성팀(☎ 041-350-4641) 또는 한국농어촌공사 당진지사 (☎ 041-351-9138)로 문의하여 주시면 친절히 답변드리겠습니다. 끝.",2022-09-22,당진시,답변완료
가설건축물 불법을 현저히 줄이는 방법,"현황 및 문제점
가설건축물 신고후 설치해서 사용하다, 여러가지 사정으로 존치기간이 지났을경우, 치우고 신고후 다시 갖다놔야하니 현실적으로 대부분 그냥 불법으로 사용하게됩니다.
개선방안
일단 신고하고 갖다놨던 가설건축물이, 기간이지나도 불법이되지않도록 연장 재신청을 언제든지 받아주어야합니다.
그리고, 현행법을 신고후 설치에서--> 설치후 신고로 바꾸면 불법이 현저히 줄어들겁니다.
가설건축물신고, 설치후 신고로 바꿔주세요.
기대효과
불법사용을 양성화시키면, 존치기간동안 시에서 부과하는 면허세 수입이 늘어납니다.
시민들의 재산권 보호에도 도움이됩니다.",2022-09-10,"1. 가설건축물은 임시적 한시적으로 사용하는 일반건축물이 아닌 가설건축물로서 축조기간이 있으며 축조신고기간이 만료되기 전에 만료전 연장신고를 하여야 합니다.

2. 축조기간이 만료가 되면 만료 한달전에 건축주에게 연장신고 도래 예고를 일괄적으로 보내고 있으며 연장신고는 건축법 시행규칙 제15조의2에 의하여 연장신고를 하여야 합니다.

3. 건축법에 의한 모든 건축물은 허가 및 신고를 득하고 사용하여야 하며 설치 후 사용시 건축법 및 관련법에 위배되는 행위가 있을 시 허가 및 신고를 득하지 못하므로 위반건축물이 되어 설치 후 신고는 불가합니다. ( 건축과 041-350-4471 )",2022-11-14,당진시,답변완료
수도권 1호선 홍성 연장 추진 요청,"현황 및 문제점
1. 금년말 내년초 장항선 구간인 신창~홍성간 복선전철화가 완료된다고 알고 있습니다

2. 현재는신창까지 수도권전철이 운행되고 있는데 홍성까지 복선전철화되더라도 홍성까지 수도권전철이 연장되는거 같지는 않습니다

3. 장항선 전체 복선전철화까지는 너무 오래 걸리기 때문에 완료구간 까지만이라도 전철운행이 되어야 할 것으로 보입니다
개선방안

1. 신창~홍성간 복선전철은 언제 완공되나요

2. 수도권전철운행을 위해 홍성군에서는 어떤 노력을 기울이고 있으며, 실현가능성은 있는지요

3. 위 2의 실현가능성이 없다면 대안으로 홍성~신창간 셔틀전철을 추진할 의향과 실현가능성이 있는지요
기대효과
예산, 교통수요 및 국토부, 코레일등 협조가 필요하겠지만 홍성군을 위해 적극 노력해 주시기 바랍니다",2022-09-07,"1. 제안 요지 : 수도권1호선 연장 추진 요청
2. 답변내용
가. 귀하의 군정발전에 대한 관심에 감사드립니다.
나. 귀하께서 제안하신 수도권 1호선 홍성 연장 추진 요청에 대해 답변드립니다.
1) 장항선 복선 전철 건설공사는 2026년 완공예정입니다.
2) 수도권 전철 연장에 관한 사항은 한국철도공사 문의 결과 확정된 바 없으며 추후 운행 여건 변화 등을 고려하여 운행방안 등을 결정할 예정입니다.
3) 귀하의 제안에 충분한 답변이 되었기를 바라며, 앞으로 홍성군은 지역주민을 위해 최선을 다하겠습니다.

붙임 제안신청서 1부. 끝.",2022-10-17,홍성군,답변완료
아산에 살면서 휴일 바닷가 산책하기,"현황 및 문제점
안녕하세요? 저는 금년 3월부터 아산 탕정지구 건설사업에 근무하는 김동기 입니다.

한 달에 1번정도 휴일을 아산(천안)에서 보내려 하니 불편한 점이 있습니다.

서해바다인 왜목마을 삼길포항 간월암 등 유명한 바닷가를 가려면
승용차로 1시간 30분-2시간이 소요됩니다, 만,
대중교통을 이용하려면 3시간ㅁ 45분 이산이 걸립니다.
개선방안
최소한 주말(금요일 18시부터 일요일 21시까지)
서해안 주요관광지를 길 수 있는 유료 셔틀버스 운행을 원합니다
출발은 아산역, 탕장역, 방배역, 온양온천, 신창역 등
도착은 삽교 왜목 삼길포 천리포 몽산포... 간월암 등 관광지

교통 숙소 음식점 기본시설 이용 안내서 소책자 포함
감사합니다.
기대효과
물론 충청남도 아산에 살고 싶겠죠.

아산시가 중심이 되고 활성회되길 바랍니다.

시정업무에 고생하시는 아산시청 공무원과 충남도민의 건강을 기원하고
풍성한 한가위되시길 바랍니다. 아산거주 근로자 김동기 드림 ~^^",2022-09-07,"1. 충남도정에 대한 깊은 관심과 애정에 감사의 말씀을 드립니다.

2. 아산에서 출발하는 서해안 방면 노선
- 아산~보령(1일 6회), 만리포(1일 4회), 안면도(1일 4회), 영목(1일 1회)
- 상기와 같이 현재 아산터미널에서 서해안 방면으로 운행중에 있으니 각 방면 노선을 이용하시기를 권장드립니다.

3. (아산시→충청남도 교통정책과 이송) 충청남도 시외버스 서해안 방면 운행 노선에 대하여 안내하여 드리며, 다만 귀하께서 제안하신
내용이 관광관련 유료 셔틀버스에 대한 제안이시라면 아산시 문화관광과로 문의(제안)하여 주시기 바랍니다.

4. 기타 문의 사항이 있으실 경우 충청남도 교통정책과(041-635-2842)로 연락주시면 성심껏 답변해 드리겠습니다.",2022-09-23,충청남도,답변완료
금연 아파트 지정과 흡연인의 공간 마련의 필요성,"현황 및 문제점
현재 국가적으로 금연 분위기가 형성되어 아파트 마다 금연 지정 아파트 간판을 걸고 있습니다만
흡연자분들이 당장 금연하기도 어렵거니와 흡연자분들은 개인의 기호식품으로 생각 할 수 도 있습니다.
그러다 보니 아파트 내에 비흡연자와 흡연자 간의 갈등이 심화 되고 있습니다.
또한 신고를 하려해도 흡연자가 누군지 모르는 상황이고 그것 때문에 cctv 보고 찾아낸다는 것도
현실과 맞지 않습니다.
그렇다고 아파트 내 에 흡연 시설을 설치 및 유지 관리 비용과 위치 문제로 뾰족한 해결이 안 보입니다.
개선방안
보건복지부에서 금연 지정 아파트를 추진하는 만큼 아파트 주변으로 흡연 시설을 설치 운영해주어 아파트 내 흡연자 분들이 아파트 밖에서 흡연 할 수 있도록 했으면 좋겠습니다.
또한 아파트 내에 담배 꽁초 무단 투기나 어린이 시설 근처 흡연 시 과태료가 부과 될 수 있도록
아파트 관계자 (경비실, 관리실 직원 등) 분들 적극적으로 신고 할 수 있는 동기부여를 제공해주시를 바랍니다.
또한 금연으로 지정 된 아파트에 금연 할 수 있도록 각 아파트 금연 캠페인을 추진 할 수 있도록
인력이나 보조금 제도를 고려해 주시면 감사하겠습니다.
기대효과
말 뿐이 아닌 실제로 금연 아파트 효과를 볼 수 있을 거라 기대 됩니다 .
또한 흡연자와 비흡연자 간의 갈등을 완화 될 수 있으며 아파트 관리 측면에서도
아파트 밖으로 나가 흡연하라고 안내가 가능하니 중간에서 곤란할 일이 없을 거라 기대 됩니다.
이상 입니다. 감사합니다.",2022-09-02,"○ 안녕하십니까? 귀 댁의 평안과 행복이 가득하길 기원드립니다. 우선 인사이동 등 보건소내 사정으로 제안에 대한 답변이 늦어진 점에 대해 죄송하다는 말씀 전해드리며, 귀하께서 국민신문고를 통해 접수하신 제안사항(금연 아파트 지정과 흡연인의 공간 마련의 필요성)에 대하여 아래와 같이 답변드립니다.
○ 「국민건강증진법」제9조(금연을 위한 조치)제4항‘다음 각 호의 공중이 이용하는 시설의 소유자·점유자 또는 관리자는 해당 시설의 전체를 금연구역으로 지정하고 금연구역을 알리는 표지를 설치하여야 한다. 이 경우 흡연자를 위한 흡
연실을 설치할 수 있으며, 금연구역을 알리는 표지와 흡연실을 설치하는 기준·방법 등은 보건복지부령으로 정한다,’고 규정하고 있습니다.
○ 따라서, 같은 법 제9조제5항에 따라 공동주택 중 금연구역으로 지정된 금연 아파트 관리자가 아파트 입주민들의 의견을 수렴하여 자체적으로 흡연구역을 지정하고 흡연실을 설치·운영 가능할 것으로 사료됩니다.
○ 또한, 금연구역으로 지정된 공동주택에서 금연 실천 동기부여를 위하여 금연 캠페인 운영 협조를 아산시 보건소에 요청하는 경우 지원이 가능하나 보조금 제도에 관한 부분은 형평성과 실효성 등 충분한 검토가 필요할 것으로 보입니다.
○ 위와 같은 사유로 제안을 채택하지 못하는 점을 널리 이해하여 주시기 바라며, 귀하의 제안 취지에 맞도록 금연 아파트 내 금연 활동에 대하여 적극 홍보하여 금연 환경 조성에 힘쓰도록 하겠습니다. 이 외의 문의사항은 아산시 보건소 건강증진과 건강증진팀(☏041-537-3435)로 연락주시면 성실히 안내드리도록 하겠습니다.",2022-11-01,아산시,답변완료
