제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
[2023년 계룡시 정책 어워드(AWARD) 제안] 계룡시 내 계룡산 국립공원 탐방안내소 개설,"현황 및 문제점
- 계룡시라는 이름 자체가 계룡산 또는 계룡대에서 나온 네이밍인데, 정작 계룡시 시민들은 계룡산을 등반하려면, 현재는 계룡대(군부대) 때문에, 대전이나 공주로 가야하는 상황 (아이러니한 상황)

- 이에 따라 시간 및 비용의 낭비를 초래할 수밖에 없는 상황
- 타지 사람들의 경우, 계룡산을 등반하기 위해서는, 계룡시를 방문하게끔 해야 하는데, 지금 현재 상태로는 공주나 대전으로 가게 되어, 계룡시의 관광수익 및 기타 관련 산업에 마이너스를 초래
개선방안
- 현재, 계룡대(군부대)의 일반인 진입가능 지역과, 그 지역과 계룡산 정상으로 가는 주요 등반코스 중 서로 근접한 지역이 있는 경우, 군부대 내부 경계라인 중 개방(관통)공사를 할 수 있는 부분(sector)과, 군부대 밖 등반코스가 근접하는 지점(행정구역상 계룡시)에 국립공원 계룡산 탐방안내소를 추가 설치하여, 계룡시민들이 손쉽게 계룡산 등반코스에 진입할 수 있도록 계룡시-국방부-국립공원 관리공단과 3자 간 협의추진

- 협의가 성공적으로 완료되면, 군부대의 경계선 개방 토목공사, 국립공원 관리공단의 탐방안내소 설치공사, 계룡시의 부지제공 및 예산지원 등을 통해, 탐방안내소를 건축

기대효과
- 먼저 계룡시민들이 손쉽게 계룡산에 등반할 수 있음
- 계룡산을 등반하려는 타지 사람들이 우선하여 계룡시를 방문하게끔 할 수 있어, 계룡시의 관광수익을 늘릴 수 있음
- 아울러, 그에 따른 계룡시의 대외적 이미지 제고 가능",2023-03-18,"선생님께서 제안하신 내용에 대하여 첨부와 같이 회신하여 드립니다.

붙임 1. 국민제안신청서1부.
2. 2023년 계룡산국립공원 탐방안내소 개설 건 1부. 끝.",2023-04-03,계룡시,답변완료
아산시 의회동 동편 인도 및 청사 출입구 확보 필요,"현황 및 문제점
* 민원으로 돌리지 마시고요.

최근 신축된 의회동 동편 쪽 도로와 청사 출입 관련 문제

1) 의회동 동편 좁은 2차선 도로는 원할한 차량 소통을 위해 중앙선에 분리막대를 줄지어 세웠으나
2) 사람이 통행하고 의회동, 시청사를 출입할 수 있는 편의성을 전혀 고려하지 않음으로써
3) 별관 쪽 좁은 출입구를 통해 시청사로 들어가는 구간에 사람과 차량이 접촉할 우려가 있고
4) 의회동 주차장으로 출입할 수 없는 구조 때문에 임의로 정원수 사이로 드나들고 있음(개구멍 발생)
개선방안
* 최소한 시청사 주변 직원과 민원인의 출입이 편하도록 설계하는 단계에서부터 실질적으로 차량소통 뿐아니라 인도 대책을 만들 수 있도록 관련 규칙을 만들 수 있도록 제안하는 내용입니다.

1) 의회동 동편 도로와 청사를 구분하는 좁고 긴 구간에 심은 정원수 대신에 인도를 만들고 의회동 및 청사 출입을 할 수 있는 통로를 개설해야 함.

2) 의회동 동편 도로와 주차장 사이에 횡단보도 표시를 해야 함.
기대효과
1) 청사출입 사고예방 및 안전확보
2) 탁상행정 시정",2023-03-17,"국민신문고 국민제안 접수번호(1AB-2303-0009193)에 대하여 아래와 같이 결과를 통보하고자 합니다.

1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 제안(신청번호 1AB-2303-0009193)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 ""아산시 청사(의회동) 동편 인도 및 청사 출입구 확보 필요""에 관한 것으로 이해(또는 판단) 됩니다.
3. 귀하의 제안에 대해 검토한 의견은 다음과 같습니다.
- 청사(의회동)과 동편주차장과 원활한 보행을 위하여 횡단보도 및 인도 등 보행동선을 확보할 수 있는 방안을 적극적으로 검토하여 추후 예산확보를 실시하여 청사 방문에 불편함이 없도록 개선하도록 하겠습니다.
4. 이에, 귀하의 제안을 ""채택""함을 알려드리며, 기타 궁금하신 사항은 041)530-6259로 연락주시면 성심성의껏 답변해드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2023-03-29,아산시,답변완료
계룡의 명소를 발전시키자,"현황 및 문제점
현재 계룡에는 임암리수변공원이라는 정말멋있는공원이 있다 하지만 문제는 많은 사람이 가는데 오래걸리며 잘모르는 사람들이 많다
개선방안
유동인구가 가장 많은 엄사면부터 시작하여 사람이나 자전거가 안전하게 산책또는 이동할수있는 인도(산책로)를 만드는것이다 그리고 계룡시 두계천산책로에는 나무로 만들어진 건강과 관련된 간단한 표지판 같은것이 여러개 있다 이런 표지판들도 설치하면 그냥 산책로가 아니라 더 좋아보일것같다
기대효과
계룡시에는 많은 사람들이 산책과 러닝을 즐기는데 이 산책로를 만들게 되면 많은 사람들이 이용하게 될것이며 한사람이 알게되서 그사람이 더 많이알게 하고 더 많이 알게하면 계룡에 대표 산책로가 되면서 더 많은 관광객들이 생기면서 계룡시가 더 발전할수있다",2023-03-16,"국민신문고 국민제안 접수번호(1AB-2303-0009193)에 대하여 아래와 같이 결과를 통보하고자 합니다.

1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 제안(신청번호 1AB-2303-0009193)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 ""아산시 청사(의회동) 동편 인도 및 청사 출입구 확보 필요""에 관한 것으로 이해(또는 판단) 됩니다.
3. 귀하의 제안에 대해 검토한 의견은 다음과 같습니다.
- 청사(의회동)과 동편주차장과 원활한 보행을 위하여 횡단보도 및 인도 등 보행동선을 확보할 수 있는 방안을 적극적으로 검토하여 추후 예산확보를 실시하여 청사 방문에 불편함이 없도록 개선하도록 하겠습니다.
4. 이에, 귀하의 제안을 ""채택""함을 알려드리며, 기타 궁금하신 사항은 041)530-6259로 연락주시면 성심성의껏 답변해드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",심사 중,계룡시,제안심사
주민의 건강한 삶,"현황 및 문제점
내포신도시 거주자로서 홍예공원을 비롯 주변 공원들이 잘조성되어 있어서 만족하게 생활하고 있지만 현재있는 공원이나 자전거길 산책로에 요즘 지자제 마다 핫한 맨발걷기 코스를 제안합니다
개선방안
대전 계족산이나 전국적으로 이름난 맨발걷기 코스 조성된 곳은 전국적으로 맨발걷기하는 인구증가로 상당히 많은수의 사람들이 찿는다고 한다 우리지자체도 잘조성된 기존의 자전거 길이나 걷기코스길에 맨발걷기 코스를 조성
기대효과
맨발걷기 효능으로 주인들의 건강을 증진할수 있으며 의료보험 재정 악화에도 도움을 줄수 있음
우리고장을 널리 알릴수 있으며 전국 맨발걷기 매니아층의 체험방문으로 인한 관광자원 개발",2023-03-16,"국민신문고 국민제안 접수번호(1AB-2303-0009193)에 대하여 아래와 같이 결과를 통보하고자 합니다.

1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 제안(신청번호 1AB-2303-0009193)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 ""아산시 청사(의회동) 동편 인도 및 청사 출입구 확보 필요""에 관한 것으로 이해(또는 판단) 됩니다.
3. 귀하의 제안에 대해 검토한 의견은 다음과 같습니다.
- 청사(의회동)과 동편주차장과 원활한 보행을 위하여 횡단보도 및 인도 등 보행동선을 확보할 수 있는 방안을 적극적으로 검토하여 추후 예산확보를 실시하여 청사 방문에 불편함이 없도록 개선하도록 하겠습니다.
4. 이에, 귀하의 제안을 ""채택""함을 알려드리며, 기타 궁금하신 사항은 041)530-6259로 연락주시면 성심성의껏 답변해드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",심사 중,홍성군,제안심사
내포신도시 복합문화공간가족센터 설치 요청의 건,"현황 및 문제점
현재 홍성내포우체국과 웅덩이 공원 사이에 부지가 비어있다고 알고 있습니다.

주민들의 복지증진 및 생활환경 제고를 위해 미활용 부지를 활용해야 한다고 생각합니다.

또한 학교마다 돌봄 프로그램이 있지만 짧게 운영되고 있어,
군에서 진행하는 양질의 돌봄프로그램 및 센터 운영이 필요한 상황입니다.
개선방안
모아미래도 메가시티 1,2차, 대방2차, 중흥1차 단지가 사용할 수 있는
돌봄센터와 어린이 도서관을 포함한 복합문화공간가족센터 설치를 제안드리고자 합니다
기대효과
군에서 진행하는 양질의 돌봄프로그램 및 센터 활용으로 주민 복지 증진
미활용 부지의 적극적인 활용 가능
양질의 생활환경 제공",2023-03-15,"국민신문고 국민제안(1AB-2303-0007802)와 관련하여 아래와 같이 답변하고자합니다.

1. 제안채택 여부 : 불채택(예산확보사안, 중장기검토 필요)
2. 제안요지 : 내포신도시 복합문화공간가족센터 설치 요청
3. 검토의견(답변내용)
- 홍성군 발전에 관심을 가지고 제안을 주신 것에 대해 감사의 말씀을 드리며, 제안하여 주신 ‘내포신도시 복합문화공간가족센터 설치 요청의 건’ 제안에 대해 다음과 같이 답변드립니다.
- 홍성군에서 내포신도시 인구 유입에 발맞추어 가족복지 문화공간인 홍성가족어울림센터를 2019년 여성가족부 가족센터 설치 전국 5개 시군에 선정되어 2022. 11. 22일에 개소 한 바 있습니다.
- 내포신도시 내 유사한 시설을 설치하기 위해서는 정부사업과 연계가 반드시 필요한 사항으로 홍성가족어울림센터 지원 사례와 생활SOC사업 축소 등으로 정부 지원이 용이하지 않아 현재로서는 건축이 어려운 상황입니다.
- 이에 우선적으로 아이들의 돌봄수요를 해결하기 위하여 신축 500세대 이상 공동주택단지 내 다함께돌봄센터를 설치할 예정이며, 교육부 초등늘봄(20:00까지 돌봄)학교와 협력하여 단계적으로 지역 수요에 맞추어 돌봄에 관련된 사업을 추진할 계획입니다.
- 앞으로도 주민들의 복지와 문화생활, 편리성을 높이기 위하여 지속적으로 계획하고 추진하기 위해 노력하겠습니다.
- 좋은 의견을 주신 귀하께 다시 한번 감사의 말씀을 드리며, 홍성군 아동복지와 관련하여 더 궁금하신 점이 있으시다면 홍성군 가정행복과 (☎630-1963)로 문의하여 주시기 바랍니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2023-03-21,홍성군,답변완료
문자 카톡 알림서비스,"현황 및 문제점
문자나 카톡으로 알릴수 있는것이 너무나도 많습니다 코로나 감소 원인도 바로 문자의 핵심이라고 봅니다 실시간 으로 여러가지 정보를 국민에게 알려주어서 국민이 그것을 예방하였기에 지금에 이르였다고 생각이 듭니다 그러나 문자를 통해 이런것도 있지만 다른 기능도 많습니다 바로 어르신들을 위한 정보공유나 취약계층들을 위한 혜택 공유 알림서비스입니다 어르신들이나 장애인 혹은 취약개층들은 계룡시에 여러가지 혜택이 있음에도 정보에 약해 고립돼 있는 것을 많이 봤습니다 다수가 아닌 소수의 혜택을 누릴뿐...그래서 문자알림서비스를 통해 정보공유 알림 서비스 를 개선하면 좋을 듯 싶습니다
혼자서 고립돼고 아무것도 모르시는 사람들을 위해 이것을 조금이나만 개선해준다면 그들은 이것을 보면 삶에 대한 자신감을 붙고 다시 살아갈수 있는 자신감을 용기를 얻지 않을까 생각이 듭니다
개선방안
카톡으로 하는 알림서비스 제도는 4050 젊은 사람만 볼수 있다는 단점이 있습니다 그러나 문자알림서비스는 전체 연령이 똑같이
실시간으로 볼수 있는 정보공유 서비스 형식입니다
카카오톡으로 소수만 보았던 알림서비스와 달리 소수가 아니 다수의 방법을 몰수 하고자 한다면 바로 문자알림서비스도 나름 괘찮은 것 같습니다
기대효과
공연 일자리 장애인 공유 취약개층 개선",2023-03-14,"1. 국민신문고 국민제안(1AB-2303-0007418)과 관련됩니다.

2. 국민신문고로 접수된 국민제안에 대해 다음과 같이 답변 처리하고자 합니다.

1. 안녕하십니까? 먼저 행정 운영에 관심을 가져주시고 건의해주신 점 감사드립니다.
귀하께서 국민신문고를 통해 신청하신 제안(신청번호 1AB-2303-0007418)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안 내용은 ""시정 홍보 카톡 및 문자 알림서비스""에 관한 것으로 판단됩니다.
3. 귀하의 제안사항에 대해 검토한 의견은 다음과 같습니다.
현재 계룡시에서는 카톡 채널을 통해 시정 홍보를 추진하고 있으며, 특정 계층에 대한 홍보가 필요한 경우, 각 담당부서에서 문자 및 유선 알림을 진행하고 있습니다.
따라서 귀하께서 건의하신 ""시정 홍보 카톡 및 문자알림서비스""는 기시행중인 내용임으로 채택하지 못하는 점 양해 부탁드립니다.
앞으로도 시정 홍보를 적극적으로 추진할 수 있도록 노력하겠습니다.
4. 귀하의 건의에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요하신 경우, 시민소통담당관 시민소통팀 주무관 박서은
(042-840-2953)으로 연락주시면 친절히 안내드리도록 하겠습니다. 감사합니다.


붙임 국민제안신청서 1부. 끝.",2023-04-12,계룡시,답변완료
내포신도시 복합문화공간가족센터 추가설치 요구,"현황 및 문제점
내포신도시 홍성군 홍북읍에 홍북초등학교가 이전되어 개교(2024년 2월)하고, 주위에 기존 중흥 1차 아파트 뿐 아니라 올해부터 대방 2차, 모아 1,2차, 반도 유보라 등 홍북초등학교 배정인 아파트들이 줄줄이 입주 예정입니다. 인구증가와 초등학교 수요는 넘쳐나는데 아동복지시설은 부족합니다.

내포초등학교와 한울 초등학교 근처에는 돌봄센터 및 가족 센터가 있으나 홍북초등학교 주변에는 아동복지시설이 없습니다.
개선방안
홍북초등학교가 이전 개교하는 건너편 우체국 옆의 부지에 <다함께 돌봄센터 및 어린이 도서관을 포함한 복합문화공간 가족센터>를 설치해서 초등학교 어린이들이 이용할 수 있게 해야합니다.
기대효과
자녀들의 교육 및 보육 환경이 좋아지면 맞벌이 부부들이 맘 놓고 일할 수 있는 환경이 되고 출산장려에 도움이 됩니다 . 또한 젊은 세대들의 유입이 많이 되어서 홍성군 홍북읍 인구 증가가 기대됩니다.",2023-03-14,"국민신문고 국민제안(1AB-2303-0007075)와 관련하여 아래와 같이 답변하고자합니다.

1. 제안채택 여부 : 불채택(예산확보사안, 중장기검토 필요)
2. 제안요지 : 내포신도시 복합문화공간가족센터 추가설치 요구
3. 검토의견(답변내용)
- 홍성군 발전에 관심을 가지고 제안을 주신 것에 대해 감사의 말씀을 드리며, 제안하여 주신 ‘내포신도시 복합문화공간가족센터 추가설치 요구'의 건 제안에 대해 다음과 같이 답변드립니다.
- 홍성군에서 내포신도시 인구 유입에 발맞추어 가족복지 문화공간인 홍성가족어울림센터를 2019년 여성가족부 가족센터 설치 전국 5개 시군에 선정되어 2022. 11. 22일에 개소 한 바 있습니다.
- 내포신도시 내 유사한 시설을 설치하기 위해서는 정부사업과 연계가 반드시 필요한 사항으로 홍성가족어울림센터 지원 사례와 생활SOC사업 축소 등으로 정부 지원이 용이하지 않아 현재로서는 건축이 어려운 상황입니다.
- 이에 우선적으로 아이들의 돌봄수요를 해결하기 위하여 신축 500세대 이상 공동주택단지 내 다함께돌봄센터를 설치할 예정이며, 교육부 초등늘봄(20:00까지 돌봄)학교와 협력하여 단계적으로 지역 수요에 맞추어 돌봄에 관련된 사업을 추진할 계획입니다.
- 앞으로도 주민들의 복지와 문화생활, 편리성을 높이기 위하여 지속적으로 계획하고 추진하기 위해 노력하겠습니다.
- 좋은 의견을 주신 귀하께 다시 한번 감사의 말씀을 드리며, 홍성군 아동복지와 관련하여 더 궁금하신 점이 있으시다면 홍성군 가정행복과 (☎630-1963)로 문의하여 주시기 바랍니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2023-03-21,홍성군,답변완료
계룡 대실지구와 대전고속터미널 연결 버스노선 &계룡역 주차공간 부족,"현황 및 문제점
이번에 계룡대실지구로 이주하는 주민입니다. 아마도 계룡 대실지구에 거주하시는분들중에서 대부분 대전에서 오시는분들이 많고 직장이 대전에 있으신분들이 많은데 현재 대실지구에서 대전을 연결하는 버스노선이 제대로 갖추어 지지 않고 있습니다.
대전역으로 가는편은 계룡역을 통해 기차로 이동할 수 있지만, 고속터미널 방향으로 가는 노선을 존재하지 않습니다.
대전으로 부터 많은 인구를 유입시키기 위해선 대전으로의 교통망 확보가 무척 중요하다고 생각이 드네요...
뿐만아니라 계룡역에서 출퇴근하기 위해서 주차를 하여야 하는데 주차공간이 턱없이 부족합니다.
주정차공간이 조금은 허용된다고 하지만, 턱없이 부족할따름입니다.
새롭게 주차공간을 만들어 계룡역에서 기차를 통해 출퇴근할 수 있는 날이 오길 기대해봅니다.
개선방안
첫째. 계룡대실지구~ 대전 복합터미널 버스노선 확충
둘째. 계룡역주변 주차공간 대폭 확충
기대효과
계룡인구 폭증
살기좋은 계룡건설",2023-03-13,"국민제안(1AB-2303-0006720)에 다음과 같이 회신하고자 합니다.

< 회신내용 >
1. 안녕하십니까? 우선 계룡시 발전을 위한 소중한 의견 감사드립니다. 귀하께서 국민신문고를 통해 신청하신 제안(1AB-2303-0006720)에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하의 제안내용은 “첫째, 대실지구에서 대전 방향으로 바로 나갈 수 있는 시내버스 노선 개편. 둘째, 계룡역 주변 주차공간 확보 요청”에 관한 것으로 이해됩니다.

3. 첫 번째 제안사항인 버스 노선 개편은 대전광역시와 협의 중에 있으며 기존 시내버스 202번 및 2002번 버스를 대실지구로 경유하여 대전 방향으로 나갈수 있는 방안에 대해 5월 말경에 시행할 계획입니다. 또한, 대전 고속버스터미널 방향 노선 신설은 현재 상기 버스가 대전역까지 운행하는 노선으로 운행거리와 시간운행을 감안할 때 더 이상 늘릴 수 없음을 양해하여 주시고 대전역에서 환승하여 이용하시기 바랍니다.

4. 두 번째 제안사항으로 계룡역 주변의 주차문제를 해결하기 위해 계룡대림이편한세상 아파트 동측(114동 옆) 이면도로를 활용해 노상주차장 설치 공사를 진행 중이며, 금년 상반기 중으로 약 44면의 노상주차장을 확보할 계획입니다. 또한, 대규모 환승 주차장 설치를 위해 계룡역 환승센터 조성 기본 및 실시설계 용역을 발주 중으로 2025년 12월 준공 목표로 사업을 추진 중에 있음을 알려드립니다.

4. 귀하의 소중한 의견 주심에 다시 한 번 감사드리며, 답변 내용에 대한 추가설명이 필요한 경우 계룡시 건설교통실 교통행정팀 박선우 주무관(☎042-840-2562), 교통시설팀 송영호 주무관(☎042-840-2582)에게 연락하시면 친절히 안내해 드리도록 하겠습니다.
감사합니다.

붙임 국민제안신청서 1부. 끝.",2023-03-30,계룡시,답변완료
엄사 공원 재생으로 구도심 활성화 프로젝트,"현황 및 문제점
현재 엄사면사무소/우체국 뒷편에 위치한 공원은 엄사의 중심부에 있어 많은 시민이 이용하기 좋은 위치이나, 조성이 된지 오래되어 낙후되어 있으며, 특히 높이 자란 나무들로 인한그늘로 낮에도 음습한 분위기가 나고, 밤이면 지나가기 무서운 느낌이 듭니다.
또한 늦은 시간까지 청소년들이 삼삼오오 모여 담배를 피우거나 떠드는 등 우범지역화 되고 있습니다.
게다가 활용도가 떨어지는 어린이 놀이터, 불편한 휴식 공간 등으로 공간이 차지하는 범위에 비해 활용도가 떨어지고, 시민들이 편안하게 찾을 수 있는 공간으로서의 기능이 낮습니다.
개선방안
하늘을 가리는 수목제거 후 낮은 수종으로 교체 및 정원 조성
아이들 물 분수대와 족욕체험시설 같은 친수 시설 설치
밝은 음악이 나오는 음향시설과 음악분수 설치
공원 둘레에 다양한 벤치 시설 및 계룡시 조형물 설치
기대효과
계룡시 중심부 공원으로 많은 시민이 사랑하고 모이는 장소로 탈바꿈한다면 인구 유입효과와 이용자 증가로 주변 상권 이 활성화 되고, 새로운 문화가 창조되는 계기가 될 것입니다",2023-03-12,"1. 귀하의 가정에 행운이 가득하길 기원합니다.

2. 국민신문고 국민제안을 통하여 귀중한 의견을 주신 점에 감사드리며, 엄사 중앙 어린이공원의 수종교체, 친수시설 및 음악분수 설치 등의 제안 건에 대한 검토 결과를 다음과 같이 알려 드립니다.

3. 현재 말씀하신 엄사 중앙 어린이공원 수목에 대해서는 고사목 제거 및 가지치기 등 수목 관리를 꾸준히 하고 있으며, 공원 내 곳곳에 설치되어 있는 쿨링포그(친수시설)를 금년도에 가동할 예정임을 알려드립니다. 기존 공원시설의 수종 교체 및 분수대, 족욕체험시설 및 음악분수 설치 등에 대해서는 설치 수요, 예산 및 도시계획시설(공원)변경 등의 행정절차가 수반되며 종합적인 검토가 필요한 사항이므로 제안하신 의견을 앞으로 업무추진 시 참고하도록 하겠습니다.

4. 기타 궁금한 사항은 계룡시청 농림과(042-840-2662)로 문의주시면 성심껏 답변드리도록 하겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2023-04-10,계룡시,답변완료
임산부지원,"현황 및 문제점
1. 임신등록하러가면 주시는 용품
: 마스크 . 칫솔세트
실질적으로 임산부에게 도움이되는 용품이 제공되어야 하는거 아닌가요.
2. 임산부 기초검사 및 1차기형아검사등
-1차기형아 검사 할인권 보다 보건소에가서 검사하는게 더 저렴한걸로아는데 .. 그게더나은거아닌가요
3. 임산부 지원
임산부 요가 및 건강 , 태아 관련해서 별 지원이나 혜택이없네요... 꼭 혜택을 바라는건 아니지만
개선방안
당진은 타시도에비해 임산부도 많고 저출산이지않아 그런지 ... 임산부지원이 많이되지 않는것 같아요. 똑같이 임신한 타지역 친구들에게 이야기들으면요...
임산부 요가/ 임산부 수영 등등 할수 있는거 많을 텐데 .... 교육 등등 좀 있으면 좋겠네요.
기대효과
타시도랑 비교하는 일이.없어지겠죠.
요가등도 임산부는 거의 1대1이나 소수 인원으로 진행되어 비싸기도한데 ... 그런부분해소되겠죠.",2023-03-10,"1. 국민제안 1AB-2303-0005757/2AB-2303-0003882에 대하여 답변드립니다.

2. 당진시 시정발전을 위한 귀하의 소중한 제안에 깊이 감사드립니다

3. 선생님이 제안해주신 임산부지원에 관한 국민제안을 불채택 합니다.
- 우리 시 보건소는 초기 임산부 등록 시 엽산제, 마스크, 칫솔세트, 영아용 손톱깎기를 제공하며,
이후 16주차에 방문 시 철분제, 이유식용기, 이유식 책자, 손수건을 제공하고 있습니다.
- 임산부 등록 시 관내 산부인과(미즈맘, 유명, 뮤즈힐 산부인과)와 연계하여 사용 가능한 무료검진쿠폰 4종을 제공하고 있으며.
* 모성풍진검사(6~9주) , 2차기형아검사(16~17주) , 임신성당뇨검사(24~26주) ,막달초음파검사(35~36주)
** 쿠폰은 1차, 2차 방문 시 나눠서 지급하고 있습니다.
- 또한 임산부 건강교실(출산과정의이해, 릴렉스 호르몬의 변화와 손목통증관리,태교 관련 바느질수업) 일대일 모유수유 클리닉, 일대일 베이비 마사지 교실을 운영하고 있습니다.

4. 좋은 제안을 해주신 점 다시 한번 감사드립니다.
5. 문의가 있으실 경우 당진시보건소 모자건강팀 041-360-6671로 연락주시기 바랍니다.",2023-03-27,당진시,답변완료
