제목,내용,작성일자,답변,답변일자,담당부서
생활쓰레기 배출 장소,"기재된 주소에 거주중인 시민입니다.
거주중인 건물에 쓰레기 배출 장소가 없어 여러차례 문의 드렸는데, 주변 공사가 끝나면 배출 장소를 지정해줄테니 공사가 끝날 때까지 다른 건물 배출 장소에 같이 버리라는 답변을 받았었습니다. 공사가 끝나도 배출 장소에 대한 정보가 없어 계속 버리던 곳에 쓰레기를 배출했는데, 다른 건물에 거주중인 분들이 불편함을 느낄 것 같아서 이렇게 민원을 작성하였습니다.
거주중인 주소에 쓰레기 배출 장소가 정해졌다면 어디인지 알려주시면 감사하겠습니다. 만약 쓰레기 배출 장소를 임의로 정하여야 한다면 거주중인 주소와 같은 건물인 편의점 앞 소화전 부분에 배출하고 싶으니 그곳으로 수거함과 음식물쓰레기 수거함을 배치해주시면 감사하겠습니다.",2021-07-07,"1. 귀하의 가정에 건강과 행복이 가득하시길 기원합니다.

2. 귀하께서 국민신문고를 통해 신청하신 민원은 “순암로 76번지 재활용(음식물)수거함 위치 지정 및 배치 요청”에 관한 것으로 이해됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
배출지 위치 지정 및 재활용(음식물) 수거함 배치요청과 관련하여
- 우리동에서는 배출지의 위치를 별도로 지정해 드리지 않고 있으며 빌라주민들이 적당한 장소를 협의(문전수거 방식 원칙)하여 배출지 장소를 마련해 주시면 해당위치에 분리수거대를 지원하여 드릴 수 있습니다.

- 다만 귀하께서 분리수거대 설치 요청하신 편의점 앞 소화전 부분은 소방차의 원활한 업무 수행 및 차량통행에 불편함을 초래하여 적절한 위치가 아닌 곳으로 판단되며, 향후 빌라주민들과 장소를 협의하실 때 주변 미관저해, 교통방해 등이 발생하지 않는 위치를 고려하여 장소를 지정하여 주시면 검토 후 처리해드리도록 하겠습니다.

4. 귀하의 민원사항에 만족스러운 답변이 되었기를 바라며, 기타 문의사항은 광남1동 행정복지센터 총무팀(760-1962)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2021-07-13,광남1동
곤지암리 84-25 토지 개발 당시 인접 토지의 사용허가 필요 여부 확인,"곤지암리 84-25번지 외 6필지 소유자 주식회사 피디케이전자 입니다.
해당 지역의 건축물 축조 허가 상황에 인접 토지 소유주의 사용 허가 사항이 포함되어 있는지 질의합니다.
인접 토지 소유자가 주장하는 요는 곤지암리 84-39번지와 곤지암리 1-21번지의 토지 사용 허가 없이는
곤지암리 84-25번지 건축 및 개발 허가가 불가하였다고 주장하는데 근거 있는 주장인지와 근거가 있다면 그 자료를 공개 요청합니다.",2021-07-07,"1. 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2107-0291730)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “곤지암리 84-25번지 일원 건축허가시 인접토지(1-21, 84-39) 토지사용 승낙서 제출 여부”에 관한 것으로 이해됩니다.
3. 민원사항에 대해 검토한 의견은 다음과 같습니다.
- 곤지암리 84-25번지 일원 건축인허가시 곤지암리 1-21번지 및 84-39번지 토지사용승락서는 제출된 사항이 없음을 알려드립니다.
4. 그 밖에 귀하께서 제기하신 민원과 관련하여 궁금하신 사항이 있을 경우 건축과 건축1팀 김재영 주무관(031-760-8624)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-07-13,건축과
"맨홀, 집수정 퇴적물 제거 요청","광남안로 134, 131 사이 동성빌라 앞 GS25 사거리에는 맨홀과 집수정이 여러곳에 있습니다.
퇴적물을 제거하지 않아 스틸그레이팅 아래가 대부분 꽉 막힌 상태입니다.
금번 장마는 지나가더라도 금년 내에 퇴적물 제거와 같은 하수관 정비가 필요합니다.
담당자님 조치 부탁드립니다.",2021-07-07,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호1AA-2107-0290591)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 광남안로 134 일원 배수로 준설 요청에 관한 것으로 판단됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
- 귀하께서 요청한 광남안로 134 일원 배수로 준설 요청과 관련하여 21.07.09.(금)에 조치 완료하였음을 알려드립니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로관리과 도로관리팀 김슬기 주무관(☎760-4867)으로 연락주시면 성심껏 안내해 드리겠습니다. 감사합니다. 끝.
",2021-07-09,도로관리과
출근길 불법주차에 의한 사고위험,"저는 양벌리 마루들길 지역에 근무하는 사람입니다.
항상 출퇴근하는 길에 불법 주정차되어 있는 차량들 때문에 들어가는 차량과 나오는 차량에 의해 사고 위험이 매일 있습니다.
불법 주차를 하지 않는다면 충분히 차량이 두 대가 지나갈 수 있는 도로이기에 더더욱 강력한 대처가 필요해보입니다.
골목길 사이에 차선을 그리거나 중앙 분리대를 설치하여 불법으로 차량을 주차할 수 없게끔 조치바랍니다.
위치는 사진상으로 첨부해서 보여드리겠습니다.
위성사진으로도 불법 주정차가 되있네요 참;;
아무튼 정확한 위치는 경기도 광주시 오포읍 마루들길 35번길 35~120 사이 길입니다.",2021-07-07,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원에 대한 검토 결과를 다음과
같이 알려드립니다.

2. 귀하의 민원내용은 주정차 차량으로 인한 생활불편신고 사항으로 사료됩니다.

3. 귀하의 민원내용을 참고하여 도로교통법 제32조에 따라 주정차금지구역에 대해
단속반을 순회 순찰토록 하여 개선될 수 있도록 조치하겠습니다.

4. 답변 내용에 대한 추가 설명이 필요한 경우 광주시 교통행정과 황춘식 주무관(☎
031-760-2112)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


",2021-07-15,교통행정과
공무원 민원인에 대한 태도,"오늘 본인은 민원인의 자격으로 광주시청 산림과를 방문하였습니다. 행정처분 내역에 대해 소명하기 위해 담당 공무원을 찾아갔습니다. 설명을 하는 도중 저희가 받은 행정처분 내용이 잘못된 것이 있었으며 시청에서 허가를 받고 한 일조차 불법행위를 했다 처분한 사실을 알 수 있었습니다. 그러자 그럼 이건 철회하겠다는 대답을 들었습니다. 같은 과에서 허가 받은 사항조차 파악을 하지 않은채 행정처분을 했다는 것에 놀랄수밖에 없었습니다. 이에 대해 공무원은 소명을 하는 저의 말끝에 비웃음을 지었고 이의를 제기하자 숨을 쉰것 뿐일라는 어이없는 대답을 하였습니다. 누구든 비웃음과 숨쉬는것을 구분 할 수 있을 정도였고 그게 수차례 반복되었습니다. 혹여 저희가 잘못이 있어 행정처분을 받은 사항이라 할지라도 이런 태도를 보이는게 옳은지 궁금합니다. 저는 법에 관해서 알지 못하는 민원인입니다. 이에 대해 도움을 줄 수있는 곳은 광주시청 같은 관공서밖에 없는데, 이에 대해 문의하는 민원인에게 법 규정만 되풀이하며 강압적인 태도를 일관하는 공무원이 있는 곳이라면 어디에서 도움을받아야 하는지 궁금합니다.",2021-07-07,"1. 귀하의 가정에 행복이 가득하기를 기원합니다.
2. 귀하께서 국민신문고로 요청하신 민원내용은“불법 산지전용 절차 안내 시 공무원 태도 및 불법산지전용 원상 복구 명령 철회”와 관련된 것으로 판단되어 아래와 같이 답변 드립니다.

□ 회신내용(산림과)
- 귀하의 기분을 상하게 한 점 사과드리며, 향후「산지관리법」 상 불법 사항 및 행정절차 사항 설명 시 민원인 분들이 쉽게 이해하고 친절함을 느낄 수 있도록 노력하겠습니다.
- 아울러, 불법 산지전용 처분사전 통지 관련 제출하신 의견제출서를 검토한다고 했지 철회한 사실은 없으며, 처분사전 통지서 기한인 2021.07.26.까지 원상복구 관련 복구설계서를 제출해야 함을 알려드립니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 담당 부서인 산림과 주무관 김성영(☎031-760-2893)에게 연락주시면 친절히 안내해드리겠습니다. 끝.
",2021-07-11,산림과
한남공원묘에서 관리비를 받으면서 왜 잔디조성을 하지 않을까요?,"저는 1985년부터 한남공원묘에 할아버지,할머니를 모시고 5년마다 관리비를 내서 사용하고 있습니다.

작년에 봉분과 사성에 잔디가 없어 한남공원에 담당자에게 외규[장사 등에 관한 법률] ""제24조 법인묘지 등의 사용료 관리비의 신고 등"" 과 [장사 등에 관한 법률 시행규칙] ""제15조 사용료 관리비의 신고 등"" 에서 관리비는 잔디조성비가 포함되어 있음을 알려 드렸더니 한남공원에서 작년10월에 공사를 완료 했음을 저희에게 통보하였습니다.

근데 최근에 할아버지 제사로 묘소에 가보니 묘소의 봉분에는 잔디를 조성하였으나, 첨부파일에서 보듯이 사성은 아예 잔디작업이 안 된 것이 확인되었습니다.

한남공원 담당자에게 사성에 왜 잔디조성이 안 된 사유를 물어보니 [법률과 시행규칙]의 나온 잔디 조성비는 처음에 묘를 쓸때만  잔디조성하는 것을 의미한다는 정말 이해하기 어려운 답변과 관리비에 잔디조성비가 포함되어 있음을 법률 담당하는 보건복지부의 의견을 받아오면 사성에 잔디를 조성해 주겠다고 하였으며 또한 그렇치 않으면 별도의 유료비용을 내야 한다고 하였습니다.

저는 [법률과 시행규칙]의 관리비 항목에 표시된 잔디 조성비가 처음에 묘를 쓸때만 잔디조성 하는 것을 의미하는 것인지, 아니면 관리비를 내고 있다면 계속적으로 잔디조성을 받을 권리가 있는 것인지에 대한 답변을 명확히 알려주셨으면 합니다.",2021-07-06,"1. 귀하의 가정에 평화를 기원합니다.

2. 귀하께서 문의하신 민원(1AA-2107-0238545)은 [장사 등에 관한 법률 시행규칙] ""
제15조 사용료 관리비의 신고 등"" 에서 관리비는 잔디조성비가 포함되어 있음에도 한남공원 측에서는 공사를 하지 않았으며 잔디 관리를 위해 별도의 유료비용을 요구하고 있는 것으로 파악 됩니다.

3. [장사 등에 관한 법률 시행규칙 제 15조] 등을 검토 한 결과, 관리비에 잔디조성비가 포함됨을 알려 드립니다.

4. 기타 문의사항에 대하여는 노인장애인과 노인지원팀(☎760-2844)으로 연락주시면 친절히 답변 드리겠습니다. 끝.
",2021-07-13,노인장애인과
이배재로 도로재포장공사 문의,"안녕하세요, 코로나 방역으로 힘써주셔서 항상 감사드립니다.
다름이 아니라 며칠 전 탄벌동~목현동 초입까지 도로재포장공사가 진행된 것으로 알고 있습니다.
목현동 남은 부분(목현동 초입~이배재터널) 은 언제쯤 재포장공사 하는지 문의드립니다.",2021-07-06,"1. 안녕하십니까? 귀하께서 신청하신 민원(신청번호1AA-2107-0237115)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은「목현동~이배재터널 도로 재포장공사 시행여부」에 관한 것으로 판단(또는 이해)됩니다.
3. 귀하의 민원사항에 대하여 검토한 의견은 다음과 같습니다.
- 귀하의 민원지인 목현동~이배재터널 구간은 시민들의 도로이용 환경 개선을 위하여 현재 우리시 도로사업과에서 추진중인 성남~광주간 지방도 338호선 도로확포장공사 의 사업구간이며,
- 해당 구간에 대한 전면 재포장공사를 실시할 경우 중복공사로 인한 예산의 이중 투입에 대한 문제가 발생하여 현재로써는 재포장공사 계획이 없음을 알려드립니다.
- 다만, 도로확포장공사의 사업기간이 장기간 소요 될 것을 감안하여 귀하의 민원지를 확인 후 즉시 보수가 필요하다고 판단되는 사항(도로 패임, 포트홀 등)에 대해서는 빠른 시일 내 긴급 보수공사를 시행하도록 하겠습니다.
4. 귀하의 민원내용에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로관리과 도로보수팀 김기환 주무관(☏031-760-4496)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
",2021-07-08,도로관리과
번천초등학교 앞에 버스정류장을 만들어주세요. 아이들이 위험하게 등하교하고 있습니다.,"안녕하세요.
저는 번천초등학교 교사입니다.
저희 학교 아이들 중에서 38-19번 버스를 타는 학생들이 있습니다.
그런데 하교할때마다 버스정류장이 없어서 도보위에서 불안하게 버스를 기다리곤 합니다.
광주시청에서 아이들을 위해 버스정류장을 만들어주시면 좋을 것 같습니다.
감사합니다.",2021-07-06,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2107-0233243)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “버스승강장 쉘터 설치 요청”에 관한 것으로 판단 됩니다.
3. 귀하의 건의사항에 대해 검토한 의견은 다음과 같습니다.
가. 버스승강장 이용에 불편을 드려 대단히 죄송합니다.
나. 남한산성면 상번천리 산116-2번지 일원 번천초교.광주IC 버스승강장(38313) 쉘터 설치 요청 사항에 대하여
다. 현재 해당 위치 쉘터 설치에 대해 검토중이며 학생 등 시민 안전을 위해 신속하게 사업 추진될 수 있도록 노력하겠습니다.
라. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 대중교통과 대중교통팀 이동규 주무관(☏031-760-8793)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-07-13,대중교통과
교통약자를 위한 희망콜,"안녕하세요 저는 네자녀를 키우며 성남에서 베이비시터 일을하고 있는 맘입니다
그런데 저희 시어머니께서 뇌출혈로 쓰러지시면서 병원입원을 하셨었고, 지금은 광주 신현리쪽에(시누이가 홀로 돌보고 계시고 차없음) 거주하고 계신데요
병원진료나 외출이 필요할시 희망콜을 이용할 수 있다는 것을 알게 되어 신청을 하게 되었는데요
뜻밖의 상담중에 데려다주는 것은 가능한데 차편이 여의치 않으면 모시러 갈 수가 없다고 하네요
어머니가 걷는 것이 불편하시고 일반 택시를 타게 될때도 눈치가 보이고 힘들어서(비용포함) 신청을 하게 되었는데
정말 난감하네요 중증환자인 경우 데려다만 주고 모시러 오시지 않으면 어떻게 하라는 것인지
상담원은 자리가 없어서 무조건 안된다고만 하시고..
경증환자와 중중환자의 구분도 없이 무조건 자리 있으면 되고 없으면 나몰라라 하는 것이 이해가 안가네요
그래서 편도가 아닌 왕복이 필요한 환자의 경우는 의무적으로 가능 할 수 있도록 권의 드립니다",2021-07-06,"1. 귀하의 가정에 안녕과 행복을 기원합니다.
2. 국민신문고 민원(신청번호 1AA-2107-0218842)은 '귀로 운행 의무화 건의' 내용으로 이해됩니다.
3. 먼저, 우리시 교통약자 이동지원센터 이용에 불편을 드려 송구하게 생각하며, 건의사항에 대한 검토결과를 다음과 같이 알려드립니다.
가. 우리시는 2015년 교통약자이동지원센터(이하 희망콜) 운영 개시 후 지속적으로 희망콜 차량을 증차하여 현재 38대가 운행되고 있으며, 이용 대상자에 따라 평일 기준으로 2일 전부터 ~ 당일예약, 즉시콜 예약 등을 통해 운영되고 있습니다.
나. 따라서, 운영기준에 따라 귀로 운행에 대하여 예약 또는 즉시콜을 이용하여 이용할 수 있으나, 절대적 차량 대수의 부족으로 이용 대상자의 모든 운행을 지원하기는 매우 어려운 실정입니다.
다. 또한, 2021년 하반기를 목표로 경기도에서 광역이동지원센터 운영을 추진 중에 있어 경기도내 시·군의 운영기준이 일원화될 예정이므로, 현재 귀하의 건의사항을 반영한 운영기준 변경은 어려움을 알려드리오니 많은 이해 부탁드립니다.
4. 답변내용에 대한 추가 설명이 필요한 경우 택시화물팀 김재흥(☏031-760-8786)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-07-09,대중교통과
가로등 고장,"안녕하세요.
첨부한 빌라 단지 앞 전신주에 설치되어 있는 가로등 전구가 나간 것 같습니다.
해당 도로에 가로등이 협소하여 늦은 밤 귀갓길에 위험 및 시야 확보가 어려우니 빠른 조치 부탁 드립니다.
또한 현재 사진처럼 빌라 쪽으로 빛이 바로 비추어 취침 시 밝기로 인해 피해를 보고 있으니,
빛이 도로쪽 아래 방향으로 비출 수 있도록 조치 부탁드립니다.
감사합니다.
수고 하십시오.",2021-07-05,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2107-0188781)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 ""오포읍 새말길 149-18 일원 보안등 보수 및 방향조정 요청""에 관한 것으로 판단되며, 귀하의 질의사항에 대하여 검토한 의견은 다음과 같습니다.
가. 해당 보안등에 대하여 현장 점검 후 2021.7.9.일 조치 완료하였음을 알려드립니다.

3. 귀하의 문의에 대하여 만족스러운 답변이 되었기를 바라며, 그 밖의 궁금하신 사항은 광주시청 도로관리과 시설정비팀 이경미(☎031-760-2943)로 연락주시면 성심성의껏 답변 드리겠습니다. 끝.
",2021-07-22,도로관리과
