제목,내용,작성일자,답변,답변일자,담당부서
코로나로인한 보건소 신혼부부산전검사 중단에 대한 불만,"안녕하세요
작년에 결혼한 신혼부부입니다
저는 결혼후 올해부터 아기계획이 있어
경기광주시보건소에 산전검사를 하러 갔습니다
그런데 코로나로 인해 작년 2월26일 이후로
신혼부부산전검사가 중단됐다고 전달받았습니다
심지어 작년까지 모자보건사업 신혼부부 산전검사를
진행했던 초월보건지소도 전화로 문의해보니 올해부턴
신혼부부산전검사 와 엽산 제공등이 코로나 종식때까지
무기한 중단됐다고 하시더라고요?
이유는 경기광주시에 코로나 확진자가 많다는 이유였습니다
(심지어 경기광주시보건소는 확진자수와 상관없이 작년 2월26일이후 모두 중단된상태였음)
보건소에서 진행하는 산전검사는 무료이고
기본적으로 임신을 준비하는 신혼부부에게는 꼭 필요한 검사입니다
그런 검사를 코로나19때문에 못받는다는건 너무 무책임한거 아닌가요? 심지어 지역마다 모두 중단도 아니라는게 더 황당합니다
어떤 지역에서는 시행하고있고 어떤지역에서는 안되고
코로나 확진자수로인한 사업중단 인원수가 명시되어있는것도 아닙니다
전국에 모든 보건소에서 시행안하는것도 아닌데
주소지상 제가 사는 지역 보건소에서만 가능한 사업인데
이걸 이렇게 중단해버리시면 어떤지역은 혜택받고 어떤지역은 못받고있는건데 너무 불공평한거아닌가요?
산전검사는 산부인과에서 보건소에서 무료로 진행하는 기본검사를 제외하고 나머지 검사를 진행하는게 대부분입니다. 보통의 신혼부부 예비임산부들이 그렇게하고요.
이유는 비용때문입니다
보건소에서 받아야하는 모든 기본검사까지 산부인과에서 받게되면 비용은 10-30만원까지 병원마다 다르게 발생하게되니까요
그러니까 보건소에서 신혼부부들이 검진을 하고 예방접종을 하는건데 이런 모든 사업들을 단지
언제 종식될지도 모르는 장기적인 코로나로 중단했다는게
또 경기광주에서만 중단했다는게 불공평합니다.
사업중단에 대한 대책을 마련해주세요
코로나검사 후 pcr음성 확인된 사람들에 한해서
신혼부부산전검사를 시행가능하게 바꿔주시던지
불가한 지역은 주소지 상관없이 다른지역에서도 받을수있게 바꿔주시던지
아니면 아예 사업을 다시 시행시켜주시던지
그것도 아니면 보건소에서 무료로받는검사를 보건소에서 중단해서 산부인과에서 비용 지불하고 하는거니
기본검사에 대한 산부인과 비용을 경기광주시에서 부담해주시던지
어떤 대책이라고 마련해야된다고 봅니다
저출산 문제가 심각한 상황에서
나라에서 제공하는
임신 출산에 가장 기초가되는
신혼부부산전검사 사업까지
막아버리는건 아니라고 봅니다

대책마련 시급하고요
괜히 불평불만하는 민원이라고 치부해 그냥 지나치지마세요
이건 예비신혼부부들,신혼부부들 임신을 계획중인 모든 부부들에게 모두 해당되는 사항입니다
모자보건사업이 중단된 전 지역사람들의 불만입니다
코로나는 언제 종식될지모릅니다
코로나로 인해 왜 제가 세금내고 혜택도 못누리며
피해봐야하나요?

대책마련해서 연락주세요",2022-01-28,"1. 안녕하십니까? 광주시 발전에 깊은 관심을 가져주시는 귀하께 진심으로 감사드리며, 보건소 내 산전검사 중단으로 인하여 귀하께 불편을 드린 점에 대하여 진심으로 사과의 말씀을 드립니다.

2. 현재 광주시에서는 강도 높은 방역 조치에도 불구하고, 신규환자 다수 발생 등 지역 내 코로나19 확산세가 가파르게 증가하고 있는 상황으로 코로나19 집중 대응을 위해 보건소 검사업무가 중단된 상태로 산전검사 재개 여부는 미정임을 양해 부탁드립니다.

3. 업무재개 시 홈페이지를 통해 신속히 안내드릴 예정이며, 앞으로도 광주시보건소는 코로나19 극복 및 시민의 안전을 위해 최선을 다하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가적인 설명이 필요한 경우 광주시보건소 감염병관리과 문수희주무관(☎031-760-4767)에게 문의하여 주시면 친절하게 답변드리겠습니다. 감사합니다. 끝.
",2022-02-07,감염병관리과
씨제이대한통운 터미널,"저는 광주시 초월읍 산수로 642-70에 있는 씨제이대한통운 터미널동 2층(팻프랜즈 포함)에 있는 온라인2센터작업장에 대하여 민원을 제기하는 바입니다.

이곳에서 알바를 1년동안 하면서 알게된 내용입니다. 화장실 변기물을 내리면 거품이 역으로 올라오고, 세제 냄새가 심하게 납니다. 관계자 이야기에 따르면, 온라인2센터에는 약 10개 업체가 입점하고 있는데, 파손된 세제 등을 화장실에 몰래 흘려보낸다고 합니다. 심지어 그곳에는 쓰레기통이 있는데 악취가 매우 심합니다.

광주시는 상수원 보호구역입니다. 위 사업체에 의하여 광주시민들이 먹는 물, 사용하는 물이 오염되고 있을까 불안합니다. 광주시는 위 사업체에 대하여 폐기물 단속을 제대로 하고 있는지 철저히 확인바랍니다.

아울러, 온라인 상에서 올바로 시스템이 운영 중인데, 일반 국민도 알 권리가 있으니 확인 후 불법 사항이 있는지 확인 및 등록 부탁드립니다.

얼마 전 뉴스에서 충청도 모처의 씨제이 대한통운 폐기물 불법배출이 이슈가 된 것처럼 이곳 광주시에서도 이러한 일이 일어나고 있을까 심히 걱정되는 바입니다. 이런 일이 또 다시 발생하지 않도록, 철저한 조사가 필요하다고 봅니다. 그리고 대한통운직원이 이 사실을 알고도 묵시, 방관하고 있는지도 함께 조사 바랍니다.

철저한 조사 바랍니다.",2022-01-28,"안녕하십니까?
귀하께서 국민신문고에 신청하신(신청번호 1AA-2201-0923275)에 대한 검토결과를 다음과 같이 알려드립니다.
제보하신 현장은 초월읍 산수로 642-70 씨제이대한통운(주) 메가허브곤지암 사업장 2층에 소재한 팻프랜즈 등 사업장에서 이루어지는 폐기물 부적정 관리에 대한 내용으로 확인됩니다.
자원순환과에서는 ‘22.2.4.(금). 씨제이대한통운(주) 메가허브곤지암 사업장 전체에 대한 점검을 실시하였습니다.
씨제이대한통운(주) 메가허브곤지암에서 신고된 사업장폐기물은 폐합성수지류, 폐목재류 등으로 폐기물 수집·운반업체를 통해 적정처리하고 있으며, 올바로시스템에 적정기록 관리하고 있었습니다.
반품된 세제류 등을 화장실에 쏟아버렸다라는 주장에 대해 2층(팻프랜즈 포함) 사업장에 대한 점검결과 세제류 등을 투기하였다라고 인증할 만한 증거를 발견하지 못하였으며, 청소대행업 관계자와 청소시 사용되는 세제류 및 거품발생 등에 대한 검토결과 특이사항을 발견하지 못하였습니다.
자원순환과에서는 필요시 추가 지도점검을 통해 사업장폐기물 관리실태에 대한 단속을 실시 하겠습니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 자원순환과 주무관 심재왕(☏031-760-4672)로 연락주시기 바랍니다.
",2022-02-08,자원순환과
중간말 오디벨로 정류장 의자교체,"전 중간말 사는 직장인입니다 ᆢ하루종일 걷는직업이라 어디든 의자만 보면 앉고 싶어진답니다.
아침일찍 집을 나와 버스를 기다리는 시간이 많다보니 앉고 싶은데 중간말오디벨로 정류장은 곰팡이가 피어서 선득 못 앉겠더라구요 그리고 따뜻하면 얼마나 좋을까 그런생각에서 신청을 하게 되었습니다.
몸도 춥고 맘도 추운 이 겨울날 제 신청이 체택된다면 올 한해 그 따뜻함으로 한해 잘 시작 할것 같습니다",2022-01-27,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2201-0901831)에 대한 검토 결과를 다음과 같이 알려드립니다.
가. 먼저, 귀하의 노고에 깊은 감사의 말씀을 드립니다.
나. 해당 버스승강장의 의자에 대한 점검을 완료하고 부분 부식 등이 확인되어 교체 작업을 진행할 예정임을 알려드립니다.
다. 다만, 온열의자 설치는 여름철 이용자의 불편 및 유지관리의 문제로 인해 추가 설치는 지난한 상황으로, 향후 관련 설비의 개선 등으로 이용자의 불편이 해소될 경우 적극 설치를 추진토록 하겠습니다.
2. 버스이용에 불편을 드려 대단히 송구하게 생각하며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 대중교통과 대중교통팀 김재흥 주무관(☏031-760-8793)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-02-04,대중교통과
쌍동리 힐스테이트 공사 근처 미세먼지 측정 부탁드려요,"쌍동리 근처 미세먼지가 너무 심해요
집 창문도 길게 안 여는데도 먼지도 너무 많이 들어오고.
차도 일주일에 한번 기름 넣는 타이밍 보다 세차 해야하는 타이밍이 더 빨리 돌아와요",2022-01-26,"1. 귀 가정의 건강과 행복을 기원합니다. 귀하께서 국민신문고에 신청하신 민원(1AA-2201-0856304) 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 “초월읍 쌍동리 146-5번지 인근 공사장의 먼지로 인한 피해”에 관한 것으로 판단됩니다.

3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.
가. 『대기환경보전법』 상 공사장 미세먼지 측정에 관련된 별도의 규정은 없으며,

나. 귀하께서 제기하신 민원사항에 대하여는 현장관계자에게 전달하여 살수작업 철저 등의 관련규정을 준수하여 주민피해가 발생하지 않도록 행정지도 하였음을 알려드립니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 환경정책과 생활환경팀 김혜진주무관(☎031-760-5635)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
",2022-02-03,환경정책과
가로등 가동시간 조율 요청 건,"경기도 광주시 오포읍에 거주하고 있는 주민입니다.
매일 아침 7시 20분 정도에 출근을 하고 있는데, 이 시간에도 가로등이 꺼져 있어 길이 매우 어두워 불편하며 이로 인해 안전에도 문제가 될 수
있다고 항상 느끼고 있습니다.
어쩔 때는 가로등이 이 시간에 켜져 있기도 했는데, 대부분은 꺼져 있습니다.
요즈음은 동계시즌이라 해도 일찍 지고 늦게 뜨는데, 동계시즌에는 가로등을 좀 일찍 켜고 늦게 꺼주셨으면 합니다.
특히 경기도 광주는 도심을 제외하고는 도로 사정도 좋지 않고 매우 어둡습니다.
게다가 시골이라 보행자 보다는 차량에 우선을 둔 도로사정이 상당히 많습니다. 걷다보면 인도가 없어지는 경우가 허다하죠.
시민의 안전을 위해서라도 동계/하계시즌을 구분해서 효율적으로 가로등 가동 시간을 조율해 주시기 바라고, 언제부터 조율이 가능한지 회신해 주시기 바랍니다.",2022-01-25,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2201-0791383)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 ""오포읍 일원 가로등 타이머 조정 요청""에 관한 것으로 판단되며, 귀하의 질의사항에 대하여 검토한 의견은 다음과 같습니다.
가. 광주시에서 관리하고 있는 7,940개의 가로등은 일몰·출 시간을 고려하여 자동적으로 점·소등 되어 2022.02.07일 기준 【당일 18시 29분에 점등되어 익일 07시 04분에 소등】되고 있습니다.
나. 2022년도 가로등 전기요금 예산이 한정되어 있어, 2022년 예산 확보 후 광주시에서 관리하고 있는 가로등에 대하여 일몰·출 시기를 감안하여 점·소등 시간 연장을 추진할 예정입니다.

3. 귀하의 문의에 대하여 만족스러운 답변이 되었기를 바라며, 그 밖의 궁금하신 사항은 광주시청 도로관리과 시설정비팀 이경미(☎ 031-760-2943)에게 연락주시면 성심성의껏 답변 드리겠습니다. 끝.
",2022-02-07,도로관리과
쌍동리에 미세먼지 측정소 추가 요청드립니다.,"현재 쌍동1지구는 동광아파트 378세대, 초월 이편한세상 562세대, 초월 모아미래도 587세대, 초월 한라비발디 1,108세대 입주예정으로
빌라 및 다가구 주택을 제외하고도 아파트만 전체 2,635세대가 생활하고 있습니다.
추가로, 24년 초월 힐스테이트 약 1100세대까지 추가로 입주하며 지속적인 인구증가를 예측할 수 있는 지역입니다.
하지만, 가장 인근의 대기질 측정소가 광주시 경안동에 위치해있어 인구밀집직역으로부터 6km 이상 떨어져 있습니다. 따라서 쌍동리 주민들은 실질적인 동네의 대기질을 파악할 수 없는 상황입니다.
이에 쌍동리에 대기질 측정소(미세먼지 포함)을 신설하여 정확한 대기질 현황을 확인할 수 있도록 건의드립니다.",2022-01-24,"- 귀하의 가정에 행복이 가득하시길 기원합니다.
- “쌍동리에 미세먼지 측정소 설치”와 관련한 문의사항에 대하여 아래와 같이 답변을 드립니다.
- 미세먼지 측정망 설치 사업의 경우, 환경부 보조를 받아 추진한 사항으로 올해는 측정소를 추가로 설치할 계획이 없음을 알려드리며, 향후 수요조사시 의견 제출할 계획임을 알려드립니다.
- 현재 3개소의 미세먼지 측정망을 운영중으로 위치는 경안동 53-4(농협), 오포읍행정복지센터, 곤지암읍행정복지센터에서 측정하고 있음을 알려드립니다.
- 기타 궁금하신 사항이 있으신 경우 환경정책과(760-2858)로 문의하여 주시기 바랍니다.
",2022-01-26,환경정책과
측구 설치 반대,지금 저희 교회는 쌍용건설 더 플래티넘 아파트 건설로 인하여 엄청난 피해를 보고 있는 상황속에 있습니다. 저희 건물은 발파로 인하여 다 금이가고 물이 새며 창호의 틀이 다 틀어져서 비가 올때마다 비가 들어와서 곰팡이가 한두곳이 아니고 목사님께서 살고 계신 사택의 타일들은 다 떨어져있고... 이루 말할수 없는 억울한 상황속에 있는데 이제는 경관조경을 해야 한다며 저희에게 상의도 없이 사유재산인 땅에 포크레인이 들어와 작업을 하고 있고 또 없었던 측구를 설치를 해야 한다고 하는데 측구 설치시 우리 교회의 주일학교 아이들의 위험 상황들을 어떻게 책임지시려고 측구를 설치한다고 하시는지 저희는 이해를 할수 없을뿐더러 앞으로 측구안에 고인 더러운 물들로 인한 벌레들의 들끓는 상황들은 어찌하려고 측구를 설치한다고 하는지요? 정말 너무 화가나고 속상합니다. 제발 측구 설치를 철회해 주십시요 절대 반대합니다,2022-01-24,"1. 귀하의 가정에 행복이 가득하기를 기원합니다.
2. 귀하께서 국민신문고로 요청하신 민원사항에 대하여 아래와 같이 답변드립니다.

▣ 민원사항
- 초월읍 대쌍령리 450-48번지 일원 대쌍령1지구 지구단위계획구역 내 도시계획시설(경관녹지)의 배수로 위치 조정 요청

▣ 답변사항
- 요청하신 초월읍 대쌍령리 450-48번지 일원은 대쌍령1지구 지구단위계획구역 내 도시계획시설(경관녹지) 조성공사 중인 사항으로,
- 해당 민원사항에 대하여는 사업시행자에게 행정지도를 통해 배수로를 기존 교회와의 경계점에서 뒤로 1.2m 후퇴하여 협의하고 토공 작업하는 것으로 민원인과 합의하였음을 답변드립니다.
- 기타 궁금하신 사항은 공원정책과 공원사업팀(☎031-760-2034)으로 연락주시면 친절히 안내해드리겠습니다.

붙임 1. 민원신청서 1부.
2. 3호 경관녹지 민원협의사항 1부. 끝.
",2022-01-28,공원정책과
송정동 회안대로843 sk주유소 가변차로,"안녕하세요
송정동 회안대로843 sk주유소 가변차로에 주유 차량과 새차차량 통행차량이 뒤섞여 역주행 방향으로 도로를 막고있어 통행이안되어 매우 위험하고불편합니다.
갓길에는 새차후 불법주차하여 차닥으시는분들도 위험해보이고
옆에 상가 건물진입하기에도 꼭 주유소길을 거쳐야너무불편합니다
인도 부분을 건물쪽으로 붙여주시고
진입로를 만들어줄 방안을 만들어주시면 좋겠습니다
꼭 개선방안을 만들어주시길 광주시에 요청드립니다",2022-01-22,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(1AA-2201-0690204)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 “송정동 195-16번지 도로 이용환경 개선(보도 이격설치 후 차로 확보 등)”에 관한 것으로 이해(또는 판단) 되며, 민원사항에 대해 검토한 의견은 다음과 같습니다.
가. 민원지 일원 현장 확인 결과 해당 구간은 현재 설치되어 있는 인도 뒤편으로 건물 진출입을 위한 도로점용허가(가감속차로 설치)를 득한 사항으로 보도 이격설치(건물쪽) 및 차로를 확보하는 방안을 검토 하였으나,
나. 가로수, 가로등, 전신주 등 지장물 저촉으로 인한 이설 필요, 차로 확보 시 기 설치되어 있는 도로(국도45호선)와의 단차로 인한 절토 문제, 기 매설되어 있는 대형 상수관로의 저촉 등을 종합적으로 검토하여야 하는 사항임에 따라 단기간 내 어려움이 있음을 알려드리오니 이점 양해하여 주시기 바랍니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로관리과 도로보수팀 김기환(☏031-760-4496)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-02-14,도로관리과
우수로 덮개 추가 설치 요청,"곤지암리조트 아래 3거리(도웅리 99-16)에서 우회전시

도로에 있는 우수로 덮개 2개가 사라졌습니다.

자동차 바퀴가 빠질정도의 크기 이니

빠른 조치 부탁드리겠습니다.",2022-01-21,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호1AA-2201-0657284)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “도웅리 99-16번지 일원 그레이팅 보수 요청“에 관한 것으로 판단됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
- 귀하께서 요청한 도웅리 99-16번지 일원 그레이팅 보수 청과 관련하여 1.24(월) 조치 완료하였음을 알려드립니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로관리과 도로관리팀 김태진 주무관(☎760-4867)으로 연락주시면 성심껏 안내해 드리겠습니다. 감사합니다. 끝.
",2022-01-24,도로관리과
버스정류장 추가 보수 설치 요청,"안녕하세요,
버스정류장 38262번 '양벌3리 마을회관(양벌3리.현대주유소방면)' 추가 보수 설치 요청드립니다.
이미 몇년 전 새 것으로 바꾼거지만 사방이 뚫려있어서 바람도 너무 매섭고,
이미 그보다 더 전에 설치한 쌍령리 동성아파트 쪽은 미세먼지를 막을 수 있는 간이 방 형식의 정류장을 설치해줬음에도 불구하고
양벌리에는 바람도 막을 수조차 없는 예전 형식의 정류장을 설치를 해주어 이해가 가지 않습니다.
다행히도 의자는 히터가 가능하지만 바람막이라도 되는 것으로 추가 보수 설치 부탁드립니다.

확인부탁드립니다.",2022-01-18,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2201-0538435)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “양벌3리버스승강장(38262):현대주유소맞은편 가림막 등 설치 요청”에 관한 것으로 판단 됩니다.
가. 해당 위치의 버스승강장은 유효한 보도폭원내 보행교통에 지장이 발생하지 않는 범위 내 보도 일부를 활용하여 버스이용자에게 이용편의를 제공하고자 최소한의 규격으로 설치되었습니다.
나. 귀하의 불편사항은 공감되나, 해당 위치상 추가 시설을 설치하는 경우 보행교통에 지장이 초래하게 되어 추가 설치는 어려움이 있음을 알려드리오니 많은 이해 부탁드립니다.
3. 답변 내용에 대한 추가 설명이 필요한 경우 광주시 대중교통과 대중교통팀 김재흥 주무관(☏031-760-8793)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2022-01-19,대중교통과
