지역,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
,제주특별자치도 제안서 평가위원 자격조건 수정 및 확대 제안,"현황 및 문제점
현재 제주특별자치도 및 산하 공공기관에서는 효율적인 운영을 위해 제안서 관련 평가위원을 모집해 필요할 때마다 활용하고 있어 매우 적절하게 되고 있으나 자격조건을 살펴보면 2012년7월21일부터 “전임강사”교원의 직위가 없어졌음에도 교원으로 지정해 운영되고 있다는 것을 확인하였습니다.
개선방안
이에 따라 제주특별자치도 및 산하 공공기관에서는 평가위원의 자격조건으로 명시된 “전임강사”는 1.고등교육법 부칙 제2조제1항“전임강사는 이 법에 따른 조교수로 본다.”, 2.교육공무원법 부칙 제3조제3항“‘교수,부교수,조교수,전임강사’를 ‘교수,부교수,조교수’로 한다.”, 3.교육공무원임용령 제3조제13항“제5조의2제1항제1호 다목 중 ‘조교수 및 전임강사’를 ‘조교수’로 한다.”로 되어 있는 바 평가위원 자격조건에 ‘대학의 해당분야 관련학과 전임강사 이상인 자’의 내용중 1안) 전임강사→조교수 또는 2안) 전임강사→강사 수정해 정확한 조건을 게시하는 것이 적절합니다.
또한, 실제 대학에서 재직중인 강사의 수요 및 우수한 인적자원의 활용하는 차원에서 확대하는 방안도 마련해 운영한다면 매우 좋다고 봅니다.
(견본1) https://www.jejusi.go.kr/etcboard/news.do?mode=detail¬ice_id=083d185309334b36be5ae4b109f46fa3
(견본2) https://www.jejusi.go.kr/etcboard/news_dong.do?mode=detail¬ice_id=13dae9ea11e44371bafb1a9cdfbd18f4
기대효과
사문화된 전임교원의 직위가 묵시적으로 진행되는 것은 매우 적절하지 않고 명확하게 자격조건을 제시하지 않아 오해와 불신을 야기하지 않도록 향후 이러한 내용이 게시되지 않도록 지속적인 관심과 모니터링을 통해 시민에게 신뢰받는 공적행정이 될 수 있는 작은 단초가 될 것입니다.",2022-11-20,"국민제안(1AB-2211-0015345)로 접수된 민원사항에 대하여 아래와 같이 답변하도록
하겠습니다.

□ 답변내용
안녕하십니까? 귀하께서 국민신문고를 통해 제안하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

귀하께서 제출하신 제안의 내용은 「제주특별자치도 제안서평가위원회 구성 및 운영에 관한 규칙」 제2조(평가위원의 선정)에 명시된 전임강사 명칭에 관한 것으로 이해 됩니다.

귀하의 제안에 대한 검토결과는 다음과 같습니다.
전임강사 명칭 폐지에 따른 제안서 평가위원 자격조건 수정을 포함한 개정안은 현재 마련 중에 있으며, 제안하신 부분들이 반영되도록 노력하겠습니다.

답변 내용에 대한 추가 설명이 필요한 경우 회계과 고민경(☏064-710-6593)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2022-12-09,제주특별자치도,답변완료
,상수도 수질조정 자동드레인 장치 스마트하게 관리 철저히(관리 표지 부착),"현황 및 문제점
스마트 상수도 관리 체계는 수질, 수량, 수압 감시와 자동 배수설비, 정밀 여과장치 등을 관망에 설치해서 실시간 현황 감시 및 자동 관리가 가능한 시스템이다.
자동 배수장치(드레인)은 수돗물 공급과정에서 이상 수질 발생시 오염물질의 포함된 물을 자동으로 배출하는 장치로 실시간 모니터링 결과 수질 이상이 감지되면 신속하게 복구하는 것이 관건이다. 그런데 자동으로 배출된 물이 농지로 유입되어 무우 농가들이 피해를 입었음.
문제는 물이 자동으로 계속 배출되는데, 관리 부서를 찾지 못하여 3시간 이상을 그대로 배출시켜 관리에 문제점이 있음.
스마트 관망에 설치된 자동 수질측정장치는 24시간 수질을 점검하고 이상 수질이 발견되면 ‘자동 드레인 장치’를 작동시켜 문제가 된 관로에 자동으로 물을 배출하도록 한다.
개선방안
자동으로 물을 배출하는 과정에서 복구가 제대로 되지 않아 주변 농경지가 침수되는 사례가 발생하였다.
이상 수질이 발견되면 자동으로 배출하는 과정에서 관로를 우수관에 연결시키지 않고 그대로 배출하여 발생한 현상이라 할 수 있다.
자동 배수드레인 장치 관로를 그대로 노출 시키지 말고 우수관에 연결하여 배출되는 물로 인한 피해가 발생하지 않도록 개선해야함,
그리고 자동 배수드레인 장치 고장시에 빠른 조치가 필요한데 고장시에 신고를 할 수 있는 관리 표지판 설치 및 QR 코드를 부착하여 문제점 발견시에 빠른 신고가 가능하도록 개선하여 주시기 바랍니다.
기대효과
지역 상수도 시설물 스마트화로 시민들은 한층 깨끗한 수돗물을 먹을 수 있고, 철저한 물 관리로 안전한 물을 믿고 마실 수 있도록 물 관리 체계를 구축하는 것이다.
실시간 수량·수질 감시와 위기 신속대응으로 철저한 관리가 이루어짐.
수돗물은 우리 생활에 언제나 필요한 공공재이면서 건강, 위생과 관련된 필수재이기 때문이다.
파일1: 상수도 배전판에 관리을 위한 관리표지부착(고장시 신고 전화 및 QR 표지 부착으로 신속하게 신고함으로써 관리가 보다 스마트 하게 이루어짐)

파일2: 문제가 된 관로에 자동으로 물을 배출하는 과정에서 농경지로 그대로 배출되는 현상이 발생했는데, 관로를 우수관에 연결 시켜야 한.
파일3: 배출된 물이 농경지 침수로 이어짐.",2022-11-19,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 제안 1AB-2211-0014947에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안내용은 ""배출되는 물로 인한 피해가 발생하지 않도록 하고 관리표지를 설치하여 연락망을 구축""하는 것으로 이해됩니다.

3. 우선 문제가 발생한 서귀포시 표선면 오조리 367-6 자동드레인 오작동 로그 분석 및 제조사 합동 현장 점검 결과 수질계측기의 잔류염소 센서 이상이 원인임을 확인하였으며 자동 제어 시스템을 수정하여 일정 시간 이상 밸브가 열려 있을 때 관리자에게 문자 발송을 하여 경고를 보내고 동시에 밸브는 일정 시간 닫혀 자연유하 및 침투를 유도하도록 하였습니다.

4. 관리표지와 관련해서는 현재 제조사 연락처가 외함에 표시되어 있으나 상하수도본부 관리자 연락처도 추가로 표기할 예정입니다.

5. 자동드레인 시설 운영과 관련하여 제안해 주신 의견을 적극 반영하여 나갈 계획이며 앞으로 관리 체계를 강화하여 사고를 예방할 수 있도록 노력해 가겠습니다.

6. 소중한 의견을 보내주심에 감사드리며 추가 설명이 필요한 경우 누수방지과 강동혁 주무관(☏064-750-7918)에게 연락주시면 친절히 안내하여 드리겠습니다. 감사합니다. 끝.",2022-11-25,제주특별자치도,제안실현
,달러 및 짜투리 외국돈 모으기 운동 전개,"현황 및 문제점
.외국 여행후 소액 외화들이 각 가정 마다 사장되고 있다고 봄.(특히 달러)
.잔돈(소액)이기에 환전하기도 그만, 안해도 그만인 외화가 장롱속에서나 지갑속에서 잠자고 있다고 봄.
.국력 소비로만 판단하지 마시고 한 번만이라도 시도 해 보 았으면 함.(안된다고 무조건 포기하지 마시기를 바람.)
개선방안
. 국익 차원에서 외화보유가 국가 의무 이기에 제2 IMF 가
오지 않을것으로 보지 않기 때문에 미리 대비 하자는 것임.
. 외화 보유 및 나라빗이 조금이나마 상환이 가능할 것으로 봄.
. 위기는 순간이기에 예방 차원에서 절호의 기회라고 봄.
. 정부나 지자체에서 현 환율액이나 기회 차원에서 달러를 넉넉한 가격으로 매입하는 것도 국력에 바람직할 것으로 봄.
. 특히 달러에 관심을 가지고 각종 언론매체에 홍보나 매일 자막에 송출해 홍보로 인한 효과가 국력으로 모아야 한다 고 봄.
기대효과
. 해외여행을 좋아하는 국민 들이기에 버려진 많은 외화
동전, 지폐가 확보 될것으로 봄.
. 버려진 소액 이지만 국가 또는 지자체 특별사업으로 추진한 다면 나라빗 이나 지자체 빗이 다소 경감 될것으로 봄.",2022-11-15,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 제안 1AB-2211-0014947에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안내용은 ""배출되는 물로 인한 피해가 발생하지 않도록 하고 관리표지를 설치하여 연락망을 구축""하는 것으로 이해됩니다.

3. 우선 문제가 발생한 서귀포시 표선면 오조리 367-6 자동드레인 오작동 로그 분석 및 제조사 합동 현장 점검 결과 수질계측기의 잔류염소 센서 이상이 원인임을 확인하였으며 자동 제어 시스템을 수정하여 일정 시간 이상 밸브가 열려 있을 때 관리자에게 문자 발송을 하여 경고를 보내고 동시에 밸브는 일정 시간 닫혀 자연유하 및 침투를 유도하도록 하였습니다.

4. 관리표지와 관련해서는 현재 제조사 연락처가 외함에 표시되어 있으나 상하수도본부 관리자 연락처도 추가로 표기할 예정입니다.

5. 자동드레인 시설 운영과 관련하여 제안해 주신 의견을 적극 반영하여 나갈 계획이며 앞으로 관리 체계를 강화하여 사고를 예방할 수 있도록 노력해 가겠습니다.

6. 소중한 의견을 보내주심에 감사드리며 추가 설명이 필요한 경우 누수방지과 강동혁 주무관(☏064-750-7918)에게 연락주시면 친절히 안내하여 드리겠습니다. 감사합니다. 끝.",심사 중,제주특별자치도,제안심사
,한라산 등정 인증서발급제도 개선건의,"현황 및 문제점
한라산을 등정하려면 미리 예약신청을 한 후에 예약번호를 받아서 등정을 하고
등정을 마치면 정상에서 찍은 사진을 첨부해서
인증서를 신청하면 내려와서(성판악) 인증서를 출력하는 시스템으로 되어있습니다.
정작 인증서에는 인증사진이 들어가지 않습니다.
그런데 정상에서 인증사진을 찍으려면 줄을 서서 1시간 가량을 기다려야 해서
이점을 개선해야 할 것 같습니다.
정상에서는 피곤하고 춥고 바람이 많은데 줄을 선다는 것이 여간 고역이 아닙니다.
위험하기도 하구요.
굳이 인증사진을 보내지 않더라도 정상에 등정 QR코드를 핸드폰으로 인식만 하면
시스템에서 등정인증서를 카톡으로 보내주면 모두가 편리하게 한라산을 등정하고
인증서를 받을 수 있도록 개선을 부탁드립니다.
인증서 비용을 받는다면 결재시스템에서 결재를 하면 되겠지요?
시그템 개선이 어렵다면 인증사진 찍는 곳을 여러 개를 설치하여 장시간 기다리지 않고
인증사진을 찍도록 배려해주면 좋겠지요?
개선방안
굳이 인증사진을 보내지 않더라도 정상에 등정 QR코드를 핸드폰으로 인식만 하면
시스템에서 등정인증서를 카톡으로 보내주면 모두가 편리하게 한라산을 등정하고
인증서를 받을 수 있도록 개선을 부탁드립니다.
시그템 개선이 어렵다면 인증사진 찍는 곳을 여러 개를 설치하여 장시간 기다리지 않고
인증사진을 찍도록 배려해주면 좋겠지요?
기대효과
정상에서 대기시간이 없어서 편리하게 등정가능",2022-11-04,"1. 제안제목 : 한라산 등정 인증서 발급제도 개선 건의
2. 접 수 일 : 2022. 11. 04.
3. 제안요지 : 정상에서 QR코드 인증을 통한 등정 확인 및 인증서 발급 제안
4. 답변내용
- 안녕하십니까. 제주특별자치도 한라산국립공원관리소장 현윤석입니다. 한라산 등정인증서 관련하여 많은 관심과 좋은 의견을 주신데 감사의 말씀을 드립니다.
우선, 귀하께서 문의하여 주신 한라산 등정인증서는 인증사진의 GPS정보를 확인하여 백록담 반경 1km 내에서 찍힌 사진으로 확인되면 발급해 드리고 있음을 알려드립니다.
이에 따라 백록담 표지석 앞이 아닌 경우에도 발급이 되고 있으나, 해당 사실을 모르시고 표지석 앞에 장시간 줄을 서는 경우가 있어 백록담 정상에서 등정인증서 발급 안내 방송을 하고 있습니다. 앞으로도 발급방법에 대한 안내판을 제작·설치하여 해당 사실을 적극 홍보하도록 하겠습니다.
또한, 선생님께서 제안하여 주신 정상부 백록담 정상 표지석 추가 설치의 경우에는 한라산 백록담 정상 주변이 자연경관을 보존하기 위해 최소한의 시설만 설치할 수 있는 지역으로 추가설치에 어려움이 있으며, “정상 QR코드 인식을 통한 등정 인증”제안건에 대해서는 시스템 개선을 통해 가능한지 검토해 나가겠습니다.
이와 관련하여 추가적으로 문의사항이 있으시면 한라산국립공원관리소 성판악지소(064-725-9950), 공원운영팀 양혜열(064-710-7813)에게 전화주시면 성실하게 답변 드리겠습니다.
우리 제주특별자치도 도정업무에 관심을 가져주신데 대해 감사드리며, 앞으로도 좋은 의견 많이 제안해 주시기 바랍니다.",2022-11-09,제주특별자치도,답변완료
,제주도,"현황 및 문제점
제주도는 요즘 관광지로 다시 북적이고 있습니다.
제주도 만의 특색이 있는 벤치를 만들고 특색있는
벤치에 포토존으로 표시하면 좋을듯 합니다.
개선방안
제주도 만의 거리나 공원에 벤치는(해녀벤치.용두맘벤치.하루방벤치등)
기대효과
이렇게 특색있게 번치를 만들고 거기에 포토존표지를 하면 더 많은 사람들이 그 벤치에서 사진도 찍고 제주도에 왔다는 표시이고 sns에 더 많이 홍보를 할것 같습니다. 제주도 특색이 있는 벤치",2022-11-01,"1. 평소 시정 발전에 적극 협조하여 주시는 데 대하여 깊은 감사의 말씀을 드립니다.

2. 제주시청(공원녹지과)에서는 「도시공원 및 녹지 등에 관한 법률」제19조에 따라 도시공원을 관리하고 있습니다.

3. 도시공원의 시설물은 「제주특별자치도 공공디자인의 진흥에 관한 조례」에 따라 공공시설물의 표준디자인에 준하여 설치되어야합니다.

4. 도시공원 내 벤치는 다수가 이용하는 시설로, 보편적인 모양·규격으로 설치되어 있으므로 제안해주신 내용은 장기적으로 검토하여야할 사안으로 판단됩니다.

5. 제주시 도시공원에 대한 관심과 의견 제안에 감사드리며, 앞으로도 쾌적한 시설물 유지관리에 힘쓰겠습니다. 기타 문의사항은 제주시청 공원녹지과(064-728-3601~5)로 연락주시면 성심성의껏 답변 드리도록 하겠습니다.",2022-12-29,제주시,답변완료
,관광지 클린케어 제안,"현황 및 문제점
관광지 뿐만 아니더라도 어디에서든, 깨끗한 환경을 다함께 만들어 가보자는 취지로 사회구성원의 의식 수준 향상 및 참여 의식 에 대한 변화를 위해 조그만한 보탬이 되기를 기대하며 글을 씁니다.
사회구성원 모두가 지켜야 할 장소의 쓰레기 무단 투기 입니다.
개선방안
1.국내 관광지 입장시 종량제 쓰레기봉투 나누어주기
(입장료를 받는 장소,유인관리 하는 장소)
기대효과
입장료의 일 부분의 투자가 필요하지만, 종량제 쓰레기봉투를 나누어 줌으로서 사회구성원이 지켜야할 도덕에 대한 의식 수준이 향상 될거라고 확실한 기대를 하며 제안 드립니다.
(갖고간 쓰레기는 다시 가져와 쓰레기통에 버리기)
정착이 되고 사회구성원의 의식수준이 변화 되면 자연스럽게 기업들도 동참 할거라 생각 합니다.
감사합니다.",2022-10-31,"국민신문고를 통해 접수된 국민제안(1AB-2210-0020999)에 대하여 다음와 같이 답변하도록 하겠습니다.

다 음

안녕하십니까?

귀하께서 국민신문고를 통해 제안하신 1AB-2210-0020999에 대한 검토 결과를 다음과 같이 알려드립니다.

먼저 환경문제에 관심 가져주시고 제안을 해 주신 데 대하여 감사드립니다.

귀하께서 제안하신 관광지 입장시 종량제 쓰레기 봉투를 배부하는 내용은 귀하의 의견처럼 쓰레기 무단투기를 억제하고, 청정환경을 보전할 수 있는 좋은 제안으로 판단됩니다.

관광지 입장료의 일부를 쓰레기 종량제 봉투 무상지급에 투자하는 방안은, 관광지 입장료 산정시 종량제 봉투 비용은 포함되지 않으므로 입장료 인상이 불가피하고, 쓰레기를 버리지 않는 관광객도 부담하게 되는 문제가 있습니다. 폐기물 처리비용은 배출자가 부담하는 것이 원칙입니다. 이에 따라 도민 및 관광객에게 종량제 봉투를 구매하도록 하고 있습니다.

앞으로도 청정한 제주 환경을 보전해 나가기 위해 다각적인 노력을 기울이겠으며, 기타 궁금한 사항에 대해서는 생활환경과 폐기물관리팀(☎ 064-710-4303)로 연락하여 주시면 답변 드리도록 하겠습니다. 끝.",2022-11-08,제주특별자치도,답변완료
,도내 관광지 화장실 및 관광안내 표지판에 QR코드 확대로 제주 관광 홍보 필요,"현황 및 문제점
현재 제주도내 유명 관광지에 제주 관광을 알려주는 홍보물들이 부족한 실정으로 관광객들이 불편한 사항이다.
관광객들이 많이 찾는 성산일출봉, 만장굴 등 제주 직영 관광명소에 QR 코드 서비스가 확대 설치가 필요하다.
개선방안
관광객들이 많이 찾는 성산일출봉, 만장굴 등 제주 직영 관광명소 화장실 및 관광안내 표지판에 QR 코드 서비스가 확대 설치가 필요하다.

처음 온 낯선 관광지라 길을 찾기가 좀처럼 쉬지 않은 상황에 스마트폰을 꺼내 화장실 및 관광안내 표지판에 설치된 QR코드를 찍으면 바로 위치 및 주변 관광지를 알려준다.

따라서 관광객이 편리하게 접근할 수 있도록 QR코드가 추가된 화장실 및 관광안내 표지판에 QR코드에 영어, 일본어, 중국어도 첨부하여 외국인에게도 정보 확인이 가능하도록 개선이 필요함.

파일1. 화장실 안에 설치된 QR코드로 잠시 쉬면서 주변 관광지를 확인 할 수 있음.
파일2: 사람들 왕래가 많은 곳 보도블록에 설치된 모습.
기대효과
QR코드를 스캔해 접속하는 모바일 페이지에는 현재 위치에서 얼마나 떨어져 있는지, 상세 정보를 알려줌으로써 많은 관광객을 유치하는데 큰 효과가 있을 것으로 기대됨.

제주도를 찾는 관광객 및 지역주민의 편의 도모와 더불어 주변 관광지 홍보를 통한 지역경제 활성화에 기여할 것으로 기대됨,",2022-10-29,"국민신문고 국민제안(1AB-2210-0018621)건에 대하여 아래와 같이 답변하도록 하겠습니다.


1. 안녕하십니까. 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AB-2210-0018621)에 대해 검토결과를 다음과 같이 알려드립니다.

2. 귀하께서 제출하신 제안의 내용은 ""도내 관광지 화장실 및 관광안내 표지판에 QR코드 설치를 통한 제주관광 홍보""에 관한 것으로 이해됩니다.

3. 귀하의 제안에 대한 검토 결과는 다음과 같습니다.
가. 도내 관광지 홍보 방안으로 QR코드를 활용하는 것은 좋은 제안이라고 생각합니다.
나. 다만, 현재 도에서 운영 중인 공영관광지는 총 60개소로, 제주 관광지 정보를 포함한 QR코드 제작 및 부착을 위해서는 추가 투입 예산을 필요로 하므로, 장기적인 검토가 필요하다고 판단됩니다.
다. 귀하께서 제안해주신 사항에 대해서는 향후 우리 도의 재정여건, 관광지 홍보 파급효과 등을 감안하여 검토해 나가도록 하겠습니다.

4. 답변 내용에 대한 추가 설명이 필요한 경우 제주특별자치도 관광정책과 손혜정 주무관(☎064-710-3344)에게 연락주시면 성실히 답변토록 하겠습니다.
감사합니다.

끝.",2023-01-04,제주특별자치도,답변완료
,제주도 유기견 방지 정책 제안,"현황 및 문제점
유기견이 제주도에서 많이 일어나는 데
주인이 누구인지 알기 어려우며 유기견 문제로 청결한 이미지에 금이 갈 상황
개선방안
제주도에 방문하는 관광객은 방문에 가지고 들어가는 소지물품을 자세하게 적는다
동물이 있을 시 사진 등을 다 찍고 연락처 등을 기록을 하고
관광객을 맞이한다.

다시 제주도를 나가려는 관광객 중 동물과 함께 온 관광객에게는 들어 올 때 함께 온 동물과
함께 나가는지 등을 확인 한다.

만약 함께 못 나가고 관광객만 나간다면 차후에 동물 보호법 학대 등
법적 책임과
제주도에서 남아있을 동물이 발견이 되면 배송관련 비용과 동물 보호 관련 비용 까지 청구 한다.
기대효과
제주도에 들어오는 관광객에게 좋은 추억만을 남기고 가는 아름다운 제주를 만들 수 있다.

동물 보호에 앞장서는 제주도 이미지를 높일 수 있다.",2022-10-29,"1. 관련: 국민신문고 국민제안 [신청번호1AB-2210-0018358]
2. 국민신문고에 접수 된 국민제안 건의건에 대하여 아래와 같이 답변(불채택)을 등록하여 처리하겠습니다.
□ 건의내용
○ 유기동물 방지대책(공항만 동물 동행인 관련 확인 등) 제안
□ 국민제안 답변내용(불채택)
○ 안녕하십니까. 귀하께서 정책 의견으로 국민 제안하신 '제주도 유기견 방지 정책 제안'에 대하여 아래와 같이 답변드립니다.
○ 귀하의 정책 제안에 대하여 감사의 말씀을 드리며, 제안내용이 현재 필요한 정책임에는 공감을 합니다.
○ 다만, 현재 관련규정의 부재, 항공사 및 선사 등과의 협조 관계 등 현실적으로 당장 시행해 나가기에는 어려움이 있습니다.
○ 이와 관련하여 목 주변에 동물등록 칩을 이식하는 동물등록방법 외에 생체인식(안면 등) 기반 기술을 관련업체, 학계 등과 함께 개발해 나가고 있음을 말씀 드리며,
○ 생체인식 동물등록 기술이 개발 완료되면 공항·항만 등에서 도내 반입되는 반려동물에 대한 적절한 관리대책을 도입하여 활용하는 방안을 검토해 나갈 계획입니다.
○ 이외에도 유기동물 사전저감을 위한 중성화 수술지원, 동물등록 지원, 성숙한 반려문화 캠페인 등 유기동물 방지 정책을 상시 추진하고 있음을 참고로 알려드립니다.
○ 위와 관련하여 추가적으로 문의사항이 있으시면 제주특별자치도 동물방역과 김영곤(☏064-710-2665)에게로 연락주시면 성실하게 답변드리겠습니다. 감사합니다.
끝.",2022-11-25,제주특별자치도,답변완료
,제주공항 길잡이.,"현황 및 문제점
며칠전 육지 다녀오는길에 버스정류장에서 외국인 여성이 두리번거리는걸 보게되었다.
버스 노선표를 두리번거리며 핸드폰을 보는데 버스로 가는 행선지를 찾는것같았다.
가서 말을 건내보니 중문으로 어느곳으로가는 버스를 찾는다했다.
본인도 육지서 온지 얼마안되어 버스 노선 읽는것에 익숙치않았지만
주위분과 대화하여 외국인에게 도움을 줄수 있었다.

나도 외국서 살아봤지만 길 찾는것과 같은 사소한 도움도 외지인에겐 큰 도움이 되는걸 알고있다.
개선방안
공항은 넓지도 않으니 은퇴한 외국어 가능한 분들이 돌아다니며
외국인들의 버스타는것등.행선지로 가는 교통편 안내를하는것도
좋으리라 생각한다.
예산도 봉사를 바탕으로 하는거니까 식대와 교통비,음료대 정도로,
봉사시간도 체력안배를 하여 서너시간 정도로하면 노인들 사회참여와
건강한 생활에 도움이 되리라 생각한다.
또한 시니어들이 말을걸면 외국인들이 두려워하지도 않을거라 생각한다.
기대효과
개선방향으로 갈음함.",2022-10-28,"국민신문고 국민제안(1AB-2210-0017780건에 대하여 아래와 같이 답변하도록 하겠습니다


1. 안녕하십니까?
귀하께서 국민신문고를 통해 신청하신 민원(1AB-2210-0017780)에 대한 검토
결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 ""제주공항에 외국어 가능한 가능한 노인 자원봉사자 배치,
교통편안내요원 배치 필요성“에 대해 제안하신 내용으로 이해 됩니다.

3. 우선, 제주의 공·항만과 도내 주요관광지에 안내센터를 운영하여 외국어 가능한
직원을 배치하여 국내·외 관광객 대상 전문적인 관광정보 및 편의서비스를 제공
하고 있으며, 제주관광정보센터에서는 제주관광안내를 비롯한 불편신고 뿐만
아니라, 언어소통이 어려운 외국인 대상 제주 관광 정보를 안내하고 있으며,
다국어로 채팅 번역 서비스 등을 제공하고 있습니다

- 귀하께서 제안하신 내용은 한국공항공사 제주지역본부, 제주관광공사, 제주특별
자치도관광협회와 사업의 필요성 및 효과성에 대한 의견을 수렴하여 필요시 배치
하는 방안을 검토하도록 하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 귀하께서는 민원 처리결과에
대한 만족도 여부에 참여하실 수 있습니다, 또한 답변 내용에 대한 추가 설명이
필요한 경우 관광정책과 고순정 주무관(☏064-710-3317))에게 연락주시면 친절히 안내하여 드리겠습니다.
감사합니다.",2022-11-28,제주특별자치도,답변완료
,자가구동 수동기어 킥보드로 국민생활체육증진,"현황 및 문제점
전동 킥보드로 운동효과 기대못함
개선방안
곳곳의 공원이나 체육시설도로 통해서. 누구나
수동기어 킥보드로 안전하게 운동을 즐긴다
기대효과
각지역의 상권활성화에도 기여되며 척추 운동에도
큰 효과",2022-10-19,"1. 관련
가. 국민신문고 국민제안 신청/접수 1AB-2210-0011611/2AB-2210-0008371(2022.10.19.)호

2. 귀하께서 도정발전을 위해 의견을 주심에 감사드리며, 요청하여주신 국민제안 '자가구동 수동기어 킥보드로 국민생활체육증진'에 대하여 다음과 같이 안내드립니다.

3. 자가구동 수동기어 킥보드의 활성화를 위한 제도개선등에 대하여는 체육활동에 있어 운동수단의 선택은 개인의 자율적인 문제로 도 조례, 지침 등으로 규정하기 곤란함을 양해하여 주시기 바랍니다.

4. 다만, 도내 공공체육시설을 확충 또는 개선할 시 귀하께서 제시하여 주신 내용을 참조하여 더 나은 방안이 마련될 수 있도록 하겠습니다. 감사합니다. 끝.",2022-11-24,제주특별자치도,답변완료
