제목,내용,작성일자,답변,답변일자,담당부서
"용강사거리 교통혼잡 및 스타벅스, 탑텐, 탑마트 앞 도로 사고 위험","안녕하세요.
경주 용강사거리 교통 혼잡은 예전부터 있어왔지만, 갑자기 생긴 스타벅스, 탑마트, 탑텐으로 인해 주변 도로는 사고의 위험성도 많고, 주변을 통행하는 시민들은 차량의 증가로 매우 불편하고 위험한 상황들이 많이 생깁니다.
우선, 포항방면에서 스타벅스쪽으로 진입을 하기가 어렵습니다. 그리고 용강파출소쪽으로 진입을 하더라도 양쪽 시야 확보가 잘 안되어 사고의 위험성도 많습니다. 최근에는 탑텐의 주차차량, 스타벅스, 탑마트의 진출입 차량이 많아져서 접촉사고도 가끔 목격을 하였습니다.
특히 아이들이 자전거를 타고 많이 다니는데 차량이 양방향으로 오면 늘 조바심을 갖고 아이들에게 조심을 시키고 있습니다.
용강파출소 뒤 동네인 용강상리 주민들(저희 어머니 포함)도 차량의 증가 및 사고 위험성, 주차 공간 부족 등으로 많이 불편해하고 있습니다.
조용하고 안전한 곳이였든 용강상리에 맥도날드, 탑텐, 스타벅스, 탑마트가 생김으로 주차공간 부족, 소음, 위험 상황이 많아져서 단,장기적으로 이곳에 대한 특별한 대책이 있는지 궁금합니다.
그리고 용강사거리 교통 혼잡은 (저의 짧은 지식으로) 회전교차로가 사고율도 적다고 하든데... 이 곳에 적용하는 어떨까요?
늘 시민들을 위해 애써 주신 점 미리 감사드립니다.",2022-04-22,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2204- 0688264)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 '용강파출소 앞 이면도로 주차공간 부족 등에 대한 대책 여부 문의 및 용강네거리 회전교차로 설치 요청'에 관한 것으로 판단되며, 귀하의 건의사항에 대하여 아래와 같이 답변드립니다.
가. 최근 들어 용강네거리의 교통량이 증가한 것은 사실이나 공공도로를 사용하는 차량의 통행을 제한할 수는 없으므로 즉각적인 조치는 어려울 것으로 판단됩니다. 특히 주차문제는 관내 시가지 모든 지역의 공통적인 문제이며, 주차공간 확보는 주차 수급실태조사, 공공성, 입지타당성 등 종합적으로 검토 후 장기적으로 추진하여야 할 사항입니다. 주차, 소음, 도로구조개선 등에 대하여 관련 부서 별로 지속적으로 현장상황을 모니터링하여 불편·위험사항을 개선할 수 있는 방안을 강구하기 위하여 노력하겠습니다.
나. 회전교차로는 신호교차로에 비해 상충 횟수가 적고 저속으로 운영되어 사고빈도가 낮으며, 인접 도로 및 지역에 대한 접근성을 높여주고, 지체시간이 감소되어 연료 소모와 배기가스를 줄이는 등의 장점이 있습니다. 하지만 회전교차로가 모든 교차로를 대체하여 그 효과를 극대화 할 수 있는 것은 아니며, 교통통행량, 교차로면적, 접속도로, 주행속도 등을 고려하여 적합한 지역에 설치되어야 합니다.
국토교통부의 「회전교차로 설계지침」에는 ‘회전교차로 설치가 금지되는 경우’를 다음과 같이 명시하고 있습니다.
① 확보가능한 교차로 도로부지 내에서 교차로 설계기준을 만족시키지 못하는 경우
② 첨두 시 가변차로가 운영되는 경우
③ 신호연동이 이루어지고 있는 구간 내 교차로를 회전교차로로 전환 시 연동효과를 감소시킬 수 있는 경우
④ 회전교차로의 교통량 수준이 처리용량을 초과하는 경우
⑤ 교차로에서 하나 이상의 접근로가 편도 3차로 이상인 경우
상기 내용을 바탕으로 검토하여 볼 때, 용강네거리는 4개의 접근로 중 3개가 편도 3차로 이상이고, 교통량 수준이 일평균 약63,000대로써 처리용량이 가장 큰 2차로형 회전교차로의 처리용량인 32,000대를 초과하며, 회전교차로 설치에 필요한 부지면적을 확보하기 어려우므로 용강네거리의 회전교차로 적용은 곤란하다는 점을 알려드립니다.

3. 귀하의 요청사항을 수용하여 드리지 못한 점 양해 부탁드리며, 답변 내용에 대한 추가 설명이 필요한 경우 경주시청 교통행정과 교통시설팀(☏054-779-6842)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-05-03,교통행정과
경주문화관광 홈페이지 오류 건,"경주 여행을 계획중에 경주시 홈페이지를 확인하다가 문화관광 카테고리를 확인하던 중,
숙박>한옥호텔>온마루(숙박업체명)로 들어갔습니다.
온마루라는 업체의 홈페이지를 클릭하니까 성인용품점으로 연결이 되더군요.

확인하셔야 할 거 같아서 알려드립니다.

수고하세요.",2022-04-22,"1. 평소 시정발전에 관심을 가져주신데 대하여 감사드립니다.
2. 귀하께서 신고하신 문화관광홈페이지의 한옥호텔 온마루의 홈페이지 주소를 수정을 하였습니다. 끝.

붙임 1. 민원신청서.
",2022-04-26,정보통신과
안강읍 산대리 일대 악취로 생활에 지장이 많습니다,"안녕하세요
최근 안강읍 산대리로 이사왔습니다.
일주일에 한번 이상의 빈도로 안강읍 산대리 일대 전역에 걸쳐 주로 밤에 악취가 아주 심합니다.
오늘은 4월 21일 이며 저녘 9시경인데 창문을 열수가 없습니다
지금은 봄이라서 창문을 열지 않아도 되지만 여름엔 창문을 열지 않고는 살수가 없는데 어찌해야 합니까
악취는 비단 불쾌감 만을 주는 것이 아니라 오염 물질로 인한 건강상의 심각한 영향을 동반하고 정신적 피해까지 더하여 주민의 건강과 삶을 위협합니다
악취의 진원지를 찿아 해결해 주시면 고맙갰습니다.",2022-04-21,"1. 평소 시정발전과 환경보전에 협조하여 주신데 대하여 감사드립니다.
2. 귀하께서 국민신문고로 제기하신 민원내용은 2022.04.21. 21시 경 산대리 일대에 두류공업지역 악취로 인한 불편신고로 이해되며 다음과 같이 답변 드리겠습니다.
3. 귀하께서 말씀하신 내용과 관련하여 우리 시에서는 4월 22일 오전 두류공업지역으로 출장하여 악취유발사업장을 대상으로 지도점검을 실시하였습니다. 아울러, 악취배출허용기준을 초과하는 사업장에 대하여 적법한 조치를 하도록 하겠습니다. 기타 문의 사항이 있는 경우 경주시청 환경과(054-779-6369)로 연락 주시기 바랍니다. 끝.
",2022-04-28,환경과
영천호국원으로 가기 위해 심곡로 이용중 도리마을에서 영천 경계지역까지,"도로주변에 쓰레기가 방치되어 있습니다.

청소 부탁드립니다.",2022-04-21,"1. 평소 시정발전에 관심을 가져주신 점에 감사드리며, 귀하께서 국민신고를 통해 신청 하신 민원(1AA-2204-0623743)에 대한 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 경주시 서면 도리마을에서 영천호국원 방향 도로변 무단투기 쓰레기 수거 요청건으로 도로변 환경정비하여 쓰레기를 수거하였으며, 향후 꾸준한 환경순찰로 쓰레기불법투기 단속 및 환경정비로 도로변을 깨끗하게 유지하도록 하겠습니다.
3. 귀하의 질문에 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우 서면행정복지센터 생활지원팀(054-779-8327)으로 연락주시면 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-04-27,서면
어린이 놀이터_황성공원,"안녕하세요
불철주야 시정을 운영하시느라 고생이 많으십니다.
다름이 아니라 자라나는 어린이들이 더욱 활기차게 자라고 재미있게 놀 수 있도록 어린이 놀이터에 대해서 건의를 드리고자 합니다.
각 아파트에 놀이터가 있지만 규모가 작아서 주말이나 공휴일에 아이들이 뛰어 놀 수 있는 공간이 없어서 상당히 아쉬운 부분이 있습니다.
실내에서는 키즈카페 같이 것들이 있지만 확실히 실내와 실외는 다른 부분이 많고요
잔디도 밟으면서 다른 아이들과도 상호 작용을 할 수 있는 그런 공간이 있었으면 좋겠다는 바램입니다.
예를 들면 화랑마을에 가면 위쪽에 놀이터가 몇 개가 있는데, 그래도 규모가 있는 편인데 경사가 심해서 아이들이 놀기에 다소 위험한 부분이 있고요
그리고 울산 태화강의 국가정원 내에 놀이터가 많이 있는데, 규모도 크고 다양해서 아주 어린 아기에서 부터 초등학교 다니는 아이들까지 다양하게 즐길 수 있더라고요
우리 경주 황성공원에도 이런 정도의 규모의 놀이터가 있으면 아이들도 좋고 부모들도 상당히 좋아할 것 같아요
그리고 햇빛을 피하는 파라솔 시설과 같이 푸드트럭이나 지역특산물 가판대 같은 것도 같이 운영하면 좋지 않을까 생각합니다.

제 제안을 읽어 주셔서 감사합니다.
더욱 더 우리 자라나는 아이들이 맘껏 뛰어놀고 건강하게 자라는 세상이 되었으면 하는 바램입니다. ^^",2022-04-16,"국민신문고에 접수된 민원(1AA-2204-0466183)에 대하여 다음과 같이 회신하고자 합니다.

○ 회신내용
1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 : 1AA-2204-0466183)에 대한 검토결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “황성공원 내 어린이놀이터 조성 건의”에 관한 것으로 이해됩니다.
3. 귀하의 건의사항에 대해 검토한 의견은 다음과 같습니다.
가. 공원은 종류에 따라 녹지면적 및 시설면적 등이 제한되고 있으며,
나. 근린공원인 황성공원은 현재 시설면적이 39.9%로(40% 이하) 신규시설 설치가 불가함을 양해하여 주시기 바랍니다.
다. 참고로 황성공원 내 어린이 휴양 및 정서생활 향상을 위한 복합놀이시설(물놀이장) 및 어린이 교통안전교육장이 설치되어 있음을 알려드리며, 귀하의 건의사항은 별도 어린이공원 조성계획 등에 반영될 수 있도록 적극 검토하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우 우리 시 도시공원과(☎054-779-8788)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
붙임 황성공원 조성계획 1부. 끝.
",2022-04-21,도시공원과
경주읍성 관리실 화장실 사용불가,"2018년 11월 경주시 동부동에 위치한 경주읍성이 완공식을 가지고 경주시내의 대표적인 문화재로 자리하고 있다.
문화재를 지키기 위한 관리실 및 관리원까지 근무를 하며, 넓은 경주읍성을 관리하고 있다
찾아오는 관광객도 있지만 문화행사도 매월 진행되고 있음을 지켜보고 있는데...
2022년에 1월경에 관리동을 이전확장하면서 화장실을 처음으로 만들었다.
그러나 아직 사용불가라 한다.
많은 사람들이 경주읍성을 찾았다가 화장실을 사용하지 못해 불편함을 느끼고 있는데....
아직도 사용승인이 나지않아 사용불가라는 종이쪽지만 붙여놓고 개방을 하지 않고 있다

과연 관리하는 부서에서는 무엇때문에 사용을 못하게 하는지...
그리고, 문제해결이 그렇게도 어려운 일인지 정확한 이유를 알고싶고
해결할 수 있는 의지가 있는지 확인하고 싶다.
관리동 설치 이후 사용불가인 이유와 해결책을 빠르게 제시해 주길 바란다.",2022-04-15,"1. 평소 시정에 많은 관심과 협조에 깊은 감사를 드립니다.
2. 귀하께서 국민신문고를 통해 신청하신 민원『읍성 화장실 개방 요청』에 관한 것으로 이해되며 요청사항에 대해 검토한 의견은 다음과 같습니다.
3. 4월 15일 문화재과에서 사적관리과로 운영관리 이관 받았으며, 전면 개방 전 보수공사를 진행할 예정입니다. 보수공사를 빠른 시일 내에 완료하여 이용하는데 불편함이 없도록 하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사적지보호팀 (☏054-779-8751)으로 연락 주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2022-04-23,사적관리과
경주시 황성동 보행로 확보관련 도로 개선요청,"경주시 황성동 보행로(인도) 부족 및 상태 문제로 보행자 안전문제 및 통행의 불편 야기되고 있음

거동이 불편한 장애인 및 유아 유모차 사용자는 이동이 불가한 상태임(보행로 폭 좁음, 연석으로 보행로 진입 어려움)
해당시(경주) 최고 인구 밀집 주거지역임에도 불구하고 보행로 확보수준이 매우 미흡함
그래서 보행자가 공도를 이용하면서 교통사고 발생 가능성 높음

상기 문제로 보행자 뿐만아니라 도로를 이용하는 차량 운전자 또한 안전사고 발생 노출 및 이용에 불편함

황리단길 보행로 확보를 위해서 도로를 일방통행으로 변경하고 보행로 재공사는 진행하고
보행자가 거의 없는 외곽지역 보도블록은 매년 갈아엎으면서
정작 주거 최대 밀집지역의 보행자 안전 확보와 통행의 편리함을 위한 보행로 개선문제에는 몇십년간 전혀 개선된 점이 없음.

적어도 2인이 나란히 걸을수 있고 누구나 안전하게 통행의 자유로움을 누릴 수 있는 정도의 보행로 확보 및 개선이 시급합니다.",2022-04-14,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2204-0396445)에 대한 검토결과를 아래와 같이 알려드립니다.

2. 귀하의 민원 내용은 “황성동 일원 보행로 확보 요청”에 관한 것으로 이해되며, 아래와 같이 답변드립니다.
- 황성동 일원 도로는 인도폭 협소 등으로 안전한 보행환경 조성을 위해 도로정비가 필요한 것으로 판단하고 있으나, 인도 설치(확장)를 위해 일방통행의 지정(주정차 금지) 또는 노상주차 공간의 폐지 등 교통여건의 변화가 필요한 실정으로 당장 시행에는 어려움이 있음을 양해하여 주시기 바라며,
- 추후 교통관련 기관 및 부서 협의를 통해 보행로 확보를 적극 검토하고자 하오니 양지하여 주시기 바랍니다.

3. 답변내용에 추가 설명이 필요한 경우 경주시청 도로과 도로정비팀(☏779-6455)으로 연락주시면 친절히 안내해 드리겠습니다. 감사합니다. 끝
",2022-05-03,도로과
횡단보도 신호등 고장,용강공단 공단로 초입 횡단보도 신호등 고장으로 보행자 통행 불편 및 차량 우회전 진행 불편,2022-04-13,"1. 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2204-0396102)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 검토 결과
가. 민원요지 : 황성동 835-8앞 강변로 횡단보도 신호등 고장
나. 조치사항 : 정상적으로 수리 완료
3. 시정에 관심을 가져주신데 대하여 감사드리며, 궁금하신 사항은 경주시 교통행정과(054-779-6843)로 문의하여 주시기 바랍니다.
",2022-04-19,교통행정과
가로등 수리,"집 앞의 가로등이 고장나서 밤길이 위험하다고 생각됩니다. 수리 부탁드립니다.
위치: 용강동 소금강로 57번길 7 (경동하이츠 8차 앞 음식물 쓰레기통 바로 옆 가로등)",2022-04-07,"1. 평소 시정발전에 협조하여 주셔서 감사드립니다.

2. 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2204-0195090)을 확인하였으며, 유지보수업체에 수리 요청하여 조치 중임을 알려드립니다.

3. 불편이 초래된 점 양해 부탁드리며, 기타 궁금하신 사항은 용강동행정복지센터(054-779-8445)로 문의하여 주시기 바랍니다.


붙임 민원신청서 1부. 끝.
",2022-04-12,용강동
재활용 폐기물 수거,"경주 서라벌골프클럽 관리팀 강서윤주임입니다.
저희가 재활용쓰레기(스티로폼, 캔, 유리병, 플라스틱)를 각각 분리하고 있습니다.
재활용쓰레기를 수거해주셨으면 좋겠습니다.",2022-04-06,"1. 평소 우리시 청소행정 업무에 협조하여 주심에 감사 드립니다.

2. 귀하께서 국민신문고를 통해 접수하신 민원(1AA-2204-0164959) “서라벌 골프클럽 재활용쓰레기 수거 요청” 건에 대하여 다음과 같이 답변 드리겠습니다.

3. 귀 사는 「폐기물관리법」 제17조 규정에 따른 사업장폐기물을 배출하는 사업자로서 동법 제18조 규정에 의거 사업장에서 발생하는 모든 폐기물은 동법에 따라 폐기물을 스스로 처리하거나 관련 처리업의 허가 받는 자 등에게 위탁처리 하여야 하며,

4. 기 신고된 사업장폐기물 종류 외 추가로 배출되거나 폐기물 처리계획 등이 변경된 경우 사유 발생일로부터 1개월 이내 변경신고를 득하셔야 합니다.

5. 귀하의 신고민원에 만족스러운 답변이 되었기를 바라며, 기타 궁금한 사항이 있으시면 경주시청 자원순환과 779-6693으로 전화주시면 성실히 답변 드리겠습니다.
감사합니다.

붙임 1. 민원신청서.
",2022-04-13,자원순환과
경주시 김유신 장군묘 벚꽃길 노점상 소음 방지를 위한 앰프 사용 불가 요청,"경주시 김유신 장군묘 벚꽃길은 그 아름다움을 자랑하며 경주시민 뿐만 아니라 인근지역의 벚꽃 장관장소로 사랑받고 있습니다.

하지만 벚꽃철에 줄지어 있는 노점상들은 그 아름다움을 만끽하는데 큰 방해가 되고 있습니다.

예전에 비해 일괄적으로 정리된 모습이라
개인적으로는 경주시 소상공인도 아닌 외지상인들이 특색도 없이 음식냄새를 풍기며 불빛등으로 미관을 해치는게 그닥 반갑지는 않지만
그런음식도 즐기는 사람이 있으니 필요할 수도 있겠다. 라는 생각도 합니다.

하지만, 앰프를 크게 틀어 시작길부터 끝까지 울려퍼지는 큰 품바, 음악 소리는
지인들, 가족들과 도란도란 대화에도 방해가 되고
벚꽃장관을 헤치고 있습니다.

따라서 앰프사용을 불가하도록 요청드립니다.",2022-04-05,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 ‘흥무로 벚꽃길 노점상 소음으로 인한 불편’에 관한 것으로 판단됩니다.

3. 귀하께서 건의하신 민원에 대해, 현장 방문하여 해당 노점상측에 앰프 소음으로 인한 민원내용을 전달하였으며, 소음피해가 발생하지 않도록 행정지도 하였습니다. 앞으로 벚꽃시즌동안 관련부서와 협조하여 지속적인 점검 및 계도활동을 통하여 시민불편이 없도록 최선의 노력을 다하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로과 도로행정팀(☏054-779-6485)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.


",2022-04-13,도로과
고분 잔디 주차장사용 맞나요?,"안녕하세요

주말맞이 산책삼아 걷다가 의아한일이 생겨 문의 드립니다.

월성초등학교 맞은편 고분(지도상으로는 금관총 옆 대릉원 일원이라고 나오네요)앞을 지나가는데

금관총 공사하는 틈 옆으로 차들이 진입하더니 잔디밭 위로 차들이 수십대가 주차되던데

저뿐만아니고 지나가는 주민분들도 저게뭐야?하고 지나가시더라구요

주차금지 팻말이 있는것도 아니고 벚꽃시즌 맞이 주차자리 찾기가 어렵긴 하겠지만

관리된 잔디와 고분 바로 옆에 이렇게 주차 하는것이 맞는지 의문이 들어 문의드립니다.

주차해도 상관 없으면 이 민원은 필요가 없을것이고

그게 아니라면 주차금지 표시 및 차들이 진입 못하게 하는 구조물 설치등을 요청드립니다.",2022-04-04,"1. 평소 시정에 많은 관심과 협조에 깊은 감사를 드립니다.
2. 귀하께서 국민신문고를 통해 신청하신 민원『노서리 고분군 내 주차』에 관한 것으로 이해되며 요청사항에 대해 검토한 의견은 다음과 같습니다.
3. 현재 왕경조성과에서 금관총 공사를 추진하고 있으며 그와 관련하여 공사차량이 출입을 하면서 기존에 설치된 볼라드를 제거하고 퇴근한 것으로 확인이 되었습니다.
4. 문화재구역 내 주차를 방지하기 위하여 공사관련 업체에 교육을 요청한 상태이며, 이와 별개로 관련부서와 협조하여 지속적인 점검 및 계도활동을 통하여 ""살기 좋은 경주""를 만들도록 최선을 다하겠습니다.
5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사적지보호팀 (☏054-779-8751)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-04-08,사적관리과
청소 인력 파견 요청,환경 개선을 위한 청소 인력 파견을 요청합니다,2022-03-25,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2203-0747279 )에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은“환경정비” 에 관한 것으로 판단됩니다.
3. 귀하의 민원사항에 대한 처리 결과는 다음과 같습니다.
4. 문의주신 환경정비 대해서는 정비를 실시하도록 하였으며, 지속적인 관리를 통해 깨끗한 거리가 될 수 있도록 노력하겠습니다.
민원사항에 만족스러운 해결이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 동천동행정복지센터(☏ 054-779-8484)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 민원신청서 1부. 끝.
",2022-03-28,동천동
'경주 시민되기 전입지원 혜택',"경기도 평택시에서 2년 이상 거주하다가 올해 1월, 경주의 부모님 댁으로 귀촌을 결정하고 내려왔다가 행정복지센터에서 한 책자를 보고 귀촌 시 이사비용을 지원받을 수 있다는 걸 알고 경주시 농업진흥과에 연락했지만 이삿짐 센터를 이용한 증빙자료가 있어야 한다고 하는데 저는 제 자차 1회, 부모님 차 1회 총 2회 이용해서 평택에서 경주까지 왕복으로 이삿짐을 옮겼는데 이삿짐 센터 이용 안하면 그건 이사가 아닌가요? 책자에 어떤 곳을 봐도 이삿짐 센터를 이용해야 한다는 기준은 없고 책자에 기입된 지원대상에 적합하다고 판단이 되는데 이삿짐 센터를 이용하지 않아서 귀촌인을 지원하지 않겠다라는 설명은 오히려 '경주 시민되기' 책자의 취지가 전혀 맞지 않는 것 같은데요? 그럼 제가 평택에서 경주까지 짐을 지게지고 걸어서 옮겼겠습니까?",2022-03-25,"국민신문고 민원(1AA-2203-0742714)의 처리결과를 다음과 같이 보고합니다.
- 민원일자 : 2022. 3. 25.
- 민원내용 : 귀촌인 이사비용 증빙자료 문의
- 처리일자 : 2022. 3. 28.
- 국민신문고 답변내역 : 귀촌인 이사비용 신청 자격 및 신청 시 필요 서류 안내

붙임 민원신청서 및 귀촌인 이사비용 추진계획 각 1부. 끝.
",2022-04-01,농업진흥과
헬스장 열어주세요.,"경주시청 헬스장이 문을 닫아 관련 기관들 헬스장이 모두다 문을 닫고 있습니다.

헬스장 열어달라해도 ""경주시청헬스장이 문을 닫고 있어 우린 열 수 없다""라는 입장을 고수하고 있어 이렇게 남깁니다.

이제 일일확진자수가 40만명이 넘어서고 사회적거리두기, 백신패스가 다 폐지됐으며 일상에 자리를 잡았는데 아직도 관청의 행정속도는 현실을 따라 잡지 못해 답답합니다.",2022-03-24,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2203-0709341) 내용은 ""체육시설 개방 요구""에 관한 것으로 판단됩니다.

2. 귀하의 질의 사항에 대한 답변은 다음과 같습니다.
가. 평소 우리시 체육시설에 많은 관심을 주신 데 대하여 감사드립니다.
나. 코로나-19 확산방지를 위해 잠정 중단하였던 공공실내체육시설을 2022. 4. 1.(금)부로 개방하고자 하오니, 방역수칙을 준수하여 많은 이용 부탁드립니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 체육진흥과 체육시설팀(☎054-779-6158)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 민원신청서. 끝.
",2022-03-30,체육진흥과
외동읍 입실리 오리온빌3차 앞 도로 하수덮개 파손,"외동읍 입실리 오리온빌3차 앞 도로에 있는 하수덮개 파손되어 차량이 지나다닐때 빠질 우려가 있어서 신고합니다.
평소에도 하수구쪽이 많이 파인 상태라서 차량이 지나갈때 덜컹거리면 지나갈뿐만아니라 하수 덮개가 많이 파손된 상태라 차량이나 사람이 빠질수도 있어서 민원을 접수하니 확인부탁드립니다.",2022-03-11,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2203-0322587)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 '입실리 903-10번지 하수구 덮개 파손에 따른 조치 요청'에 관한 것으로 이해(또는 판단)됩니다.
3. 해당 구간에 하수구 덮개가 파손된 것을 확인하였으며, 안전사고 예방 및 주민불편 해소를 위하여 빠른 시일 내 조치할 수 있도록 노력하겠으니, 조치가 완료될 때까지 다소 불편함이 있으시더라도 양해바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우 외동읍행정복지센터 건설팀(☎054-779-8141)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2022-03-19,외동읍
