제목,내용,작성일자,답변,답변일자,담당부서
도로 적치물,"도로에 적치물(물통, 주차금지판)을 두고 사유화(개인 주차장처럼 이용)",2023-04-21,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2304-07
25739)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “도로 적치물” 에 관한 것으로 이해(또는 판단)됩니다.
3. 귀하의 질의 사항에 대해 검토한 의견은 다음과 같습니다.
신청하신 위치의 적치물은 이미 정비되었습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 추가 설명이 필요한 경우 중부동 행정복지센터(☎ 054-779-8324)로 연락 주시기 바랍니다. 감사합니다.

붙임 민원신청서 1부. 끝.
",2023-04-25,중부동
서악동 무열왕릉 대형주차장 불법 장기 주차,"수고 하십니다.
본인은 수차례 귀청에 불법 장기주차에 대하여 유선 상 불법 주차 민원을 제기 하였으나 현재까지 시정되지 않고 있어 신고하오니 철저하게 조치하여 주시기 바랍니다.
특히 주차장 바로 앞에 사무실을 둔 ""문화재돌봄 남부센터""는 1톤 포터 차량등을 약8대 가량 오후5시부터 익일08시까지 상시 주차장으로 사용하고 있으므로 이는 불법 장기주차를 알고도 묵인, 또는 편파성 봐주기 행정이 아니라고 볼수 없습니다.

이를 이행치 않을 시에는 담당 관련자 들의 업무 해태로 상부 기관에 다시 민원을 제기 할 것입니다",2023-04-20,"1. 귀하의 무궁한 발전을 기원합니다.

2. 귀하의 민원 내용은 '경북남부 문화재돌봄센터 소속 1톤 포터 차량의 주차장 상시 주차로 인한 불편 사항'으로 이해됩니다.

3. 해당 주차장은 무열왕릉 맞은편에 있는 공용주차장으로써, 해당 차량의 장기 주차를 불법주차로 보기 어려운 점 양해하여 주시기 바랍니다.

4. 감사합니다.

붙임 민원신청서 1부. 끝.
",2023-05-02,교통행정과
경주시 마동 58번지 지주입니다. 원상복구 신청합니다.(2번째 신청합니다),"4월 3일 신청했던거 다시 신청합니다. 위 지번에 수해복구 공사를 하면서 제땅에 없던 연못이 생겼습니다. 원상태로 복구 해주시기 바랍니다.

여기 저기 미루지 말아 주세요.",2023-04-17,"1. 평소 우리시 행정에 관심을 가져 주심에 감사드립니다.
2. 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2304-0564948)에 대한 검토 결과를 다음과 같이 알려드립니다.
- 귀하의 민원 내용은 세천과 접해있는 민원인 소유의 땅(마동 58번지)의 수해복구 미비로 인한 원상복구 요청으로 이해됩니다.
- 민원인과 함께 현장 방문하여 협의하였으며, 조속한 시일내에 원상복구 할 수 있도록 노력하겠습니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 불국동행정복지센터(054-779-8504)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙 임 민원신청서 1부. 끝.
",2023-04-25,불국동
건물부속 토지로 인정하여 재산세 부과하는 조건에 대한 정확한 설명,"민원을 2회 올렸으나 1차는 안된다고 법이 그러하다고 합니다. 그런데 제가 알아본 바로는 재산세는 현황을 기준으로 부과하는 세금으로 지목과는 관련이 없다고 합니다. 그런데 담당공무원은 지목이 전으로 되어 있는데 농사를 짓지 않으므로 나대지로 인정하여 재산세를 부과한다고 합니다. 그러면 실 사용이 건물의 울타리 안에서 주차장으로 사용하고 있는데 이것은 무시되어야 하는 것인가요? 국가의 편의만을 위한 세금부과가 타당한가요?
부속토지로 분리과세를 받으려면 반드시 건축과에서 부속토지로 허가를 받아야만 가능한가요?
부속토지로 인정을 받으려면 받드시 지목이 ""대""여야 하는 가요?
대한민국의 부속토지로 인정하여 재산세를 부과하는 모든 토지가 ""대""인가요?
시민을 이해 시킬 수 있는 명확한 답변을 바랍니다. 감사합니다.",2023-04-14,"1. 지난 2회에 걸친 답변의 연장입니다.

2. 별도합산대상대상 토지의 범위는 아래와 같습니다.
지방세법시행령 제101조(별도합산과세대상 토지의 범위) ① 법 제106조제1항제2호가목에서 “공장용 건축물의 부속토지 등 대통령령으로 정하는 건축물의 부속토지”란 다음 각 호의 어느 하나에 해당하는 건축물의 부속토지를 말한다. 다만, 「건축법」 등 관계 법령에 따라 허가 등을 받아야 할 건축물로서 허가 등을 받지 아니한 건축물 또는 사용승인을 받아야 할 건축물로서 사용승인(임시사용승인을 포함한다)을 받지 아니하고 사용 중인 건축물의 부속토지는 제외한다.

3. 해당 토지는 건축물로서 허가 등을 받아야 하는 건축물의 부속토지가 아니라 공부상 지목과 달리 ""나대지""로 사용중인 토지입니다.

4. 공부상 지목이 전인 토지의 타용도로의 전환 가능 여부 및 건축 가능 토지인지 여부는 양남면사무소의 농지업무 담당자와 건축 허가 등의 담당자에게 문의하시기 바랍니다.

붙임 민원신청서 1부. 끝.
",2023-04-24,세정과
경주루지 이용 안내 개선요청의 건,"안녕하세요.
경주로 자주 여행가는 대구 시민입니다.
저의 아들이 9살, 135센치미터로 루지 탑승 기준으로 확인시 단독 및 및 동반 탑승 모두가 해당이 되질 않습니다.
혹시나 하여 경주루지에 문의하니 단독 탑승이 가능하다고 하여 출발했습니다.
예매시 재확인코자 문의하니 동반탑승도 가능하다는 답변을 받고 , 즐거운 마음으로 리프트를 타고 올라갔습니다.
하지만 안전요원이 제 아들은 단독 및 동반 탑승 어디에도 해당되질 않는다고 탈수가 없다고 합니다.
키가 더 작은 아이도 루지 이용을 한다고 항의하니. 경주시가 정한 기준을 그렇다고 타지 못하고 내려왔습니다.
다시 안내장소에 가서 항의하니 환불처리해준다고 합니다.
차라리 거짓말로 10살이라고 하며 타야되는지 의문이 들며, 루지 탑승 기준에 문제가 있다고 생각됩니다.

1. 단독 탑승 기준 : 10세 이상이며 키가 125 이상인 자
2. 동반 탑승 기준 : 신장 85 이상 125 미만인자는 동반탑승 가능
3. 해당이 안되는 기준 : 10세 이하이며, 키가 125이상인 자
ex) 탑승불가 : 8세, 127센치미터, 9세 135센치미터
동반탑승 가능 : 7세 120센치미터, 9세 124센치미터
4. 요청사항
: 키가 125이상인 초등학생(8세,9세)도 단독, 동반 탑승으로 탈 수 있도록 루지탑승 기준 변경을 요청드립니다.
: 사고의 위험하여 현재 탑승 기준을 유지 해야되면, 홈페이지나 예매장소에 명확하게 탑승 불가로 표시 부탁드립니다.

*. 85센치미터 이상은 동반이든 단독이든 모두가 탈 수 있도록 기준 변경을 부탁드립니다.",2023-04-13,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원 (신청번호 1AA-2304
-0422375)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 먼저 관광지 경주를 방문하여 주심을 감사드리며, 여행중 불편을 드려 죄송합니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 유선으로 문의하니 가능하다고 하여 출발한 부분
루지월드에 유선으로 탑승조건에 관해 문의하는 경우, 관광객에게 답변할 때
좀 더 자세히 안내하여 관광객의 혼란을 야기하지 않도록 권고하였습니다.

나. 탑승기준 변경 부탁
탑승기준은 국가 지정기관인「안전보건진흥원」에서 각 유원시설에 대한 안전성
검사를 통해 결정하는 것입니다.
그러므로 루지월드나 경주시청에서 탑승기준 변경을 할 권한이 없음을 양해하여
주시기 바랍니다

다. 홈페이지나 예매장소에 탑승불가 표시 부탁
탑승요건 등은 [홈페이지-자주하는 질문란]에 단독탑승기준 및 동반탑승기준이
명시되어 있음을 확인하였습니다.

4. 담당자 : 경주시청 관광컨벤션과 김수경 주무관 (☏054-779-6082). 감사합니다.
",2023-04-21,관광컨벤션과
도로 점유,"도로에 적치물(물통, 주차 위반 표지판)을 두고 개인 주차장 처럼 이용",2023-04-12,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2304-0375009)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “도로 적치물” 에 관한 것으로 이해(또는 판단)됩니다.
3. 귀하의 질의 사항에 대해 검토한 의견은 다음과 같습니다.
신청하신 위치의 해당 적치물 소유주에게 도로를 사유화 하지 않도록 시정요청 및 계도조치를 하였습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 추가 설명이 필요한 경우 중부동 행정복지센터(☎ 054-779-8324)로 연락 주시면 친절히 안내해드리겠습니다. 감사합니다.
",2023-04-17,중부동
금장 하천 강변 자전거 전용도로 포장,신한 아파트 에서 새로 생긴 자전거 전용도로 다리까지 하천에 자전거 전용도로가 설치되어 있으나 포장 노후로 인해 바닥이 일어나 엉망이며 태풍으로 인해 많이 파손되어 환경에도 좋지 않습니다 그 곳 많은 주민들이 운동을 하는 공간으로 도로 재포장을 해주시길 비랍니다.,2023-04-07,"1. 귀하의 무궁한 발전을 기원합니다.
2. 귀하의 민원 내용은 노후된 하천 자전거 전용도로 재정비를 통한 보수 요청으로 이해되며, 다음과 같이 답변드립니다.
가. 요청하신 구간은 제한된 예산으로 인하여 시급성을 판단후 예산 확보후 조속히 재정비 할 수 있도록 노력하겠습니다.
3. 기타 문의사항이 있으시면 경주시 도로과 자전거문화팀 공동석(054-760-2968)으로 문의하여 주시기 바랍니다.
",2023-04-17,도로과
부속토지로 사용하고 있는 부지의 재산세 부과 조정,"1주전에 민원을 넣었으나, 유선으로 통화한 내용과 동일한 답변만 합니다. 국가는 국민을 상대로 유리한 세금 고지 방식을
취하고 국민은 실제로 사용하고 있으면서도 세금은 다르게 납부해야 하는 것이 타당성 및 당위성이 상당히 낮아지는 것 같습니다. 국가는 국민을 위해서 존재해야 한다고 생각합니다. 재산세는 분명 현황 부과로 되어 있는데.. ""전"" 토지를 주차장으로 활용한다고 나대지로 분류하면서 실질적으로 주차장으로 사용하는 것에는 ""불법이라는 인정할 수 없다""라고 합니다
그것이 타당하다면 민원인을 이해 시켜주고 바르게 정리해 주는 것이 국가 및 공무원 책무라 생각합니다. 그런데 무조건적으로 법 타령만 하고 시민이 겁먹도록 불법만 강조하니 1년 전에 구매해서 운영하고 있는 사람은 참 답답합니다. 잘 살펴 주시기 바랍니다.",2023-04-07,"1. 문의하신 양남면 수렴리 36-2, 36-4, 36-5, 37-4 번지는 공부상 지목이 '전'인 토지이며, 39-4 번지는 공부상 지목이 '잡종지'인 토지입니다.
위 토지의 현재 이용상황은 나대지로 공부상 지목과 달리 이용하는 경우라 할 수 있습니다.

2. 지방세법제106조(과세대상의 구분 등) ③ 재산세의 과세대상 물건이 토지대장, 건축물대장 등 공부상 등재되지 아니하였거나 공부상 등재현황과 사실상의 현황이 다른 경우에는 사실상의 현황에 따라 재산세를 부과한다. 다만, 재산세의 과세대상 물건을 공부상 등재현황과 달리 이용함으로써 재산세 부담이 낮아지는 경우 등 대통령령으로 정하는 경우에는 공부상 등재현황에 따라 재산세를 부과한다.
지방세법시행령제105조의2(공부상 등재현황에 따른 부과) 법 제106조제3항 단서에서 “재산세의 과세대상 물건을 공부상 등재현황과 달리 이용함으로써 재산세 부담이 낮아지는 경우 등 대통령령으로 정하는 경우”란 다음 각 호의 경우를 말한다.
1. 관계 법령에 따라 허가 등을 받아야 함에도 불구하고 허가 등을 받지 않고 재산세의 과세대상 물건을 이용하는 경우로서 사실상 현황에 따라 재산세를 부과하면 오히려 재산세 부담이 낮아지는 경우

3. 위 토지의 현재 이용상황은 나대지 입니다.

4. 따라서 지방세법제106조3항에의한 과세처분은 정당하다고 할 것입니다.

붙임 1. 민원신청서. 끝.
",2023-04-18,세정과
길거리 날벌레 및 모기 방역 안하나요?,"안녕하세요, 경주에서 일을 하게 되면서 1년 가까이 지내고 있습니다. 경주 자체가 문화제라 퇴근 후 이곳저곳 많이 걸어다니며 구경을 하고 있는편인데 작년 여름에도 느꼈지만, 올해는 벌써부터 길거리에 날벌레 및 모기가 너무 많이 날아다녀 걷기가 힘드네요.
강가나 나무 및 숲풀이 있는 길도 아니고 양쪽으로 가게들이 있고 차가 주차되어 있는 인도인데 무슨 벌레가 이렇게 많나요?
유독 경주가 심한 느낌이네요. 다른 지역을 가서 걸어다니면 이정도는 아닙니다. 이제 4월 초인데 조금 더 더워지고 한여름에는 얼마나 많은 벌레들이 길에 있을지 끔찍하네요. 미리미리 방역을 좀 신경써서 하셨으면 좋겠습니다. 특히나 원룸이 모여있는 주택가쪽은 더 신경써주시면 감사하겠습니다.",2023-04-07,"1. 안녕하십니까?
귀하께서 국민신문고를 통해 질의 하신 민원(신청번호 1AA-2304-0219848)에 대한 보건소 감염병예방팀의 검토 결과를 아래와 같이 알려 드립니다.

2. 귀하의 민원내용은 “경주시 도심가 및 주택가 방역”에 대하여 말씀하신 것으로 이해됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 보건소에서는 3월부터 방역취약지(서천 둔지, 흥무공원 등) 중심으로 주5회 살충소독을 진행하고 있으나, 도심, 주택가 중심으로는 5월부터 해당 읍면동에서 자체 계획을 수립하여 하절기
성충 방역을 실시할 계획입니다.
나. 보건소는 해충이 성충이 되기 전 유충단계에서 사멸시키는 유충구제 약품 투여 및 살충 소독을 3월 ~ 4월말까지 주택가 중심 하수구 및 정화조 중심으로 방역을 실시하고 있습니다.
다. 자체 방역소독활동 시행 장소 선정하여 방역 예정이나, 이외에도 다발 해충 발생으로 방역이 필요한 경우는 시청 홈페이지 및 보건소 감염병 예방팀(054-779-8581~2)로 연락주시면 참고하여
방역 시행하도록 하여 경주시의 쾌적한 환경 조성을 위해 노력하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며 답변 내용에 대한 추가 설명이 필요한 경우 경주시보건소 보건행정과 감염병예방팀 (054-779-8581)에 연락주시면 친절히 안내해 드리도록 하
겠습니다. 감사합니다.

붙임 민원신청서 1부. 끝.
",2023-04-13,보건행정과
황남동 효자손시양 격려비 얖 공영주차장,"황남동 효자손시양 격려비 앞 공영주차장내 주차면을 접영한 불법광고물 철거를 주민센타 및 안전신문고를 통하여 여러번 신고해도
처리가 되지않서 서면으로 불법광고물 철거를 가력히 요청합니다

참고로 지난해 12얼까지황남 동 주민이였고 지금도 매일 황남동에 방문합니다",2023-04-07,"1. 귀 가정의 행복과 건강을 기원합니다.
2. 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
3. 민원내용은 '불법옥외광고물로 인한 거리미관 훼손'에 관한 것으로 이해됩니다.
가. 현장 확인 결과 불법지주간판에 해당하는 것으로 판단되어 해당 업주에게 민원사항을 설명하고 「옥외광고물법」 제10조 제1항(위반 등에 대한 조치)에 따라 자진철거를 요청 및 미이행시 이행강제금 부과 등을 안내하고 옥외광고물 위반사항에 대해 행정 계도하였습니다.
나. 앞으로도 인근상인을 대상으로 올바른 옥외광고물 표시방법을 홍보하는 등 행정지도와 단속에 최선을 다하겠습니다.
4. 답변 내용에 대한 추가 설명이 필요한 경우 황남동행정복지센터 행정민원팀 한보민 주무관(☏779-8384)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. .

붙임 민원신청서 1부. 끝.
",2023-04-14,황남동
