제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
인조잔디테니스장조성신청,"현황 및 문제점
연천군 군남면 삼거리 소재 군남클럽테니스장 한면이 흙으로 된 크레이코트입니다.
원래는 2코트였는데 한코트를 풋살구장으로 내주면서 풋살장은 인조잔디로 공사하면서 짤린 테니스장 한코트는
에산이 부족하다며 차후 인조구장으로 하기로 하여 한코트를 내주었습니다.
그후 10여년이 흘러 지금까지 흙으로 된 코트를 회원들이 경운기로 다지고 쓸고 그리고 하면서 운동을 하고 있습니다.
지금 경기도 지자체 테니스장이 흙으로 된곳이 한곳도 없습니다.
비오고 눈오면 쓸고 닦고 다지고 밀고 이게 말이 됩니까?
인조잔디구장으로 해주시기를 간곡히 부탁드립니다.
코트가 한면이라 그리 큰 예산도 아니라 생각합니다.
2021년이 가기전에 해주시리라 믿습니다.
개선방안
테니스장 한면을 인조잔디로 조성하면 됩니다.
기대효과
청소년에서 부터 장년까지 군남면에서 전곡이나 연천으로 테니스를 하러 다니기는 정말 힘듭니다.
관내 한면이라도 인조잔디구장이 있다면 청소년과 주민들도 쉽게 테니스를 접할수 있을 것입니다.
테니스뿐만 아니라 요즘 청소년과 어르신들에게 인기인 매직테니스까지도 함께 할수있어 기대효과는
무궁무진합니다.",2021-05-22,"○ 시설명 : 군남 테니스장
­- 시설현황 : 클레이코트 1면
­- 현황 및 문제점 : 테니스장 코트 표면이 흙으로 되어있어 기후의 영향을
많이 받아 시설물 유지관리에 어려움이 있음

○ 검토의견 : 테니스장이 노후 및 낙후되어 시설 개선이 필요한 실정이며,
군민 체육활동 활성화 및 쾌적한 생활체육환경 조성을 위하여 체육시설 개선사업 추진 예정.",2021-07-26,연천군,답변완료
도로교차로(안전신호등),"현황 및 문제점
현재 도로상에 있는 교차로 신호등은 3색등(녹색→황색→적색) / 4색등(녹색→화살표→황색→적색)으로 되어있다.
문제는 직진신호 녹색등화일 때 녹색등이 황색등화로 언제 바뀔지 몰라 가속하는 경우를 많이 보았다.
이는 교차로 교통사고 위험을 몇 배로 높일 수 있다고 보여진다.
또한 급정거로 인한 추돌사고 발생도 배제할 수 없다.
개선방안
녹색등화에서 황색등화로 바뀌기 전에 보행자 횡단보도 신호등처럼 녹색등에 녹색숫자를 10.9.8.7.6.5.4.3.2.1(카운터)되게끔 하여
운전자로 하여금 미리 예측하고 제어할 수 있도록 만들어 준다면 교차로 교통사고를 줄일 수 있을 뿐만이 아니라 교통혼잡/교통안전에
큰 효과가 있을 것이라고 기대된다.
기대효과
개선방안에서 말씀드린 바와 같이 교통사고를 줄일 수 있고 교차로 꼬리물기 등 교통이 혼잡하지 않게 많은 도움이 될 것으로 기대한다.",2021-05-21,"안녕하십니까.
귀하께서 제안해주신 『도로교차로(안전신호등)』에 대해 담당부서에서 검토한 결과는 다음과 같습니다.

○ 차량신호등의 녹색등화 시 잔여시간을 표시하여 운전자가 교차로 진입여부를 미리 판단 할 수 있는 순기능은 있지만
○ 차량속도 가‧감속 결정은 운전자 개인의 판단이 보다 많이 작용하므로 앞 운전자의 감속과 뒤 운전자의 가속이 상충 될 경우 오히려 사고를 유발 할 개연성이 높음.
○ 따라서 잔여시간표시는 황색신호 등화시간 조정으로 보완‧대체하고 있으며, 잔여시간 표시기 또한 비규격 시설물로 설치가 불가능하여 해당 제안의 실효성에 대해서는 신중한 검토가 필요할 것으로 판단 됨.

해당 제안은 위와 같은 이유로 제안으로 채택하기 어려움을 양해하여 주시기 바랍니다.
우리 시 발전을 위해 좋은 제안을 해주신 귀하께 진심으로 감사드리며 앞으로도 평택시정에 지속적인 관심과 참여 부탁드립니다.
감사합니다.",2021-06-09,평택시,답변완료
노노카페 확대,"현황 및 문제점
우리나라는 초고령사회에 진입하면서 한국경제연구원에 따르면 최근 10년간 한국 65세 이상 고령인구는 연평균 4.4%씩 증가했습니다. OECD 평균의 1.7배로 가장 빠른 속도이며 한국 노인 빈곤율은 2018년 43.4%로 OECD 평균의 3배에 달했다고 합니다. 이에 따라 고령화와 노인 빈곤 대책으로 고령층 민간 일자리 수요 확대가 중요시 되고 있는데, 현재 화성시에서는 ‘화성시니어클럽’에서 진행하는 ‘노노카페’에 의해 중장년층의 일자리가 늘어나고 있지만, 아직도 부족하다고 생각하고, 현 사업에 대해 잘 모르는 경우 많기에 이에 대한 적극적인 홍보와 관리가 필요하다고 생각합니다.
개선방안
노노카페는 현재 민간 일자리로 화성시에서 자체적, 적극적으로 실행한다고 볼수는 없습니다. 따라서 노노카페를 지방정책으로 적극적으로 실행함으로써 중장년층의 일자리 창출을 야기 시켜야합니다. 현재 화성시니어클럽은 바리스타 전문교육을 통해 시니어들을 대상으로 ‘노노카페’에서 근무할 수 있는 기회를 제공하고 안정적인 일자리와 소득지원의 기회를 제공하며, 화성시 내 52개점으로 운영되고 있습니다. 주로 도서관이나 화성시 읍사무소, 면사무소 등 공공시설 내에 들어가 있어 안정적인 수익을 내고 있습니다. 하지만, 민간 사업으로는 할 수 있는 영역이 적기에 화성시에 ‘화성시니어클럽’과 협동하여 ‘노노카페’의 일자리 및 시설 확대 등의 해야한다고 생각합니다.
기대효과
화성시는 평균연령이 낮은 지역에 속하지만, 현재 우리나라는 초고령사회에 진입하면서 노인 빈곤에 대한 심각성도 생각하게 되었습니다. 이에 대한 효과적인 해결책은 민간 일자리 수요 확대입니다. 화성시가 ‘화성시니어클럽’과 협동하여 ‘노노카페’사업을 실행하게 된다면 현 노노카페의 이점보다 더 좋은 이점을 만들어갈수 있으며, 이와 더불어 더 많은 일자리 창출에 기여할수있다고 생각합니다.",2021-05-20,"귀하의 무궁한 발전을 기원합니다.

귀하께서 제안하신 [노노카페 확대]의 심사결과

본 제안내용은 단순건의 사항으로 현재 노노카페는‘화성시니어클럽’에 민간위탁을 하여 운영중인 사항으로,

제안심사위원회 안건으로 상정하지 않음을 알려드립니다.

이에 본 제안을 채택함에 어려움이 있사오니 양해하여 주시기를 바랍니다.

기타 문의가 있으시면 화성시 정책기획과(031-5189-6693)로 연락주시기 바랍니다.",2021-06-25,화성시,답변완료
휠체어도 접근할 수 있는 경사로를 만들어 주세요,"현황 및 문제점
위치: 경기도 양평군 산수로 3141길 공용주차장 및 화장실 설치 뒷편
중증 장애인 부모입니다. 와상상태의 장애를 갖은 자녀가 답답함에 차에서 내려 자전거길로 휠체어를 밀고 산책을 하던 중 자전거길 아래로는 산책로가 잘 꾸며져 있고 쉴 수 있는 공간도 있는데 아래로도 위로도 내려갈 수 있는 길은 계단으로만 되어 있고 경사로가 없어 조금만 관심을 가져 주시면 어렵지 않은 일일 텐데 안타까움에 제안을 해봅니다.
개선방안
설치한 계단 옆 으로 완만한 경사로 설치를 요망합니다.
기대효과
시설은 누구나 이용할 수 있도록 접근하기 쉽고 편하게 이용하도록 되어 있어야 한다고 봅니다. 건강한 사람만 이용하도록 되어 있는 것은 차별이라고 봅니다.",2021-05-20,"안녕하세요. 양평군청 기획예산담당관 기획팀 제안제도 총괄담당자 박지원입니다.

귀하께서 재심사 요청해주신 제안의 재심사 결과 안내드립니다.

소관부서(안전총괄과) 검토 후 제안심사위원회 개최 결과 '채택'되었음을 알려드립니다.
※ 소관부서 및 담당자: 안전총괄과 박정환 주무관(031-770-2431)

항상 양평군의 발전에 관심을 가져주심에 감사드리며, 기타 문의사항 있을 시 기획예산담당관(031-770-2056)으로 문의하여 주시기 바랍니다.

감사합니다.",2021-07-14,양평군,제안실현
미세먼지 알림판 설치 개선 건,"현황 및 문제점
십수년 전부터 우리나라 미세먼지 문제가 심각합니다.
최근에는 사시사철 미세먼지와의 싸움이 아닐까 쉽을 정도로 일상생활에서 미세 먼지는 장난이 아닙니다.
학생들 등학교시, 외출시, 산책시, 일할때 시도 때도 가리지 않고 미세먼지 확인과 마스크 착용이 의무화 되다시피한 삶이면 이로 인해 스트레스 또한 삶을 피곤하게 하고 티비나 라디오 핸드폰 어플로 그날 미세먼지 확인을 하는게 생활화 되었습니다. 바깥 외출시 미세먼지 상황을 실시간으로 육안 확인 가능하면 알권리도 확실히 할수 있고 마스크 착용유무도 확실히 하고 빠르게 변화는 대기질도 이동시 확인 가능한 시스템 필요합니다.
개선방안
시내 주요시설이나 학교등에 미세먼지 농도 알림장치가 설치 되어 있지만 대부분 화면이 작고 글짜와 숫자 조합으로 되어 있어 가까이 가지 않어면 육안 확인이 되지 않는 실정입니다.
개선방안
1.미세먼지 알림판 크기를 기존보다 확대(2배 이상)
2.미세먼지 알림판 지금의 글짜및 숫자 조합에서 단순 색깔로만 표시(화면 전체에 색깔로만 표시해서 먼곳에서도 현재 대기질 상태 확인 육안 확인 가능)
3.미세먼지 농도 매우나쁜/빨강, 나쁜/주황, 보통/초록, 좋음/파랑 등으로 단순화 시켜 먼곳에서도 확실이 육안으로 현 미세먼지 상황 알아 보게 변경.
4.주요건물 광고판에도 주요 시간 간격마다 실시간 색깔표시(요즘 코로나 사태로 인해 빈가게 간판도 활용 가능하리라 봄, led화면 광고판 널리 이용되고 있음)
기대효과
미서먼지 알림판 색깔 표시로 단순화 하여 먼곳에서도 쉽게 대기질 확인 가능하고 어린이나 어른신등 핸드폰 어플등에 애로사항 있어 외출시 색깔로만 표시된 알림판 이런것으로 실시간 대기질 확인 어려운 서대 알림판만 보면 바로 알 수 있어 그 상황에 맞게 바로 대처할수 있게 되면 삶의 질도 향상 될 거라 생각합니다.",2021-05-20,"안녕하십니까.
귀하께서 제안해주신 『미세먼지 알림판 개선』에 대해 담당부서에서 검토한 결과는 다음과 같습니다.

○ 미세먼지 알림판(신호등)은 현재 미세먼지 농도 수치뿐만 아니라 시인성을 높이기 위해 농도에 따라 색상이 변하여 먼 곳에서도 육안으로 확인이 가능하도록 운영중이며, 앞으로 추가 설치 예정인 미세먼지 알림판(신호등)에는 미세먼지 간이측정까지 할 수 있는 시설 설치를 검토하고 있습니다.

해당 제안은 위와 같은 이유로 제안으로 채택하기 어려움을 양해하여 주시기 바랍니다.
우리 시 발전을 위해 좋은 제안을 해주신 귀하께 진심으로 감사드리며 앞으로도 평택시정에 지속적인 관심과 참여 부탁드립니다.
감사합니다.",2021-06-09,평택시,답변완료
명예환경감시원 모집방식 개선제안,"현황 및 문제점
양평군에서는 각계각층의 인사를 참여하게 하여 아름다운 환경을 보전하고 감시하는 환경지킴이로 활약할 ‘명예환경감시원’을 모집하고 있는데 코로나19시대의 참여하고자하는 주민들의 시간적, 경제적 불편을 주고 있어 온라인 비대면방식의 인터넷(이메일)모집방식 개선을 제안합니다.
개선방안
○ ‘명예환경감시원’을 모집시에 주민들이 읍.면사무소를 직접방문하여 접수하는 오프라인 대면방식의 접수방식을 코로나19시대의 온라인(인터넷접수) 비대면방식으로 모집방식 개선을 제안합니다.
- 현재 : 직접 방문접수방식(코로나 위험, 주민시간낭비 등)
- 개선 : 온라인 비대면 인터넷(이메일)접수방식
기대효과
○ 코로나19노출위험예방 및 주민들의 시간적,경제적 낭비, 불편해소 및 적극적 참여도 확산",2021-05-20,"1. 우리군 제도 문제에 관심을 가지고, 군정에 적극 동참하여 주심에 깊은 감사를 드립니다.

2. 귀하의 국민신문고 제안(1AB-2105-0007681)에 대한 검토 결과를 다음과 같이 알려 드립니다.
가. 제안내용 : 명예환경 감시원 신청서 온라인(비대면) 접수
나. 검토의견
○ 귀하께서 제안 하신 온라인(비대면) 접수 방식의 경우 인터넷 해킹 등 개인정보의 유출 우려가 있어 우리군에서는 개인 정보 보호를 위하여 직접 방문 접수 또는 우편접수(비대면) 방법을 채택하고 있습니다.
○ 명예환경감시원 신청서는 본인 확인을 위한 개인의 서명 또는 도장 날인된 원본 서류를 제출하여야 하므로, 신청인 본인 확인이 불가능한 온라인(비대면) 접수를 할 수 없습니다.
○ 또한, 명예환경감시원은 상시모집이 아닌 2년마다 선발하고 있으며 모집기간은 2주일정도 밖에 안되기 때문에 본인인증 및 확인을 위한 시스템 구축에 어려움이 있어 온라인(비대면) 접수를 시행 할 수 없는 점 이해바랍니다.

3. 다시 한번 우리 군의 제도에 관심을 가지고 고견을 주신 점에 깊은 감사를 드리며, 기타 궁금하신 사항은 양평군 환경과(031-770-2852)로 연락주시면 성심 성의껏 답변해 드리겠습니다. 감사합니다. 끝.",2021-06-24,양평군,답변완료
청장년 취업 연계 안정된 일자리 제공 인력양성 교육과정 필요,"현황 및 문제점
최근 경기도 산하기관에서 경기도의 전문강사 육성과정을 개설해 진행하는 프로그램이 많아지고 있으나 유사한 프로그램, 청장년의 일자리 연계가 아닌 학력, 학위, 전문가를 선발해 활용하려고 하며 최초 예산에 따른 집행과 전문가 선발후 활용 및 진행에 대한 프로세스와 공개가 부족한 상황이고 유사한 프로그램의 통합 및 조정으로 실제 청장년층에 안정된 일자리 제공을 할 수 있는 제2의 도약을 위한 인력양성 교육과정이 실질적으로 필요한 시기라고 봅니다.
개선방안
현 체제의 프로그램과 관련해 개선의 필요성과 청장년층의 안정된 일자리 제공이 필요함에 따라 제안하고자 합니다.
1.기존 유사 프로그램(2020년 디지털 성범죄 예방강사 전문강사 교육과정)이 진행되었으나 실제 해당 우수강사인력(30명)을 활용하지 못하고 있음에도 불구하고 새롭게 양성평등교육 전문강사 육성 수강생을 모집해 수 개월의 막대한 예산을 책정해 운영하는 것은 적절하지 않고 해당 강사진이 해당 유사한 과정을 이수하고 자격이 있음에도 아직 활용하지 못하고 있는 실정으로 중복된 사업과 예산의 적절한 집행 점검이 필요합니다.
2.청장년층 남녀노소 취업절벽에 여성, 고학력 및 학위자, 전문가만 타켓으로 지정하지 않고 경기도민으로서 취업이 절실히 필요하며 이 분야에서 강사로서의 역량을 펼칠 수 있는 분들을 선발해 인력양성 교육과정에서 시너지 효과를 발휘에 역량을 지역사회에 나눌 수 있도록 할 수 있는 프로그램이 절실합니다.
3.경기도민중 지역 시.군에서 우수한 인력풀을 활용할 수 있도록 유관기관간 협업을 통해 취업이 절실한 청장년층 남녀노소에게 제공 및 연계할 수 있는 방안도 마련해야 합니다.
기대효과
이제 교육은 여성만 한정되는 것이 아니라 청장년층 남녀노소에게 골고루 배분과 지원할 수 있는 인력양성 교육과정을 통해 안정된 일자리를 지속적으로 제공하고 이를 통해 개인별 역량 및 개발하여 더욱 발전과 발휘할 수 있도록 아낌없는 지원과 재정적 예산마련과 중복없이 과감한 투자를 함으로서 효과가 커질 수 있다고 봅니다.",2021-05-20,"안녕하세요.
귀하께서 보내주신 정책제안(접수번호 2AB-2105-0005071)에 대해 다음과 같이 회신하여 드립니다.

귀하의 제안 요지는 여성가족재단 양성평등교육 전문강사 과정 등 강사육성 과정 개설 시 여성, 학위자 등 전문가 이외 취업이 필요한 역량 있는 도민을 선발하고 시․군 우수인력을 강사로 활용할 수 있도록 유관기관 간 협업하여 도민에 일자리 제공하자는 내용으로 판단됩니다.

경기도여성가족재단의 양성평등교육 전문강사 양성과정은 관련분야 학위 소지자 및 업무경력자 이외 동등한 자격이 있다고 인정되는 자도 강사 과정을 신청할 수 있으며

과정을 수료한 사람은 전문강사로 위촉하고 한국양성평등교육진흥원 내 강사뱅크에 등록하여 강사로 활동할 수 있도록 관련기관 간 협업하고 있습니다.

말씀하신 2020년 선발한 디지털 성범죄 예방강사의 경우에도 경기도일자리재단에서 양성한 전문강사를 여성가족재단에서 모집하여 강사로 활동할 수 있도록 6.14.까지 서류접수를 진행하고 있습니다.

앞으로 전문강사 양성 시 역량있는 도민이 지원할 수 있도록 지원기준 조정과 유관기관 간 협업으로 우수한 인력풀을 활용할 수 있도록 여성가족재단과 협의하겠습니다.

추가 문의사항이 있으시면 경기도 여성정책과 이종홍 주무관 (031-8008-2513)에게 전화주시기 바랍니다. 감사합니다.",2021-06-15,경기도,제안실현
종말 처리장에 음이온 발전기 설치로 악취제거,"현황 및 문제점
며칠전 뉴스에 경기도 안양시 의 종말 처리장의 악취에 대한 뉴스가 올라와 본인의 제품을 적용해 보면 하여 제안드립니다.
전에도 대전과 의정부 포천에서도 안양과 같은 사례가 있어 제안 했으나 묵살 당 했던 사례가 있으나,
본인은? 박사도 교수도 아닙니다. 단기계 62학번으로써 기계를 다루다 보니 기계와 인간 구조는 다르지만 너무나 유사한 점이 많고, 또한 기계와 동식물에는 공기보다 물이 너무나 중요함을 떠득 하게 되어 물 관련 업에 전력 투구하다보니 연구끝에 물 과 우리의 세포, 이 모두는? 물 분자 또는 세포의 외곽 전자(- e)에 의거 좌우됨을 알게 되어 외곽전자(- e), 산소를 동반하지 않는 외곽전자, 순수 음이온(-e)만을 음이온 량을 조절하여 투여할 경우 제2의 오염 없이 물 분자 운동을 활성화 시켜 하수도의 썩은 물이 살아나고, 악취가 줄어들고, 침전물의 두께가 줄어들고, 악취를 발생시키는 이온 결합된 각종 오염 물질을 분해 시키고, 오염물질을 먹고 번식하면서 악취를 발생시키는 각종 혐기성 균의 증식과 번식을 제 2의 오염 없는 자연적인 방법으로 억제하여야 함에도 현재에는 화공약품처리를 우선 함으로 제 2의 오염이 유발 되는 근본적인 해결 방법과는 먼 방법을 택하기 때문에 문제 발생

상기 본인의 특허품인 수중에서의 음이온 발전기 50mm 5대를 상기 현장의 침전조에 설치 시험할수 있도록 배려 해 주시면 하는 바램입니다.
시험 승인 되었을 경우 본인은? 음이온 발전기 50mm 5대를 제공하고, 귀 처리장에서는 50mm수중 펌프와 각 연결 호수, 전기를 제공 해 주시고, 수질 시험 비용 부담 해 주시 길 바라며, 시험 기간은? 약 2주일
개선방안
수질 향상에는? 제2의 오염이 없는 자연적인 방법이 최우선!
하여 금과 은 주석 과 같은 음이온 발생량이 최고 인 비철금속으로 제작되어 발전량을 조절 할수 있는 수중에서의 음이온 발전기 등을 침전조에 설치하여 침수조의 물을 강력한 음이온 수로 변경 시킬경우 냄새를 유발하는 이온 결합 물질을 결합 이전으로 환원시키고, 미생물 증식과 번식을 도모하며, 이온 결합된 물 앙금, 침전된 앙금을 분해하여 물 앙금속에서 서식 증식하는 호기성인 노카디아(Nocardia)균 의 활성을 도모하여 침전물 두께를 줄이고, 각종 냄새를 발생시키는 혐기성 균의 증식과 번식을 억제시킴이 우선일 것으로 사료 됩니다.
기대효과
1. 악취제거
2. 방출수 탁도 개선
3. 제 2의 오염이 없는 방출수
4. 경상비 절약


관련 상세자료는 네이버의 브로그 에 ""한국디지털랩""을 검색해 보시길 .",2021-05-18,"1. 평소 시정발전에 관심을 갖고 제안하신 것에 감사드리며, 귀하께서 제안하신
「종말처리장에 음이온 발전기 설치로 악취제거」에 대한 검토의견을 아래와 같이 답변드립니다.
2. 우리시는 한국환경공단의 악취기술진단을 통해 악취저감사업을 추진 중에 있으며
3. 침전지에 덮개를 설치하고 악취를 포집하여 탈취설비를 통해 악취발생을 최소화 하고자 함.
4. 따라서 음이온 발전기 설치로 악취를 제거하는 제안이 불책택 되었음을 알려드리오니 이해있으시기 바랍니다.
5. 기타 궁금하신 사항이 있으시면 안양시 하수과 하수처리팀(☎8045-2289,이지한)으로 문의하시면 성심껏 안내해드리겠습니다.",2021-05-25,안양시,답변완료
"전동킥보드 집합 정차 장소에 ""보행자 주의 안내문""을 부착하자","현황 및 문제점
전동킥보드 사용 후 아무 곳, 아무렇게 주정차되어 있어서 보행자에 대한 안전문제가 우려되고 있습니다.
전동킥보드로 인한 안전사고는 시민들에게 직접직인 피해를 주고 있기에 안전한 주정차에 대한 각성과 함께 보행자에게도 주의 환기가 필요합니다.

최근 도심 곳곳에 지속적이고 집합적인 전동킥보드 주정차 구역이 자연발생적으로 생겨나고 있습니다.(첨부파일 참조:능골교 부근, 보건소사거리 부근 등)
주로 역주변, 환승 버스정류장, 마을의 버스정류장 부근 등이 대표적이며 이런 곳은 보행자의 왕래도 많기 때문에 전동킥보드로 인한 보행자 안전사고 발생에 대비할 수 있도록 대응방안이 필요합니다.
개선방안
전동킥보드 주정차가 집합적으로 이루어지고 있는 곳에 '안전주의 안내문'을 게시합니다.
안내문에는 ""보행자 전동킥보드 주의! 보행에 주의하세요"" , ""전동킥보드 사용 후 안전하게 주정차하세요"" 등 사용자 및 보행자에게 안전에 대한 주의를 환기시킬 수 있는 내용을 게시합니다.
기대효과
1.안전안내문은 보행자의 주의를 환기시켜 주차된 전동킥보드로 인한 안전사고를 예방할 수 있을 것입니다.
2.전동킥보드가 집합 주차되어 있는 곳에 대한 정보가 수집되므로 안전을 위한 선제적 점검이 집중적으로 이루어질 수 있을 것입니다.
3.전동킥보드 안전관련 민원에 대하여 행정적인 노력을 보여줌으로써 민원발생을 다소 완화할 수 있을 것입니다.
4.우리의 일상속에 자리하고 있는 전동킥보드가 민원의 대상이 아닌 안전하고 편리한 이동수단으로 자리할 수 있을 것입니다.",2021-05-17,"1. 귀하의 가정에 건강과 행운이 함께하시기를 기원합니다.

2. 귀하께서 제안하신 "" 전동킥보드 집합 정차 장소에 ""보행자 주의 안내문""을 부착""과 관련하여 붙임과 같이 실무주관부서 검토의견을 답변드리오며, 제안이 채택되지는 않았지만 좋은 의견을 제출하여 주신 귀하께 다시 한 번 감사드립니다.

<검토의견: 도로과 강승훈 (☎ 031-828-8614)>",2021-06-14,의정부시,답변완료
의정부시민 자전거보험 이용 활성화를 위한 상담채널 운영 방안,"현황 및 문제점
의정부시는 모든 시민에게 매년 자전거보험 자동가입으로 자전거로 인한 사고(운전, 탑승중, 충돌 등)에 대하여 보상을 받을 수 있도록 운영하고 있습니다.
그러나 자전거보험 자동가입을 모르는 시민들도 있고, 자전거 사고가 났을때 당황하여 시민의 권리인 자전거보험 지급신청을 못하고 개인처리하는 경우도 있습니다.
의정부시의 예산을 투입하여 운영하는 좋은 시책인만큼 시민들이 제대로 혜택을 누릴 수 있도록 간편하게 상담할 수 있는 방안이 필요합니다.
개선방안
의정부시민 자전거보험 이용 활성화를 위한 상담채널을 운영해주세요
1. 의정부시민이 자전거사고 발생시 이용할 수 있는 상담채널(카카오 채널)을 운영해 주세요
2.상담채널의 개설 및 관리는 의정부시 자전거보험의 대표보험사에서 운영합니다.
3.시민들에게 자전거보험에 대한 홍보시 카카오 채널 운영을 알리고 이를 활용할 것을 홍보합니다.
4.시민들은 자전거 사고발생시 카카오 채널을 통해 상담 및 지급절차를 안내받도록 합니다.

기대효과
1.상담채널(카카오 채널)을 운영하는 경우, 채널 개설이 자유롭고 24시간 운영이 가능하지만 추가적인 소요 예산이 투입되지 않기에 시 차원에서의 행정적 부담이 없습니다.
2.상담채널은 이용방법이 쉬울뿐 아니라 자전거사고 발생시 실시간 상담 및 지급절차를 안내받을 수 있으므로 시민들에게 편의를 제공합니다.
3.자전거사고로 부터 시민들의 안전 및 경제적 손실을 보전해주는 보험이 제 기능을 발휘할 수 있으므로 효율적으로 활용될 것 입니다.
4.의정부시의 예산으로 운용되는 자전거보험 이용의 활성화는 시민들로부터 세금이 제대로 쓰이고 있다는 믿음을 주어 행정에 대한 신뢰도가 높아질 것 입니다.
5.의정부시의 선제적인 상담채널 운영은 기타 유사한 시책 운영시 모범사례가 될 것입니다.",2021-05-17,"1. 귀하의 가정에 건강과 행운이 함께하시기를 기원합니다.

2. 귀하께서 제안하신 ""의정부시민 자전거보험 이용 활성화를 위한 상담채널 운영 방안""과 관련하여 붙임과 같이 실무주관부서 검토의견을 답변드리오며, 제안이 채택되지는 않았지만 좋은 의견을 제출하여 주신 귀하께 다시 한 번 감사드립니다.

<검토의견: 도로과 강승훈 (☎ 031-828-8614)>",2021-06-07,의정부시,답변완료
