제목,내용,작성일자,답변,답변일자,담당부서
도로 개선공사 요청 드립니다.,"안녕하세요. 항상 수고하심에 감사드립니다.
비가 조금만 많이 오면 도로의 빗물이 건축물 주차장(도로사진-1의 녹색3번)으로 흘러들어 옵니다. 그러다 지난 폭우에 건축물 공동현관 내의 엘리베이터 pit까지 침수되는 사태가 일어났습니다. 다행히 엘리베이터 고장으로 이어지진 않았지만 침수가 됐기 때문에 각종 센서 이상이 언제 발생할지 모른다고 합니다. 고장이 발생하면 광주시에서 무상으로 수리해 주시진 않을 거 아닙니까? 고가의 수리비는 고스란히 입주민들 부담이 됩니다.

원인은 건축물 앞부분(도로사진-1의 녹색1번)에 맨홀이 있지만 비가 조금만 많이 오면 배수가 안 됩니다. 사실 배수용도의 맨홀도 아닌 거 같습니다. 배수가 안 되다 보니 도로전체가 빗물로 가득차고 물웅덩이가 생깁니다. 물웅덩이가 생기니 빗물이 도로를 따라 흐르다 건물 앞부분(도로사진-1의 녹색2번)이 낮아 건축물로 유입되는 현상이 일어납니다.
건축물로 빗물이 유입될 때는 도로 위부분에서 내려오는 흙이나 이물질, 쓰레기까지 쓸려 내려와 건축물로 들어옵니다. 항상 입주민이 비만 왔다하면 쓰레기 청소까지 해야 하는 어려움이 있습니다.
도로부분과 건축물 인도부분 연결이 낮게 시공되어 빗물의 유입이 되는 것 같아 건축물 시공업자에 문의하니 광주시 장애인협회에서 건축물 내부에서 도로로 휠체어가 다닐 수 있도록 요청했다고 합니다. 준공 승인을 받기 위해서 장애인협회의 요청대로 시공할 수밖에 없었다고 합니다.

도로의 빗물이 건축물로 유입되는 현상을 개선할 수 있도록 요청 드립니다.
건축물 앞부분(도로사진-1의 녹색1번) 도로에 배수용 TRENCH 설치하여 빗물이 도로 하수관으로 빠질 수 있도록 개선 바랍니다.
또한, 골목으로 들어가는 건물 앞부분(도로사진-1의 녹색2번)을 주도로보다 높게 재포장하여 도로를 따라 빗물이 흐르고 건축물로 도로의 빗물이 유입되지 않도록 개선 바랍니다.
높게 재포장하는 것이 급선무 아닐까 생각됩니다.

장마철이나 태풍, 기습폭우 등 비가 많이 온다는 예보만 있어도 공동현관 내의 엘리베이터가 또다시 침수 될까 불안합니다. 지난 폭우로 바쁘시고 어려움이 많으시겠지만 현장 확인하신 후 조속히 해결 될 수 있도록 조치 바랍니다.

감사합니다.",2022-09-21,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(1AA-2209-0703087)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 ""탄벌동 114번지 일원 도로에 우수 처리시설 설치 요청""에 관한 것으로 이해되며, 공공용 도로내 우수 처리시설을 보강하여 불편함이 없도록 조치할 계획임을 알려드립니다.
3. 다만, 수해복구 등 다수의 앞선 민원이 있어, 현재 복구에 모든 역량을 집중하고 있으며 이를 완료한 후 검토하여 추진할 예정으로 조치가 지연될 수 있음을 알려드리오니 이점 양해하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 지역개발과 개발행정팀 홍연우 주무관(☏031-760-4746)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2022-09-29,지역개발과
빌라공사로 인한 먼지와 소음 피해,"집 옆에서 빌라공사를하면서 먼지와 소음 그리고 대형 덤프트럭으로 인해 도로가 흙바닥이 되어 지저분하고 먼지가 계속 발생합니다.
초등학교 가는 통학 길이어서 아이들의 안전도 걱정이 됩니다.
먼지벽이나 안전 통제 하시는 분은 전혀 찾아볼수가 없고 건물 같이 보이시는분은 구경만하고 있습니다.
시정 담당자가 나와서 현장 점거후 안전교육과 이웃주민 피해 방지 교육을 시켜 주셨으면 합니다.",2022-09-21,"1. 안녕하십니까, 귀하께서 국민신문고에 신청하신 민원(1AA-2209-0697829)에 대한 처리 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 “공사 소음 및 먼지”에 관한 것으로 이해됩니다.

3. 귀하의 민원사항에 대한 처리결과는 다음과 같습니다.
- 현장관계자에게 귀하의 민원사항을 전달하였으며, 주변 주민들의 피해를 최소화하기 위해 소음 및 먼지 관리에 철저를 기하도록 지도하였습니다.
- 아울러, 현장 주변 도로 살수 및 방음방진벽 설치를 지시하였음을 알려드립니다.

4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 기후탄소과 생활환경팀(☎031-760-5637)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


",2022-09-27,기후탄소과
지난 폭우로 탈락 된 좁은 길 흙으로 덮어놓은 상태 에서,"다른 곳도 마찬가지 이겠지만..회덕 안쪽길 쎄븐 편의점 에서 10미터 내의 전방 좁은길이 폭우로 지면 탈락 됐었습니다. 이후 임시로 흙.돌 혼합하여 덮어놔 주셨는데 지금은 그 마져도 차, 사람이 오고 가니 타이어 밑 부분은 전부 들어가는 정도로 푹 파이고 맞은편 측도 그 정도로 움푹 들어가 있는상태, 한마디로 양쪽이 푹 파여 사람이 지나거나 할땐 파인 부분 피한다고 차들은 접근 쉽지 않습니다. 그 길이 멀쩡 할때는 한쪽 으로 차가 피해 사람 이나 마주오는 차가 지날수 있었는데 지금은 파인 부분 피하랴 사람 및 마주 오는 차량 양보 등 하려니 출퇴근시 혼잡했던 길이 더욱 혼잡해 지고 출퇴근 시간 외에도 그 길은 조금 이지만 혼잡한 부분이 되어버렸습니다. 제가 실제 아이들과 지나보니 파인 길도 피하랴 자동차 피하랴 매우 신경 쓰지 않을수 없었습니다.
빠른 보수 공사 부탁드리겠습니다.",2022-09-21,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(1AA-2209-0694099)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 ""회덕동 147-2번지 일원 도로 보수 요청""에 관한 것으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 먼저 도로 이용에 불편을 드린 점 되송하다는 말씀 드리며, 아시는바와 같이 지난 8월 8일 이후 우리 시에 내린 폭우로 인하여 광주시 관내 하천 및 도로의 유실 및 파손 등 공공시설의 피해가 극심한 실정으로
나. 우선, 하천 제방 유실로 인한 건축물 및 하천시설물 등의 붕괴 위험 및 도로 유실로 인한 위험지역 위주로 현재 응급복구에 모든 역량을 경주하고 있으며
다. 정상 복구는 추경 예산 확보(10월말 예정) 등을 통하여 지적하신 구간을 포함한 우리 시 전지역을 대상으로 조속히 조치할 예정이나, 예산확보, 설계 및 공사추진 등 순차적 진행에 기간이 소요됨을 알려드리오니 이점 널리 양해하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 지역개발과 개발행정팀 홍연우 주무관(☏031-760-4746)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝
",2022-09-29,지역개발과
인도가 절대적으로 필요한곳입니다.,"안녕하세요.
광주시능평동에살고있습니다.
올해아이가학교에입학하면서
도보로등교하고있습니다.
집앞에는인도가있는데
20미터가량정도만있어요.
상가들앞쪽에주차장을지나서가고있는데
베르빌아파트앞쪽은바로차도와붙어있고
차선과사람이지날수있는곳이채1미터도되지않습니다.
지금은저와함께등교하는데
아이가혼자서는다니기너무위험한곳입니다.
이곳이아니면
신호등이없는횡단보도늘2개나건너야하는데
양보해주는차량들이거의없어요.
학교가는길에있어야할인도나안전바는없어
너무나위험한길을아이들이다니고있답니다.
인도가절대적으로필요한곳이라
직접나와서보시고
빠른처리부탁드립니다.",2022-09-21,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(1AA-2209-0692871)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “능평동 172-3번지(시도15호선)일원 보도설치 요청”에 관한 것으로 판단 되며, 민원사항에 대해 검토한 의견은 다음과 같습니다.
가. 현재 우리시에서는 오포베르빌아파트 일원 보도정비사업 및 시도15호선(능평삼거리)보도설치공사를 추진중에 있으며 그간 차량 통행 위주의 도로환경에서 보행자 안전을 위한 통행 개편 필요성이 대두됨에 따라 지역 주민의 안전한 보행환경 확보(개선)의 요구에 부합하기 위해 적극적인 보도설치사업을 추진하고 있습니다.
나. 귀하의 민원대상지 능평동 172-3번지 일원(시도15호선)은 상가 밀집지역으로 보도가 존재하지 않는 구간이며, 상가건물의 도로점용 및 진출입로 관계 등 현장여건을 종합적으로 검토하여야 하는 사항으로 단기간 내 보도설치는 다소 어려움이 있음을 알려드리오니 이점 양해하여 주시기 바라며,
다. 향후 우리시 보행환경 개선사업 예산을 감안하여 연간계획을 수립할 예정으로써 차후 사업대상지 선정시 건의하여 주신 대상지에 대하여 보다 유념하여 안전하고 편리한 보행환경을 조성하도록 지속 노력하겠습니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로관리과 도로보수팀 정동현(☏031-760-4496)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-09-28,도로관리과
코로나 아직 끝이 아닌데....,"민원서류가 필요하여 초월읍행정복지센터에 방문을 하게 되었습니다.
점심시간 인근이라 분주한 직원들의 모습...
아직 코로나가 끝난게 아닌데...
마스크를 착용하지 않고 , 또 코는 내놓고 쓰고계신분이 있더라구요
그것도 코로나 관련 업무하시는거 같던데...
'나는 괜찮아' 라는 생각은 아직 아닌거 같아요..
조금더 마스크 착용에 신경써 주셨으면 합니다.
너무심각하게 생각을 안하는거 같아 이렇게 글을쓰게 되네요",2022-09-21,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2209-0689583)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 ""코로나 예방을 위한 마스크 착용 철저 요청""에 관한 것으로 판단됩니다.

3. 귀하의 요청사항에 대한 검토 결과는 다음과 같습니다.
- 먼저, 해당 사항으로 인하여 불편을 겪으신 점에 대해 사죄의 말씀을 드립니다. 앞으로 동일한 상황이 발생하지 않도록 직원 교육에 철저를 기하도록 하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 초월읍 행정복지센터(☎ 031-760-4698)로 문의하여 주시기 바랍니다.
",2022-09-28,초월읍
오산천 산책로 공사,"안녕하세요.
용인 처인구 능원리 오산천 산책로 공사가 경안천까지 이어진다고 기사를 봤습니다.
능원리까지는 산책로가 거의 완성 단계에 들어가는데 그다음부터는 공사가 진행되지 않는거 같아서요.
용인시와 광주시가 합작으로 오산천에서 경안천까지 이어진다고 들었는데 용인은 공사가 마무리 되어 가는거 같은데 광주는 시작도 하지 않은거 같아서 문의 드립니다.
공사 일정이 어떻게 되는지 계획이 알고 싶습니다.",2022-09-21,"1. 귀하의 가정에 행복이 가득하시길 기원합니다.

2. 귀하께서 국민신문고를 통하여 제기하신 오산천 산책로 조성 건의하신 민원에 대하여 다음과 같이 회신합니다.

□ 회신 내용
- 오산천은 지방하천(관리청:경기도)으로 경기도에서 추진 중인 2021~2030 지방하천 종합정비계획 상 2단계 사업으로 선정되어 향후 하천 개수사업이 예정된 하천으로 산책로 조성은 개수사업 이후나 병행하여 추진함이 타당할 것으로 판단되오니 이점 양해하여 주시기 바랍니다.

3. 기타 궁금하신 사항에 대하여는 광주시청 지역개발과(031-760-2564)로 문의주시면 상세히 알려드리겠습니다. 끝
",2022-09-27,지역개발과
중앙분리대설치,"신현동 창성시민교회에서 에코힐빌라단지
입구까지 중앙분리대 설치를 건의합니다.
도로 양쪽에 주차한 차량때문에 아침에는
넓은 도로가 교행이 안되고 모퉁이는 충돌사고 위험이 다분합니다.
더군다나 차도와 인도가 구분이 안되는 도로에 차량이 엉키고 등교하는 신현초등학교 학생들은 그 사이로 이리저리 피해 지나갑니다.
아침마다 벌어지는 상황이 늘 불안합니다.
도로 양쪽에 주차 차량이 없도록 중앙분리대 설초가 시급합니다.",2022-09-21,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 : 1AA-2209-0685537)[신현1지구 신현동 790-5번지 일원 중앙분리대 설치 요청]건에 대하여 아래와 같이 답변드립니다.

○ 도로 정비 요청하신 구간은 ""신현1지구 지구단위계획"" 상 공동주택건설을 위해 해당 사업시행자가 「국토의 계획 및 이용에 관한 법률」 제88조에 따라 실시계획인가를 득하여 시행 중인 구간으로,
○ 관련 절차 상 해당 구간은 토지 보상 및 공사 미완료로 해당 사업시행자가 관리하고 있는 사유지로써 해당 구간의 도로 공사를 조속히 시행할 것을 사업시행자에게 통보하였으며, 해당 도로 공사의 준공을 위하여 사업시행자 및 관련 부서와 지속 협의 중임을 알려드리오니 다소 불편하시더라도 널리 양해하여 주시기 바랍니다.

2. 귀하의 민원에 충분한 답변이 되었기를 바라며, 기타 문의사항은 도시민원과 도시행정팀(031-760-4587)으로 전화주시면 친절히 답변드리겠습니다. 감사합니다. 끝.
",2022-09-29,도시민원과
신촌천 심각한 오폐수 유입,"안녕하세요.

묵방리역 부근 신촌천 일부에서 생활하수가 아닌 오.폐수를 무단 방류 하는것 같습니다.

특히 이번 장마 후 좋아지던 물이 요 며칠사이 심한 냄새와 함께 색이 검은색으로 변하고 가끔 물에 거품까지 올라옵니다.
옆을 지나기만 해도 냄새가 역할 정도 입니다.
지도로 표시한 부분이 오염이 심합니다.
(곤지암리 555-32 번지 앞쪽 하천)

오.폐수 유입부분 현장조사 조속히 부탁드립니다.",2022-09-20,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호1AA-2209-0654002)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 곤지암리 555-32번지 일원(신촌천) 차집맨홀 역류에 대한 조치 요청에 관한 것으로 판단됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다
- 귀하께서 문제 제기하신 곤지암리 555-32번지 일원 차집맨홀 역류에대한 조치 요청과 관련하여 도시관리공사를 통해 신촌천 일대에 차집관로 준설 및 보수 조치를 단계별로 조치하고 있으며, 9월중 조치 완료할 예정임을 알려드리오니, 이점 양해하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 하수과 관로정비팀 김슬기 주무관(☎760-2168)으로 연락주시면 성심껏 안내해 드리겠습니다. 감사합니다. 끝.
",2022-09-27,하수과
우남퍼스트빌아파트 주민들이 삼동역에 빨리 갈 수 있는 도로나 지하차도 신설 제안,"삼동역 근처에 있는 우남퍼스트빌아파트 주민들이 삼동역에 가기 위해서 버스를 타거나 도보로 15분 이상 걸어야 하는 불편함이 있습니다.
삼동역이 코앞에 있는데도 도로 따라 돌아서 가야 됩니다. 그래서 우남퍼스트빌아파트에서 삼동역까지 바로 이어주는 도로나 지하차도를 신설해주셨으면 합니다. 이게 신설되면 5분 안에 걸어가서 삼동역에 빠르게 도착할수 있습니다. 우남퍼스트빌아파트는 지금보다 훨씬 초역세권 아파트로써 빛나게 될 겁니다.",2022-09-20,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2209-0639601)에 대하여 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 ""우남퍼스트빌아파트~삼동역 연결도로 개설 요청""으로 이해됩니다.
3. 귀하의 민원사항에 대하여 검토의견은 다음과 같습니다.
- 우리시에서는 도로의 원활한 건설 및 도로의 유지·관리를 위하여 5년마다 「광주시 도로건설 관리계획」과 「광주시 농어촌도로 기본정비계획」수립하여 도로건설의 세부 집행계획을 마련하여 사업을 추진하고 있습니다.
- 귀하께서 건의하신 우남퍼스트빌아파트~삼동역 연결도로 개설 요청의 경우 광주시 계획에 반영되어있지 않아 별도의 사업계획 추진은 불가한 사항이며, 향후 추진 될 「도로건설 관리계획」과 「농어촌도로 정비계획」수립 시 광주시 도로망 계획과 종합적으로 검토하여야 할 사항입니다.
- 또한, 현재 우리시에서 추진 중인 도로개설 현안 사업이 60건 이상이고, 광주시 도로건설 계획 18개소, 농어촌도로 105개소이며, 이에 따른 추정사업비 11,269억원이 예상되는 상황으로 신규 도로개설 계획의 사업추진은 현실적으로 어려운 여건임을 알려드리오니 이점 양해하여 주시기 바랍니다.
4. 답변 내용에 대한 추가 설명이 필요할 경우 도로사업과 도로계획팀(☏031-760-4553)으로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다. 끝.
",2022-09-26,도로사업과
직동 레미콘공장 건축을 반대합니다.,"직동 레미콘공장 건축을 반대합니다.
1. 주민의견 미수렴
레미콘 공장은 해당공장부지 인근 일부공장들의 의견만 수렴하여 건축허가가 승인되었습니다.
레미콘 공장은 1급발암물질, 분진, 오염물질발생등 인근 주거지역 환경에 악영향을 끼칠수 있기에 광남1,2동 주민들의 의견이 최우선되어야 합니다.
주민의견을 무시하고 진행된 유해시설 건축허가는 철회되어야 합니다.

2. 제대로 검토하지 않은 자료 (단위 1루베=1000L)
광주시 수질정책과 문의결과 해당업체는 물환경보전법에 저촉되지 않도록 폐수위탁처리기준량을 일 20루베 이하로 맞춰서 폐수산출량을 제출하였고 이를 근거로 협의하여 건축허가가 승인되었습니다.
해당업체에서 광주시에 제출한 ""차량세척수 산출근거""는 1일 35대 운행기준으로 레미콘 차량 1대당 세척수 180리터를 사용하는것으로 되어있으나 공장생산계획에는 일1000루베생산, 167회 기준으로 되어있습니다. (레미콘 1대당 6루베 운송가능)
(제출자료) 35대(일) X 180L(대)= 6300L(일)=6.3루베(일)
폐수 배출을 6.3루베로 맞추기 위해서는 아래와 같이 바뀌어야 합니다.
35대(일) X 5.5회(일) X 38L(회)= 6346L(일)=6.3루베(일)
레미콘차랑 바퀴 세척을 위한 세륜시설 세척수 산출근거는 레미콘 생산량 1000루베(일), 레미콘차량운반 6루베(회)로 하루 167회 운반으로 되어있고 1대 바퀴닦는데 60L의 물을 사용합니다.
바퀴닦는데 60리터를 사용하는데 시멘트잔여물 제거를 위한 세척수를 38L만 사용한다는것은 말도안되는 허위자료를 제출한것입니다.
조사한바에 의하면 레미콘차량은 세척수를 회당 1루베 이상을 사용하며 위의 산출근거로는 세척수만 일 167루베 이상으로 물환경보전법 기준에 위배됩니다.

3.재해환경영향평가 미실시
레미콘공장은 개발행위허가대상이 아니라는 이유로 재해환경영향평가를 미실시하고 도시계획위원회의 심의를 받지 않았습니다.
대규모 주거밀접지역, 보전관리지역 인근에 대규모 유해시설 건축을 허가하며 이런 절차들을 무시하는일은 절대 있어서는 안됩니다.

4. 교통영향평가, 교량안전대책 미수립
해당업체의 차량 진출입 계획은 레미콘 80회, 골재차량 6회로 되어있습니다.
모래수송차량, Fly Ash수송차량, 시멘트 수송차량은 누락시켰고 골재 수송계획은 일260루베라서 6회 운행시 한대당 43루베를 수송해야합니다.
골재는 루베당 1.7톤정도의 무게가 나가기 때문에 골재 수송차량은 차량무게를 제외하고도 73톤의 무게가 됩니다.
해당공장은 입지상 공장진입시 교량을 필수로 통과하여야하고 인접한 교량은 DB-18(2등급)교량으로 추정되며 해당 교량이 견딜수 있는 하중은 32.4톤으로 골재차량은 진입이 불가능합니다.
레미콘차량도 일 167회 이상통과, 재료 운반을위한 차량통과 횟수를 고려하여 해당교량들의 안전과 제대로된 교통영향평가가 없는 허가는 철회해야합니다.
제대로된 자료검증과 주민들의 의견수렴없이 허가담당자의 재량만으로 편법으로 이루어진 건축허가를 즉시 철회해주십시요!",2022-09-17,"1. 귀 가정의 건강과 행복을 기원합니다.
2. 귀하께서 국민신문고에 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
○ 민원 및 회신내용
- 직동 102-20번지 일원 상 아스콘 공장 등 건축 반대
⇒ 직동 102-20번지 공장건축허가건의 경우 건축허가취소를 위한 행정절차(청문 등)를 진행중임을 알려드리니 이점 이해 있으시길 바랍니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가로 궁금하신 사항에 대하여는 건축과 건축2팀(☎ 031-760-8630~8634)으로 문의 하시면 성심껏 답변 드리도록 하겠습니다. 끝.
",2022-09-26,건축과
