제목,내용,작성일자,답변,답변일자,담당부서
버스정류장 다시 새로 만들어 주세요!!!!(퇴촌 나눔의집 입구),"퇴촌 <나눔의집 >입구 마을 버스 정류장
다시 만들어 주세요!
마을 입구에 버스정류장이 있는데
위험하기 짝이 없고,
너무 노후된 채로 흉물스럽게 되어가고 있습니다.
그래도 <퇴촌 나눔의 집>을 공공교통 수단을 이용해 오시는 분들이 계시는데 정차하는 입구 버스정류장이 노후가 되어있고 너무 관리가 안되어 있습니다.
무엇보다 사고의 위험이 큽니다.
그 흔한 버스도착 알림도 없고!!!!
버스정류장에 전등도 없어서!!!!
(어떻게 몇미터 앞의 버스정류장은 새로 만들어
버스도착알림판과 전등도 환하게 비추고 있는데
여기는 아무 것도 조치를 하지 않았는지!!!)
사람들이 승하차 하는데 위험하기까지 합니다!!!!
밤에는 사람이 보이지 않아
아이들이 학교와 학원을 오가는데
도저히 그 위험함을 두고 볼수가 없습니다!!!
저녁에는 가로등도 없이 깜깜해서 자칫 사고로 이어질까 걱정됩니다.
버스를 타고 내리는 사람, 버스를 기다리는 사람,
승용차를 타고 마을로 들어오는 사람과 나가는 사람..서로 서로 아슬아슬하게 지내고 있습니다.
다시 새로 만들어 주세요!!!!
버스도착 알림판도!!!
밤에는 환한 전등도!!!!!
편안하고 따뜻한 의자도!!!
혹여 사고가 난다면 책임을 묻겠습니다!!!",2022-11-05,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2211-0159188)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “버스정류시설 교체 요청 등”에 관한 것으로 판단 됩니다.
가. 먼저, 버스정류시설 이용에 불편을 드려 송구합니다.
나. 우리시는 버스정류장 내 노후시설의 정비를 위해 버스승강장 연차별 정비계획을 수립하여 추진 중에 있으며,
다. 나눔의집(38821) 버스정류장은 2023년도 정비 대상에 포함되어 시설 교체 및 버스정보안내전광판 등의 설치를 추진할 예정입니다.
라. 다만, 예산편성 등에 따라 설치시기는 변경될 수 있음을 알려드리오니 이점 양해하여 주시기 바랍니다.
마. 아울러, 온열의자는 설치 후 이용불편 및 잔고장 등의 불편신고가 급증하고 있어 추가 설치를 잠정 중단한 상황으로, 향후 문제점 등이 보완되는 경우 설치사업 재추진을 검토할 예정이오니 이해 부탁드립니다.
다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 교통과 교통시설팀 김재흥 주무관(☏031-760-8793)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-11-08,교통과
쓰레기 분래배출 안내 강화,"오포로 498-15 태성빌 주민입니다.
쓰레기 분리배출이 너무 안돼고 있어요...
아주 한심스러워 짜증이 납니다.
뭐가뭔지도 모르고 음식물쓰레기를 PET병수집칸에 넣지 않나
음식물 쓰레기통에 음식물 쓰레기를 그냥 넣지 않나, 종이와 플라스틱, 페트병 구별을 못합니다.
제가 어떻게 할 수가 없네요...
칸마다 넣을 수 있는 배출물을 그림을 붙혀놓거나
교육이 되는 큰 포스터를 붙혀주거나
무슨 교육 같은게 필요합니다.
더 적극적인 홍보행정이 필요합니다.,
포스터 같은게 있으면 보내주세요
제가 붙힐께요...
빌라촌의 사람들 분리배출에 대한 인식이 너무 부족해요
사람만 탓할게 아니라 잘 할 수 있게 유도를 해야 할것 같습니다.",2022-11-04,"□ 민원내용 : 신현동 지역 분리배출 홍보 강화 요청
□ 답변내용
1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2211-0133169)에
대한 사항을 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 “신현동 지역 분리배출 홍보 강화 요청”에 관한 것으로 판단됩니다.
3. 귀하의 민원에 대한 답변은 다음과 같습니다.
- 현장 분리수거대에 분리수거 칸마다 분리수거 할 수 있는 물품명을 부착하고 무단투기 방지 문구를 부착하였습니다. 향후에도 전단지 배포등 분리수거 정착을
위해 지속적으로 홍보활동을 하도록 하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변에 대한 추가설명이 필요한
경우 오포1동 환경관리팀 정재안 주무관(☎031-760-4850)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-11-07,지역안전과
오포안로 가로등 상태확인요망,"집앞 가로등이 불이들어오지 않은상태로 몇달째 방치되고있어 귀가시 매우불편함
계절이바뀜에따라 일몰시간이 빨라지는데 깜깜한길을걷다보면 오고가는 차량에 위험했던적이 한두번이아님 노약자들은 더욱 취약할것이므로 조속히 확인하여 조치바람",2022-11-03,"1. 안녕하십니까? 귀하께서 국민신문에 신청하신 민원(신청번호/1AA-2211-0108554)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 ""보안등 보수 요청"" 에 관한 것으로 판단 됩니다.

3. 귀하의 요청 사항에 대한 검토 의견은 다음과 같습니다.
○ 먼저 통행에 불편을 끼쳐드린 점 양해부탁드리며, 해당 보안등은 2022. 11. 11.(금)까지 보수할 예정임을 알려드립니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 도로관리과(☎031-760-2173)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-11-09,도로관리과
역동 불법주정차,"역동 자이아파트앞 도시개발지역 불법주정차로 인해 통행에 불편함과 그로인한 쓰레기 무단 투기가 많이 발생하여 매우 불편함이 많습니다
불법 주정차 단속을 통해 생활이 편리할 수 있게 부탁 드립니다",2022-11-02,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 역동 자이아파트 앞 도로 주정차 위반 단속 요청사항으로 이해되며 검토한 의견은 다음과 같습니다.

- 신고하신 해당 구간에 대해서는 2023. 1. 부터 불법 주정차 단속 CCTV를 운영할 예정이며, 지속적으로 이동식 단속차량 투입 및 순회단속을 실시함으로서 주정차 위반으로 인한 불편이 최소화 되도록 노력하겠습니다.

3. 답변 내용에 대한 추가 설명이 필요한 경우 광주시 교통과 황근선 주무관(☎031-760-2112)에게 연락해주시면 상세히 설명해 드리겠습니다. 감사합니다. 끝.
",2022-11-08,교통과
"고산하늘초등학교 앞 도로 (어린이 보호구역)내 320번, 32-1번, 3302번 회차금지 요청","광주시민의 생명 지킴이 역할을 다하는 귀하의 노고에 감사드립니다.
다름이아니옵고 고산하늘초등학교 및 고산유치원 앞 도로 (어린이 보호구역)에 대중교통 버스가 도착후 출발을 위해 이 도로로 회차하고 있습니다. 어린이 및 유아들은 키가 작아 잘 보이지 않고, 초록색 교통신호만 보면 무조건 달려가는 습성이 있으며, 어디에서 튀어 나올지 모르는 항상 사고의 위험이 있는 구역입니다. 320번, 3302번(좌석), 32-1번 버스가 다른 경로로 회차할 수 있도록 조치해주십시오. 또한 경로를 이탈하여 운행시는 불이익을 주는 제도도 고려해 주셨으면합니다. 제발 사고 나기전에 빨리 조치해 주십시오.

별첨 1. 고산하늘초등학교 앞 도로 회차지역 이미지 1부
2. 일반버스(320)번 우회하는 사진 1부 끝.",2022-11-02,"1. 귀하의 가정에 행복이 가득하길 기원드립니다.

2. 귀하께서 국민신문고에 신청하신 민원(1AA-2211-0063450)이에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 민원내용: 초등학교 인접 도로 버스통행 제한(32-1번, 320번, 3302번)
○ 회신내용
- 답변에 앞서 우리 시 시정에 관심을 가져주셔서 감사드립니다.
- 고산초등학교와 인접한 도시계획도로(중로 2-33)를 통행하는 관내 버스에 대하여 해당 운수업체에 통행 제한에 대한 협조 요청을 하였으며, 어린이보호구역 상 교통사고를 예방하기 위해 더욱 노력하겠습니다.

3. 귀하의 민원내용에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 교통과 이기준 주무관(☎031-760-8782)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-11-15,교통과
빌라단지 앞 도로포장좀 해주세요,"기존에도 민원이있었던것 같은대 전혀 개선이 되지 않았고 , 8월에 수해가 나고 나서 도로포장이 모두 벗겨져 나가고 시멘트만 울퉁불퉁하게
드러나 있는 상태입니다. 벌써 3개월이 다되가는대 전혀 복구된것은 없고 차가 다닐때마다 손상이 가는 느낌입니다.
뉴스에도 나올정도로 피해입은 곳이대 복구가 전혀안되고 있는것이 답답합니다. 겨울오기전에 빠른 처리좀 해주세요",2022-11-01,"1. 귀하께서 신청(신청번호 1AA-2211-0017159)하신 ""지월리 757-147번지 일원 수해로 인한 도로 보수"" 요청 민원에 대하여는 다음과 같이 답변드립니다.
- 지월리 757-147번지 일원 도로는 아래 도시민원과 답변사항과 같이 토지소유자가 관리하여야 하는 사유지 이며, 현재 도시민원과에서 수허가자 등에게 도로 포장공사가 시행 될 수 있도록 지속적으로 요청중에 있음을 알려드립니다.
- 다만, 인근 주민들의 도로 이용에 불편한이 클 것으로 판단되어 사유지에 대한 토지사용승낙서가 제출된다면 마을단위 사업으로 포장공사 시행 가능 여부를 검토 후 추진할 사항임을 알려드리오니, 이점 양지하여 주시기 바랍니다.
2. 귀하의 민원내용에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 초월읍 개발팀 김기환주무관(☏031-760-2542)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

【도시민원과 답변사항】
1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2211-0017159)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 '초월읍 지월리 757-147번지 일원 도로 포장 요청'에 관한 것으로 이해(또는 판단)됩니다.
3. 귀하의 민원에 대해 검토한 의견은 다음과 같습니다.
- 먼저, 쾌적하여야 할 주거환경에 불편함을 겪고 계신 점 사과의 말씀을 드립니다. 초월읍 지월리 757-147번지 및 지월리 757-103번지 일원은 토지 소유주가 관리하여야 할 사유지임을 알려드리며
- 해당 필지 일원 주민들의 불편함을 줄이고자 수허가자 및 시공사 측에 지속적으로 조치를 요청중이며 주민들의 불편함을 감안하여 도로 포장 공사를 조속히 완료할 것을 요청하였음을 알려드립니다. 다소 불편하시더라도 널리 양해하여 주시기 바랍니다.
- 기타 궁금하신 사항은 도시민원과 농지개발팀(☎031-760-4572)으로 문의하여 주시면 자세히 안내하여 드리겠습니다. 끝.
",2022-11-09,초월읍
광남동 주민자치센타 수강료,"주민자치센타 프로그램 등록해서 열심히 잘 다니고 있습니다..근데 궁금한점이 있어서 문의드립니다
만 65세 되면 할인해 주는 곳도 많은데..여긴 할인안해주네요..수강료도 작년보다 많이 올라갔는데..
광주시에서 지원이 안되고 있나요..아님 주민센타 에서 못해주는건가요..다른 지역은 혜택을 받고 있는걸로 아는데.. 우리도 혜택 주세요..
주민센타에 문의햇더니 정책상 저소득청만 해당이 된다고 합니다..나이 많아서 수입도 없는데 취미생활 잘 할수있게 도와주세요..부탁드립니다",2022-11-01,"1. 귀하의 가정에 건강과 행복을 기원합니다.

2. 귀하께서 국민신문고로 신청하신 민원(1AA-2211-0014451)과 관련하여

- 주민자치센터 프로그램 수강료는 '광주시 주민자치센터 설치 및 운영 조례'의 범위 내에서 동장과 협의하여 주민자치위원회가 정하는 사항으로, 문의주신 불편사항은 주민자치위원회와 협의하여 검토하도록 하겠습니다.

- 또한 문의 주신 수강료 감면(할인)과 관련하여 '광주시 주민자치센터 설치 및 운용 조례' 별표 감면기준에 따라 감면 대상이 선정되는 것으로, 감면대상 기준을 아래와 같이 안내드리오니 해당 되는 항목이 있으면 증빙서류 지참하여 주민자치센터 사무실(2층, ☎031-763-1960)로 방문 및 문의 부탁드립니다.


구 분
감면비율
감 면 대 상
수강료
50%
?「국민기초생활 보장법」에 따른 생계· 의료· 주거· 교육 급여 수급자
?「국가유공자 등 예우 및 지원에 관한 법률」에 따른 국가유공자[유공자 본인,
배우자, 유족 중 선순위자, 활동보조인(유공자가 상이등급 1∼3급인 경우)]
?「장애인복지법」에 따라 등록된 장애인
?「기초연금법」에 따른 기초연금 지급대상자
?「한부모가족지원법」에 따른 수혜대상자
?「광주시 병역명문가 예우 및 지원에 관한 조례」에 따른 예우대상자
? 그 밖에 주민자치위원회가 읍면동장과 협의하여 필요하다고 결정한 사람


3. 만족스러운 답변이 되었기를 바라며, 추가 설명이 필요한 경우 광남2동행정복지센터(☎031-760-4816) 혹은 광남동주민자치센터 사무실(☎031-763-1960)로 연락 주시면 설명드리도록 하겠습니다. 끝.
",2022-11-07,광남2동
저희집 북쪽방향 창문에서 저녘마다 탄냄새가 들어와요 미치겠습니다.,"저녘 7시~9시 사이쯤마다 거의 일주일에 세네번 이상씩 탄냄새가 들어옵니다. 한달이상 지속되었구요
집에 아이가 둘인데 요즘들어 목감기도 자주걸려서 이것 때문인지 스트레스 받아서 미치겠습니다.
꼭좀 해결해 주십시오.",2022-10-31,"1. 귀 가정의 건강과 행복을 기원합니다. 귀하께서 국민신문고에 신청하신 민원(1AA-2210-1046226) 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 “문형동 144-21번지 거주지 인근 악취로 인한 생활불편”에 관한 것으로 판단됩니다.

3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.
- 상기 거주지 인근 사업장 등을 점검하였으나 특이사항을 발견치 못하였음을 알려드립니다. 추후 악취 재발 시 문의주시면 재차 현장 방문하여 확인할 예정임을 알려드립니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 기후탄소과 생활환경팀 박경남 주무관(☎031-760-2859)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
",2022-11-07,기후탄소과
경기광주 520번 버스 배차횡포,"경기 광주 520번 버스 주말 토욜 일욜 배차시간에 문제가 많습니다
주민들이 너무 불편해 하고 있는데도 불구하고 일욜 같은경우 40분 간격으로 배차를 한다는건 문제가 있다고 봅니다
여기가 무슨 산골짜기도 아니구
신현동으로 바꾼 이유가 뭔가요?
그만큼 인구증가가 많다는거 아닌가요?
그런데 어떻게 서현역 으로 가는버스는 1대노선 뿐으로 520번 버스는 횡포가 심한거 같네요
선처부탁드립니다",2022-10-31,"1. 귀하의 가정에 행복이 가득하길 기원드립니다.

2. 귀하께서 국민신문고에 신청하신 민원(1AA-2210-1041296)에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 민원내용: 520번 배차간격 단축
○ 회신내용
- 답변에 앞서 버스 이용에 불편을 드린 점 넓은 마음으로 양해 부탁드리겠습니다.
- 민원을 제기하신 520번 버스노선은 관내 운수업체에서 우리 시에 인가받아 운영 중인 민영제 노선으로서 코로나19의 여파로 인해 감차 운행되고 있는 상황입니다.
- 이러한 상황 속에서 최근 일상 회복 및 버스 이용수요 증가에 맞춰 정상화되기 위해 노력 중이나, 약 3년에 걸쳐 지속된 코로나19로 인해 운수종사자 이탈이 심했던 관계로 운수종사자 확보에 다소 시일이 소요되어 증차가 지연되고 있습니다.
- 빠른 운행 정상화를 위하여 해당 노선 버스업체와 적극 협의하여 상기 버스 이용환경이 개선될 수 있도록 노력하겠으며, 해당 노선의 불규칙적인 배차간격에 대하여 운행기록부 등을 확인하여 임의 사업계획 변경 등 위반사항이 확인될 시 관련 규정에 따라 적의 조치할 예정임을 알려드립니다.

3. 귀하의 민원내용에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 교통과 이기준 주무관(☎031-760-8782)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-11-07,교통과
불법건축물의심,"회덕동벽산아파트정문에 불법으로 식물,소금등을 판매하는곳이 있는데 이곳에서 남성여럿이 술을
자주 마십니다. 이곳은 전에는 회덕치과앞에 있었는데 도로가생기면서 아파트정문쪽으로 옮겼음. 술마시는아저씨들이 있으니 보기에 거북하고 아이가 지날때마다 무섭다고합니다. 지금은 떼었지먀
여름에는 큰 인형을 걸어두어서 섬찟한느낌.
개인땅인지는 모르겠으니 확인부탁드려요",2022-10-31,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2210-1034066)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 [회덕동 433-1번지 일원 불법 점유 조치요청]에 관한 것으로 이해됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
- 회덕동 433-1번지 일원 불법 점유 사항에 대해 2022.11.3.(목) 현장 확인하여 행위자에게 국유지 내 불법 점유물 원상복구 현장계도 및 원상복구 명령 통지하였음을 알려드립니다.

4. 귀하의 민원내용에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 재산관리과 최은비 주무관(☎031-760-4711)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
",2022-11-07,재산관리과
