뉴스 식별자,출처,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01500901.20230326141013001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230326141013001,2023-03-26,울산매일,백주희 기자,헌재 '검수완박법 유효' 결정에 여야 치열한 공방전,정치>국회_정당, 정치>행정_자치, 정치>청와대,범죄>범죄일반>절도,,,"김기현,이석태,남구,문재인,문형배,이미선,김기영,박홍근,윤석열,한동훈,한,유남석",,"민주당,정부,헌법재판소,국회 법제사법위,더불어민주당,헌재,국회,법무부,자유민주,국제인권법연구회,우리법연구회,국민의힘","유효,헌재,검수,완박법,결정,여야,치열,공방전,헌법재판소,검수완박,검찰수사권,완전박탈,결정,여야,공방,더불어민주당,주도,국회,통과,검수,완박,입법,헌재,검사,수사권,소추권,침해,국회,법제,사법,위원회,국민의힘,의원,심의,표결권,침해,인정,법률,가결,선포,행위,유효,결정,국민,헌법,재판관,성향,부각,편파성,지적,민주당,헌재,권한쟁의심판,장관,한동훈,법무부,국회,입법,도전,사퇴,촉구,국민,김기현,남구,대표,26일,카르텔,헌법,궤변,민변,우리법연구회,국제인권법연구회,출신들,구성,정당,카르텔,결정,자신,출세,민주당,보은,질타,헌법,재판관,유남석,이석태,김기영,문형배,이미선,문재인,정부,임명,5명,재판관,우리법연구회,민주사회,변호사모임,민변,국제인권법연구회,활동,좌파,성향,재판관,결정,주장,대표,양심,노릇,정당,하수인,재판관,이름,참칭,분노,유감,역사,곡학아세,몰염치,혐의,징벌,강도질,유효,논리,미개,원시국가,정상적,자유민주주,법치국가,용납,신적폐,세력,사회,똬리,자신들,권력,방치,나라,비정상,정상,세력,몰상식,대응,총력,강조,민주당,헌법,재판소,결정,동의,장관,한동훈,법무부,비판,박홍근,원내,대표,최고,위원,회의,장관,정권,윤석열,검사,2인자,오만,권력,국회,입법,도전,권한쟁,심판,제기,장관,헌법,재판소,판결,사퇴,촉구","재판관,민주당,헌법재판소,신적폐,민변,우리법연구회,검수완박,법무부,한동훈,재판소,국민의힘,박홍근,연구회,국제인권법연구회,윤석열,하수인,곡학아세,몰염치,이미선,문형배,문재인,민주주,김기영,법치국가,표결권,원시국가,위원회,편파성,강도질","헌법재판소의 '검수완박(검찰수사권 완전박탈)법' 결정을 두고 여야간 공방이 이어지고 있다. 

더불어민주당이 주도해 지난해 국회를 통과한 검수완박 입법에 대해 헌재는 검사의 수사권 소추권을 침해하지 않았고, 국회 법제사법위원회에서 국민의힘 의원들의 심의 표결권을 침해한 것은 인정되지만 법률 가결 선포 행위는 유효하다고 결정했다. 

이에 대해 국민의힘은..",http://www.iusm.co.kr/news/articleView.html?idxno=1011488,
01500901.20230326222128001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230326222128001,2023-03-26,울산매일,고은정 기자,첼로 비올라 연주 '부부 음악가'...환상적 화음,문화>음악, 문화>전시_공연, 문화>방송_연예,,,,"비올라,박노을,에르완,리샤","독일,프라이부르크,(재)울주문화재단,빈,콩쿠르,바르샤바","국립음대,현대,수원대,파리,뮌헨,음대,파리 국립고등음악원,유공,울주문화예술회관","음악가,첼로,비올라,연주,부부,환상적,화음,울주문화재단,울주문화예술회관,이달,8시,하우스,콘서트,하우스,콘서트,울주문화예술회관,자체,기획,공연,해설,클래식,애호가,초보,관객,마지막,수요일,마지막,문화,진행,공연,에르완,리샤,박노을,현악,무대,부부,음악가,비올라,첼로,듀오,편성,관객,특별,울림,예정,연주가,공연,장필리프,바흐,베토벤,벨라,바르톡,작품들,편곡,에르완,리샤,국립음대,독일,프라이부르크,국립,음대,석사과정,파리,국립,고등,음악원,석사,최우수,졸업,멤버,파리,현대,음악,앙상블,Ensemble,Cairn,창단,교수,수원대,음대,재직,후학,양성,첼리스트,박노을,최고연주자,뮌헨,국립,음대,최고,연주자,국립,음대,솔리스트,졸업,4위,바르샤바,첼로,국제,콩쿠르,하이든,국제,콩쿠르,청중상,대회,각종,국제,수상,코리안,챔버오케스트라,수석,활동,관람료,65세,장애인,유공자,다자녀가정,50%,할인,울주문화예술회관,www.ucf.or.kr","국립음대,울주문화예술회관,솔리스트,박노을,뮌헨,관람료,에르완,수원대,리샤,음악가,바르샤바,하이든,독일,프라이부르크,다자녀가정,다자녀,유공자,바르톡,벨라,작품들,장애인,베토벤,65세,바흐","(재)울주문화재단 울주문화예술회관은 이달 29일 오후 8시, 3월 하우스콘서트를 선보인다고 밝혔다. 

하우스 콘서트는 울주문화예술회관의 자체 기획공연으로 곡에 대한 해설이 함께해 클래식 애호가뿐만 아니라 초보 관객들도 쉽게 즐길 수 있다. 

매달 마지막 주 수요일인 문화가 있는 날 진행되는 이번 공연은 에르완 리샤와 박노을의 현악 무대로 채워진다. ..",http://www.iusm.co.kr/news/articleView.html?idxno=1011577,
01500901.20230326210758001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230326210758001,2023-03-26,울산매일,고은정 기자,[떼까마귀 소설로 날다 _제 3作] 김태환 작가의 '장현동 까마귀' (2),문화>생활, 문화>출판, 문화>방송_연예,,,,"김태환,장현동 까마귀","함바,하도,양계장,알렉산더,양계,성혜마을","디오게네스,성혜마을","떼까마귀,소설,김태환,작가,장현동,까마귀,남자,기미,디오게네스,알렉산더,대왕,햇빛,항의,모습,원짜리,남자,바람,방향,길옆,생각,출발,운전,백미러,남자,동태,주시,미터,남자,길섶,노릇,성혜마을,나환자들,나환자들,양계장,운영,마을,형성,양계장,건물,공장,시작,공장설립,규제업종,제재,입주,장점,양계장들,급속,시작,양계장,주인,공장,건물,주인,임대료,생활,성혜마을,사장,사람,사장,나환자,성혜마을,공장근로자들,상대,함바,식당,운영,사람,닭장,공장,사장,봉고차,새벽인력시장,그날,인부,성혜마을,인부들,성혜마을,소리,인부들,성혜마을,사람들,행선지,인부들,사람,마을,광장,기겁,생각,마을사람,얼굴,가겟집,아저씨,사람,시내,호기심,두려움,사람들,적응,사람간,전염,설명,불안감","성혜마을,양계장,인부들,사람들,나환자들,봉고차,김태환,알렉산더,장현동,디오게네스,규제업종,함바,길옆,호기심,가겟집,원짜리,백미러,사람간,길섶,행선지,근로자,임대료,마을사람,양계장들,공장설립,성혜,닭장,공장근로자들,떼까마귀,불안감,시간date,사람,공장,남자,마을,주인,사장,나환자,생각","남자는 여전히 돈을 받을 기미가 보이지 않았다. 오히려 귀찮다는 빛이 역력했다. 마치 디오게네스가 알렉산더 대왕에게 어서 비켜 달라고, 햇빛을 가리지 말라고 항의하는 모습을 보는 것 같았다. 은근히 화가 치밀었다. 만 원짜리를 남자 앞으로 던졌는데 바람의 방향을 잘못 탔는지 길옆의 풀 섶으로 날아갔다. 어련히 주워서 가겠지 생각하며 차를 출발시켰다. 운..",http://www.iusm.co.kr/news/articleView.html?idxno=1011587,
01500901.20230326191115001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230326191115001,2023-03-26,울산매일,이수화 기자,서울산새마을금고 장학금 수여식,지역>강원, 지역>울산, 지역>충남,,,,최해식,"서울산새마을금고,서울산새마을금고 장학금 수여식",,"수여식,서울산새마을금고,장학금,서울산새마을금고,이사장,최해식,지역발전,이웃,사랑,실천,지역,우수인재,대학생,73명,선발,4,080만,장학금,지급,서울산새마을금고,제공","서울산새마을금고,장학금,대학생,최해식,우수인재,지역발전,이사장,수여식,지역,실천,대학,인재,우수,선발,발전,이웃,사랑,지급,제공","서울산새마을금고(이사장 최해식)는 지역발전 및 이웃사랑 실천을 위해 지역의 우수인재 중,고,대학생 73명을 선발하여 총 4,080만원의 장학금을 지급했다. 서울산새마을금고 제공",http://www.iusm.co.kr/news/articleView.html?idxno=1011621,
01500151.20230326000220001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230326000220001,2023-03-26,경남도민일보,남석형 기자,통영 거제 '굴 수출 길 막힐라' 긴장,경제>무역, 국제>일본,,,,,"지,지홍태","거제만,산양읍,미국,해역,일본,고성,한국,욕지면,남해안,사량도,거제시,ㆍ중국ㆍEU,한산~,도산면,통영,항포구,미,거제,옥주원,통영시,사량면","수협,FDA,미국,해역,굴수하식수협,경제산업국장,식품의약국,경남도,한국,행정부지사,사량면장,통영,통영시,해양수산부,검단,경남","통영,거제,수출,긴장,통영,거제,지역,양식,시험,심정,긴장,점검,미국,FDA,해역,미국,FDA,식품의약국,점검,한국,해역,1972년,ㆍ미,패류,위생,협정,근거,핵심,품목,한국,1960년대,미국,수출,모색,미국,세계,소비량,세계,60%,차지,미국,한국,위생,협정,해역,점검,수출,양국,2015년,대미,수출,냉동,패류,위생관리,양해각서&,협정,갱신,미국,점검단,판정,일본,중국,EU,수출,국가,실제,점검단,미흡,오염원,관리,한국,2002ㆍ2012년,해역,FDA,지정,남해안,3만,4435ha,경남,해역,2만,5849ha,해역,지정,연간,생산,패류,63%,차지,경남,미국,수출,3155t,2700만,달러,전량,한국,주기,FDA,위생,점검,점검,2017년,코로나19,중단,6년,6명,FDA,점검단,점검,통영,한산,거제만,고성,자란,통영,사량도,예정,현장,점검,육상,해상,구분,육상,하수처리시설,가정집,정화조,항포구,화장실,해상,가두리,양식장,유어장,바다,공중,화장실,경계표지부표,점검단,평가회,개최,보고서,작성,절차,결과,통보,지역,지자체,수산업계,공동,분위기,통영,해역,지정,해역,3가량,차지,명성&,긴장,조합장,지홍태,굴수하식수협,소비자들,FDA,지정,청정,해역,생산,굴&,판매,문구,FDA,절차,통과,생산,인식,점검,FDA,생계,어민,직결,조합장,수협,어민들,만큼,준비,점검단,구성원,성향,예측,통영시,바다,공중,화장실,가정집,정화조,해상,관리,오염,시설물,집중,천영기,통영,시장,22일,현장,성공적,점검,완수,세계,인정,청정,바다,통영,걸음,통영,산양읍,사량면,욕지면,도산면,주민들,자발적,바다,최윤영,사량,면장,터전,바다,의지,거제시,막바지,점검,옥주원,경제,산업,국장,점검,현장,바다,이용,오염원,유입,협조,요청,경남도,지자체,해양수산부,수협,공조,해상,위생,관리,시설,현장,밀착,점검,최만림,행정부,지사,자리,이달,기관,합동,점검,수출,대미,패류,중단,대비","통영,미국,점검단,한국,fda,화장실,오염원,지자체,수협,조합장,경남","통영ㆍ거제 등 굴 양식 지역이 시험을 치르는 심정으로 긴장하고 있다. 다음달 미국 FDA 해역 점검을 앞두고 있기 때문이다. 

미국 FDA(식품의약국) 한국 해역 점검은 1972년 '한ㆍ미 패류 위생협정'을 근거로 한다. 굴이 핵심 품목이라 할 수 있다. 

한국은 1960년대 들어 미국에 굴 수출을 모색했다. 당시 미국은 전 세계 굴 ..",http://www.idomin.com/news/articleView.html?idxno=820879,
01500901.20230326235041001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230326235041001,2023-03-26,울산매일,이수화 기자,(화보) 봄 기운 가득한 고래 도시 울산 태화강국제 마라톤 '열기 후끈',지역>울산, 지역>경남, 지역>부산,,,,"이수화,윤일지","울산,태화강,태화강국가정원,성황리,울산매일",화보,"화보,기운,고래,도시,울산,태화강,국제,마라톤,열기,태화강,국제,마라톤,대회,25일,기운,태화강,국가,정원,일원,4천,건각들,참가,성황,전국,마라톤,동호인,열정,대회,현장,스케치,사진,이윤호기자,이수화,윤일지,이윤호,울산매일,미디어,포럼","태화강,울산매일,이수화,윤일지,울산,건각들,이윤호,4천,이윤호기자,동호인,마라톤,기운,일원,대회,고래,열기,미디어,건각,참가,성황,스케치,사진,현장,정원,전국,열정,국가,도시,국제,포럼,화보","제20회 태화강국제마라톤대회가 25일 봄 기운이 완연한 태화강국가정원 일원에서 4천여명의 건각들이 참가한 가운데 성황리에 열렸다. 전국의 마라톤 동호인들의 열정이 가득했던 대회 현장을 스케치했다. 

ㆍ 

사진 : 이수화 윤일지 이윤호기자 / 울산매일 미디어포럼",http://www.iusm.co.kr/news/articleView.html?idxno=1011554,
01500701.20230326224449001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500701.20230326224449001,2023-03-26,부산일보,류선지,이집트 람세스2세 신전서 최소 2000개 양 머리 미라 발굴,문화>학술_문화재, 문화>출판,,,,,람세스,"사메,황도,독일,미국,카이로,중부,재구,에스나,튀빙겐,이집트,황도대,룩소르","관광유물부,연합뉴스,뉴욕대,관광유물,황도대","신전,이집트,람세스,최소,머리,발굴,미국,뉴욕대,고고학,발굴,아비도스,이집트,중부,신전,람세스,최소,머리,미라,이집트,관광유물부,26일,현지시간,제물,추정,동물,미라,고대,이집트,왕조,3번,파라오,람세스,기원전,1279년,기원전,재위,사후,시점,숭배,의식,암시,관광유물부,설명,신전,람세스,프톨레마이오스,왕조,기원전,350년,기원전,30년,시대,추정,머리,미라,발굴,이집트,관광,유물부,26일,현지시간,미국,뉴욕대,고고학,발굴,아비도스,이집트,중부,신전,람세스,최소,머리,미라,신전,람세스,머리,미라,유물,발굴,시대,프톨레마이오스,왕조,추정,에스,사원,완벽,보존,황도대,발견,이집트,관광,유물부,미국,뉴욕대,고고학,발굴,아비도스,이집트,중부,신전,람세스,프톨레마이오스,왕조,기원전,350년,기원전,30년,시대,추정,머리,2000여,발굴,26일,현지시간,사진,이집트,아비도스,람세스,신전,발굴,구조물,관광유물부,머리,야생,염소,몽구스,발견,6왕조,건설,이집트,고왕국,추정,두께,구조물,동상,파피루스,가죽,의류,신발,유물,관광유물부,발굴,동물,미라,제물,추정,고대,이집트,왕조,3번,파라오,람세스,기원전,1279년,기원전,재위,사후,시점,숭배,의식,암시,설명,발굴,인근,아비도스,유적,이해,시대,프톨레마이오스,왕조,확장,발굴팀,사메,이스칸데르,구조물,축조,람세스,신전,고대,아비도스,모습,재구성,도움,신전,람세스,아비도스,수도,카이로,남쪽,유적,도시,고대,이집트,왕국,초기,네크로폴리스,묘지,오시리스신,숭배지,관광유물부,남부,룩소르,에스,사원,완벽,보존,황도대,발견,황도대,이집트,유물,기록,센터,발굴팀,독일,튀빙겐,대학,공동,발굴,발견,작업,도중","이집트,람세스,아비도스,미라,구조물,관광유물부,유물부,기원전,발굴팀,미국,프톨레마이오스,황도대,2000여,독일,에스,몽구스,고왕국,고고학",미국 뉴욕대 고고학 발굴팀이 이집트 중부 아비도스에 있는 람세스 2세 신전에서 최소 2000여개의 양 머리 미라를 찾아냈다고 이집트 관광유물부가 26일(현지시간) 전했다. 제물로 쓰였던 것으로 추정되는 이 동물 미라들은 고대 이집트 신왕국 제19왕조의 3번째 파라오인 람세스 2세(기원전 1279년 기원전 1213년 재위) 사후 1000년이 지난 시점까지..,https://www.busan.com/view/busan/view.php?code=2023032622441231815,
01500901.20230326222332003,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230326222332003,2023-03-26,울산매일,강은정 기자,반구대산골영화제 임원진 울주군 방문,지역>울산, 문화>문화일반, 지역>경기,,,,,"반구대산골영화제,울주군",,"반구대,산골,영화제,임원진,울주군,방문,사진기사","임원진,사진기사,영화제,반구대,울주군,방문,사진,산골,기사",[사진기사],http://www.iusm.co.kr/news/articleView.html?idxno=1011545,예외
01500901.20230326222332002,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230326222332002,2023-03-26,울산매일,강은정 기자,산자부 원전전략기획관 울주군 방문,지역>울산, 지역>경북, 지역>경기,,,,,울주군,산자부,"산자부,원전,전략,기획관,울주군,방문,사진기사","산자부,울주군,사진기사,기획관,방문,사진,전략,원전,기사",[사진기사],http://www.iusm.co.kr/news/articleView.html?idxno=1011544,예외
01500901.20230326222332001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230326222332001,2023-03-26,울산매일,강은정 기자,작천정벚꽃축제추진위원회 울주군 방문,지역>강원, 지역>경남, 지역>대전,,,,,"작천정벚꽃축제추진위원회,울주군",,"방문,작천정,벚꽃,축제,추진,위원회,울주군,사진기사","울주군,사진기사,작천정,위원회,방문,사진,축제,벚꽃,추진,기사",[사진기사],http://www.iusm.co.kr/news/articleView.html?idxno=1011543,예외
