뉴스 식별자,출처,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01500901.20230331222302001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230331222302001,20230331,울산매일,박현준 기자,영축총림 양산 통도사 신임주지 현덕스님 임명,문화>종교,,,,,,"현덕스,현덕,원명지종","양산시,울산,하북면,통도사,용화사,태고선원,양산,영축,강원,봉암사,상북면,비로","승가대학,범어사,조계종 총무원,지종대종사,영광,승려복지,보광,동아대","영축,총림,양산,통도사,신임,주지,현덕,스님,임명,영축,총림,양산,통도사,신임,주지,현덕,스님,통도사,총무국장,사진,임명,통도사,조계종,총무원,스님,이날,현덕,임명장,수여,현덕,스님,자리,자비,기금,승려,복지,기금,종단,기부,신임,현덕,주지,스님,부족,사람,소임,영광,책임감,대중,스님,산중,화합,최선,초심,스님,대중들,심부름,소감,현덕,스님,1962년,출생,양산시,하북면,보광,고등학교,법학과,졸업,동아대,법학,졸업,통도사,승가대학,수료,원명지종,스님,은사,출가,범어사,화상,사미계,수지,화상,자운,비구계,수지,이래,봉암사,태고,선원,수선,안거,안거,성만,울산,상북면,용화사,주지,강원,통도사,비로암,통도사,총무국장,역임,용화사,주지,직무,통도사,총무국장,수행,임기,통도사,주지,통상적,영축,총림,문중,방장,스님,추천,조계종,총무원장,임명장,절차,진행,현덕,스님,영축,총림,경봉,스님,계보,지종대종사,비로암,원명,방장,제자","통도사,현덕,총무국장,비로암,영축,봉암사,임명장,동아대,조계종,총림,안거,자운,하북면,범어사,양산시,용화사,법학과,울산,양산","영축총림 양산 통도사 신임주지에 현덕 스님(전 통도사 총무국장 사진)이 임명됐다. 

31일 통도사에 따르면 조계종 총무원은 이날 현덕 스님에게 주지 임명장을 수여했다고 밝혔다. 현덕 스님은 이 자리에서 자비나눔 기금 3000만 원과 승려복지기금 2000만 원을 종단에 기부했다. 신임 현덕 주지 스님은 ""부족한 사람에게 큰 소임을 맡겨 큰 영광이면서도 ..",http://www.iusm.co.kr/news/articleView.html?idxno=1012056,
01500901.20230331222159001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230331222159001,20230331,울산매일,박현준 기자,"웅상농협, 웅상지역 4개 봉사단체 지역사랑나눔기금 700만원 전달",지역>강원, 지역>부산, 지역>전북,,,,"류순옥,안용우,최문태,유경혜","웅상농협,웅상나눔회,서일광,웅상지역","지역아동센터,노동자 지원센터","웅상농협,웅상,지역,봉사,단체,지역,사랑,기금,700만,전달,웅상농협,조합장,안용우,웅상지역,헌신적,봉사,봉사,단체,대표,초청,격려,700만,지역사랑,기금,전달식,웅상농협,관계자,외국인,노동자,지원,센터,센터장,유경혜,사단법인희망웅상,대표,서일광,웅상나눔회,대표,류순옥,지역아동센터,회장,최문태,20여명,참석,복지사각지대,이웃들,현황,실태,봉사단체,어려움,이야기,안용우,조합장,단체,기부금,전달,고객들,웅상농협,이용,발생,이익,지역사회,환원,금융기관,지역농협,가능,고객들,웅상농협,이용,기부,동참,임직원,노력,지속적,기부,약속","웅상농협,센터장,봉사단체,웅상지역,지역사랑,700만,고객들,최문태,안용우,조합장,웅상,이웃들,복지사각지대,외국인,금융기관,임직원,지역농협,노동자,사단법인희망웅상,희망웅상,20여명,유경혜,관계자,웅상나눔회,서일광,류순옥,지역사회,6명,지역아동센터,전달식,기부금,지역,대표,단체,봉사,기부,센터,전달,이용,기금,금융,기관","웅상농협(조합장 안용우)은 웅상지역 내 헌신적으로 봉사하는 각 봉사단체 대표들을 초청해 따뜻한 격려와 함께 700만원의 지역사랑나눔기금 전달식을 가졌다. 

웅상농협 관계자들과 외국인노동자 지원센터(센터장 유경혜), 사단법인희망웅상(대표 서일광) , 웅상나눔회(대표 류순옥), 지역아동센터(회장 최문태 외 각지역 센터장 6명) 등 약 20여명이 참석한 가..",http://www.iusm.co.kr/news/articleView.html?idxno=1012029,
01500901.20230331222158002,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230331222158002,20230331,울산매일,박현준 기자,튀르키예 시리아 지진피해지역 특별지원 성금 잇따라,지역>대구, 지역>강원, 지역>광주,재해>자연재해>지진,,,"황수현,유기석,한윤구","양산시,한국대중음악인연합회 양산지회,시리아,양산중앙로타리클럽,튀르키예","(사)남북통일운동국민연합,양산시장,국제로타리","튀르키예,시리아,성금,지진,피해,지역,특별,지원,튀르키예,시리아,지역,성금,지진,피해,지역,특별,지원,기부,행렬,양산중앙로타리클럽,국제로타리,지구,회장,한윤구,지진피해,복구,회원들,십시일반,모금,253만,성금,한국대중음악인연합회,양산지회,회장,황수현,형제,나라,일상,회복,조금,도움,100만,전달,남북통일,운동,국민,양산시회,회장,유기석,지진피해복구,도움,300만,기부,동참,나동연,양산,시장,봉사활동,이웃,기부자들,마음,튀르키예,시리아,지역,이재민,감사,인사","국제로타리,양산시회,나동연,지진피해,튀르키예,시리아,봉사활동,기부자들,십시일반,기부자,양산,회원들,100만,남북통일,이재민,지진피해복구,양산중앙로타리클럽,253만,황수현,유기석,한국대중음악인연합회,양산지회,300만,한윤구,회장,지역,성금,도움,기부,복구,지원,감사,활동,봉사,이웃,시장,일상,나라,회원,회복","튀르키예 시리아 지역의 지진피해지역 특별지원 성금을 기부하려는 행렬이 줄을 잇고 있다. 

국제로타리 3721지구 양산중앙로타리클럽(회장 한윤구)은 지진피해 복구에 힘을 보태기 위해 전 회원들이 십시일반 모금한 253만원의 성금을 모았다. (사)한국대중음악인연합회 양산지회(회장 황수현)도 ""형제의 나라가 일상을 회복하는데 조금이라도 도움이 되길 바란다""..",http://www.iusm.co.kr/news/articleView.html?idxno=1012028,
01500901.20230331222158001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230331222158001,20230331,울산매일,박현준 기자,"양산시, 전국원전동맹 단체장 임시회 참여",지역>경남, 지역>대전, 지역>울산,,,,"나동연,김영길","양산시,진구,남구,수영구,동구,울산중구(중구청장,동래구,북구,원전,연제구","행정협의회,양산시장,공동성명,전국원전동맹,국회,전국원동맹,원자력안전교부세","양산시,전국,원전,동맹,단체장,임시회,참여,나동연,양산,시장,화상회의,전국,원전,동맹,단체장,임시회,화상,회의,참여,울산중구,이날,회장,도시,중구청장,김영길,전국원전동맹,신규,부산,동구,북구,남구,진구,동래구,연제구,수영구,참여,도시,단체장,상견례,안건,심의,주요안건,촉구,원자력,안전,교부세,신설,국회,정책,토론회,운동,주민,서명,비법정협의체,전국원전동맹,행정협의회,전환,정책토론회,원자력,안전,교부세,신설,촉구,국회,정책,토론회,대회의실,국회,의원,회관,진행,전국,원전,인근,지역,주민,국회의원,장관,단체장,전국원전동맹,회원,도시,참여,행사,전국원동맹,지자체,지역,국회의원,협약식,원전,안전,정책,연대,공동성명서,정책토론회,진행,정책토론내용,방사능방재법,정부,역할,책무,방사능,방재,계획,수립,지자체,업무,한계,원자력,발전소,주변,지역,주민,지원,사업,사례,원자력,안전,교부세,신설,필요성,방안,마련,주민서명운동,원자력,안전,교부세,신설,촉구,주민,서명,운동,5월,회원,도시,주민,대상,진행,서명,주민서명지,8월,국회,전달,예정,그동안,법정,협의회,운영,전국원전동맹,공신력,주민,원전,인근,지역,대변,전문,기관,역할,행정협의회,전환,원활,사무추진,조직,결속력,강화,나동연,양산,시장,원전동맹,원전,동맹,원자력,안전,교부세,신설,협력,바탕,양산시,원전,원전,제도,개선,적극,동참,강조","전국원전동맹,원자력,단체장,나동연,지자체,협의회,임시회,국회의원,원전동맹,정책토론회,토론회,그동안,행정협의회,협약식,양산시,남구,진구","나동연 양산시장은 지난 30일 전국원전동맹 단체장 임시회 화상회의에 참여했다. 이날 회장도시 울산중구(중구청장 김영길)는 전국원전동맹에 신규(부산 동구, 북구, 남구, 진구, 동래구, 연제구, 수영구)로 참여한 도시의 단체장과 상견례를 가지고 주요 안건을 심의했다. 

주요안건은 원자력안전교부세 신설 촉구를 위한 국회 정책토론회, 100만 주민서명 운동..",http://www.iusm.co.kr/news/articleView.html?idxno=1012027,
01500151.20230331110758001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230331110758001,20230331,경남도민일보,안다현 기자,국악 가락에 맞춰 성악 기량 뽐내보세,문화>음악, 문화>전시_공연, 문화>방송_연예,,,,"조승완,장범준,장순단,구다영,이도령,구,김지숙","마산합포구,소하천,프랑스,문화동,창원,창원시,48ㆍ창원시,월영동","㈔경남국악관현악단,국악관현악","국악,가락,보세,성악,기량,경남국악관현악단,31일,5시,소하천,창원시,마산합포구,문화동,창원,청수교,음악회,음악회,국악,반주,클래식,성악가,노래,형식,진행,프랑스,노래,La,Vie,En,Rose,국악기,반주,성악가,음악회,이날,공연,국악,관현악,프론티어,바리톤,조승완,고맙소,소프라노,김지숙,Italian,Steet,Song,공연,말미,장범준,장범준,노래,벚꽃엔딩,국악,연주,성악가,노래,연애다리&,일대,창원,소하천,벚꽃,명소,유명,이날,연애,다리,공연,주민,봉사자,이날,판소리,진행,구다영,연주가,예정,심청가,심봉사,대목,판소리,춘향이,이도령,사랑노래,변경,연주가,벚꽃,노래,사랑,노래,사랑,가족,반려견,애인,사랑,것들,연주가,노래,자리,시민,아이,박소향,48ㆍ창원시,마산합포구,월영동,아이들,공연,소감,장순단,76ㆍ창원시,마산합포구,문화동,바리톤,성악가,고맙소,기억,공연","성악가,연주가,창원시,창원,음악회,판소리,소하천,프론티어,고맙소,장범준,마산합포구,김지숙,프랑스,연애다리,문화동,조승완,벚꽃엔딩,심봉사,심청가,경남국악관현악단,이도령","㈔경남국악관현악단이 31일 오후 5시에 창원시 마산합포구 문화동 창원 소하천(청수교)에서 음악회를 열었다. 

이 음악회는 국악 반주에 클래식 성악가가 노래하는 형식으로 진행됐다. 프랑스 노래 <La Vie En Rose>를 국악기 반주에 맞춰 성악가가 부르는 식이다. 음악회는 지난해 봄에 이어 올해로 두번째다. 

이날 공연은 국악관현악 <프론티어> ..",http://www.idomin.com/news/articleView.html?idxno=821378,
01500701.20230331223920001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500701.20230331223920001,20230331,부산일보,김민진,"김종욱 해양경찰청장, 통영서 치안현장 점검",지역>부산, 지역>울산, 지역>대전,,,,"표창도,순경,김종욱","거제,통영서,경남","해경,동해지방해양경찰청,해양경찰청장,서해지방해양경찰청,대원,제일고,경상대학교,통영해양경찰서,해양경찰청,법학대학원,해양경찰교육원장","김종욱,해양,경찰청장,점검,통영서,치안,현장,김종욱,해양,경찰청장,통영해양경찰서,경남,도선,낚시어선,다중,이용,선박,안전,관리,태세,해양,안전,저해,행위,단속,실태,점검,현장,직원,격려,통영해양경찰서,제공,김종욱,해양,경찰청장,본격적,행락철,치안,현장,점검,청장,통영해양경찰서,경남,도선,낚시어선,다중,이용,선박,안전,관리,태세,해양,안전,저해,행위,단속,실태,직원,대화,최일선,임무,수행,최선,대원들,격려,표창,우수,직원,수여,청장,위축,일상,회복,바다,관광객,급증,예상,다중이용선박,사고,사고,인명,피해,가능성,요소,만큼,위험,파악,선제적,대응,주문,통영해양경찰서,김종욱,처장,직원,대화,통영해양경찰서,제공,청장,출신,경남,거제,제일고,졸업,경상대학교,법학,대학원,박사,수료,순경,해경,입문,울산해경서장,동해지방해양경찰청장,해양경찰교육원장,역임,치안감,서해,지방,해양,경찰청장,치안총감,승진,해양,경찰,창설,이래,청장,순경,출신","통영해양경찰서,경찰청장,김종욱,경남,다중이용선박,통영서,경상대학교,만큼,치안감,거제,울산해경,관광객,울산해경서장,선제적,동해지방해양경찰청장,가능성,대원들,최일선,대학원,동해,행락철,교육원장,제일고,서해","김종욱 해양경찰청장은 31일 경남 통영해양경찰서를 찾아 유 도선, 낚시어선 등 다중이용선박 안전관리태세와 해양안전저해행위 단속실태를 점검하고 현장 직원들을 격려했다. 통영해양경찰서 제공



 김종욱 해양경찰청장이 본격적인 행락철을 맞아 치안현장 점검에 나섰다. 
 
 김 청장은 31일 경남 통영해양경찰서를 찾아 유 도선, 낚시어선 등 다중이용선박 안전..",https://www.busan.com/view/busan/view.php?code=2023033122384429947,
01500601.20230331222449001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500601.20230331222449001,20230331,매일신문,박상구,"美, 18일부터 IRA '광물 40% 배터리 부품 50% 이상' 적용",경제>자동차, 국제>미국_북미, 경제>무역,,,,"이상,재닛 옐런","북미,미국,일본,유럽,미,한국,무산,美","니혼게이자이,미국,유럽,IRA,재무부,미국 재무부","18일,40%,50%,IRA,광물,배터리,부품,50%,적용,미국,재무,31일,현지시각,인플레이션감축법,IRA,전기차,세액,공제,지침,규정안,그동안,한국,일본,유럽,요구,지역,북미,이외,생산,수입차,우대,적용,포함,이날,재무부,이날,재무,지침,IRA,전기차,세제,혜택,외신,보도,세액,공제,대상,북미,생산,조립,전기차,플러그인하이브리드차,한정,세금,혜택,대상,모델,공개,18일,적용,구매자,최대,달러,979만,세액공제,IRA,조항,요건,전기차,세액,공제,조항,핵심,광물,배터리,리튬,니켈,망간,흑연,코발트,포함,필수,광물,최소,40%,미국,미국,자유무역협정,FTA,체결국,조달,광물,비중,2024년,요건,배터리,부품,가치,전기차,배터리,부품,절반,북미,생산,조립,3천,달러,세액공제,부여,세액,공제,조건,2029년,100%,강화,그동안,한국,일본,유럽,요구,수입차,북미,이외,지역,생산,수입,세액,공제,무산,혜택,세액,공제,대상,차량,생산,지역,재무,요구,요건,핵심,광물,요건,배터리,부품,준수,니혼게이자이,재무,일본,유럽,업체들,한국,자동차,업체,미국,업체,실질적,가격,전기차,판매,북미,현지,생산,판단,보도,장관,재닛,옐런,재무,IRA,미국,소비자,비용,미국,산업,구축,공급망,강화,세대,법안,재무,소비자,구매,청정,에너지,차량,최대,달러,연간,달러,가스,비용,미국인,제조업,일자리,창출,에너지,국가안보,강화,중요,발걸음","전기차,미국,세액공제,북미,ira,한국,재무부,규정안,소비자,재닛,자동차,옐런,그동안,유럽,일본","미국 재무부가 31일(현지시각) 인플레이션감축법(이하 IRA)의 전기차 세액공제 세부지침 규정안을 발표했다. 그동안 한국과 일본, 유럽이 요구했던 북미 이외 지역에서 생산한 수입차에 대한 우대 적용은 포함되지 않았다. 
 
 이날 미 재무부가 발표한 IRA 전기차 세제 혜택 관련 세부 지침과 외신 보도에 따르면 세액공제 대상은 북미에서 생산 또는 조립된..",https://news.imaeil.com/page/view/2023033122235344724,
01500701.20230331221945001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500701.20230331221945001,20230331,부산일보,김종우,"국회부산도서관, 1주년 기념식 “지역균형발전 위한 소통의 장”",정치>국회_정당, 정치>행정_자치,,,,,"백종헌,김진표,정의화 전,최인호,박수영,이수지,정의화,황보승희,김도읍,박재호,이명우,김형오","명지국제신도시,부산시,영화의전당,부울경,부산,강서구,한국,한국전쟁","의회도서관,국회부산도서관,신라대학교,현대어린이책미술관,국회도서관장,국회도서관","국회부산도서관,지역균형발전,기념식,지역,균형,발전,소통,개관,국회부산도서관,기념식,개최,김진표,국회의장,김형오,정의화,국회의장,참석,국회부산도서관,1주년,개관,기념식,행사,국회,도서관,제공,국회부산도서관,1주년,개관,기념식,행사,국회도서관,한국전쟁,부산,국회도서실,개관,개관,주년,명지국제,부산,강서구,명지,국제,도시,분관,이날,개관,기념식,김진표,국회,의장,김형오,정의화,국회의장,김도읍,박수영,박재호,백종헌,최인호,황보승희,국회의원,국회의원들,부산시,인사들,참석,김진표,국회,의장,격려사,도서관,보고,개념,시민,복합문화공간,확장,국회부산도서관,지역균형발전,소통,국민,중심,자리,국회도서관,국회,부산도서관,발전,기여,공로,신라대학교,영화의전당,공로패,수여,이용자,도서관,우수,이용,우수,수여,이날,현대,어린이,미술관,공동,기획,그림,전시,전시,세계적,유명,작가,신진,작가,작품,원화,아트,프린트,그림책,70여,소개,한국인,안데르센상,수상,이수지,작가,그림책,파도,Wave,미디어,아트,관람객들,디지털,패드,활용,그림책,완성,체험,코너,마련,이명우,국회,도서관장,기념사,하루,평균,정보이용자,국회부산도서관,주민들,부울,지역,주민,사랑,관심,성장,국회부산도서관,일상,의회도서관,의미,시민,봉사,복합문화공간,지식정보기관","도서관,국회부산도서관,기념식,그림책,부산도서관,부산,김진표,1주년,국회도서관,이용자,지역균형발전,국회의원,복합문화공간,강서구,이명우,주민들,국회의장,백종헌,최인호,안데르센상,한국인,박재호,미술관","국회부산도서관이 31일 ‘개관 1주년’ 기념식 행사를 가졌다. 국회도서관 제공.



 국회부산도서관이 31일 ‘개관 1주년’ 기념식 행사를 가졌다. 국회도서관은 한국전쟁 당시인 1952년 부산에서 ‘국회도서실’로 개관했고 개관 70주년인 지난해 부산 강서구 명지국제신도시에 첫 ‘분관’을 열었다. 
 
 이날 개관 1주년 기념식에는 김진표 국회의장, 김..",https://www.busan.com/view/busan/view.php?code=2023033116243220365,
01500701.20230331221239001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500701.20230331221239001,20230331,부산일보,성규환,"통영 찾은 윤 대통령 ""수산물 세계화 영업사원 될 것"" '수산인의날' 참석",정치>청와대, 정치>외교,,,,,"박완수,윤,이,이도운,윤석열,조승환,김건희","통영,영운항,통영시,대한민국,경남,경상남도","연합뉴스,여사,해양수산부,유공","통영,영업사원,대통령,수산물,세계,영업,사원,수산인의날,참석,윤석열,대통령,경상남도,통영시,영운항,수산인,기념식,기념사,윤석열,대통령,31일,영운항,경남,통영시,수산인,기념식,참석,수산업,스마트화,미래,성장,산업,육성,의지,수산인,기념일,법정,어업인,지정,대통령,이래,현직,기념식,참석,지역,경제,활성,내수진작,차원,설명,대통령실,대통령,이날,기념사,수산물,수출액,달러,축하,반도체,전복,어묵,품목,수출,전략,육성,수산인,부처,원팀,당부,수산업,스마트화,강조,대통령,수산업,고도화,디지털,적용,생산,향상,분야,청년,유입,촉진,양질,수산업,분야,일자리,창출,직결,정부,스마트,양식,푸드,테크,수산업,미래,성장,산업,적극,추진,한편,민간투자,규제,세계,최고,수준,어업,안전,관리,체계,구축,어업인,안심,조업,설명,윤석열,대통령,김건희,여사,경상남도,통영시,영운항,수산인,기념식,부스,수산물,홍보,방문,대통령,수산인,유공자,포상,김건희,여사,모형,물고기,LED,영상,바다,방류,퍼포먼스,참여,행사,수산,전국,각지,장관,조승환,해양,수산,박완수,경남도,지사,1200여,참석,부부,대통령,기념식,세계,K-블루푸드,홍보관,이동,전시,관람,대변인,대통령실,이도운,브리핑,부부,대통령,미래,수출,품목,부스,종자,개량,사육,기간,최대,개월,단축,넙치,전복,관람,대통령,최고,음식,바다,바다,농사,식량,걱정,홍보관,진행,방송,통영,수산물,판매,라이브,출연,대통령,방송,수산인,영업사원,대한민국,영업,사원,출연,K-블루푸드,관심,당부,대변인,관람,대통령,청년어업인대표,K-피시,구호,세계화,수산물,수출,세계,영업,사원","수산물,수산인,수산업,어업인,기념식,부스,대통령실,영운항,홍보관,조승환,통영시,대변인,대한민국,영업사원,윤석열,기념사,박완수,led,김건희,이도운","윤석열 대통령이 31일 경상남도 통영시 영운항에서 열린 제12회 수산인의 날 기념식에서 기념사를 하고 있다. 연합뉴스



 윤석열 대통령이 31일 오후 경남 통영시 영운항에서 열린 '제12회 수산인의 날' 기념식에 참석해 수산업의 스마트화를 통한 미래 성장산업 육성 의지를 밝혔다. 
 
 
 
 '수산인의 날'이 2011년 법정 기념일(당시 '어업인의..",https://www.busan.com/view/busan/view.php?code=2023033122094974703,
01500701.20230331210322001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500701.20230331210322001,20230331,부산일보,박정훈,"충무동, 복지안전망스티커 생활편의시설에 배부",지역>대전, 지역>충남, 지역>강원,,,,,"충무동,부산,서구","자석스티커,지역사회보장협의체","충무동,복지,안전망스티커,생활,편의,시설,배부,부산,서구,충무동,지역,사회,보장,협의체,위원장,감배수,사회,고립,가구,발생,예방,상시,연락,체계,구축,자석스티커,특화,사업,복지,안전망,제작,관내,미용실,슈퍼,생활편의시설,배부,지역사회보장협의체,위원장,감배수,사업,위원들,충무동,지역,사회,보장,협의체,위원,복지사각지대,발굴,고립,가구,예방,다각적,사업,홍보방안,논의중","충무동,지역사회보장협의체,생활편의시설,감배수,자석스티커,협의체,부산,위원장,논의중,미용실,복지사각지대,안전망,홍보방안,안전망스티커,위원들,예방,사업,구축,복지,사회,생활,배부,가구,고립,지역,방안,관내,제작,홍보,연락,위원,체계,상시,편의,슈퍼,시설","부산 서구 충무동 지역사회보장협의체 (위원장 감배수) 는 지난 31일 사회적 고립가구 발생예방을 위한 상시연락체계 구축을 위한 특화사업 ‘복지안전망 자석스티커’를 제작하여 관내 미용실, 슈퍼와 같은 생활편의시설에 배부했다. 
 
 지역사회보장협의체(위원장 감배수)는 이 사업이 충무동 지역사회보장협의체 위원들의 복지사각지대 발굴 및 고립가구 예방을 위한 ..",https://www.busan.com/view/busan/view.php?code=2023033121023729556,
