뉴스 식별자,출처,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01500901.20230329141013001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230329141013001,20230329,울산매일,백주희 기자,"尹 대통령 재산 77억원...대통령실 참모진 평균 45억6,000만원",경제>경제일반,,,,,,"김,주진우,김태효,윤석열,이원모,한덕수,이관섭,김은혜,김동조,왕윤종,김대기,이종호,김건희","임야,서초동,서울,용산구,강상면,노원구,양평군,서초구,경기도,상계동","과학기술정보통신부,병산리,정부공직자윤리위원회,국가안보실","대통령,재산,대통령실,45억,참모진,평균,000만,대통령,기준,윤석열,재산,76억,725만,신고,공개,취임,재산등록,76억,999만,비교,5,726만,증가,정부공직자윤리위원회,30일,신고사항,관보,게재,재산,부인,김건희,여사,명의,71억,000만,예금,55억,000만,신고,명의,대통령,5억,739만,명의,여사,50억,575만,예금,여사,전액,시중,은행,예치,부부,대통령,사저,서울,서초구,서초동,아크로비스타,명의,여사,8평,대지,지분,50평,건물,18억,확인,여사,사저,경기도,양평군,강상면,병산리,임야,창고용지,대지,도로,3억,411만,토지,단독,명의,보유,부모,대통령,독립생계,유지,재산,등록,고지,거부,김대기,비서실장,대통령실,비서관,참모,평균,재산,45억,000만,비서관급,재산,신고,사람,이원모,인사,비서관,신고,재산,443억,000만,신고,2억,가량,주식,부인,소유,328억,재산,비중,차지,비서관,본인,분양권,용산구,아파트,분양,부인,소유,상가건물,노원구,상계동,상가,건물,부부,보유,49억,예금,김은혜,홍보,수석,264억,000만,재산,대통령실,참모,1차장,김태효,국가,안보실,131억,신고,애널리스트,출신,김동조,국정,메시지,비서관,125억,재산,보유,기재,주식,이관섭,국정,기획,수석,75억,김대기,비서실장,73억,000만,왕윤종,경제,안보,비서관,72억,주진우,법률,비서관,70억,000만,내각,한덕수,총리,85억,000만,신고,장관,이종호,과학기술정보통신부,148억,000만,재산,세계,반도체,벌크,핀펫,석학,반도체,공학,특허,수입","000만,비서관,반도체,대통령실,김태효,재산등록,76억,45억,김동조,주진우,이원모,병산리,상계동,용산구,김은혜,이관섭,왕윤종,김대기,과학기술정보통신부,아크로비스타,노원구,경기도,서울,이종호,비서실장","작년 말 기준 윤석열 대통령의 재산은 76억9,725만원으로 신고됐다. 

지난해 8월 공개된 '취임 후 첫 재산등록' 당시의 76억3,999만원과 비교하면 5,726만원 증가했다. 

정부공직자윤리위원회는 30일 이 같은 내용의 신고사항을 관보에 게재했다. 재산 대부분이 부인 김건희 여사 명의로, 약 71억6,000만원이다. 

예금으로는 약 55억8..",http://www.iusm.co.kr/news/articleView.html?idxno=1011890,
01500151.20230329093642002,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230329093642002,20230329,경남도민일보,정현수 기자,용감한 고아 소년 그린 정현수 신작 동화집 ＜동굴 괴물＞,문화>출판, 문화>미술_건축, 문화>방송_연예,,,,정현수,경남,"은동,중앙일보,<한꽃당","고아,소년,괴물,정현수,신작,동화집,동굴,마을,뒷산,동굴,가뭄,동굴,주변,물기,사람들,동굴,근처,동굴,괴물,이야기,옛날,신춘문예,중앙일보,동화,그리움,사람들,당선,문단,활동,시작,경남아동문학상,진주예술인상,수상,창작활동,정현수,동화,작가,신작,동화집,동굴,괴물,동화,두려움,마을,사람,이야기,고아,소년,마을,가뭄,동굴,상황,마을,사람,괴물,소문,소년,고아,횃불,동굴,괴물,확인,동굴,괴물&,형들,새&,숨바꼭질&,캔디,마을,아기,돼지,세티,6편,동화,작가,사람,평생,노력,풍선,비유,40여,교직,생활,때쯤,풍선,가족,동화,동화책,원동력,장군,순모,짝사랑,도깨비,바다,금동이,은동이,오누이,소원,덜렁이,쥐돌,마을,요술그림,달님,해님,아이,한꽃당,이야기,작품,그림,공공,가문비어린이,75쪽","정현수,사람들,중앙일보,은동이,금동이,75쪽,진주,짝사랑,진주예술인상,문학상,순모,경남아동,가문비어린이,40여,창작활동,경남아동문학상,덜렁이,원동력,달님,세티,신춘문예,한꽃당,동화책,6편,쥐돌,형들,요술그림,동화집,뒷산","""마을 뒷산에 큰 동굴이 있었어요. 가뭄이 들어도 동굴 주변엔 물기가 촉촉했어요. 하지만 아무리 목이 말라도 사람들은 동굴 근처엔 얼씬하지 않았어요. 동굴에 무서운 괴물이 살고 있다는 이야기가 옛날부터 전해오기 때문이었어요."" 

1984년 중앙일보 신춘문예에 동화 '그리움을 먹고 사는 사람들'이 당선되면서 문단 활동을 시작해 경남아동문학..",http://www.idomin.com/news/articleView.html?idxno=821126,
01500151.20230329093642001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230329093642001,20230329,경남도민일보,이서후 기자,'할아버지의 양손' 외 아동 청소년 신간,문화>출판, 문화>생활, 문화>전시_공연,,,,"스미스,에릭 마티베,윤중식,임수현,유발 하라리,전범선,조던 스콧","서해,프랑스,캐나다,지구,시드니,한국전쟁,상수리","홍익대,창비","할아버지,양손,아동,청소년,신간,할아버지,양손,홍익대,교수,대한민국,미술,대전,운영,위원장,윤중식,화백,한국전쟁,고통,한국,전쟁,피난길,여정,스케치,작품,아들,윤대경,여기저기,시신들,엄마,가슴,아기,엄마,어깨,소년,그림,메모,전쟁,참혹,112쪽,상수리,코뿔소,모자,임수현,시인,동시집,창비,어린이책&,동시,수상작,공모,동시,공룡알,신날까요,아이,상상력,자극,동시들,120쪽,창비,1.,지구,지배,사피엔스,역사학자,유발,하라리,교수,아이들,인문학책,사람들,정답,생각,것들,진실,이야기,아이들,대화,172쪽,주니어김영사,동물권,밴드보컬,동물권,단체,동물,해방,물결,활동가,전범선,아이들,동물,이야기,동물권,종차별,인간,동물,과거,백인종,유색,인종,남성,여성,착취,부조리,173쪽,서해문집,프랑스,생물학자,에릭,마티베,만화,형식,이야기,생명,감수,자연,생명,존중,지지,지구,경쟁,협력,생명체,160쪽,머스트비,할머니,캐나다,스콧,시인,조던,경력,각종,수상,그림책,작가,시드니,스미스,유아,그림책,공감,할머니,소년,이야기,그림,공감,48쪽","그림책,아이들,동물권,창비,활동가,한국전쟁,윤대경,마티베,프랑스,역사학자,스미스,조던,상상력,부조리,위원장,대한민국,사람들,173쪽,윤중식","◇할아버지의 양손 = 홍익대 교수, 대한민국미술대전 운영위원장 등을 맡았던 윤중식 화백이 한국전쟁 당시 고통스러웠던 피난길 여정을 스케치한 작품 28점에 아들 윤대경 씨가 글을 붙였다. 여기저기 널린 시신들! 죽은 엄마의 가슴을 헤치며 우는 아기! 엄마의 어깨를 흔들며 일어나라고 울부짖는 소년! 그림에 남겨진 메모만으로도 전쟁이란 게 얼마나 참혹한 것인..",http://www.idomin.com/news/articleView.html?idxno=821128,
01500151.20230329050435001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230329050435001,20230329,경남도민일보,최석환 기자,"시행 넉 달 일회용품 제한, 너무 넓은 '규정 밖'",사회>사회일반, 경제>유통, 경제>서비스_쇼핑,범죄>기업범죄>거래제한,,,정진영,"성산구,의창구,황남경,팔용동,창원,상남동,달","자원의 절약과 재활용촉진에 관한 법률,환경부","시행,제한,일회용품,규정,11월,카페,식당,일회용품,사용,법적,코로나,유행,한시적,규제,적용,무인카페,단속,대상,품목,식당,제공,앞치마,규제,취지,29일,창원,성산구,상남동,무인카페,2명,중년,여성,대화,걸상,플라스틱,용기,음료,컵걸이,플라스틱,빨대,100~200,무인,카페,주변,100~200,안팎,가맹점,카페,3곳,개인,카페,매장,주문,음료,머그잔,무인카페,일회용품,제공,가능,대상,환경부,단속,다중이용업소,식품접객업,식품자동판매업,분류,환경부,자동판매기,음식물,판매,매장,규제,129곳,도내,무인,카페,기준,일회용품,제공,제지,무인카페,업종,분류,규제,규제,품목,포함,제공,일회용품,창원,의창구,팔용동,팔용,행정,복지,센터,주변,고깃집,감자탕집,식당가,앞치마,자리,고깃집,운영,상인,3년,일회용품,선호,식당들,주변,식당,일회용품,환경부,자원,절약,재활용촉진,법률,시설,업종,경영,사업자,대상,일회용품,사용,계도기간,1년,운영,규제,대상,종이컵,플라스틱,플라스틱,빨대,앞치마,규제,대상,환경부,자연,분해,제품,분해,수지,제공,무상,허용,규제,대상,품목,상황,만큼,시장,단속,대상,지적,사무국장,정진영,경남,기후,위기,비상,행동,산업,폐기물,온실가스,영향,크기,규제,사각지대,일회용품,사용,창원,카페,운영,지성은,일회용품,단속,환경부담금,보완,환경부,규제,대상,계획,단속,대상,단속,대상,일회용품,설명,환경사무관,황남경,환경부,환경,사무관,무인카페,앞치마,대상,추후,관리,검토,상황,결정","일회용품,환경부,무인카페,창원,고깃집,앞치마,정진영,상남동,폐기물,팔용동,황남경,만큼","지난해 11월부터 카페와 식당 안에서 일회용품 사용이 법적으로 금지되고 있다. 코로나 유행으로 한시적으로 풀었던 규제를 다시 적용하는 것이다. 하지만 무인카페는 단속 대상이 아니다. 또 금지 품목 가운데 식당에서 제공하는 일회용 앞치마는 빠져 있어 규제 취지에 어긋나 보인다. 

29일 오전 10시 창원 성산구 상남동에 있는 한 무인카페 안에서 중년 여..",http://www.idomin.com/news/articleView.html?idxno=821186,
01500151.20230329000148001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230329000148001,20230329,경남도민일보,민왕기 기자,나동연 양산시장 72억 '1위' 조규일 진주시장 9억 ↑,지역>경기, 지역>경남, 지역>경북,,,,"유계현,박완수,나동연,최만림,최학범,김진부,박준,조영명,김병규,노충식","양산시,김해시,사천시,경제부지사,경남도,합천군,경남공윤위,부지사,남해군의원,거제시,남해군,대한민국,통영시,경남,창원시,함양군,고성군,진주,거창군,밀양시장,함안군,진주시,사천시의원,의령군,행정부지사,산청군의원,하동군,산청군","도의회,경제부지사,정부공직자윤리위원회,도의원,행정부지사,도공직자윤리위원회,정부,공직자윤리위,도립대학,경남테크노파크,통영시,교육감,경남도공직자윤리위원회","나동연,양산,시장,조규일,진주,시장,시장,경남,군수,재산,단체장,나동연,양산,시장,조규일,진주,시장,대비,재산,9억,3231만,정부,경남도공직자윤리위원회,공직자윤리법,정기,재산,변동,사항,신고,내역,관보,대한민국,경남도,공보,공개,공개,대상자,344명,정부,공직자,윤리,위원회,소관,공개,대상자,도지사,행정부지사,경제부지사,도립,대학,총장,도의원,고위,공직자,대상자,도공직자,윤리,위원회,소관,공직유관단체장,군의원,273명,시장,군수,재산,총액,시장,박종우,거제시장,62억,2093만,홍태용,김해,시장,52억,7669만,이승화,산청,군수,47억,821만,홍남표,창원,시장,27억,2171만,조규일,진주,시장,26억,2765만,박일호,밀양시장,23억,8588만,천영기,통영,시장,21억,7405만,20억,진병영,함양군수,19억,3538만,하승철,하동,군수,14억,2530만,박동식,사천,시장,14억,760만,오태완,의령군,11억,6934만,구인모,거창,군수,9억,9746만,조근,함안,군수,5억,4336만,장충남,남해,군수,4억,2726만,김윤철,합천,군수,1억,6042만,이상근,고성,군수,8215만,도지사,부지사,재산,도의회,의장,공개,박완수,도지사,2381만,최만림,행정부,지사,김병규,경제,부지사,김진부,진주5,도의회,의장,재산,박종훈,교육감,종전,7631만,교육감,배우자,소유,변동,부동산,공시,가격,1596만,상환,금융,채무,채무액,8100만,정부,공직자,윤리위,공개,대상,재산,사람,박준,창원4,도의원,최학범,김해1,도의회,부의장,유계현,진주4,9611만,도의원,조영명,창원13,657만,도의원,평균,신고,재산액,10억,재산,보유,사람,23명,32.4%,51명,71.9%,재산,20명,28.1%,공직자,윤리위,관할,공개,대상,재산,사람,원장,노충식,경남테크노,파크,박정웅,사천시,의원,조필규,통영,시의원,김수한,산청군,의원,50억,안팎,재산,사람,강대철,남해군,의원,평균,신고,재산액,1억,재산,보유,사람,95명,34.8%,177명,64.8%,재산,96명,35.2%,공개,재산변동사항,신고,토대,재산,공개,사항,대한민국,전자관보,정부공윤위,소관,대상자,경남,누리집,공보,경남공윤위,소관,대상자,확인","도의원,대상자,공직자,부지사,5억,진주,도의회,도지사,9억,대한민국,창원,11억,교육감,21억,조규일,경남,김수한,노충식,부동산,박정웅,나동연,52억,조필규","경남 18개 시장ㆍ군수 중 가장 재산이 많은 단체장은 나동연 양산시장으로 72억 2262만 원이었다. 조규일 진주시장은 지난해 대비 재산(+9억 3231만 원)이 가장 많이 늘었다. 

정부와 경남도공직자윤리위원회는 공직자윤리법에 따른 올해 정기재산 변동사항 신고 내역을 30일 대한민국 관보와 경남도 공보를 통해 공개했다. 공개 대상자는 344명이다. ..",http://www.idomin.com/news/articleView.html?idxno=821189,
01500601.20230329235345001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500601.20230329235345001,20230329,매일신문,김태진,"대구대, 2023년 장애학생 지원 거점대학 선정",사회>교육_시험, 사회>장애인,,,,,박순진,대구경북,"대구대,진로,유일,대구대학교,교육부","대구대,선정,장애,학생,지원,거점,대학,전국,대학,유일,유형,통합,지원,선정,진로,취업,지원,교육,지원,수행,멘토,역할,대구대학교,총장,박순진,교육부,장애,학생,지원,거점,대학,대학,사업,운영,선정,거점대학,장애,학생,지원,거점,대학,진로,장애,대학,취업,지원,사업,확대,개편,사업,진로,취업,지원,유형,유형,통합,지원,선정,대구대,전국,대학,유일,신설,유형,통합,지원,선정,유형,통합,지원,선정,대학,장애,학생,진로,취업,지원,역할,보조,기기,지원,교육,자료,공동,교육,지원,인력,관리,권역,멘토,대학,지원,역할,수행,대구대,1억,국고,지원,장애,학생,취업,캠프,자격증,취득,프로그램,취업,선배,특강,상담,진로,취업,지원사업,운영,시각,장애,학생,도서,제작,학습,보조,기기,지원,방법,장애,학생,교수,학습,지원,안내,교육자료,제작,지원,대구경북,지역,장애,학생,지원,워크숍,개최,개선,장애,인식,인권,향상,교육,진행,계획,대구대,교육부,평가,장애,대학,교육,복지,지원,실태,7회,2006,,대학,연속,선정,수준,전국,최고,교육,장애,학생,복지,지원","대구대,거점대학,교육부,교육자료,멘토,대구경북,자격증,7회,박순진","대구대학교(총장 박순진)가 교육부가 발표한 '2023년 장애학생 지원 거점대학' 사업 운영 대학에 선정됐다. 
 
 '장애학생 지원 거점대학'은 기존 장애 대학생 진로 취업 지원 사업을 확대 개편한 사업으로, 진로‧취업 지원 유형과 통합 지원 유형으로 나뉘어 선정했는데 대구대는 전국 대학 중 유일하게 올해 처음 신설된 통합 지원 유형에 선정됐다. 
 
..",https://news.imaeil.com/page/view/2023032923520256634,
01500601.20230329235244001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500601.20230329235244001,20230329,매일신문,김태진,"영진전문대, 맞춤돌봄서비스 인력 양성 무료 교육",경제>취업_창업, 사회>여성, 사회>교육_시험,,,,"레크리에이션지도사,장용주",웃음지도사,"영진전문대,대구시,사회복지,영진전문대(총장,사회복지과","영진전문대,맞춤,서비스,인력,양성,무료,교육,여성,경력,단절,대상,청년,접수마감,접수,마감,개강,레크리에이션지도사,심리,상담사,교육마술,지도사,자격,취득,영진전문대,총장,최재영,여성,경력,단절,청년,대상,취업,지원,무료,교육,개설,1차,교육,모집,개강,2개월,12시,6시,서비스,현장,이해,활동프로그램,이해,건강관리프로그램,이해,상담,직업소양,교육,이론,실습교육,진행,교육,서비스,분야,전문,강사,교수들,사회,복지,분야,교수,지도,대구시,지역,산업,맞춤,일자리,창출,지원,사업,추진,참가자,교통비,지급,교육,수료자,레크리에이션지도사,웃음지도사,심리,상담사,풍선아트,교육마술,지도사,취득,연계,기업,취업,기회,사업,사회복지,장용주,영진전문대,사회,복지,학과장,수요,분야,인력,전문인력,부족,건강,돌봄,사회,수요,만큼,분야,관심,경력,단절,여성,청년,교육,참여,문의","지도사,영진전문대,사회복지,1차,풍선아트,일자리,레크리에이션지도사,상담사,접수마감,교육마술,장용주,교수들,대구시,참가자","영진전문대(총장 최재영)가 경력 단절 여성과 미취업 청년들을 대상으로 취업 지원 무료 교육과정을 개설한다. 다음달 5일까지 1차 과정 교육생 15명을 모집한다. 
 
 4월 17일 개강해 약 2개월 동안 매일 오후 12시부터 6시까지 ▷맞춤돌봄서비스 현장의 이해 ▷맞춤돌봄 활동프로그램의 이해 ▷맞춤돌봄 건강관리프로그램의 이해 ▷맞춤돌봄 상담 ▷직업소양교..",https://news.imaeil.com/page/view/2023032923445993872,
01500601.20230329235243001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500601.20230329235243001,20230329,매일신문,김태진,"대구가톨릭대-경산시, 사회복지급식관리지원센터 설치 운영 업무 위탁 협약",지역>대전, 지역>충남, 지역>경남,,,,"조현일,이경아","영양,경산시,성한기","사회복지급,대구가톨릭대,사회복지급식관리지원센터,급식관리지원센터,사회,사회복지,사회복지급식소","대구가톨릭대,경산시,사회,복지,급식,관리,지원,센터,설치,운영,협약,업무,위탁,대구가톨릭대,총장,성한기,경산시,시장,조현일,설치,사회,복지,급식,관리,지원,센터,운영,업무,위탁,협약식,협약,대구가톨릭대,7월,2024년,경산시,어린이,사회복지급식관리지원센터,센터장,이경아,통합,운영,사회복지급식관리지원센터,법률,사회복지시설,단체급식,제공,영양사,미만,사회,복지,급식소,등록,관리,수행,위생,영양관리,순회방문지도,급식,환경,개선,실태조사,컨설팅,지원,총장,성한기,대구가톨릭대,어린이,급식소,관리,경험,바탕,경산시,사회,복지,시설,단체,급식,위생,영양,관리,개선,최선","경산시,대구가톨릭대,사회복지급식관리지원센터,사회복지시설,급식소,성한기,영양사,이경아,실태조사,센터장,조현일,순회방문지도,영양관리,단체급식,협약식,관리,급식,개선,사회,센터,운영,설치,어린이,위생,단체,협약,위탁,지원,복지,미만","대구가톨릭대(총장 성한기)는 경산시(시장 조현일)와 28일 '사회복지급식관리지원센터 설치 운영 업무' 위탁 협약식을 가졌다. 
 
 이번 협약으로 대구가톨릭대는 7월부터 2024년 말까지 '경산시 어린이 사회복지급식관리지원센터(센터장 이경아)'를 통합 운영하게 된다. 
 
 사회복지급식관리지원센터는 관련 법률에 의해 사회복지시설에서 단체급식을 제공하는 ..",https://news.imaeil.com/page/view/2023032923322985937,
01500701.20230329233207001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500701.20230329233207001,20230329,부산일보,성규환,"몬테네그로 당국 ""권도형 인도 청구, 미국이 한국보다 먼저 했다""",국제>미국_북미, 정치>정치일반,,,,,"권도형,한 모,코바치,권","미국,인도,수도,국제공,몬테네그로,UAE,세르비아,코스타리카,싱가포르,한국,두바이,아랍에미리트","미국,정부,프레스센터,검찰,청구,몬테네그로,연합뉴스,법무부,법원,테라폼랩스","몬테네그,당국,권도형,인도,청구,미국,한국,대표,권도형,테라폼랩스,24일,현지시간,몬테네그로,포드고리차,법원,출두,몬테네그,당국,29일,현지시간,자국,체포,구금,권도형,테라폼랩스,대표,미국,한국,청구,범죄인,인도,마르코,코바치,법무부,장관,이날,몬테네그,포드고리차,프레스센터,기자회견,미국,한국,나라,대표,범죄,인도,청구,가상,화폐,테라,루나,폭락,사태,핵심,인물,대표,송환,정부,청구,범죄인,인도,몬테네그,당국,미국,주도권,코바치,장관,단계,국가,우선권,코바치,장관,대표,국가,송환,범죄,중요성,범죄,국적,범죄인,인도,청구,날짜,기준,결정,설명,송환,국가,범죄,국적,영향,미국,한국,우선권,예단,의미,코바치,장관,이날,대표,이날,체포,경위,몬테네그,정부,입장,설명,대표,측근,국제공항,포드고리차,여권,코스타리카,위조,아랍에미리트,UAE,두바이행,비행기,탑승,검거,대표,가상,화폐,테라,루나,폭락,사태,직전,싱가포르,출국,잠적,두바이,세르비아,도주,인접,국가,몬테네그로,두바이,몬테네그로,원칙적,피의자,구금,최대,시간,허용,포드고리차,지방,검찰청,기간,연장,법원,요청,법원,피의자,신문,검찰,요청,대표,최대,구금","포드고리차,미국,몬테네그,코바치,범죄인,권도형,몬테네그로,한국,테라,피의자,싱가포르,루나,두바이,코스타리카,우선권,테라폼랩스,마르코,두바이행,아랍에미리트,비행기","권도형 테라폼랩스 대표가 지난 24일(현지시간) 몬테네그로 포드고리차에 있는 법원에 출두하고 있다. 연합뉴스



 몬테네그로 당국은 29일(현지시간) 자국에서 체포돼 구금 중인 권도형(32) 테라폼랩스 대표에 대해 ""미국이 한국보다 먼저 범죄인 인도 청구를 했다""고 밝혔다. 
 
 
 
 마르코 코바치 법무부 장관은 이날 몬테네그로 수도 포드고리차의 ..",https://www.busan.com/view/busan/view.php?code=2023032923213239961,
01500151.20230329224957001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230329224957001,20230329,경남도민일보,안다현 기자,진해군항제 통돼지바비큐 바가지 논란 시끌,경제>유통, 경제>자동차, 경제>부동산,,,,,"진해군항제,진해루,적도","지,창원시","시끌,진해군,항제,통돼지,바비큐,바가지,논란,음식관,진해,군항제,기간,판매,통돼지바비큐,바가지,논란,25일,진해루,방문,관광객,통돼지바비큐,가격,온라인,비판,관광객,진해루,향토,음식관,5만,통돼지바비큐,통돼지,바비큐,사진,눈탱이,정도,게시,누리꾼,가격,29일,향토음식관,통돼지바비큐,주문,사진,가격,불만,진해루,향토,음식관,천막,간이,의자,매장,포장마차,장사,매장,통돼지바비큐,매장,통돼지,바비큐,8곳,가격,표시,매장,6곳,가격,5만,명시,가격표,2곳,5만,판매,통돼지바비큐,4만,5만,통돼지,상인,상인,온라인,사진,차이,고기,관계자,창원시,진해군,항제,가격,향토,음식관,메뉴,창원시,결정권,메뉴,가격,결정,향토음식관,음식양,얘기,단속,소비자,가격표,확인,주문,현실적,단속,향토,음식관,상인,온라인,게시물,기분,축제,만큼","통돼지바비큐,음식관,향토음식관,5만,통돼지,진해루,창원시,온라인,가격표,관광객,진해군,항제,만큼,누리꾼,게시물,소비자,시끌,눈탱이,군항제,포장마차,음식양,진해,2곳,관계자,6곳,결정권,4만,8곳,가격,상인,매장","진해군항제 기간 음식관에서 판매하는 통돼지바비큐가 ‘바가지’ 논란에 빠졌다. 지난 25일 저녁 진해루를 방문한 관광객은 통돼지바비큐가 가격에 견줘 양이 너무 적다고 온라인에서 비판했다. 이 관광객은 진해루 향토음식관에서 5만 원을 내고 통돼지바비큐를 먹었다. 

그는 통돼지바비큐 사진과 함께 ‘눈탱이 맞으러 가긴 했지만 이 정도는 심하다’고 글을 게시했..",http://www.idomin.com/news/articleView.html?idxno=821196,
