제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
COP28 남해안 남중권 유치를 위한 여수시와 여수 시민들의 협력방안,"현황 및 문제점
코로나 확산으로 모두가 힘든 때 입니다.
모든 시민들과 또 삼복 더위에 방역에 여러모로 힘쓰고 계시는 많은 관계자분들 모두 건강하시고 힘내시길 먼저 기원드립니다.

몇해 전부터 COP28의 대한민국 유치 신청을 추진하여 이끌어낸 여수시 관계자분들의 많은 노고가 있었습니다.
여수시가 주체가되어 주도적으로 추진하여 이루어진 일이지만 , 현재 국내 5개 도시에서 유치를 위한 물밑 작업들을 활발히 하고 있습니다.

제주는 100만인 서명운동과, 한라산 윗새오름의 구상나무 동영상을 제작하여 온오프라인으로 병행하고 있고,
인천은 송도 일대 국제회의 복합지구를 앞세우고 있으며,
고양시는 기후위기 대응 대도시 포럼, 탄소중립 시민 실천연대 발족과 국내 최대의 킨텍스 컨벤션 센터등의 인프라를 내세워 적극 활동하고 있습니다.

이에 비해 우리 여수시는 동서화합과 지역균형발전 이라는 차별화된 명분으로 유치활동을 하고있습니다.
대규모 국제회의를 유치하기엔 제주도를 비롯한 다른 도시들보다 약간 부족함이 있지만,
2012 여수 엑스포를 성공적으로 완료한 저력이 있기에 문제 없을것으로 확신합니다.

현재 우리 여수시는 전국 지자체들의 지지운동을 이끌어 내고 있는 것과,
영호남 12개 시군 의원들과의 활발한 교류로 유치 운동을 하고 있습니다.
수개월 전부터 여수시 홈페이지에 접속하여 COP28 내용과 추진상황들을 파악하고 싶었지만 관련 정보가 부족하여 다소 아쉬웠습니다.
개선방안
한라산 윗새오름의 구상나무 홍보 동영상을 보고 느낀 건,
제주도가 이미 COP28을 유치하였구나란 착각이 들만큼 잘 만들었더군요.

이에 우리 여수시도 더 늦기전에 다양한 계층들의 시민이 주도하는 유치활동과
타 도시들과의 차별성등 수 많은 방안들이 더욱더 모색되기를 바랍니다.

제안1)
요즘시대에 전달 효과가 뛰어난 눈으로 보는 홍보영상을 제작 유포하였으면 좋겠습니다.
남해안 남중권에 속하는 12개 시군들이 서로 긴밀이 협력하고 있다는 화합의 모습을 모두에게 홍보하여 동서화합이라는 큰 틀로 하나로 뭉칠 수 있는 내용으로 제작되었으면 합니다.
대도시에서 느낄 수 없는 자연 농촌 그대로의 모습으로도 충분히 차별성이 있을걸로 보입니다.

제안2)
COP28의 근본 목표이자 현 시대에 가장 중요한 환경보호와 관련해서 12개 시민들 누구나 참여할 수 있는 환경관련 아이디어 공모전등을 개최하여 통합의 장을 만들어 주길 바랍니다.
(참고로 ""2021 여수시 가사분담 실천 사진공모전"" 여수시 여성가족과 [여수시민 누구나]를 7월30일까지 공모 하더군요)

여수의 ""세계로 3대 시민운동""의 기본 슬로건을 바탕으로 12개 시군들 모두가 적극적으로 참여 할 수 있도록 이끌어내고,
2023년 ""엑스포 10주년""과 ""개항 100주년""이라는 뜻깊은 해에 ""cop28""행사 까지 공동 개최되어 남해안 남중권 시민들 모두가 함께 즐길 수 있는 뜻 깊은 해가 되기를 바라오며 무엇보다 2026 여수 섬박람회까지 성공적으로 연결되기를 기원합니다.

끝으로 타 유치 후보도시들과의 경쟁보다 ""남해안 남중권 12개 시군""들이 한 목소리를 내고 같은 방향으로 향하는 것도 그에 못지 않게 힘들고 어려울 것으로 예상되는바,
12개 시군 모두가 참여하고 소외되는 지역 없이 성공적으로 개최가 될 수 있도록,
자연환경을 보호하고 여수를 사랑하는 시민의 한 사람으로서 최선을 다해 돕겠습니다.

감사합니다.
기대효과
동서화합의 이정표가 될 수 있도록 좋은 결과가 있길 바랍니다.",2021-07-29,"안녕하십니까?

여수시 시정발전에 관심을 기울여 주시고 제안하여 주심에 감사드리며, 제안하신 내용에 대하여 아래와 같이 답변 드립니다.

제안의 요지는 “전달효과가 뛰어난 홍보영상을 제작하고, 12개 시·군 합동 환경보호 관련 아이디어 공모전을 개최하여 COP28 유치활동 경쟁력을 높이자”는 내용으로 이해됩니다.

해당 제안은 여수시 기후생태과 소관 하에 면밀히 검토되었으며 검토결과는 다음과 같습니다. 여수시에서는 COP28 유치 성공을 위해 ‘COP28 남해안·남중권 공동유치 홍보영상’을 2020년 5월 제작한 후 배포하였으며, 현재 참여 시군이 확대됨에 따라 내용의 수정 및 보완작업이 진행되고 있습니다. 또한 2020년 12월에는 ‘COP28 남해안·남중권 유치 기원 생활 속 저탄소 실천 운동’을 주제로 동영상 공모전을 개최하기도 하였습니다. 이처럼 여수시는 제28차 유엔기후변화협약 당사국총회 유치를 위해 영상제작, 공모전 개최 등의 홍보활동들을 이미 진행하고 있으며, 외에도 남해안남중권유치위원회와 협력하여 ‘유치 지지 서명운동’, ‘생활 속 저탄소 실천운동 릴레이 퍼포먼스’, ‘릴레이 버스킹 퍼포먼스’ 등 다양한 활동들을 추진해오고 있음을 안내드립니다.

해당 제안 내용은 시정운영에 참고하겠으며, 금번 제안채택심사 결과는 아쉽게도 불채택 되었습니다.

해당 답변에 대하여 궁금한 점이 있으신 경우, 제안담당자(061-659-3435) 또는 기후생태과(061-659-5339)로 문의주시면 친절히 안내 드리겠습니다.

다시 한 번 귀하의 제안에 감사드립니다.",2021-08-11,여수시,답변완료
전기오토바이 정부지원금 추경 요청드립니다,"현황 및 문제점
무아군에서 운영하는 전기오토바이 지원금이 없어서 전기오토바이를 구매할수 없습니다 추경 요청 드려봅니다
개선방안
전기오토바이 추경을 통하여 전기 오토바이 증가
기대효과
전기 오토바이 는 환경 및 소음에 효과가 좋습니다",2021-07-29,"1. 자연환경 보전과 쾌적한 생활환경 조성을 위한 깊은 관심에 감사드립니다.

2. 귀하께서 국민신문고를 통해 신청하신 국민제안(1AB-2107-0028519)의 “전기이륜차 보급사업 추가시행” 관련하여 다음과 같이 답변드립니다.

3. 전기이륜차 보급사업은 온실가스 저감 및 미세먼지 감축을 통하여 대기환경 개선을 위해 진행하는 사업으로, 올해 우리군은 ‘21.3.15.부터 시행하여 현재 모든 물량이 소진되었습니다.

4. 하지만, 우리지역 환경개선에 도움이 되는 사업이므로 환경부 및 전남도청과 상의하여 추가 및 내년 사업에 반영이 될 수 있도록 노력하겠습니다.

5. 앞으로도 민원인의 안정 및 신속한 민원해결을 위해 다각도로 노력하겠으며 내용에 추가 설명이 필요한 경우 무안군청 환경과 기후변화대응팀(☎061-450-5558)으로 연락 주시면 친절히 안내해 드리도록 하겠습니다. 끝.",2021-08-27,무안군,제안실현
위기를 기회로 만듭시다.,"현황 및 문제점
2021년 1월 지방소멸지도를 보면, 전남은 목포무안, 여순광 빼고 전부 소멸입니다.
무안군은 강진, 해남, 완도, 진도, 신안에서 이주해오는 젊은이들을 꽉 잡아야합니다.
젊은이들은 인프라가 있어야 터를 잡고 삽니다.
그런데 무안군에서는 '이마트 트레이더스'와 같은 대규모 자본투자를 반대합니다.
결국 이마트 기업은 부지를 확보해놓고도 건립을 철회했습니다.
무안군은 일자리와 인프라, 인구유입과 유동성을 모두 날려버렸습니다.
전남광주가 지역상인들의 이익만을 보전해주기 위하여 스스로 쇄국정책을 펼치다보니 점점 낙후되어갑니다.
젊은 인구의 유입이 있을만한, 도시의 기능을 할만한 좋은 투자가 들어오면
지역상인들이 시위하고 반대해서 다 날려버리고 결국 타시도로 대규모 투자가 넘어갑니다.
이렇게 스스로를 가두고 인프라를 포기한다면, 무안군에 거주하는 젊은이들마저 인근 광역시로 대거 이탈할겁니다.

젊은인구 유출 - 인구감소 - 도시인프라 저하 - 잔여인구 유출 - 무한반복 - 인구소멸

목포 무안이 거시경제를 보지 않고 대규모 인프라 건설을 걷어차는 실책을 반복한다면
젊은 인구는 무안군에 자가를 마련하지 않고, 재산가치를 지키기 위해 인근 대도시로 떠날겁니다.
그러면 빈집 텅텅 슬럼화 되겠죠? 그리고 2025년 인구소멸지도에는 무안군과 목포시가 함께 있게 되겠죠.

아주 큰 문제인데, 당장 목소리큰 몇명의 의견에 끌려다니는 것 같아 안타깝습니다.
개선방안
지역상인들의 이익과 형평성을 맞추는 것은 무안군이 할 일입니다. 상인에게는 상품권을 활용한다던가, 세금혜택을 준다던가, 임대료를 지원해준다던가, 간판이나 공간 리모델링을 지원해준다던가 하는 무안군의 노력이 필요합니다. 대규모 상업시설이 곧 문화시설이라는 것은 잘 알고 계실겁니다. 이 또한 시대의 흐름입니다. 남악에 건물에 공실률이 높은 것은 산업의 구조가 오프라인에서 온라인으로 변했기 때문입니다. 1년을 조용히 보내겠다고 30년 뒤쳐지는 망조의 길을 걸으면 안됩니다.
광명시는 이케아, 대전시는 광주에서 걷어찬 롯데호텔로 어마어마한 특수를 누리고 있다는 것 잘 아실겁니다.
무안군이 걷어찬 이마트 트레이더스는 어느 도시로 가서 인프라를 만들고 있을까요?

주변 군지역 젊은이들이 정착을 고민할 때, 무안군이 전남의 플랫폼다운 인프라로 무장하여 젊은이들을 흡수해야합니다.
기대효과
인프라로 무장한 전남의 수도 무안. 아이 낳아 키우기 좋은 문화시설이 있는 무안. 젊은이들의 일자리가 많은 무안. 열린행정으로 지역의 발전을 끊임없이 모색하는 혁신무안.",2021-07-29,"1. 귀하의 무궁한 발전을을 기원합니다.

2. 평소 우리군에 관심어린 애정으로 지역경제 활성화 방안을 제안해 주신것에 감사드리며
문의하신 제안 내용에 대해 답변드리도록 하겠습니다.

3. 대규모 투자(상업시설) 유치를 통한 인프라 구축, 이에 따른 인구유출 방지와 인구
유입 효과에 대한 귀하의 의견에 크게 동감합니다.

3. ""대규모 사업시설 유치(투자)""에 대해서는 유관기관과의 협조, 지역주민· 지역상인의
의견수렴, 의견수렴에 따른 상생방안 마련, 예산확보, 기업 유치 등 중장기적으로
검토가 필요한 사항으로 판단됩니다.

4. 아울러 지역 상권이 활성화될 수 있도록 관련 내용 및 정책을 홈페이지 게시하는 등
온라인 홍보에도 최선을 다하겠습니다. 다시 한번 소중한 제안을 주신데 대해 감사
드리며 추가 문의사항이 있으실 경우 무안군청 지역경제과에 연락주시기 바랍니다.
(☎061-450-5713)

붙임 국민제안신청서. 끝.",2021-08-30,무안군,답변완료
실내 농구장을 만들어주세요!,"현황 및 문제점
현재 실내 농구장에 농구를 하는 사람들이 불편함을 느끼고 있습니다
공에 먼지가 묻어 금방 손이 더러워 지고 여름이나 겨울에는 덥거나 눈이와서 좋아하는 농구도 못하게 됩니다.
그리고 밖에서 하는거여서 벌레가 많이 보입니다.
네트가 미끄러워서 넘어져서 부상을 입은 적이 많았습니다.
농구를 오래 하고 싶은데 불편한점이 많아서 많이 못하는거 같습니다.

개선방안
실내 농구장을 만들면 위에 있는 문제점들이 다 사라집니다.
그만큼 편하게 농구를 할수있다는 겁니다.
실외 농구장 말고 실내 농구장을 만들어야 한다 저는 생각합니다.
기대효과
덥지 않고 겨울에 실컷 농구를 할수있고 미끄럽지 않아 부상을 많이 입지 않습니다.
특히 농구하로 오는 사람들도 좋아할것입니다.
왜냐면 저도 농구 하는 사람으로써 그 기분을 잘 알기 때문입니다.",2021-07-27,"안녕하십니까?
영광군정에 관한 좋은 의견을 주셔서 감사합니다. 귀하께서 방문하여 등록하신 국민제안은 군정에 관한 창의적인 개선 아이디어를 제출하는 코너입니다. 상기 내용으로 제출하신 제안은 영광군에서 이미 시행하고 있는 시책으로써, 관련실과 검토 회신 결과

- 영광 스포티움 보조실내체육관에 농구경기를 진행 할 수 있도록 마련되어 있으며, 농구동아리 등 대관을 진행하고 있음.

영광군 제안제도 '접수하려는 기관이 이미 시행 중인 사항이거나 기본 구상이 이와 유사한 것'에 해당되어 불채택처리합니다. 아울러 귀하께서 제출하신 소중한 의견은 관련업무를 추진하는데 적극 활용하도록 하겠으며 앞으로도 지속적인 관심과 참여 부탁드립니다.",2021-10-27,영광군,답변완료
세계 및 전국 최초 개발사례들 자원화 환경 조성 방안 제안,"현황 및 문제점
수신; 문화관광홍보

1>제안개요
최근 코로나19로 전 세계적인 어려움의 현상에서 어려움의 극복, 문제점 예방하는 모습으로 본 받을 만한 사례들을 찾기가 쉽지 않음과
유익한 방안이 있더라도 적극적으로 추진 할만 곳을 찾기도 쉽지 않은 실정입니다.
다행 스럽게도 적극적인 국민들의 값진 사례에서 확인 할 수 있다는 점입니다
국내 최초는 물론 세계에서 최초로 개발되어 제공되는 경우도 적지 않은 실정입니다.
하지만 여러 가지 이유들에 의해서 무사안일함과 아첨 성향자들에 매몰되어 방치되고 있는 경우도 적지 않다고 보는 국민들도 있다는 사실입니다.
때문에 새롭게 발굴.창출은 하지 못하더라도 새롭게 최초로 발굴.창출된 결과물들에 대한 관심을 가지고 긴요하게 활용함이 상상도 하지 못한 결과물들을 발굴.창출할 수 있다는 점입니다.
이와 더불어 제안제도인 국민신문고 등을 통화여 제안되어 채택된 것들(국내 채택율 3%인점 고려) 중에서 시행되지 않고 있는 것들을 시행함에 따른 유익함들 활용 사례 예시가 시급한 실정입니다.
“전남 신안, 전국 최초 '태양광 이익 배당금' 지급(:
https://news.mt.co.kr/mtview.php?no=2021072215177887075&outlink=1&ref=https%3A%2F%2Fsearch.daum.net)
을 비롯한 세계 및 전국 최초 개발사례들 자원화 환경 조성 방안 제안;http://blog.daum.net/sse5404/793)
실현에 협조을 제안 합니다.
개선방안
2>제안내용;
다수 국민이 가장 많이 가지고 있는 휴대전화기와 홈페이지 사용 과정에서 가장 많이 이용하는 부분들 중에서도 불편사항을 개선한 환경으로 제공함에 함께하자는 것입니다.
핵심적인 주 내용은 신안군청 홈페이지(;
http://www.shinan.go.kr/home/www/openinfo/participation_03/participation_03_06/page.wscms)
초기화면과 다른 화면들 공통화면 최 하단 군청 주소위에 “이메일무단수집거부” 다음에 ”타 기관 조직도 바로가기(;
https://blog.daum.net/sse5404/798)
를 연결해 놓자는 것입니다.
이렇게 해 놓은 것 만으로 다음일들을 하는 격이 됩니다.
1)가정이나 직장에 손님이 방문했다가 갈 때 경유할 곳이 있을 때 안내를 하듯이 홈페이지를 방문했던 사람들이 돌아 갈 때 경유할 공공기관들 담당자 연락처가 명기되어 있는 조직도를 안내 해 놓는 격이 됩니다.
현재 ARS나 인터넷 사용이 미숙(휴대전화기 자판기가 작음에 따른 불편함 등)하거나 처음 사용하는 사람(항시 존재함을 고려)들에게 편하고 쉽게 찾을 수 있게 배려해 놓는 격이 됩니다.
2)블로그 끝부분 798대신에 전국은114, 서울117(25개구;강남110,강동579,강북587,강서591,관악108, 광진92, 구로102,금천592,노원28,도봉588,동대문583,동작580,마포147,서대문589,서초577,성동183,성북586,송파578,양천111,영등포38,용산584,은평590,종로85, 중구515,중랑104),인천402 경기47, 강원128, 충북127,충남304,대전122, 세종124,경북174, 경남132, 대구119, 울산123, 부산305, 전북129, 전남130,광주121,제주151.또한 이 사이트(http://www.gomi.co.kr) 맨위에 검색창을 비롯하여 좌 측위에 검색엔진에서 선택하여 “(필요시 해당 지역을 넣고)전국 최초“로 검색할 수 있습니다.
위에서 아래로 네 번째 신문 뉴스메뉴(끝에서 more 클릭)와 지방신문협의회(:https://www.lpk.kr)
이용하면 언론사들을 거의 모두를 볼 편하고 쉽게 볼수 있는 환경을 제공하는 격이 됩니다.
이들을 바탕으로 여러 가지 응용하여 활용함으로서 다문화가정들과 해외동포들까지 함께 하면서 전 세계에 시대의 특성을 활용함에
소외 되기 쉬운 고령자와 사회적 약자층들에 값진 배려가 됨을 예시하는 등 상상조차 하지 못한 일들을 해 낼 수 있는 환경조성이
됨을 확인 할 수 있습니다.
3) 지능 정보화 기본법, 적극 행정 운영 규정, 공공기록물 관리에 관한 법률(약칭: 공공기록물법) 유익한 활용 사례 에시해주는 격이 됩니다.
4)전라남도 도청의 경우 신안구청과 같이 이것(https://blog.daum.net/sse5404/130)
을 연결 시킴으로 전국이 모방하게 됨에 따라서 신안 반월·박지도 ‘세계 최우수 관광마을’ 후보 선정(;
http://www.kjdaily.com/1625052122550118000, https://blog.daum.net/sse5404/799)
세계 및 전국 최초 개발 사례들;(http://blog.daum.net/sse5404/793)
이 알려지게 되면 이들 속에 신안군 문화관광(;http://tour.shinan.go.kr/home/tour)
이 알려지게 해놓는 격이 됩니다.
5)언론사에 뉴스 소재를 제공하는 격이 됩니다.
기대효과
3> 기대효과
1) 청소년들에게 세계 최초의 개발 및 시도의 사례에 모방 소재들 제공 효과
2) 사회적 약자층들을 비롯한 소상공인들에게 희망 소재 제공 효과
3) 각계각층 도전 소재 제공 효과
4) 다문화가정과 해외 동포들과 연대 소재 환경(함께 할 상대가 비권력 단체란 점) 제공 효과
5) 예시(세계 유일한 전뇌학습법;www.allbrain.co.kr)에 따른 홍보 효과와 같이
예시가 신안군청(http://www.shinan.go.kr/home/www)처럼으로 바뀜에 따른 홍보 효과
이런 사례는 국내는 물론 전 세계에서도 처음 제공하기에 몇(많은 이용 꺼라) 차례 보도 소재들을 제공할 수 있음에 따라서 홍보
효과를 체감할 수 있다는 점(기자들에게 뉴스 소재 여. 부를 확인)입니다.
6) 기타 글로벌 인식 확장 효과
*수많은 홈페이지가 있지만, 휴대전화기에 본인 소속 기관·단체 직장 홈페이지를 휴대전화기에 바탕(초기)화면에 추가해 놓은 사람들
많지 않았지만, 이제는 본 제안서를 채택하여 실현해 놓고 해당 홈페이지를 본인 휴대전화기에 추가해 놓으면 세계 및 전국 최초 사례들 정보들(https://blog.daum.net/sse5404/114,http://blog.daum.net/sse5404/130 나, https://blog.daum.net/sse5404/798)
을 비롯하여 각 언론사들과 공공기관 조직도 등을 편리하게 활용할 수 있게 됩니다. 끝.",2021-07-27,"1. 국민제안(1AB-2107-0025570)(2021.07.28.)호와 관련입니다.

2. 국민제안 ‘세계 및 전국 최초 개발사례를 자원화 환경 조성 방안 제안’에 다음과 같이 답변 처리하고자 합니다.

□ 다 음 □

○ 먼저 우리군정에 관심을 가져주신데 대하여 감사의 말씀 전합니다.
○ 귀하께서 요청하신 '세계 및 전국 최초 개발사례들 자원화 환경 조성 방안 제안'에 대하여 검토 결과 아래와 같이 회신하여 드립니다.
○ 제안해주신 개요와 제안내용을 검토한 결과 대표홈페이지에 ""타 기관 조직도 바로가기""개인 블로그 링크를 연결을 요청한것으로 판단됩니다.
○ 국민, 군민께서 대표홈페이지를 접속할때에는 특정 목적을 가지고 원하는 정보를 찾기 위하여 접속하기 때문에 타 기관을 경유하는 수요는 적다고 판단되며 일반적으로 홈페이지에 들어오는 경로는 대형 검색엔진(네이버, 다음 등)을 통하여 접속하기 때문에 타 기관 홈페이지를 방문하는 접속경로를 찾기는 어렵지 않다고 판단됩니다.
○ 또한 현재 홈페이지에도 기본적으로 전라남도 타시군 링크는 이미 링크 연결하고 있으며 특정목적을 위해 개인 블로그를 연결하는 것은 공익에 어긋난다고 판단되어 불채택하게됨을 양해하여 주시기 바랍니다.
○ 소중한 제안에 대하여 감사말씀 드리며 앞으로도 지속적인 관심 부탁드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2021-09-08,신안군,답변완료
무안군블로그 운영 관련,"현황 및 문제점
사회적거리두기 사항이 현재 블로그와 군홈페이지의 내용이 상이합니다. 블로그에 관련 내용 업데이트가 필요해보이니 꼭 카드뉴스가 아니더라도 빠른 시일내 전라남도 행정명령사항이 업데이트되었으면 합니다.
개선방안
전라남도 사회적 거리두기 행정명령사항이 블로그에 업데이트가 안되어있어 혼돈이 야기됨. 관련사항 빠른 업데이트 필요.
기대효과
도민의 혼돈이 해소됨.",2021-07-23,"1. 귀하의 가정에 행복이 가득하시길 기원 드리며 우리 군의 군정 홍보에 대한 깊은 관심과 조언을 아끼지 않으심에 진심으로 감사를 드립니다.

2. 귀하께서 국민신문고를 통해 제안하신 내용은 ""사회적 거리두기 행정명령사항 업데이트 요청"" 건으로 이해됩니다. 이번 사회적 거리두기 행정명령사항을 신속하게 안내해드리지 못한 불편을 끼쳐드려 죄송하다는 말씀을 드립니다.

3. 앞으로 귀하께서 제안을 해주신 것처럼 우리 군에서 운영하고 있는 블로그에도 홈페이지에 안내한 내용과 일치하도록 사회적 거리두기 등 방역과 관련된 사항들을 더욱 더 신속하고 정확하게 홍보하여 군민들의 불편을 해소할 수 있도록 최선을 다하겠습니다. 이와 관련하여 더 문의하실 사항이 있으시면 기획실 홍보팀(☎061-450-5235)으로 연락주시면 성심껏 답변해 드리겠습니다.

4. 제안에 대한 채택심사 결과는 단순 건의사항으로 불채택 처리함을 알려드리며 앞으로도 군정과 관련하여 좋은 아이디어가 있으시면 언제든지 제안해 주시기 바랍니다. 감사합니다. 끝.",2021-07-28,무안군,답변완료
공동주택 수도검침 감면 적용 요청 건,"현황 및 문제점
안녕하십니까 군수님.
군정에 힘써 주심에 진심으로 감사드립니다.
남악오룡 행복위원회 카페지기 김태훈입니다.

아파트 관리비 관련하여 절감 방안을 찾던하던 중
인근 타지역에는 적용되는 부분이지만
무안군에는 적용되지 않는 조례가 있어서 개정을 제안드립니다.

해당 조례는 무안군 수도급수 조례 제40조 3항의 내용으로
수도 검침시 다독주택의 경우 무안군에서 직접 세대를 방문하여 검침을 실시하지만
공동주택의 경우는 주 계량기의 내용만 검침하게 됩니다.
개별 세대는 관리사무소에서 실시하게 되는것이지요.
그만큼 무안군의 업무가 공동주택의 업무로 이관되어 이 부분에 대하여 검침비용을 절감해주는 내용인데
유첨된 '조례비교표'와 같이 해남 500원, 목포 200원, 영암 200원 매월 호당 절감을 시켜주고 있습니다.
개선방안
무안군 수도급수 조례 제 40조 3항의 내용에 대하여 감면 금액을 책정하고
조례를 개정하여 공동주택에 감면 혜택이 적용될 수 있도록 개선되어야 합니다.
기대효과
작게는 공동주택에 거주하는 주민의 관리비 절감효과가 있겠으나 (월 200~500원)
이 작은 개정을 시작으로 무안군도 도시의 상징인 공동주택에 대한 관심과
행정의 변화를 많은 군민이 반길 것이라 생각됩니다.

항상 노고에 감사드리며, 더욱 발전하는 무안군이 되기를 바랍니다.
감사합니다.",2021-07-23,"1. 먼저, 무안군 상하수도요금에 대한 관심과 조언에 깊은 감사를 드립니다.

2. 귀하께서 제안하신 공동주택 수도검침 감면 적용 요청건에 대해서 「무안군 수도급수조례」제40조제3호에 따르면 공동주택 세대별 시설분담금을 납부하여 개별 계량기를 설치할 경우 「무안군 수도급수조례」시행규칙 제23조제2호에 따라 세대별 각 호당 350원씩 감면할 수 있습니다.

3. 아울러, 검침원 대신 관리인이 세대별 분전함이 아닌 개별 계량기의 검침을 수행하였을 경우 감면 적용이 해당하는 사항으로 기타 궁금하신 사항은 무안군청 상수도행정팀(061-450-4118)으로 연락주시기 바랍니다. 감사합니다.",2021-08-20,무안군,답변완료
차량 사고 방지 가드레일 설치,"현황 및 문제점
여수시 돌산읍 군내리 산 80-38 동내삼거리에서 돌산항 가는 방향 일반도로 가드레일 설치해 주시기를 건의 합니다.

저는 여수시 소속 소방공무원으로 얼마전 상기 장소에서 발생한 추락 및 차량 전도 교통사고 현장을 처리했습니다. 사고 지점은 완만한 경사의 코너길 이었으나 첨부 사진과 같이 가드레일이 설치된 구간과 설치되지 않은 구간으로 나뉘어졌습니다. 사고차량은 가드레일이 설치되지 않은 구간에서 도로를 이탈후 추락하였으나 천만 다행히 추락 지점 3미터 아래에 자리잡은 나무로 인해 큰 사고를 면했습니다. 수십미터 언덕 아래로 추락하여 인명사고로 이어질뻔한 아찔한 현장이었습니다.

이와 같은 위험요인이 존재하는 도로의 가드레일이 끊어진 구간에 추가적인 가드레일 설치를 해주시기를 바랍다.
개선방안
가드레일이 설치되지 않은 구간 추가 설치
기대효과
위험요인을 사전에 차단함으로서 대형 사고 방지 및 시민의 생명과 재산 보호",2021-07-23,"안녕하십니까?

여수시 시정발전에 관심을 기울여 주시고 제안하여 주심에 감사드리며, 제안하신 내용에 대하여 아래와 같이 답변 드립니다.

제안의 요지는 “여수시 돌산읍 군내리 산 80-38 동내삼거리에서 돌산항 가는 방향 일반도로에 가드레일을 설치하여 대형사고를 예방하자”는 내용으로 이해됩니다.

해당 제안은 여수시 도로시설관리과 소관 하에 면밀히 검토되었으며 검토결과는 다음과 같습니다. 해당 장소는 교통사고 신고 및 견문보고 접수 등으로 인해 위험도가 높은 것으로 판단되어 가드레일 설치가 기 예정되어 있는 곳입니다.(8월 중 50M 길이의 가드레일이 설치될 예정입니다.) 항상 인명과 관련된 귀중한 업무를 하시면서 이처럼 귀중한 제보까지 해주심에 감사드리며, 여수시도 시민의 안전을 위해 위험지역을 철저히 관리하여 사고예방에 최선을 다하도록 하겠습니다.

금번 제안채택심사 결과는 시행 예정사항인 바, 아쉽게도 불채택 되었습니다.

해당 답변에 대하여 궁금한 점이 있으신 경우, 제안담당자(061-659-3435)로 문의주시면 친절히 안내 드리겠습니다.

다시 한 번 귀하의 제안에 감사드립니다.",2021-08-11,여수시,답변완료
무지개다리 공원에 철봉 설치해주세요,"현황 및 문제점
금호동과 중마동을 잇는 무지개다리 위 공원에 앉아서 쉴수있는 벤치밖에 없어서 효용성이 떨어집니다
개선방안
철봉, 평행봉 등을 설치해서 오며가며 운동을 할 수 있도록 해주세요
기대효과
시민들의 건강 증진",2021-07-22,"1. 귀하의 가정에 행복이 가득하길 기원합니다.

2. 귀하께서 요구하신 무지개다리 인근 공원 내 철봉 및 평행봉 등 운동기구 설치 제안에 대하여 아래와 같이 회신합니다.

- 아 래 -
〇 해당 공원 내 운동기구 설치는 예상 이용인원 및 설치 타당성 등을 종합적으로 검토한 후 공원관리 부서 협의 및 예산확보 등 관련 사항을 면밀히 검토하여 결정할 예정임.

3. 기타 문의사항이 있으실 경우에는 광양시청 체육과 체육시설팀(☎797-2416)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2021-08-13,광양시,답변완료
완도군에 취업하러 온 젊은 청년들이 거주할 수 있는 주거공간을 만들어주세요.,"현황 및 문제점
코로나로인해 도시에서 취업이 어려운 젊은 청년들이 지방으로 취업자리를 알아보는 과정에서 주거문제로 인해 취업을 포기하는 일이 빈번함. 그 중 한곳이 완도임.
완도는 집값도 비싸고 월세도 말도 안되게 비쌈.
개선방안
현재 농공단지에 있는 근로자 복지관을 읍내에 여자&남자 건물 2채 만들어야됨
농공단지에서 일하지 않더라도 완도에 취업하러 온 사람이라면 저렴한 월세로 살 수 있도록 완도군에서 월세 및 건물을 지원해줘야됨.
물론 LH청약 하듯이 뽑기로 당첨되게 하고, 보증금도 받아야함. 또한 거주 목적을 명백히 밝히는 조건이 있어야함. 그리고 공무원은 관사가 있기 때문에 해당안됨, 오직 자영업자 혹은 직장인만 가능.
현재 농공단지는 주변에 마트도 없고 교통편도 없어서 가까운 읍내에 장보러 가는 것 조차 쉽지 않음. 그렇기 때문에 읍내에 그런 젊은 청년들을 위한 주거공간을 만들어야됨.

기대효과
젊은 청년들이 완도에 취업자리를 알아보게 될 것임. 그렇게 완도에 젊은 청년들도 유입시켜 정착하게 하면 군민도 늘어나고 지역경제도 살릴 수 있음.
청년들이 있어야 지역이 발전함. 많이 도전하게 도와주고 창의적인 아이디어를 낼 수 있는 환경을 만들어줘야함. 그래야 완도군이 발전할 수 있음.",2021-07-22,"국민제안(1AB-2107-0020658) 심사 결과를 아래와 같이 통보하고자 합니다.

□ 제안심사 결과 □

현재 농공단지에 있는 근로자 복지관 건립에 사용된 예산은 약 30억원(땅값 제외)으로 해당 건축물을 남·녀 공용으로 2채를 지을 경우 현재 자재단가를 고려할 때 소요되는 예산은 건축비용만 70억원이 넘을 것으로 예상되며, 약 3,000㎡ 부지 및 부지 확보를 위한 예산이 필요하여 현실적으로 수용하기 어려운 제안으로 판단됩니다.

붙임 국민제안신청서. 끝.",2021-08-21,완도군,답변완료
