제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
전통시장 무료주차 운영바랍니다..,"현황 및 문제점
* 현황

제천시내에는 전통시장이 4곳 있습니다.
이 중, 내토시장은 시장 내 점포에서 할인쿠폰을 발급해, 이용객들이 주차비로 잘 활용을 하고 있습니다.


* 문제점
그런데, 다른 시장 3곳은 할인쿠폰이나 주차권을 미발급해, 시장 이용객들은 모두 주차비를 지불해야 합니다.

개선방안
전통시장들도 대형마트처럼 무료주차를 확충해야 할 것이며, 단골손님에게는 회원카드 및 상품권을 발급해 다시 이용하고 싶은 재래시장을 만들어야 합니다.
기대효과
재래시장을 찾는 이용객들이 좀더 편하게 이용할 수 있고, 이용객도 더 증가할 것이며, 재래시장은 침체되어 있는 여건을 타개할 수 있고, 대형마트와의 경쟁력을 점차적으로 갖추어갈 수 있습니다.
전국에서 제일가는 시장, 대형마트와 경쟁해 이기는 시장, 고객에게 감동을 주는 시장이 될 수 있고, 지역상권과 지역경제 살리기에도 큰 도움이 될 것입니다.",2022-04-14,"1. 안녕하십니까? 제안 참여에 감사드리며 귀하의 제안에 대해 다음과 같이 회신드립니다.
2. 장애란님께서는 ‘전통시장 주차장의 무료 운영을 통한 전통시장 활성화’라는 내용으로 제안해주셨습니다.
3. 귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다
가. 우리시에서는 「전통시장 및 상점가 육성을 위한 특별법」 및 「주차장법」에 따라 전통시장 주차장을 조성, 해당 전통시장 상인회에 위탁 운영하고 있습니다.
나. 상인회에서는 주차요금 수입을 통해 주차장의 인건비 지급, 유지보수 경비 지급 등 주차장의 유지 운영 지출을 충당하고 있어, 무료 주차운영은 다소 어려움이 있습니다.
4. 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 이 밖의 문의사항은 일자리경제과 김황섭(043-641-6603)으로 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.

-------------------------------------------------------------------------------------------------------------------------------

1. 안녕하십니까? 제천시청 교통과 김성식입니다. 귀하께서 제기하신 국민제안에 대해 다음과 같이 회신하여 드립니다.
2. 장애란님께서는 ‘전통시장 무료주차장 확충’ 내용으로 제안해주셨습니다.
3. 귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다.
가. 무료주차로 전통시장을 활성화하는 귀하의 의견에 충분히 공감하오나,
나. 전통시장 인근 노상주차장은 모든 시민이 이용하는 주차장으로 전통시장
이용자를 위한 무료시행 여부는 전통시장에서 판단할 사안으로 보입니다.
다. 주차장 부족으로 인한 불편해소를 위하여 시민주차타워 확장 건립 등
노력하고 있음을 이해해 주시기 바랍니다.
4. 이 밖의 공영유료주차장 요금 문의사항은 교통과 김성식(043-641-6355)으로 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.",2022-04-28,제천시,답변완료
취약계층 반려동물가족들에 체계적 지원을하면 좋겠습니다..,"현황 및 문제점
* 현황

혼자 살거나 외로움 등의 이유로 반려동물을 양육하는 사회경제적 취약가구가 인구가 많이 늘어나고 있습니다.
유기동물 처리건수도 늘어나는 등 반려동물 관련 행정수요는 급격하게 커지고 있습니다.


이에, 경기도 화성시는 지난 1월 전국 최초로 반려가족과를 신설하고, 반려동물에 대한 체계적인 정책 마련에 나서고 있습니다.
중증장애인, 한부모가정 등 취약계층에 대한 반려동물의 백신접종비, 검진비, 치료비, 수술비 등 의료비 80%까지 지원과, 돌봄위탁관리서비스를 지원하고 있습니다.
또한, 반려동물과 가족들을 위해 지난해 동탄여울공원에 화성시 1호 반려가족놀이터를 조성한데 이어, 올해는 백미리캠핑장 등 2곳에 2호, 3호 놀이터를 조성할 계획입니다.
또, 화성시 정남면에 반려가족테마파크로 4만6천여㎡ 넓이에 실외놀이터, 애견수영장, 유기견입양센터 건립 등을 추진하고 있습니다.




* 문제점

제천시에는 반려동물가족들에 대한 체계적인 정책이 마련되지 않은 것 같습니다.
개선방안
제천시도 화성시 정책을 벤치마킹해, 취약계층 반려동물가족에 대한 체계적인 지원을 하면 좋겠습니다.
기대효과
동물복지 향상과, 취약계층의 반려동물 양육 부담을 크게 완화해 유기동물도 많이 감소할 것이라고 생각합니다.",2022-04-13,"1. 안녕하십니까? 제안 참여에 감사드리며 귀하의 제안에 대해 다음과 같이 회신드립니다.
2. 장애란님께서는 취약계층 반려동물 가족들에게 체계적인 지원 이라는 내용으로 제안해주셨습니다.
3. 귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다.
가. 취약계층 분들에게 반려용품 등 물품을 지원하여 반려동물을 키우실 때 도움을 드릴 수 있는 좋은 아이디어로 생각됩니다.
나. 우리시에서는 올해 처음 취약계층 반려동물 평생관리 지원 강화를 목적으로 취약계층 반려동물 장례비 등 지원 및 전입 ‘웰컴-키트’ 지원 사업을 추진 중에 있습니다.
다. 앞으로 관련 정책들을 서서히 확대하도록 하겠으니 이 점 양지하여 주시기 바랍니다.
4. 이 밖의 문의사항은 유통축산과 최용준(043-641-6876)으로 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.",2022-04-27,제천시,답변완료
종댕이길 방향 가로수 미개화 벚나무 교체 요망,"현황 및 문제점
1. 현재 마지막재 종댕이길 주차장에서 충주댐 방향으로 길 양쪽에 벚나무 가로수가 잘 자라고 있습니다
봄이 되면 벚꽃이 개화 하면 충주댐 벚나무 방향까지 만개한 벚꽃을 기분 좋게 감상할 수 있습니다

2. 그러나 안타깝게도 중간 중간에 벚꽃은 개화 하지도 않으면서 바로 잎사귀가 나오는
희귀한 벚나무들이 중간 중간에 많이 있어서 충주를 방문한 내방객 들에게 옥의 티가 되고 있습니다

개선방안
3. 따라서 지금 쯤 미개화 벚나무를 구별하여 식별 표시를 하고 이 나무들을 금년에 제거하고
새로운 왕벚나무들을 식재하여 아름다운 충주호변 가로수로 거듭날 수 있도록 하시면 어떨까요?

4. 하방 벚나무 길이나 충주댐 벚나무 길이 그냥 자연스럽게 조성 된 것은 아닐 겁니다
서로 노력하여 가꾸어서 지금의 모습으로 조성된 것일 겁니다
기왕 벚나무 꽃길을 조성하려면 화창하게 핀 벚나무 길이 되도록 시청에서 노력해 주십사 하고 건의 합니다

이상 충주를 사랑하는 시민이 의견을 제시 하오니 가부 간 답변을 해주시고
가능하시다면 채택이 되어 새로운 충주호 변 가로수 길이 조성되기를 간절히 바랍니다

이 경영 배상
기대효과
5. 전국이 벚나무 꽃 자랑을 하고 있는데
천혜의 자연 조건을 갖춘 충주호변의 자랑스러운 벚나무 꽃길이 될 것 입니다",2022-04-12,"우선, 귀하께서 충주호수로(종댕이길 주차장 ~ 충주댐) 가로수 중 산벚나무에서 왕벚나무로 교체하자는 제안에 깊은 감사를 드립니다.
귀하께서 제안하신 내용은 벚꽃이 만개하였을 때 산벚나무와 왕벚나무의 개화시기가 달라 미관상 좋지 않다는 취지로 판단됩니다.
귀하께서 제안하신 취지는 충분히 이해하나 짧은 개화기간의 경치를 위해 수십년간 성장한 가로수를 제거하기에는 어려움이 있습니다. 우리시에서는 산벚나무가 고사할 경우 왕벚나무로 보식할 장기계획을 세우고 있으며, 식재한 왕벚나무의 성장이 원활하도록 수시로 가지치기 등 유지관리를 실시하고 있습니다.
또한, 도시 내 가로수는 꽃감상뿐만 아니라 사람들이 가장 쉽게 접할 수 있는 녹지이며 도시골격을 형성하는 선형 녹지의 역할, 도로교통의 안전 확보, 경관개선, 대기오염과 소음공해 감소, 열섬현상 완화, 도시 내 미기후 조절 등 도시환경개선에 중요한 역할을 하고 있음을 양지하여 주시기 바라고, 가로수 관리에 만전을 기하겠습니다.
귀하가 제안하신 충주호수로 벚나무 교체는 장기적으로 검토할 사안으로 채택하지 못하는 점 너그러히 양해해 주시기 바라며 기타, 궁금한 사항이 있으시면 푸른도시과 도시조경팀(043-850-6183)으로 연락주시면 자세히 설명드리겠습니다.

앞으로도 가로수 관리에 좋은 조언 부탁드립니다. 감사합니다.",2022-04-21,충주시,답변완료
"증평군 일출, 일몰 명소 조성 건의","현황 및 문제점
증평군에 거주하면서 취미로 사진을 하고 있습니다.
나름 증평군 곳곳을 다니며 촬영한 사진으로 SNS에 올려 보지만
아쉬운 부분이 증평은 아직까지 특별한 관광명소가 아직은 많이 부족한듯 합니다.
특히 사진을 취미로 하시는 분들이 사진 찍기 좋은 명소 같은 곳이 없다 보니 홍보도 덜 되고 하는
아쉬운 부분이 있어 제안을 해봅니다.
제가 제안을 드리는 부분은 증평군민이 거의 다 아는 곳 안골 등산로에 일출, 일몰을 볼 수 있는 곳이 있어
이곳을 조금 조성해보면 어떨까 해서 제안을 남겨봅니다.
현재 증평군 안골등산로 사이로 도로공사가 진행되어 차후에 이동 차량이 많아지면 야경 장노출 사진명소도
될 수 있지 않을까 해서 평소 눈 여겨 보던 곳입니다.

개선방안
우선 안골등산로 중간 도로 공사중인 언덕위에 전망대용 팔각정 및 소나무를 심고 주변에 철쭉같은 묘목으로 조경을 해놓으면
등산로 이용하는 군민들의 쉼터 및 일출, 일몰 포인트로 활용하는 방안입니다.
추가로 증평 파라디아 밑 보강천 하상주차장 쪽에도 일몰이 괜찮은 곳이 있는데, 콘크리트 계단 구조물을 세워 사진 촬영 명소를
남기면 어떨까 합니다. 일몰도 괜찮은 곳입니다.
기대효과
증평군 일출, 일몰 명소로 홍보.
증평군민의 쉼터 조성.
증평군 가볼만한 곳으로 홍보 등.",2022-04-08,"국민제안(1AB-2204-0004104)에 대한 심사 결과를 다음과 같이 통보하고자 합니다.

1. 신 청 인 : 안 ○ 돈
2. 제안내용 : 증평군 일출, 일몰 명소 조성 건의
3. 통보내용
안녕하십니까 제안 참여에 감사드리며, 귀하께서 제안하신 사항에 대한 검토 결과를 다음과 같이 회신하여 드립니다.
귀하께서 제안하신 내용은 증평군의 일출, 일몰 장소를 조성하여 관광명소 활성화 및 홍보에 활용하는 방안에 대한 것으로 판단됩니다.
제안하신 사항은 예산확보와 중장기적으로 검토가 필요한 사항으로 관계부서와 협의 후 차후 관련사업 추진 시 적극 반영하도록 하겠습니다.
다시 한번 귀하의 소중한 의견에 감사드리며 앞으로도 적극적인 제안 참여 부탁드립니다.",2022-04-13,증평군,답변완료
어린이 놀이터나 장난감 대여할수있게 부탁드립니다,"현황 및 문제점
영동군에서 6세아이를 키우고 있습니다. 하지만 영동군에는 마땅히 아이와 놀만한 곳이 적습니다. 김천어린이숲놀이터나 여름물놀이놀이터, 혹은 장난감이라도 대여할수 있도록 하였으며합니다. 놀이터 때문에 주말마다 김천으로 가야되고, 장난감 대여는 옥천군에는 있으나 옥천군민만 가능합니다. 영동군이 점점 인구수가 감소되고 있는데 놀이터하나 제대로 없으면서 영동군에 살라고 하면 힘듭니다. 영동의 문화시설이 많이 생겼으면 합니다. 감사합니다.
개선방안
영동군에 체육관등 어르신들이 사용할 문화시설은 있으나 아이들이 뛰어놀곳이 부족합니다. 땅이 좁은것도 아니고 요즘시대에 맞는 놀이터등을 만들어 사용할수 있었으면 합니다 숲놀이터, 실내놀이터, 물놀이터,장난감대여시설등
기대효과
애낳을때 돈준다고 끝이 아닙니다. 재미있는 대형 놀이터를 만들면 인구증가 및 유지에도 도움이 될 수 있을것 같습니다",2022-04-03,"국민신문고에 국민제안(신청번호 1AB-2204-0000966)에 대해 붙임과 같이 심사결과를 통보하고자 합니다.

붙임 1. 국민신문고 제안내용 1부.
2. 국민신문고 답변내용 1부. 끝.",2022-05-11,영동군,답변완료
장령산에 대전버스 노선 연결,"현황 및 문제점
금산리 장령산 마을에 공용버스노선이 옥천에서 가끔오는데, 장령산 관광 활성화와 지역 발전을 위한 대전버스노선을 30분 또는 1시간에 1번이라도 올 수 있으면 여러 방면에서 좋을 것 같아 제안 드림니다.
또한 낭월동에 평화공원을 계획하고 있는데 함께 관광 연계하면 어떨가요.

개선방안
동구 구도동 버스종점에 오는 510번(다른노선도 괜찬음)을 대전과 협조하여 30분, 1시간 간격으로 한대씩 들어 올 수 있다면 금산리에 대전 사람들에 발길을 많아지지 않을까 생각해서 제안 합니다. 대전버스가 아니면 옥천버스라도 구도동 버스종점으로 와도 괜찬을 듯 하구요.
수고하세요.
기대효과
장령산 관광이 많이 활성화 될거 같슴니다.",2022-04-01,"1. 먼저 우리군 군정발전에 깊은 관심과 협조에 감사드립니다.

2. 귀하께서 건의하신 대전 동구 구도동 버스종점에서 오는 510번 버스를 대전과 협조
하여 30분, 1시간 간격으로 한대씩 장령산으로 들어올 수 있게 하거나 옥천버스에서
노선을 증설하여 대전 구도동 버스 종점까지 운행하는 방안은 대전시와 해당노선의
운수회사 옥천버스 운수회사 등의 승인과 중장기적 검토가 필요한 사항이며, 옥천군
은 추가 운행할 수 있는 차량이 없어 향후 차량 구매 등의 예산이 수반사항으로 중
장기적인 검토가 필요한 사항으로 사료됩니다.

3. 앞으로도 대중교통 군정에 대한 관심과 협조를 부탁드립니다. 감사합니다.",2022-04-12,옥천군,답변완료
괴산명예군민 프로그램,"현황 및 문제점
지난해 10월 아버지와 어머니를 괴산호국원에 모시면서 괴산군에 처음 가 볼 수 있었습니다. 회화나무 괴자를 사용한 지명을 가진 괴산군은 부모님이 영면하고 계신 곳이기에 특별히 친밀감 느껴지는 지자체가 되었습니다. 우리 가족처럼 다른 많은 유족들이 괴산군에 특별한 감정을 느끼고 있을 겁니다. 그런 유대감을 괴산사랑운동으로 연결시키면 좋겠다는 생각이 들었습니다.
지난 대선을 치루면서 휴대폰으로 정당의 특보임명장 파일을 받은 국민이 수십만에서 수백만을 헤아릴 겁니다. 임명장을 받아 든 사람들은 지지하는 후보를 위한 선거운동에 적극적으로 참여하였습니다. 이렇듯 사람들은 자신의 이름과 지지하는 정당과 후보이름이 적혀있는 파일 하나에도 완전히 달라진 참여의식과 활동의지를 보이게 됩니다.
개선방안
괴산호국원에 안장된 고인들의 유족 동의를 받아 괴산명예군민증을 지급합니다. 고인의 배우자, 자식, 사위, 며느리, 손주 등이 대상입니다. 연락처를 괴산호국원이 소장 중이니 괴산호국원의 도움을 받아 의사를 타진하고, 또 괴산군청 홈피를 통해 이러한 사업을 알리면 되겠습니다.
명예괴산군민에게는 정기적으로 괴산소식을 알려주고 각종 행사에 참여할 기회를 제공합니다.
기대효과
괴산호국원 안장자 유족들이 괴산홍보대사로 활동하게 됨",2022-04-01,"국민신문고 국민제안 1AB-2204-0000080「괴산명예군민 프로그램」에 대해 붙임과 같이 답변하고자 합니다.

붙임 1. 국민제안신청서 1부.
2. 국민제안 답변 1부. 끝.",2022-04-21,괴산군,답변완료
"지방자치-읍,면,동장을 주민이 직접 선출하기를..","현황 및 문제점
* 현황

지방자치법 제118조(직원에 대한 임면권 등) 지방자치단체의 장은 소속 직원(지방의회의 사무직원은 제외한다)을 지휘ㆍ감독하고, 법령과 조례ㆍ규칙으로 정하는 바에 따라 그 임면ㆍ교육훈련ㆍ복무ㆍ징계 등에 관한 사항을 처리한다.

읍면동장 직접선출제는 시군구 의회의 조례제정으로 가능하며, 그 법적 근거는 지방자치법 118조에 있습니다.

현재 세종시, 충남 논산시, 경기도 평택시 등은 ‘읍·면·동장 주민추천제’를 도입해, 주민들이 동장 후보자를 직접 검증하고 주민투표를 거쳐 읍·면·동장을 선출하고 있습니다.
‘읍·면·동장 주민추천제’는 읍·면·동장 직위를 내부 공무원에게 공모해 주민추천 방식으로 선발·임용하는 공모제로, 주민투표단이 읍·면·동장 직위에 공모한 공무원을 대상으로 평가·투표해, 적합한 후보자를 임용권자인 시장에게 추천하는 제도입니다.


* 문제점

그런데, 제천시는 아직 읍·면·동장 주민추천제를 도입하지 않고 있습니다.
개선방안
-제천시도 주민들이 읍,면,동장을 직접 선출하면 좋겠습니다.

-읍,면,동장 선출에 앞서, 토론회를 진행해 동장 후보자의 ‘동 운영계획’ 발표, 주민들로 구성된 패널들의 질의에 답하는 시간을 통해 주민들이 후보자의 역량과 발전 가능성을 확인할 수 있도록 합니다.

-주민투표는 코로나19 대응으로 현장투표와 함께 문자투표를 병행합니다.
기대효과
읍·면·동장 주민추천제 시행으로 주민자치와 행정의 역동성이 강화될 것으로 기대하며, 이러한 제도가 진정한 지방자치를 이루는 풀뿌리 민주주의라고 사료됩니다.",2022-03-30,"1. 안녕하십니까? 제안 참여에 감사드리며 귀하의 제안에 대해 다음과 같이 회신하여 드립니다.
2. 귀하께서는 “읍‧면‧동장 후보자를 주민들이 직접 검증하고 주민 투표를 거쳐 선출된 후보자를 임용권자인 시장에게 추천하는 읍‧면‧동장 주민추천제를 시행“하자는 내용으로 제안해 주셨습니다.
3. 귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다.
가. 2004년 광주광역시 광산구에서 읍‧면‧동장 주민추천제를 도입한 이후, 세종시 등 여러 지방자치단체에서 주민추천제를 시행중에 있습니다.
나. 읍‧면‧동장 주민추천제는 행정과 주민 간 소통강화 등 읍면동 자치와 주민주권 구현을 위해 기대되는 측면도 크나, 읍‧면‧동장 후보자 구하기(동료 공무원과의 경쟁 탈락 시 창피함, 임명 후 실적 부담, 민원이 많은 동네 기피 현상 등), 지역 연고주의 조장 등 부정적인 문제 또한 발생할 우려가 있어, 주민추천제의 장·단점을 장기적인 관점에서 고려하여 추진 여부를 판단할 필요성이 높다고 판단됩니다.
3. 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 이 밖의 문의사항은 제천시 자치행정과 이한나(☏043-641-5244)에게 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.",2022-04-18,제천시,답변완료
주변환경을 깨끗이,"현황 및 문제점
1. 사채 및 각종 광고성 홍보물을 골목 골목에 뿌려( 전문 직업으로,,,) 주변환경이 너무 지저분합니다.
2. 청소하는데 구청의 예산이 낭비됩니다.
3. 많은 사람들이 청소하고 있습니다.
개선방안
광고성 홍보물에는 반드시 전화 번호가 있습니다. 그 전화를 통화정지 시키면 하지를 않음.

여러해 전에 강남구에서는 ""성매매 전단지""로 몸살을 앓다가 통신사와 통화정지 협약을 맺어 큰 효과를 봤는데
지금은 통신사에서 ""광역 지자체""만이 협약을 해 줍니다.

1. 통신사에서는 일일이 ""구청과는 통화정지""를 시키는 협약을 안해주고 ""광역 지자체""와 만의 통화정지 협약을 맺습니다.
2. 그래서 ""시나 도""에서 협약을 맺어 각 지자체에 연락하면 됩니다.
기대효과
우리가 사는 주변이 ""깨끗해"" 지고 그러면 얼굴 찡그리는 일이 적어지고 지자체 예산도 조금이나마 절약이 됩니다.

사채업자로 인한 서민의 피해도 조금이나마 줄어들지 않을까 생각 듭니다.",2022-03-30,"1. 평소 우리도 옥외광고물 관련 업무에 관심을 가져주셔서 감사드립니다.
2. 귀하의 제안 내용은 '광역시도에서 통신사와 협약을 통해 불법광고물(전단지 등)을 정비하여 깨끗한 거리 환경을 조성' 하는 것으로 이해됩니다.
3. 우리도에서는 시군, 관련단체(협회)와 함께 불법 광고물 근절 및 정비를 위한 다양한 사업을 추진하고 있으며, 귀하께서 제안하신 사항과 유사하게 시군에서 불법광고물 제작 및 설치, 배포 업주에게 자동으로 전화를 거는 '불법광고물 자동경고 발신 시스템'을 시행하는 등 도내 불법광고물근절을 위한 사업을 시행하고 있음을 알려드립니다.
4. 귀하의 관심과 제안에 다시 한번 감사드리며, 답변내용에 대한 문의사항이 있으시면 건축문화과 건축디자인팀(043-220-4453)으로 연락주시기 바랍니다. 끝.",2022-07-28,충청북도,답변완료
준법 실천의 편리성 사례 자원화 방안 협조 제안,"현황 및 문제점
참조;법무, 감사부서

1>제안개요(현황 및 문제점)
각종 사회문제의 극복, 예방, 해결은 준법이며 준법 실천의 편리성을 체감할 수 있는 사례 예시에 협조 바랍니다.특히 시대의 특성을 고려하여 배려함을 소홀히 할 수 있는 부분들은 명시한 법규(지능 정보화 기본법 특히 제45조, 제46조 이하 규정들;
https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%A7%80%EB%8A%A5%EC%A0%95%EB%B3%B4%ED%99%94%EA%B8%B0%EB%B3%B8%EB%B2%95)를 비롯하여 적극적으로 추진함에 불편함의 우려(적극 행정 운영 규정 특히 제16조 등;
https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%A0%81%EA%B7%B9%ED%96%89%EC%A0%95%20%EC%9A%B4%EC%98%81%EA%B7%9C%EC%A0%95)공공기록물 관리에 관한 법률(제 11조 및 제12조 전·후들;
http://www.law.go.kr/법령/공공기록물관리에관한법률)인성교육진흥법(제15조 전·후들;
http://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%9D%B8%EC%84%B1%EA%B5%90%EC%9C%A1%EC%A7%84%ED%9D%A5%EB%B2%95)준수함에 따른 편리함을 홈페이지와 블로그의 각 특성을 고려하여 융합화(4차 산업 환경 활용) 사례로서 확인할 수 있습니다.
우리가 일상에서 가정이나 직장에 손님이 왔다가 돌아갈 때, 경유할 곳이 있을 때는 편하고 쉽게 가는 길을 안내하듯이 홈페이지 방문자들에게도 돌아갈 때 “타 기관들 바로 가기”를 안내해 놓자는 것(특별한 비용도 없이 실무 담당자가 10분 정도의 소요 시간 업무량이란 점 )입니다.
물건을 사려 오는 분들에게 찾아오시는 길을 안내하듯이 돌아갈 때도 경유할 그곳이 있음을 고려하여 안내해 놓자는 것(用心; 마음 씀씀이가 보인다는 점)입니다.
개선방안
2>제안의 주내용
옥천군청 홈페이지(http://www.oc.go.kr/www/contents.do?key=211)
초기화면과 다른 화면들이 공통화면으로 보이는 부분으로 아래 군청 주소 끝 부분이나 위에 “이메일무단수집거부“ 다음에 “타 기관 조직도 바로가기(http://blog.daum.net/sse5404/973
)를 연결해 놓자는 것입니다.
예로써 브레인킹(www.allbrain.co.kr)과같이 ""홈페이지 초기(바탕)화면 아래 주소 위에 찾아오시는 길 다음에 해 놓았듯이 말입니다.

따라서 법무부서의 확인 결과 의견을 홈페이지 관련부서에 제시해 줌으로써 준법에 따른 유익함을 함께함에 시행착오예방과 문제점 조기발견 환경을 제공해 놓자는 것입니다.
특히 공공기관·단체의 일선 실무자들의 수신 전화 및 발신 통화를 많이 하는 분들(속칭 말단 종사자분)과 일반 서민들로 본인이 직접 민원업무를 보는 민원인들로서 ARS나 인터넷 활용에 익숙하지 않은 분들의 불편함을 감수하고 있는 실정(감정 노동자 보호)을 방치하고 있습니다.
더불어 장애인 고령자분들 모든 신문들과 방송사들에 편하고 쉽게 접속할 수 있는 환경으 제공하는 격이 됩니다
또한 이것 하나로 다음과 같은 환경을 제공하는 격이 됩니다
지능 정보화 기본법 제 45조와 제46조 이하의 장애인ㆍ고령자 등에 대한 배려 실천을 하는 격이 됨을 비롯하여 이동 시에도 배려하는 격이 됨에다 몇 가지의 법규들을 준수하는 격이 되기도 합니다.
더불어 해당 기관·단체의 배려 사례를 예시해 놓는 격이 되며 해당 홈페이지를 본인 휴대전화기에 추가해놓고 사용하다 인터넷 사용함이 불편해하는 분들에게 배려소재로 활용할 수 있다는 점입니다.
기대효과
3> 기대효과
준법 실천 및 그에 따른 편리함 체감효과를 비롯한 다문화 가정과 재외 교포들 간의 협업 소재 제공 등 상상력은 우주를 품고도 남음을 확인할 수 있다는 점입니다. 더불어 갖은 부서에서 전화 받는 업무로 불편함과 행정력 낭비가 발생할 시행착오 및 문제점 조기 발견 환경조성에 적지 않게 유익할 방안을 확인할 수 있다는 점입니다.
옥천군청처럼 사례 예시에 따른 홍보 효과 등.끝.",2022-03-28,"국민신문고를 통해 접수된 국민제안에 대한 심사 결과를 다음과 같이 통보하겠습니다.

1. 제안요지: 옥천군 홈페이지에 개인블로그 바로가기 연결
2. 접수일자: 2022. 3. 28.
3. 채택여부: 불채택
4. 답변사항

군정발전을 위하여 국민제안에 참여해주신 귀하께 깊은 감사드립니다.

귀하께서 제안해 주신 ""옥천군 홈페이지에 개인블로그 바로가기 연결""에 대한 검토결과
공공기관에서 운영하는 홈페이지이므로, 개인의 블로그를 바로가기 연결하기에는 타당치 못하다 판단되며 이에 따라 의견을 반영하기 어려운점 양해바랍니다.

현재 옥천군 대표홈페이지는 지능정보화 기본법 제45조, 제46조에 의거하여 장애인 및 고령자가 웹 사이트 이용에 불편이 없도록 웹 접근성 표준을 준수하고 있으며 이에 대한 웹 접근성 표준 인증을 매년 시행하고 있음을 알려드립니다.

귀하의 소중한 의견에 대하여 다시 한 번 감사드리며, 더 궁금하신 사항은 옥천군청 자치행정과 박중의(043-730-3193)로 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.


붙임 국민제안신청서 1부. 끝.",2022-03-29,옥천군,답변완료
