제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
전북소통대로 사후관리,"현황 및 문제점
1. 전북소통대로 홈페이지 속도가 느려 정책제안이 불가능 합니다.
2. 여러번 제의하였으나 속도문제가 해결되지 않습니다.
3. 소통씨앗 운영문제 역시 정책제안 중심이 아닌 공감참여로 재검토가 필요합니다.
4. 소통씨앗 부여점수 역시 운영상 문제점을 파악하여 사후관리와 개선정책이 필요한 시점입니다.
5. 정책제안에 대한 사후관리와 개선의지가 부족합니다.
개선방안
1. 홈페이지 속도문제
여러번 반복되는 문제로서 근본적인 해결책이 필요합니다.
정책제안이나 홈페이지 방문이후 속도문제가 개선되기를 기원합니다.
2. 정책제안 활성화
정책제안에 대한 반영점수 등 확대함으로서 정책중심의 소통대로 운영이 필요한 시점입니다.
3. 소통씨앗 점수
정책제안이 거의 없으면서 소통씨앗 점수는 높은 기이한 현상이 공감으로 참여함으로서 이루어 지는 문제점을
개선하여 정책참여 중심 정책이 필요합니다.
아울러 정책제안, 공감참여 등 전반의 현행 운영제도의 보완이 필요한 시점입니다.
4. 사후관리 철저
정책제안에 대한 정책반영과 개선에 대한 사후관리 정책이 병행되어야 제안자들에 대한 동기부여가 가능합니다.
5. 참여회원 설문조사
현행 소통대로 참가 회원을 대상으로 문제점과 개선정책을 설문조사 형태로 조사하여 보완 정책에 반영이 필요한
시점입니다.
기대효과
전북소통대로 플랫폼 구축의 목적에 부합하는 정책반영과 지역민 참여와 소통정책이 합리적으로
이루어 질수 있기를 희망합니다.
특히 소통씨앗 점수 반영역시 기준을 효율적으로 개선하여 부합하는 참여와 노력에 맞춤형 회원의
동기부여 정책이 필요합니다.",2022-04-16,"국민신문고에 접수된 제안에 대해 다음과 같이 처리하고자 합니다.

1. 제안번호 : 1AB-2204-0009633, 2AB-2204-0009256
2. 제 안 인 : 안영수(진안군 부귀면 회신길)
3. 접 수 일 : ‘22. 4. 19.(화) * 회신기한 : ‘22. 5. 18.(수)
4. 제안내용 : ‘전북소통대로’ 관리 등
5. 답변내용
⭕ 도정발전에 협조하여 주심에 감사드리며, 귀하의 무궁한 발전을 기원합니다.

⭕ 귀하께서 국민신문고에 제출한 제안(1AB-2204-0009633 / 2AB-2204-0009256)에 대해 다음과 같이 답변드립니다.

⭕ ‘전북 소통대로’는 전라북도의 미래 발전을 위해 도민과 함께 고민하고 여러 의견을 나누고 실행하는 소통의 장입니다.

⭕ 홈페이지 속도와 관련하여 매년 상시 정비를 하고 있습니다. 다만, 전라북도 내부망과 연결되다 보니 타 외부 홈페이지와 속도가 차이가 날 수 있다는 점 양해 말씀드리며 속도에 문제가 없도록 계속 적인 정비에 힘쓰겠습니다.

⭕ 소통씨앗 점수 부여에 대한 답변입니다. 현재 ‘소통씨앗’은 제안 작성, 공감 등의 참여활동별 마일리지 배점을 상향 조정(자유제안 제안작성 40점→80점, 공감80점→500점, 공감댓글 10점→20점)하여 운영(2021.2.1.)하고 있습니다. 자유제안이 정책화(부서검토 기준 공감 20건)로 이어지기 위한 개선내용으로 추후 ’소통씨앗‘ 마일리지에 더 좋은 의견이 있다면 충분한 논의 후에 변경토록 하겠습니다.

⭕ 정책제안에 대한 사후관리와 개선의지와 관련입니다. 소통대로에서 진행하고 있는 자유제안 게시판에서 20건 이상의 공감을 받은 정책들은 각 해당부서 별로 실행이 가능하도록 지속적인 관심을 기울이고 있으며, 예산이나 다른 기관과의 협의가 요구되는 정책들은 다소 시일이 걸리더라도 정책화될 수 있도록 노력하겠습니다.

⭕ 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 추가 설명이 필요한 경우 전라북도 대도약청년과(063-280-3938)로 문의하여 주시면 성심껏 안내해 드리도록 하겠습니다.

붙임 제안신청서 및 답변서 각1부. 끝.",2022-05-19,전라북도,답변완료
읍내 순환버스건의,"현황 및 문제점
읍내에 순환버스가 있었으면합니다
학생들 하교시간이나 군청 읍사무소도 차가없는 사람들은 택시를 이용해야하니 비용부담도 만만치 않네요
부탁드립니다
개선방안
순환버스 배치
기대효과
학생이나 노인분들의 만족도가 높을것으로 보입니다",2022-04-14,"읍내 순환버스 건의에 대한 검토의견을 드리겠습니다
부안읍내의 순환버스에 대한 검토를 했으나 버스업체의 노선증가및 인력확보 등 예산이 증가하는 사안입니다
저희 군에서는 여러각도로 순환버스에 대한 검토를 했으나 단기간에 처리할수있는 사안이 아닌 중장기적인 검토를 통해 운수업체와 협의를 통해 추진하도록 하겠습니다. 감사합니다",2022-09-27,부안군,답변완료
"부안 마실축제기간에 ""마실가는 여인"" 축제(심사회)","현황 및 문제점
목적 : 부안 마실축제를 더욱 활성화하기 위하여 마실축제 기간중에 ""마실가는 여인"" 무대에 올려 우리 고유의 나눔과 해학을 발굴하고자 함
개선방안
분야 : 1)음식나눔분야와 2)해학, 콩트, 위트, 좌담, 창소리, 노래등
참가대상 : 누구나(남자는 여장을 해야됨)
방법 : 이웃마을에 마실가면서 음식나눔분야와 해학 , 콩트, 위트, 좌담, 노래등분야등을 무대에 올려 심사함
기대효과
부안마실축제기간중에 ""마실가는 여인""을 무대에 올림으로서 내방하는 관광객이 함께 참여를 유도, 명실상부한 부안마실축제가 되도록 함
1) 내방객을 함께 참여하여 재미를 유발함
2)옛 조상들의 풍류 및 전통옷을 해학으로 조명함
3)음식 나눔문화 분위기를 조성하여 마실을 이해함
4)전통옥(한복) 및 광주리(채반등) 옛 조상들의 삶을 알림
5)가족간의 여행지로 널리 홍보함
6)마을단위 옛 이야기거리를 무대에 올림으로서 마을 공동체 형성",2022-04-12,"읍내 순환버스 건의에 대한 검토의견을 드리겠습니다
부안읍내의 순환버스에 대한 검토를 했으나 버스업체의 노선증가및 인력확보 등 예산이 증가하는 사안입니다
저희 군에서는 여러각도로 순환버스에 대한 검토를 했으나 단기간에 처리할수있는 사안이 아닌 중장기적인 검토를 통해 운수업체와 협의를 통해 추진하도록 하겠습니다. 감사합니다",심사 중,부안군,제안심사
전라북도에서 근무하는 청년을 위한 희망적금 지원해주세요!,"현황 및 문제점
전라북도에서 태어나 자란 청년들은 서울, 경기로 이주합니다.. 뭔가 혜택이나 일저리가 없어서입니다...
전라북도에서 근무하고 있는 청년은 그저체로 귀합니다!!
근무하고 있는 청년을 위한 적금특별혜탹아나 이자 지원 등!!! 이 필요합니다
개선방안
전라북도 근무하는 30세 미만 청년들에게 적금 지원금 또는 예적금 세금혜택 등 지원해주세요!
기대효과
전라북도 내 청년이 많아지겠죠!",2022-03-11,"국민제안(1AB-2203-0006773)호와 관련, 국민제안 답변을 붙임과 같이 통보합니다.

붙임 1. 국민제안신청서 1부.
2. 국민제안 답변 1부. 끝.",2022-04-20,전라북도,답변완료
청소년 교통비 지급해주세요!,"현황 및 문제점
전라북도 내 청소년(19세 미만)이 교통비를 지급받는 곳은 없습니다. 김제시만 쳥소년 수당을 지급하고 있으며, 총남은 청소년 교통비를 전액 지원해주기로 결정되었고, 2022년 4월부터 시행됩니다.
전라북도 내 아동과 청소년 수가 늘어야 인구수가 늘어나고 살기 좋은 전라북도가 될것으로 생각됩니다!
개선방안
청소년 교통비 지급을 통해 저소득층 청소년의 안전한 등하교와 교통문제를 해결할 수 있다.
기대효과
청소년 복지가 좋아지고, 청소년이 교통비가 없어 걸어다니는 일이 발생하지 않는다",2022-03-09,"1. 귀하의 청소년의 복지 권리증진에 대한 관심과 격려에 감사드리며,
귀하께서 국민신문고를 통해 신청하신 민원(1AB-2203-0005893/2AB-2204-0000620)에
대한 검토결과를 붙임과 같이 알려드립니다.
2. 전라북도에서는 만19세 이하의 청소년 전체에게 교통비를 지원하는 정책은 현재
시행하고 있지 않습니다만, 학교 밖 청소년들의 원활한 사회복귀와 자립지원을 위하여
1개월에 30천원 총 1년 360천원 상당의 교통카드 지원정책을 시행 중에 있습니다.
※ (전주시 사례/별도) 무제한 시내버스 정기권(월 40천원) 발급하여 탑승 또는 환승 횟수에 상관없이
무제한으로 시내버스를 이용 가능한 제도 운영 중에 있음
3. 귀하께서 제안해 주신 안건은 많은 예산이 수반되는 정책으로, 예산 부서 및 시군과
긴밀히 협의하여 정책 반영을 심도 있게 검토하고 청소년의 복지권리가 향상될 수
있도록 최선을 다하겠습니다.
4. 답변내용에 추가설명이 필요하신 경우 전라북도청 여성청소년과 장혜선 주무관
(063-280-2533)에 문의하여 주시기 바랍니다. 감사합니다.",2022-04-05,전라북도,답변완료
아동수당 나이를 늘려주세요,"현황 및 문제점
2021년 만 7세 아동수당을 지급하였고, 2022년 만 8세로 아동수당을 지급하기로 하였습니다.
같은 학년의 아동이지만, 생일이 빠른 아동은 받지 못하는 정책이 되었고, 늦게 태어난 아동만 지급을 받는 상황이 발생하였습니다.
이에 학부모로서 전라북도의 아동수당을 추가 지급해주시기를 부탁합니다.
개선방안
아동수당을 초등학교 3학년까지로 늘려주세요~
기대효과
모든 초등 저학년 아동이 수당을 지급받는다.",2022-03-09,"국민신문고 국민제안 신청(1AB-2203-0005885, 2022. 4. 14.)과 관련하여 아래와 같이 답변하고자 합니다.
1. 민 원 인 : 김**
2. 민원내용

제목
아동수당 나이를 늘려주세요
현황 및 문제점
2021년 만 7세 아동수당을 지급하였고, 2022년 만 8세로 아동수당을 지급하기로 하였습니다.
같은 학년의 아동이지만, 생일이 빠른 아동은 받지 못하는 정책이 되었고, 늦게 태어난 아동만 지급을 받는 상황이 발생하였습니다.
이에 학부모로서 전라북도의 아동수당을 추가 지급해주시기를 부탁합니다.
개선방안
아동수당을 초등학교 3학년까지로 늘려주세요~
기대효과
모든 초등 저학년 아동이 수당을 지급받는다.

3. 답변 내용

안녕하십니까?
1. 귀하의 아동 복지 및 권리증진에 대한 관심과 격려에 감사드리며, 귀하의 국민신문고 신청민원(1AB-2203-0005885)에 대한 검토결과를 아래와 같이 알려드립니다.
2. 현재 아동수당 지급사업은 개정된 아동수당법에 따라 2022년부터 만 8세 미만의 아동에게 월 10만원의 아동수당을 지급하는 것으로, 그간 지급연령이 만 7세 미만이었던 것에 비해 확대된 것입니다.
3. 귀하께서 제안해 주신 안건은 많은 예산이 수반되는 정책입니다. 이를 위해서는 관련법 개정 및 예산확보 등의 논의가 필요하므로 정책 반영을 심도있게 검토하여 아동의 권리 및 복지향상을 위해 최선을 다하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며 다시 한번 도정에 대한 관심을 주심에 감사의 말씀을 전합니다. 답변 내용에 대한 추가 설명이 필요한 경우 전라북도 여성청소년과 송하승 주무관(063-280-2523)에게 연락주시면 친절히 안내해 드리겠습니다.


붙임 1. 국민제안신청서 1부
2. 국민신문고 답변내용 1부. 끝.",2022-05-25,전라북도,답변완료
전통굿즈/Goods,"현황 및 문제점
▲ 지역별 전통문화 특산품 차별화 문화상품화 정책 미흡
▲ 지역중심 전통문화 인간문화재 문화상품 제휴 부족
▲ 고부가가치 전통문화상품 국제화 진출 부족
▲ 지역중심 전통문화상품의 수도권 중심 유통기관 제휴정책 부족
▲ 전통문화 인간문화재 및 지역 우수기업 매칭상담 등 기술제휴 부족
개선방안
▲ 전통 Goods란
지역을 대표하는 전통문화 중심 문화상품으로서 지역경제 활성화를 위한 경제적 부가가치 창출이 가능한 재화 및 상품을 지칭합니다.
▲ 지역 인간문화재 제휴
지역을 대표하는 무형문화재 및 인간문화재로서 명인 명창을 제휴함으로서 전통 문화상품 개발과 고부가가치 문화상품 활용이
가능합니다.
▲ 유통전문기업 매칭상담
지역의 경제적 인프라 부족을 대체하기 귀하여 수도권 중심 문화상품 전문 유통기업 및 콘텐츠 개발기업을 제휴함으로서 제한적인 지역 전통문화 콘텐츠의 고부가가치화가 가능합니다.
▲ 지역문화축제 활용방안
지역을 대표하는 문화중심 축제 및 행사와 제휴함으로서 인프라 확산은 물론 지역문화와 경제의 통합적 접근이 가능합니다.
▲ 해외수출전략화
한류문화의 고부가가치화를 위하여 우리고유의 전통문화상품에 대한 국제경쟁력을 확보함으로서 수출전략상품화 활용이 가능합니다.
▲ 관련기관 협업 강화
문화관광부 및 관광공사 등 한류문화와 관광기관과의 공동사업 및 협업 시스템을 구축함으로서 지역적 한계를 탈피하고 차별화 관광상품화 활용이 가능합니다.
기대효과
▲ 국제경쟁력 강화
한류문화 세계화에 따른 전통문화상품의 문화상품화를 통하여 고부가가치 수출전략상품 활용 확대
▲ 명인,명창 무형문화재 활용
지역을 대표하는 명인.명창을 활용한 고부가가치 전통문화상품 개발 제휴가 가능함으로서 경제적으로 열악한 전통문화 분야의
소득증대 기여 가능
▲ 협업 시스템 확대
한류문화를 포함 전통문화 및 관광상품 등 유관 공적기관과의 공동사업과 협업을‘확대함으로서 전통문화상품 개발 및
고부가가치화 가능",2022-03-02,"답변내용

○ 전북 도정발전을 위한 귀하의 소중한 제안에 대해 감사드립니다.

○ 귀하께서 제안하신 사안은 우리 도의 전통문화 문화상품 개발 정책에 관한 것으로 판단되며 다음과 같이 답변드립니다.

○ 지역 인간문화재 제휴 : 해당 제안과 관련하여 우리도에서는 무형문화재 보유자들이 전시 및 공연을 통해 우리 지역의 무형문화유산을 홍보하고 자생력을 가질 수 있도록 다양한 행사를 만들어 추진하고 있습니다. 대표적으로 “전라북도 무형문화재 한마당 축제”는 기능과 예능 종목이 하나 되는 어울림의 축제입니다. 서로 다른 두 분야가 공연과 전시라는 상호 보완을 통해 더욱더 발전해 나갈 수 있는 기반을 조성하였습니다. 앞으로 “소리문화축제”에 버금가는 지역 대표 문화축제로 성장해갈 수 있도록 노력하겠습니다. 이와 함께 “무형문화재 국내·외 행사 참가 지원 사업”을 추진하여 기능 보유자들의 작품을 전시하고 문화상품 판매로 이어질 수 있도록 하고 있습니다. 향후 무형문화재 기능종목 보유자 작품들의 백화점 입점과 인지도 있는 국외 행사 참여를 통해 우수한 문화관광상품으로 거듭날 수 있도록 노력하겠습니다.

○ 지역문화축제 활용방안 : 현재 전라북도에서는 전통과 지역 고유의 문화적 특색을 바탕으로 실용성과 예술성을 가미한 공예품·공산품·식품 등 지역의 콘텐츠를 상징하고 전라북도를 대표하는 ‘전라북도 관광기념품 100선’을 선정하여, 100선판매관에서 안정적인 판로 제공과 국내외 관광기념품 기프트전, 박람회 등을 통한 홍보와 마케팅 활동을 적극 추진하고 있습니다. 지역 축제에서는 시군별로 지역의 문화와 특색에 맞는 기념품을 자체적으로 개발·제작하여 운영하고 있으며, 향후 전라북도는 지속적으로 우수한 전통문화상품을 발굴하여 대한민국을 넘어 세계적인 관광기념품이 되도록 노력하겠습니다.

○ 해외수출전략화 : 우리 도는 지역 중소기업 우수상품의 해외판로 개척을 지원하기 위해 코트라, 한국무역협회, 전라북도경제통상진흥원 등 여러 수출지원기관과 협업하여 세계유망전시회 참가, 해외바이어 발굴 및 수출상담회 운영, 무역사절단 파견, 해외통상거점센터 운영 등 다양한 지원사업을 추진하고 있습니다.

○ 유통전문기업 매칭상담과 관련해서는 앞으로 다양한 유통 인프라 강구 방안을 검토해나가겠습니다. 또한 문화체육관광부 및 관광공사 등 관련기관과 협업할 수 있도록 노력하겠습니다.

○ 귀하의 소중한 의견에 감사드리며, 기타 궁금하신 사항은 문화예술과(280-3386)로 문의하여 주시기 바랍니다.",2022-06-14,전라북도,답변완료
실버세대 에티켓/etiquette,"현황 및 문제점
고령화 사회의 확산에 따라 수도권을 포함 지방지역 전반에 실버세대가 증가
추세이며 독거노인 및 실버세대 가족구성이 많아짐에 따른 세대간 갈등 역시
심각한 사회화 문제로 대두되고 있습니다.
세대간의 갈등 문제로 청소년 및 청년세대들의 일시적인 충동과 실버세대의
사회경험과 지혜에 상충되는 현상이 발생함으로서 노인세대의 아집과 일명
꼰데문화가 유발되는 실정입니다.
개선방안
▲ 꼰데문화
일명 꼰데문화란 사회생활의 정년퇴직을 마치고 노후생활을 영위하는 실버세대의 일상생활에 부정적인 행위를 일컬는 의미로서 고령자의 아집과 고집으로 인한 세대간의 갈등을 유발하는 문화를 지칭합니다.
▲ 실버세대 에티켓
실버세대들의 아집과 일방적인 고집을 사회생활 등 일상생활에 세대간의 갈등요인을 사전에 예방하기 위한 인성교육 콘테츠로서 노인세대에서 자주 발생하는 세대갈등 요인을 선제적으로 대응하기 위함입니다.
▲ 인성교육 매뉴얼
실버세대를 대상으로 사회생활 전반에 청소년을 포함 기성세대와의 인적교류에 최소한의 예절을 지키기 위한 콘텐츠로서 국제화 및 정보화 시대에 부합하는 맞춤형 인성교육 콘텐츠를 의미합니다.
▲ 세대공감 콘텐츠 위원회
실버세대의 사회생활에 필수적인 에티켓을 현실에 부합하는 콘텐츠로 제작하기 위하여 청소년을 포함 기성세대와 실버세대가 함께 참여하는 세대공감 위원회 구성이 필요합니다.
▲ 순회 및 정례화 교육
수도권 지역은 각 지역별로 노인정과 주민센터 문화센터를 활용하여 인성교육 정례화가 가능하고 지방정부 산하 시,군 지역에서는 찾아가는 인성교육 시스템을 도입하여 마을회관 및 주민센터를 활용 순회교육이 합리적입니다.
▲ 인프라 확산
세대공감 위원회를 통하여 제작된 실버세대 에티켓에 대하여 사회전반에 활동중인
실버세대 관련 민간단체 및 지방정부 주무부처에서 교육 및 실천에 필요한 홍보와 인프라 확산이 병행되어야 합니다.
▲ SNS 홍보정책
실버세대가 가장 필요로 하는 에티켓 상황에 대하여 유형별로 콘텐츠를 이해가 쉽도록 영상물로 제작하여 SNS 홍보를 통한 청소년세대들이 공감이 가능토록 홍보가 필요합니다
기대효과
▲ 세대공감 확산
급변하는 시대에 따라 청소년 세대들의 문화에 적응력을 확산하고 실버세대의 사회적 경쟁력을 확보활수 있는 정책으로서 세대갈등의 선제적 대응이 가능합니다.
▲ 실버세대 사회성 강화
예비 실버세대인 중년층을 포함 실버세대의 사회적 경쟁력을 확보함으로서 가족문화의 친화력 증진과 세대공감 증진에 기여가 가능합니다.
▲ 사회전반의 세대공감 중요성 공감
고령화 사회를 대비하여 실버세대를 포함 예비 사회인들에게 세대공감의 분위기 조성을 위하여 반드시 필요한 에티켓 문화를 확산함으로서 세대간의 조화와 어울림 문화 선도적 역할 기여",2022-03-02,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 제안하신 사항(1AB-2203-0001354)에
대하여 회신드립니다.

2. 국민제안을 통해 세대간 갈등 문제 해결을 위해 실버세대에게 세대공감 콘텐츠
보급을 하자는 등 여러 가지 제안의견을 내주셔서 감사드립니다.

3. 우리 도에서는 효도대상시상, 노인대학 문화공연, 효문화 공모전, 부모섬김 한마음
대회 등과 같은 실버세대를 위한 사업을 추진하고 있습니다.

4. 다만, 세대간 갈등 문제는 우리 도만의 문제가 아니므로 중앙부처 차원에서 콘텐츠나
프로그램을 제작·운영해야 질 높은 서비스를 국민에게 제공할 수 있다고 판단되 기에, 귀하께서 제안하신 사항은 도에서 추진하기보다 중앙부처에서 추진함이 타당 하다고 사료됩니다. 끝.",2022-03-21,전라북도,답변완료
매월 1회 가정의 날 시행을 바랍니다.,"현황 및 문제점
현재 시행중인 야근 없는 날은 하루 근무시간을 마치고 (오후 18시이후), 야근을 하지 말고 퇴근을 권유하고 있는데,
현실은 그러하지 못하고 있는 실정입니다.
야근을 하지말라는 취지는 좋으나 야근을 하지 못하도록 강제성이 없이 권유만 하고 있는 실정이어서 야근없는 날은
유명무실하다는 생각이 듭니다.
매주 40시간 그리고 최소 1~2시간 야근을 하면서 일에 치어서 가족들과 오붓한 대화나 식사를 한끼 할 수 있는 시간이 없을 것이라 생각을 합니다.
개선방안
일과 삶의 균형가치를 추구하는 현대사회에서 일에만 너무 치중하면서 살고 있지 않나 생각합니다.
가능하다면 일에만 너무 빠져 있게 하지 말고, 자신을 돌아보고, 가족을 돌아 볼 수 있는 시간이 필요하다 생각합니다.
1. 월 1회 가정의 날 지정(매월 마지막 근무일인 금요일)
2. 가정의 날은 근무시간 1/3인 3시간 또는 2시간으로 시행(15시 퇴근 또는 16시 퇴근)
3. 가정의 날 시행 취지는
- 한달 동안 실시한 업무에 대해서 뒤돌아 보는 시간, 또 맞이할 한달 동안 시행할 업무에 대한 예측하는 시간
- 한달에 한번 만이라도 일찍 퇴근해서 그간 소홀했던 가족과 밥상머리에서 따뜻한 밥한끼 먹을 수 있는 시간
기대효과
근무시간 마치기 2시간 전에 업무를 종료하고 퇴근을 하는 가정의 날을 시행하게 되면 야근하지 말라고 권유를 하지 않아도 야근을 하는 사람이 거의 없을 것이라 생각이 들고, 근무 의욕이 생겨서 야근이상의 성과와 능률이 오를 것이라 생각을 합니다.
또한, 일이 일찍끝난다는 기대감에 더욱더 열정을 가지고 업무에 매진 할 것으로 생각되며,
과중한 업무에 지쳐서 발생할 수 있는 안타까운 상황도 해결할 수 있는 좋은 해결책이라 생각을 합니다.",2022-03-02,"1. 귀하의 가정에 행복이 가득하시기를 기원드립니다.
2. 귀하께서 제안하신 “매월 1회 가정의 날 시행”에 대하여 아래와 같이 답변드립니다.
3. 현재 우리군은 매월 넷째주 수요일 '가족사랑의 날'을 시행 중이며, 귀하의 제안이 기 시행되고 있어 불채택함을 양지하여 주시기 바랍니다.
4. 소중한 시간을 내주시어 제안을 주신 데에 다시 한번 감사드리며. 귀하의 가정이 늘 평온하시기를 기원합니다.",2022-04-20,임실군,답변완료
임실관내 공공주택 공급,"현황 및 문제점
임실군은 소멸위기지수가 전북에서 가장 높은 지역으로, 2020년 1월 28,446명이었던 주민등록상 인구가 2021년 12월에는 26,730명,
2022년 1월 현재 26,686명으로 월평균 70여명이 줄고 있어 소멸위기이 심각함이 현실로 다가오고 있음을 실감하고 있습니다.
그 이유중의 한가지는 주택의 소요는 많으나 공급이 되지않아 인구유입을 제한하는 원인으로 작용하고 있다 해도 과언이 아니라 생각합니다.
개선방안
국가균형발전위원회에 지자체의 1975 ~ 2015년 40년간 인구증감률과 2015년 ~ 2017년 3년간 평균 재정자립도(핵심지표)를 기준으로
삼아 재정자립도가 8%정도 밖에 안되는 임실군의 자체 예산으로 균형발전 실현과 소멸위기 극복은 현실적으로 불가능 합니다.
2021년 5월21일 ~ 5월24일에 한길리서치 정기여론보사 '여론 속의 여론'을 인용하면 국민 10명중 8명(79%)이 지역불균형 문제 해소를
위해서는 정부의 역할이 중요하다는 의견에 답했습니다.
이에 우리 임실군은 현재 주택의 수요는 증가하고 있는 반면 공급이 절대적으로 부족하여 인구 감소를 부축이고 있는바,
정부에서 공공주택을 임실군에 우선 공급을 하여 인구유입의 첫 마중물이 되어주기를 바랍니다.
기대효과
임실군에 중앙정부 지원의 공공주택이 공급된다면, 다수의 사기업과 공공기관이 있음에도 주택의 공급 즉, 생산가능인구가 선호하는 공동주택이 부족하여 출/퇴근 시간과 연료비 부담를 감수하고 인근의 지역으로 나가는 현상을 줄이고 그 어느 대안/대책보다도 인구 감소 억제/인구증가 정책에 더 큰 효과를 거둘것으로 생각합니다.",2022-03-02,"1. 임실군 주택행정 발전을 위한 귀하의 제안에 감사의 말씀을 드립니다.

2. 귀하께서 제안해주신 임실관내 공공주택 공급 대하여 검토 후 아래와 같이 알려드립니다.
가. 저출산 및 고령화로 인구감소가 지속되는 우리군에‘공공주택’을 유치하여 젊은층에 귀농·귀촌을 유도하고, 임실군의 주거안정을 도모하여 인구가 증가할 수 있는 기반을 마련하고자 공동주택 신축 추진계획이 있음을 알려드립니다.

3. 귀하의 제안에 대하여 우리군에서도 여러각도로 추진검토 중임을 알려드리며, 추가 설명이 필요한 경우 임실군청 주택토지과 주택정책팀(☏063-640-2285)으로 연락주시면 친절히 안내해 드리겠습니다. 끝.",2022-04-05,임실군,답변완료
