제목,내용,작성일자,답변,답변일자,담당부서
지안스로가아파트,저희 조합이 청산해산이 빨리 될수있도록 협조좀 해주시고 반대민원들이 채무면탈을 위한 이기적인 민원에 대한 내용은 적극 배제해주시기바랍니다 또한 저희조합원들은 하루라도 빨리 청산을 하기 위하여 하도급업체들에게 미수금정산을 위하여 부담금을 납부하고있는 상황이니 양산시에서저희 조합을 위해 적극적인 협조를 해주시길 부탁드리는 바입니다.,2021-05-19,"1. 우리 시 북부동 883번지 일원 상 지안스로가 아파트의 우림필유지역주택조합 관련 민원사항에 대하여,

2. 해당 조합은 회계감사 등을 실시하고 사업비의 조합원별 분담내역 등 관리규약에 따라 총회 의결을 거쳐「주택법」제12조에 따라 조합원별 추가 분담금 산출내역 등 관련자료를 조합원이 알 수 있도록 인터넷과 그 밖의 방법을 병행하여 조합원에게 공개하여야 하며,

3. 조합의 청산 및 해산과 관련하여 회계보고 및 총회의 의결 등 관련법 및 조합규약에 따라 절차를 준수토록 하고 조합원들의 부담이 최소화될 수 있도록 적극 협조할 것임을 알려드립니다.

4. 기타 문의사항이 있으시면 우리 시 공동주택과 공동주택팀(☎392-3054)으로 문의하시면 성실하게 답변 드리겠습니다. 끝.
",2021-05-27,공동주택과
행정복지센터점심시간,부득이하게 점심시간에 동면 행정복지센터를 방문햇습니다 인감증명서가 필요해서 다른 행정복지센터는 교대근무를해서 기다리면 업무처리라도 가능하지만 동면행정복지센터는 기다리는건 뻔히보면서도 직원들끼리 코로나인데 마스크도쓰지않고 상담실에서 수다를떨고 있네요 30분기다려도 쳐다보고 아무런 말도없네요,2021-05-18,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 동면행정복지센터는 내송과 석산으로 나뉘어져 있으며, 내송은 민원팀에 직원 1명이 점심시간 교대 근무 없이 사무실 내에서 점심식사를 하며 민원을 보고 있습니다.
점심식사 중 민원인 방문을 인지하지 못하고 빠른 민원 처리를 해드리지 못해 불편을 드린 점 사과드립니다. 차후 민원 처리에 불편이 없도록 노력하겠습니다.

3. 답변 내용에 대한 추가 설명이 필요한 경우 동면행정복지센터 민원팀(☎055-392-7135)에 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2021-05-21,동면
도로노면 큰사고날 위험,"5월16일 일요일 밤 11시정도 교동에서 양산경찰서지나 현 더포레스트맨션 건축 정문앞 간이 버스정류소 앞2,3차선 도로노면 상황입니다 위험표시도 불도 없이 컴컴해서 제가 오토바이 타고가다 뒤쪽 박스아래 쇠 발판 범퍼가드가 다 부서졌습니다 어떻게 할지몰라 여기올립니다",2021-05-17,"1. 평소 우리시정에 적극적으로 참여하여 주신 데 대하여 감사드립니다.

2. 양산시 물금읍 범어리 2763번지 도로점용공사장 노면 상태가 좋지 못하여 불편 하신 사항과 관련하여 다음과 같이 답변 드립니다.

○ 우리시 물금읍 범어리 2763번지 일원에 케이비부동산신탁(주)측에서 상, 하수관로 매설을 위하여 도로점용(굴착)허가를 득하여 공사 중인 구간으로 점용공사장 안전사고 예방을 위하여
피허가측에 임시포장구간 정비 및 안전관리를 요청하였음을 알려드립니다.

3. 기타 문의사항이 있을 시 우리 시 도로관리과 도로운영팀(☎055-392-2753)으로 연락 주시면 답변 드리도록 하겠습니다. 끝.
",2021-05-17,도로관리과
불법주정차 단속,"안녕하세요 부업으로 배달업을 하는 배달기사입니다 물금읍 범어리 목화로 쪽에 공영주차장있는데 불법주정차때문에 빗길에 넘어져서 사고가 났습니다
주기적으로 단속부탁드림니다",2021-05-15,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원 (신청번호1AA-2105-0573789)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 『불법주정차 단속』에 관한 것으로 이해됩니다.
3. 귀하께서 신고하신 양산시 물금읍 동중마을공영주차장 부근에 불법으로 주차한 차량은 이동단속 차량으로 지속적인 단속 및 계도를 실시하여 생활에 불편함이 없도록 노력하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 우리시 교통과 교통관리팀(055-392-2875)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
",2021-05-24,교통과
불법수상스포츠신고합니다,"양산 낙동강에서 불법으로 행해지는 불법수상스포츠 단속부탁드립니다 매년 단속하는거로아는데 아직도 불법으로 홍보및영업행위와 안전보호구미착용등
그리고 코로나로 떠들썩한데 마스크및 거리두기도 찾아볼수없습니다
시에서 정확한 확인부탁드립니다",2021-05-14,"1. 평소 우리 시 시정에 관심을 가지고 의견을 보내주신데 감사드리며, 귀하께서 신청하신 국민신문고 민원에 대해 다음과 같이 답변드립니다.

2. 건의하신 내용으로 볼 때 우리시 서룡리 583번지 일원 국가하천(낙동강) 내에서 행해지고 있는 불법영업 등 위법행위 및 안전수칙 준수(코로나19 방역수칙 포함)에 대한 단속요청 민원으로 판단됩니다.

3. 해당시설을 포함한 관내 국가하천(낙동강)내 불법수상계류장에 대해 우리 시에서는 지난 2021.5.26. 낙동강 인근 관내 불법계류시설 3개소를 일제 단속하였으며, 불법 영업행위 금지 등 관련법 위반사항 및 안전장구 착용, 코로나19 사회적거리두기 등 안전수칙에 대한 단속 및 계도활동을 실시하였습니다.

4. 앞으로도 국가하천(낙동강) 수상레저활동간 위법행위 근절을 위해 수상레저 안전관리 계획에 의한 정기점검 및 민원 등에 의한 수시단속 등 지속적 단속활동을 통해 계도해 나가도록 하겠습니다.

5. 기타문의 사항이 있을 시 우리시 안전총괄과 안전정책팀(☎055-392-2694)으로 연락 주시면 성심을 다해 답변 드리도록 하겠습니다.
",2021-05-28,안전총괄과
증산일대 무질서 LED간판 돌출간판 에어간판 상권의피해,"저번이랑 똑같은 내용으로 신청했는데!!
확인만하고 가시고
증산 야리 1길 2길 일때 와전 엘이디 간판 보행도로
점율하고...아이들하고 나가지도 못하고 정말 이건 말이안되네요.
눈도 너무 아프고 저녁에는 길에 나갈수가없어요.
아이들도 눈아프다고 그러고
왜 더 심해지는거죠?
도대체 아무것도 진행되는게 없고
주변에서는더 심하게 불법으로 LED 간판 더 달고있고
자전거 도로에는 인조잔디깔고
완전 엉망이네요 이게 말이되요? 민원을 넣었으면 처리를해야되는데
오히려 더 심해진다는게 무슨 영문인가요",2021-05-14,"1. 귀하께서 국민신문고를 통해 신청하신 양산시 물금읍 야리1~2길 인근 상가에서 인도 및 자전거도로 위에 인조잔디, 적치물 및 광고물 등을 설치하여 불법점유하고 있으니 이를 조치하여 달라는 민원에 대한 처리결과를 알려드리겠습니다.

2. 해당 지역에 대하여 여러차례 현장확인을 거쳐 위반사항에 대하여 현장에서 행위자에게 계도하여 현재 인조잔디 및 적치물을 제거한 상태입니다. 앞으로도 도로통행에 지장을 주는 행위 및 불법옥외광고물에 대해서는 지속적으로 계도해 나갈수 있도록 하겠습니다.

3. 기타 궁금한 사항은 아래 연락처로 전화주시면 성심성의껏 답변드리도록 하겠습니다.
가. 도로불법행위 단속 및 자전거도로 안전시설 관리 관련: 양산시청 도로관리과 도로운영팀(T.055-392-2755)
나. 불법옥외광고물 관련: 물금읍 총무팀(T.055-392-7017)

붙임 1. 민원신청서 1부.
2. 현장사진 대지 1부. 끝.
",2021-05-20,물금읍
불법광고물,"양산부산대학교 장례식장쪽 후문에서 주공아파트로 가는 횡단보도 끝에 이렇게 불법광고물이 부착되어 있습니다
철거 부탁드립니다",2021-05-14,"1. 귀하께서 국민신문고를 통해 신청하신 양산시 물금읍 범어리 789-5번지 불법으로 설치된 광고물을 정비하여 달라는 민원에 대한 처리 결과를 알려드리겠습니다.

2. 해당 민원에 대하여 다음과 같이 조치하였습니다.
가. 현장 확인하여 불법광고물을 제거하였습니다.
나. 아울러 쾌적한 도시환경을 조성하기 위하여 물금읍 행정복지센터에서는 공공근로 사업 등을 통하여 불법광고물 정비팀을 운영하여 관내 설치된 불법옥외광고물을 상시 정비하고 있습니다.
다. 지속적으로 광고물을 단속 및 정비하고 있으나, 야간 및 휴일에는 신속한 정비가 어려운 점은 양해 부탁드립니다.

3. 기타 궁금한 사항은 물금읍 총무팀(T.055-392-7017)으로 연락주시면 안내해 드리겠습니다.

붙임 민원신청서 1부. 끝.
",2021-05-14,물금읍
해충 모기가 너무 많아요..,"양산 범어리 쪽에 해충인 모기가 너무많아요.. 하루에도 수십번식 물려서 잠을 잘수가없어요..
아이들도 이런 해충때문에 전염병이라도 옮을까걱정입니다.. 힘든 코로나 시국에.. 해충에 의한 전염병이라도 가해진다면..
생각만해도 끔직합니다.. 더욱더 기온은 올라가고 모기의 계절이 가까워지고 있습니다.. 한시라도 빠른 시일내에 대책마련이 시급합니다..",2021-05-13,"1. 귀하의 건강과 행복을 기원 드리며, 국민신문고를 통해 신고하신 민원에 대하여
다음과 같이 답변 드립니다.

2. 양산시는 모기 해충 방역을 위해 방역소독반을 편성하여 방역취약지를 중심으로
소독을 실시하고 있으며, 방역소독이 필요한 정확한 위치를 알려주시면 추가적인
방역을 실시하겠습니다. 향후에도 주기적인 방역 활동을 통해 주민들의 불편해소에
최선을 다하겠습니다.

3. 기타 궁금하신 사항은 양산시 보건행정과 감염병대응팀(055-392-8393)으로
연락주시면 성실히 답변 드리겠습니다. 감사합니다.
",2021-05-24,보건행정과
덕계 대일아이브 경계측량과 관련하여,"첨부와 같이 신축아파트와 대일아이브간의 경계사항을
허가전 명확히 하여 주시기 바랍니다.",2021-05-12,"우리 시정 발전을 위한 협조에 감사드리며, 2021.05.13.일자 국민신문고 접수민원(신청번호 1AA-2105-0462053)에 대한 검토 결과를 다음과 같이 알려드립니다.

1. 귀하의 민원내용은 '덕계동 724-86번지 일원 상 건축 공사현장 경계'에 관한 것으로 판단되는 사항으로,

2. 상기 공사현장은 사용승인신청되어 사용승인된 현장이며 사용승인 신청전 경계복원측량을 3월경 실시하였으며 사용승인전 다시 한번 지적현황측량을 한 결과 경계침범이 확인되지 않았음을 확인하였습니다.

3. 그리고, 귀하의 요청사항을 건축주 및 감리자에게 검토하도록 전달하였음을 알려드립니다.

4. 기타 궁금하신 사항이 있을 경우 우리 시 웅상출장소 허가과(☏055-392-6243)로 문의하시면 성실하게 답변드리겠습니다. 끝.
",2021-05-21,허가과
거북산을 그대로 둬 주세요,"안녕하세요
거북산을 그대로 자연그대로 둬 주세요
왜 자꾸 공사를 하나요?
데크가 왜 필요한가요?
보행길이 좁아 부딪힌다구요?
시야가 확보 안되는 길도 아니고, 먼저 오는 사람 비켜주고 그 뒤에 가고 잘 지켜지고 있습니다.
또한 , 강산은 변합니다.
토지 유실 그것도 자연의 한 순리겠지요
빌려쓰는 자연을 그대로 보존해도 모자라는데
인간의 사심을 채우고자 자연을 훼손한다는게 맞습니까?
보행매트 깔면 오히려 수분을 많이 머금어서 더 축축하기만 합니다
땅으로 물이 들어가고 증발하고 선순환을 왜 임의로 막습니까
누굴위한 조치인지 다시한번 생각해보십시요
제발 자연 그대로의 산으로 남겨 두세요
사람의 욕심으로 자연을 해치지 맙시다",2021-05-12,"가. 시정발전에 관심을 가져주심에 감사드리며, 귀하의 건의사항에 대하여 다음과 같이 답변드립니다.

나. 우선 증산성(거북산) 둘레길은 지역주민의 여가활동과 건강을 위하여 2013년 인위적으로 조성한 산책길로 이용객의 편의 제공을 위하여 흙먼지털이기, 휴게시설물 등이 도입되어 현재는 다양한 연령층이 찾는 명소가 되었습니다.

다. 이에 따라 노년층이나 몸이 다소 불편하신 분들의 산책로 개선요구사항을 반영하여 정비하게 된 점 양해부탁드리며, 귀하의 의견도 추후 숲길관리에 반영하여 불필요한 정비는 최대한 지양하도록 하겠습니다.

라. 앞으로도 숲길이용에 많은 관심바라며 기타 문의사항이 있을 경우 우리시 산림과 산림방재팀(☎055-392-2933)으로 연락주시기 바랍니다. 끝.
",2021-05-18,산림과
