제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
회전교차로 신설,"현황 및 문제점
저는 입암로 78에서 상가를 운영중에 있습니다
신축상가 단독주택들이 주편에 많이 드러서면서
포스코와 원마트오거리 대로를
이용하는 주민들이 많아지고있는데 이곳엔
유턴을할수있는 구간이 전혀없어 본의아니게
중앙선을 넘어 불법턴을 해야 하는실정입니다
또한 이도로를 이용하는 차량들 과속으로인한 사고가빈번히 일어나고 횡단보도가 없어 도로를 무단횡단
하는 동네 어르신들 강중학생들 볼때면 위험하기 그지없습니다 축협마트 오픈으로 무단횡단이 조금더 는것 같습니다
과속방지와 원활한 교통흐름 불법유턴 무단횡단을
하지 않게 입암현대서 포스코나가는 메인대로 삼거리
어울림 들어가는 사거리 회전교차로 신설을제안하며
시민들 무단횡단을 하지않게 입암현대 포스코나가는 삼거리의 횡단보도 위치변경을 제안합니다

개선방안
회전교차로 신설 횡단보도 위치변경
기대효과
과속방지따른 사고예방
원활한 교통소통
불법유턴 방지
횡단보고 위치변경으로 무단횡단방지",2021-06-21,"1. 평소 시정 발전을 위하여 관심가져 주시는 귀하께 깊은 감사를 드립니다.

2. 귀하께서 신청하신 국민제안(1AB-2106-0013382)에 대하여 검토한 결과, 내용은 입암로 내 회전교차로 설치 및 횡단보도 이설로 이해되며 검토한 내용을 아래와 같이 답변드립니다.

가. 도로과
1) 우리 시에서는 시가지 교차로 개선 기본계획에 따라 관내 35개 교차로에 대한 회전교차로 전환을 검토하였으며, 교통관련 기관 의견, 민원 등을 종합적으로 고려하여 회전교차로를 연차별로 추진하고 있습니다.
2) 다만, 해당 도로의 주변 교차로의 기하구조, 통행 여건, 교통량 등에 대한 정확한 조사와 계획 수립이 선행되어야 할 것으로 판단됩니다.
3) 제안하신 내용에 대하여 감사드리며, 향후 관련 계획 수립 시 귀하의 의견을 참고하도록 하겠습니다. 기타 궁금한 사항 및 문의사항은 강릉시 도로과(033-640-5506)로 문의하여 주시면 성심성의껏 답변드리겠습니다.

나. 교통과
1) 귀하의 횡담보도 이설건 제안에 대하여 아래와 같이 답변 드립니다.
2) 귀하께서 제안하신 지역의 횡단보도 이설 및 회전교차로의 설치 제안건에 대해서는 먼저 회전교차로의 설치여부가 판단되어야 교차로의 이설로 인한 횡단보도의 설치나 이설이 가능하며, 현재의 교통상황에서의 횡단보도 이설은 어려움을 알려드립니다. 끝.",2021-08-11,강릉시,답변완료
안전관리 실명제 표지판 부착,"현황 및 문제점
강릉시에서 설치 관리 운영 중 인
근린 생활체육시설 및 영조물시설 등에 대하여
고장이나 불량사항 발생시
강릉시에 바란다 민원게시판 및 강릉 콜센터에 신고시
시간지연 및 즉시, 조속한 시정조치가
원활하게 되지 않는 실정
개선방안
관리부서 및 담당자 전화번호 기재 부칙
예) 마을마다 설치한 근린 생활 운동기구에 스티커 등 방식으로
담당부서 및 담당자 전화번호 기재
기대효과
신속한 신고로 안전관리 조치
주민 불편 해소",2021-06-21,"1. 시정발전을 위하여 협조하여 주시는 귀하께 깊은 감사를 드립니다.

2. 귀하께서 제안하신 사항에 대하여 다음과 같이 답변합니다.

가. 귀하께서 제안하신 마을 별 근린 생활 운동기구 및 영조물시설에 대한 신속한 고장 신고 및 시설 수리를 위한 담당부서 및 담당자 전화번호가 기재된 스티커 부착에 대하여 검토한 결과, 추후 계획을 수립하여 사업을 시행할 수 있도록 하겠습니다.

3. 귀하의 제안에 대해 다시한번 감사를 드리며, 불편사항이 해소될 수 있도록 최선의 노력을 다하도록 하겠습니다. 그밖에 문의사항이 있으시면 강릉시청 체육과(033-640-5948)로 연락주시면 부족한 내용에 대하여 친절히 답변드리도록하겠습니다. 감사합니다.",2021-07-21,강릉시,제안실현
속초시 체육공원(만리공원)내 어린이 놀이터 앞 4개의 쉼터 지붕이 투명제품으로 빛이 투과되여 그늘막 역활을 못하고 있다.,"현황 및 문제점
0 속초시 체육공원은 체육시설과 어린이 놀이터 등 쉼터를가 있어 지역시민이 많이 이용하는 공원이다.

문제는 쉼터 지붕이 빛이 투과되는 재질로 지붕을 만들어 그늘 역활을 못하고 있다는 것이다.
흐린날 이외에는 강한 햇볕이 그대로 투과되여 탁자나 의자가 뜨끈 뜨끈하므로 노인들 특히 영아들은 화상도 입을 정도임.
개선방안
0 지붕을 햇빛이 투과하지 못하는 제품으로 교체 해주기를 체육공원을 찾는 시민으로서 간곡히 부탁한다.
기대효과
0 지붕이 교체가 되면 속초시민의 안녕과 체력증진에 많은 도움이 될것이며
특히 대한민국을 미래를 지키고 나아갈 어린이들이 놀이터에서 놀고 난후 쉬원한 그늘에서 쉬며 , 또한 보호자들은
이웃들과 경치좋고 물좋은 아름다운 속초를 찬양하며
즐거워 할것이다.",2021-06-18,"1. 귀하의 건강과 무궁한 발전을 기원드리며, 우리시 체육 발전에 관심을 가져 주신점에 깊은 감사를 드립니다.
2. 귀하께서 2021. 6. 18.일자 국민신문고를 통해 접수하신「생활체육공원 어린이 놀이시설 옆 파고라 지붕 개선요청」국민제안 사안에 대하여 아래와 같이 회신드립니다.

□ 제안사안
○ 생활체육공원 어린이 놀이시설 옆 파고라 지붕 개선요청

□ 회신내용
○ 귀하께서 요청하신 건의사항 확인결과 지붕에 썬팅이 되어 있으나 투명한 재질로 지붕이 만들어져 많은 양의 태양광이 투과하여, 여름철에는 뜨거워져 파고라 이용에 불편함이 있는 것으로 확인되었습니다.
○ 파고라가 4개소에 지붕 면적이 넓어 지붕재 교체에는 많은 비용 소요될 것으로 예상되어, 사업의 적절성 검토 및 사업예산 확보 등이 필요하여 당장 교체가 어려운 점 양해해주시기 바라며, 향후 충분히 검토하여 개선할 예정임을 알려드립니다.
○ 아울러, 본 민원 사안과 관련하여 궁금하신 내용이 있으시다면 문화체육과 체육시설팀(033-639-2103)으로 연락주시면 자세히 안내해 드리도록 하겠습니다.
붙임 국민제안사안 1부. 끝.",2021-08-03,속초시,답변완료
동물학대 및 유기를 막아주세요.,"현황 및 문제점
반려동물을 키우는 인구가 증가하고 있는 추세입니다. 하지만 여러 매체에서 동물학대 및 유기를 빈번히 목격하거나 들어본적이 있을겁니다. 우리 지역이 관광지 이기도 하고 사람들이 자주 놀러오는데 이때 유기하고 도망가는 사람들도 꽤 많이 있습니다. 그래서 한가지 제안을 할까합니다.
개선방안
제가 생각한 방법은 관광객대상으로 반려동물을 데리고 놀러올시 보증금을 시청에 지불하고 돌아갈때 다시 시청에서 받는 방법입니다. 그리고 이래도 유기 또는 학대를 저지르는 자는 보증금에n배에 해당하는 벌금을 걷고 합당한 처벌을 받게 하는 것입니다. 우리 지역 사람이 그랬을 시에도 처벌을 거의 흡사하게 진행합니다. 그리고 보증금을 내고 다시 받은사람은 소정의 상품을 추첨해서 소소한 재미를 느껴 반감을 줄이는 정책을 제안합니다.
기대효과
한 사례를 들자면 마트의 카트 경우 사용할때는 100월을 넣고 반납할때 100원을 돌려주는 시스템입니다. 처음에는 실제로 실용성이 있나로 얘기가 나왔는데 막상 시행하니 분실률도 줄고 다시 제자리에 반납하는 비율이 증가했습니다. 이러한 사례를 봤을때 시행하는 이유를 자세히 홍보를 하면 반감이 적은 상태에서 시행을 해서 관광객들이 유기 또는 학대를 망성이는 긍정적인 효과를 기대할수있습니다.",2021-06-16,"1. 평소 동물보호업무에 관심을 가져주시는 귀하께 감사드립니다.

2. 귀하께서 제안해 주신 보증금제도는 관광객들의 동물 유기 및 학대를 예방할 수 있는 좋은 제안으로 생각됨니다만, 반려동물의 보호자에게 보증금을 징수하고 동물유기 및 학대 발생 시 몇 배에 이르는 벌금 부과를 위해서는 사회적 합의를 통하여 동물보호법 등 관계 법령을 개정하고 그에 따른 시 자체적인 조례 제정이 선행되어야 할 것으로 사료됩니다.

3. 우리 시에서는 동물 유기 및 동물 학대 예방을 위하여 다양한 홍보 캠페인 및 지속적인 계도활동 등을 실시하고 있으니, 참고 하시기 바랍니다.

4. 동물유기 및 학대 방지를 위한 귀하의 제안에 감사드리며, 추가로 궁금하신 사항이 있으시면 강릉시청 동물정책과(☎033-640-5596)으로 문의 주시기 바랍니다. 끝.",2021-07-16,강릉시,답변완료
청소년기 학생들 스트레스 해소를 위한 낙서공간 설치 제안,"현황 및 문제점
및 문제점청소년들이 공부하고 학원다니느라 스트레스가 많아 청소년들의 공부에 대한 스트레스 해소를 위한 낙서공간 설치 제안드립니다.

다리 하부공간 및 공원이나 쉼터공간 너무 후미지지 않고 공개된 공간에서 건전한 낙서를 권장하며 청소년들의 소통우 공간이 확보되지 않을까요?
개선방안
1. 청소년들 스트레스 해소를 위한 낙서공간 설치 제안
2. 다리하부 공간
3. 공원 및 쉼터 도심지 자투리공간
4. 공공도서관
5.선사박물관, 박수근 미술관. 기대효과
기대효과
1.청소년들의 스트레스해소를 통한건전한 성장에 기여
2. 청소년들이 가진 끼, 꿈, 꽤 발견의 기회
3.청소년들의 소통과 공감의 공간
4.청소년들을 바라보는 어른들의 시각의 변화",2021-06-16,"양구군정 발전에 관심을 가져주신 귀하께 감사드립니다.
귀하의 제안에 대한 제안에 대하여
향후 청소년을 위한 낙서공간으로 공개된 장소에 가능한 공간이 있으면 중장기적으로 검토하도록 하겠습니다.

기타 문의사항은 교육생활지원과 480-2059로 연락주시면 성심성의껏 답변 드리도록하겠습니다.
양구군 청소년을 위해 관심을 가져주셔서 다시한번 감사드리겠습니다.",2021-07-05,양구군,답변완료
안녕하십니까. 경희대학교 호텔경영학과 4학년 학생들로 구성된 프로젝트 팀입니다.,"현황 및 문제점
안녕하세요, 저희는 경희대학교 호텔경영학과 4학년 학생들로 구성된 프로젝트 팀입니다.

강원도는 강원관광 활성화를 위해 동계올림픽 이후, 지속가능한 강원관광산업 육성과 지역 특색을 활용한 관광자원 개발을 목적으로 「신관광」 전략 및 실행계획을 수립중인 것으로 알고 있습니다.

1. 평창동계올림픽과 강원도

강원도는 2018 평창동계올림픽 개최를 통해 광역교통망, 관광시설 및 관광서비스 등이 확충되었으며, 평창을 비롯한 올림픽 개최도시와 강원도의 인지도는 크게 상승하였습니다. 이와 같은 이동노선 다양화 및 이동시간 감소는 관광객의 접근 편의성을 크게 개선하여 관광객 유입 증대에 대한 기대가 크게 나타나고 있습니다. 이러한 증가한 관광 목적 및 유형이 ‘숙박(체류)’관광의 활성화로 이어질 수 있도록 유도하기 위해 야간관광 시설 및 콘텐츠의 발굴&도입을 선제적으로 준비할 필요가 있다고 판단하였습니다.


2. 관광목적지로서의 강원도 – 여름성수기에 대한 높은 의존도


강원도 관광은 여름기간에 동해안 6개 시,군의 해수욕장에 대한 의존도가 높은 특성을 보입니다. 또한 주요 관광지 방문객의 월별 추이를 살펴보더라도 강원도 관광은 여름과 가을을 중심으로 한 계절성이 뚜렷하게 나타나고 있습니다. 이처럼 계절성에 따른 높은 의존도, 수도권과의 접근성 향상에 따른 숙박여행 필요성 감소, 미흡한 지역관광의 공급 수준 등 강원도 관광을 위협하는 요인은 지속적으로 증가하고 있다고 판단하였습니다. 이에 강원 관광 활성화 도모를 위해 야간관광을 통해 활동의 시간적 범위를 확대하여 체류시간을 연장시키고자 하였습니다.

이에 저희 프로젝트 팀은 강릉시의 야간관광활성화에 관심을 가지고, 강릉 내 기존 관광자원물을 활용한 야간관광지 개발 및 홍보활동에 대한 프로젝트를 진행중입니다.
개선방안
강릉시 “별밤투어”를 컨셉으로 하여 별을 관람할 수 있는 관광지를 선정 및 코스로 제작하여, 일반 시민들에게 홍보하고자 합니다.

또한 더 원활한 홍보활동을 위해 인스타그램 페이지를 개설하여 “야간관광”에 대한 정의 및 이점, 그리고 강릉시 내에 체험할 수 있는 야간관광지를 선별하여 컨텐츠로 제작 & 홍보할 예정입니다.

(https://instagram.com/owls.trip?igshid=10hxhmgg85j0y)

저희가 현재 구상한 투어코스는
“경포대 -> 안목해변 -> 월화거리 -> 호린파크 -> 안반데기”
를 순서로 하여, 초저녁 경포대에서부터 시작해 마지막 안반데기에서 별밤을 감상할 수 있는 코스입니다.

저희가 예시로 넣은 “호린파크”의 경우, 현재 야간관광지로 활용되는 관광자원은 아니나, 뛰어난 자연경관을 바탕으로 관광지로서 인지도가 높아지고 있습니다. 이를 고려하여 호린파크 내에 야간경관 조성 및 체험 프로그램 등을 추가하여 “야간관광지”로서 개발될 가능성이 높다고 판단하였습니다.

이처럼 저희 프로젝트 팀의 목적은, 기존 지역 관광지를 활용하여 강릉만의 차별화된 야간관광 인프라를 조성하는 것, 그리고 이를 코스로 개발하여 더 많은 일반시민에게 “야간관광지로서의 강릉시”를 홍보하는 것입니다.

5.22~23일에 직접 강릉을 방문후, 이동하며 “별밤코스” 야간관광지를 체험 및 촬영하였습니다. 이를 컨텐츠로 제작하여 sns 내에 적극적으로 홍보중입니다.

추가로 올빼미여행코스 제안서 pdf를 첨부하였습니다.

자체적으로 제작한 사진, 영상 등의 컨텐츠를 강릉시의 홍보활동에 적극 사용해주시면 감사하겠습니다.
기대효과
저희가 제안하는 별밤투어코스를 강릉시 내에서 자체적으로 검토 및 관광코스로 홍보한다면,

강릉시, 더 나아가 강원도의 관광경쟁력 강화에 기여할 수 있을 것입니다.

강원도, 그리고 강릉시의 관광경쟁력 향상에 도움이 되고자 하는 일념하에 프로젝트를 시작하였습니다.

좋은 시선으로 바라봐주시면 정말로 감사하겠습니다!

답변 기다리겠습니다",2021-06-14,"1. 먼저 강릉시 관광 정책에 깊은 관심을 가져주심에 진심으로 감사드립니다.

2. 귀하께서 의견 주신 강릉시 야간관광활성화를 위한 호린파크 등을 이용한 '별밤투어' 관광코스 제안요청에 답변을 드리고자 합니다.

3. 귀하께서 제안해주신 ""별밤투어"" 관광코스는 우리시 관광상품개발의 한 측면으로 다양한 관광상품 개발의 필요성에서 좋은 제안이라고 생각됩니다. 특히나 대부분의 관광상품이 주간시간에 한정되어 있는 점에서 매우 의미있는 상품이라고 사료됩니다. 다만 관광상품의 경우 민간 여행사에서 적용해서 실제 상품으로 운영되어야 하는 부분으로, 시에서 직접적인 관광상품을 운영하기는 어려운 부분이 있습니다. 시 차원에서는 이러한 다양한 관광코스 개발을 장려하는 입장으로 보내주신 의견을 잘 참고하여서 상품개발 장려정책에 활용하도록 힘쓰겠습니다.

4. 바쁘신 와중에도 강릉관광에 깊은 관심을 보여주심에 다시 한번 감사드리며, 기타 문의는 강릉시 관광과 이준우주무관(033-640-5132)로 연락주시면, 성심성의껏 답변해 드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝..",2021-07-14,강릉시,답변완료
강원도민(출향도민 포함)의 시대적 특성을 자원화 방안 제안,"현황 및 문제점
수신;민간협력팀
1> 제안개요.
각종 사회문제 중 극복 예방 해결함에 본받을 만한 사례를 찾기 쉽지 않을 뿐만 아니라 유익한 방안이 있더라도 적극적으로 추진할 만한 곳을 찾기가 쉽지 않은 실정입니다.
이런 실정과 무관하게도 사회현상에서 상당한 부분들이 양면성이 존재함에 비추어서 강원도민의 애로사항들 경청환경을 제공함을 시작으로 지혜의 플랫폼 역할이 되게 할 것을 제안합니다.
이로써 다른 지역 및 전 세계가 모방할 수밖에 없게 됨까지 구상하고 추진 할 수 있다는 점(어디서 하게 되면 모방할 수밖에 없음)입니다.
이미 오래전부터 제3 섹터 정부 3.0 협치 협업 등 여러 용어를 거론하면서 추진해 왔었으며 특히 최근에도 적극 행정 운영 규정까지 마련되어 추진하고 있습니다.
이런 현상은 소극적인 경향이 심하다는 것을 의미하며 적극성을 발휘하면 결과들을 얻을 것들이 많다는 의미가 되기도 합니다.
개선방안
2> 제안내용
강원도에 잦은 방문과 남다른 관심에서 강원도와 도민들에게 유익한 방안들에 대한 지혜들이 소통될 수 있는 환경 제공과 사회문제가 문제만이 아니라 다른 사회문제를 극복, 예방 해결함에 의미 있는 자원으로 활용되는 경우들이 적지 않다는 점에서 다양한 지혜들이 매우 값진 자원이 될 수 있는 점입니다.
그뿐만 아니라, 남다른 작은(읍·면. 동 단위 속에 이·통에서 한 사례) 사례하나가 전국(9만 5천여 곳)을 비롯하여 전 세계(세계 일주를 한 한 여행가의 한 말 중 사람 사는 곳들 다 같더라“)로 확대 적용된다면 상상력은 우주를 품고도 남음을 확인할 수 있다는 점입니다.
이런 유익한 지혜들을 발굴·창출하여 소통시킬 플랫폼을 마련하여 제공할 수 있는 사람으로 사회문제 의식을 바탕으로 공익성 민원을 비롯하여 제안해본 경험자들 이상은 찾기가 쉽지 않을 것입니다.
이와 더불어 도민 출신 여. 부와 무관하게 강원도에 대한 유익한 방안을 발굴·창출함에 지혜를 발휘할 자원 확보를 겸할 수 있음을 당연시 하자는 것입니다.
이로써 전국을 대상으로 적극적이며 아이디어 많은 인적 자원들을 확보(자문위원으로)도 먼저 추진되게 하자는 것입니다.
더불어 추진함에 소요 예산들 역시 관련분야의 문제들을 자원으로 해결해 내자는 것입니다.
1) 추진방안으로 다음과 같이 하자는 것입니다.
(1) 공익성 민원 및 제안 접수처(접수에서 처리 결과물 활용 현황관리·운영)
(2) 애로사항 경청과 접수에서 처리 결과물 활용 현황관리·운영
(3) 출향민 대상 도정 홍보 및 응용(출향민 활용 정보제공) 자료 제공
(4) 출향민들의 측면에서 본 강원도에 반영할만한 유익한 정보제공
(5) 기타 강원도에 유익한 발전 방안 정보들
(6) 참여자 사업들 추진 필요할 때 제공 준비(참여자 제안 증명 요청 대비)
(7) 우수 제안자들의 보답 방안 마련 관리·운영

2)구체적인 추진방안
(1)제안제도 활용자{일정 기준 설정(전문가 신청 기준 점수인 5천 점 이상 등) 확보방안
(2)경청(상담 업무 경험 및 관련학과 10학점 이상자 등)자 확보 방안
(3)아픔과 어려움 경험(사회문제 실제 극복 경험)자
(4)공공일자리 정책 제공 일자리 공모 다수 탈락 경험자 등
(5)공익적인 객관적 평가 적극적인 방안 동의자
(6)추진과정 인적 자원 공모, 교육,매뉴얼,지도.감독방안, 평가 및 평가물 자원화방안.
(7)기타 구체적인 추진 방안 보유자.
이상의 내용들 중 한.두가지 이상정도로 구체화 시킬 수 있는 사람으로 추진방안을 구체화시켜 갈 수 있습니다.

3) 소요 재원 확보 방안
(1) 공공일자리 정책 및 사회복무요원, 자원봉사 지원 정책 등 현황 점검
(2) 문제점들 자원화
(3) 스와핑으로 해결 방안
(4) 시범지역 발굴·창출 선행 요청방안(차후 모방 환경 조성 차원
(5) 수익자 부담원칙(정부와 보험자 등 후원 모색 방안)
(6) 제안제도로 운영되는 국민신문고를 통해서 제안되는 그것 중 제안 접수에서 처리 결과물 처리 관리·운영 현황 하나만이라도 본받을 만한 사례 예시를 할 수 있게 발굴·창출해도 매우 값진 일이 됩니다.
(7) 이미 제안되어 채택된 그것 중에서 미시행되는 것을 강원도가 할 수 있는 것을 시행하는 방법도 좋은 방법이 될 수 있습니다.
*강원도에서 의지만 있다면 본 제안자의 경험들만으로도 실현할 수 있습니다.
기대효과
3> 기대효과.
제안 취지가 정확하게 소통되면 기대효과를 충분히 예측할 수 있습니다.
더불어 제안내용 추진 방법과 결과물 응용방안들이 주요 뉴스 제공 시간에 나갈 정도의 소재들이 될 수 있음에 따른 효과 등 끝.",2021-06-13,"국민신문고 국민제안에 대해 다음과 같이 답변하고자 합니다.

○ 제 안 인 : 김문환(서울특별시 송파구)
○ 신청번호 : 1AB-2106-0005817
○ 제 안 명 : 강원도민(출향도민 포함)의 시대적 특성 자원화 방안
○ 제안요지 : 전국 대상 제안 인적자원 확보 및 제안제도 관련 플랫폼 조성
○ 회신내용 : 붙임2 참조


붙임 1. 국민제안신청서 1부.
2. 국민제안 검토의견 1부. 끝.",2021-10-12,강원도,답변완료
방부제 수거함,"현황 및 문제점
제가 전에 밥에 김을 싸먹으려고 김의 포장지를 뜯었는데
투명하고 동글동글하고 작은 구슬같은 것이 가득든 작은 봉지하나가나왔어요
전이걸 어디다 버리는지 몰라서 일반쓰레기통에 버렸어요
나중에 생각해보니 그건 거기에 버리는게 아닌것같더라고요
그후에도 다른곳에서 그걸정말많이 봤어요
하지만 어딜봐도 그것을 버리는 곳은 없었어요
개선방안
방부제는 우리 생활에서 쉽게 찾아볼 수 있는데 방부제 수거함은 없습니다. 그래서 일반 쓰레기통에 버릴 때가 많아요.
그런 방부제는 다시 우리에게 돌아와 우리를 위협해요. 그래서 방부제용 수거함을 만들어 주셨음 해요.
우리의 건강도 지키고 환경도 지켜주세요.
기대효과
우리의 건강과 환경을 지킬 수 있어요.",2021-06-11,"1. 시정발전과 환경보전을 위해 노력하시는 귀하께 깊은 감사를 드립니다.

2. 귀하께서 제습제(실리카겔)를 환경을 위하여 별도 배출할 수 있는 수거함을 설치해 달라는 제안인거 같습니다.

3. 제습제(실리카겔)는 공기중에 습기를 빨아들여 습도를 낮추는 소모품으로 버리실 경우에는 일반쓰레기와 동일하게 종량제 봉투에 담아 배출하면 됩니다.

4. 따라서 귀하의 제안은 불채택함을 알려드리며, 답변에 문의사항이 있으면 자원순환과(033-640-4522)로 문의주시면 성실히 답변드리겠습니다. 끝.",2021-06-21,강릉시,답변완료
중앙시장 주차,"현황 및 문제점
중앙시장 (재래시장)에 제사 음식 준비로 갔더니,유료주차장 만실이고 유로 도로에도 주차할곳이 없어서 택시광장에서 남대천으로 전체로 3바퀴 돌다가 뒤 골목에 누군가 나가서 그자리에 주차하고 재래시장에서 물건들을 구입하고 나왔더니 불법주차라 과태료가 나왔네요.
중앙시장 구경이라면 냇가에 주차하고 가겠지만 시장을 보고 무거운 집을 들고 다닐수가 없어요.
개선방안
재래시장 활성화에 노력하신다면 주차시설을 확보가 시급하다고 봅니다.
기대효과
외지인들이 중앙시장에 들려서 편하게 재래시장 구경도 하고 물건도 구입하면 서로가 상생한다고 봅니다.",2021-06-08,"1. 귀하의 가정에 무궁한 발전을 기원하며, 우리 시 주차환경 개선을 위한 제안을 주신데 대해 감사드립니다.

2. 중앙시장 이용 시 주차공간 부족으로 불편함을 느끼시고 이에 대한 개선 대책을 요청하신 것으로 이해되며, 현재 중앙시장 인근에는 주차타워(62면), 월화거리주차장(36면), 금성로 노상주차장(48면), 택시부 광장주차장(63면)을 장기주차방지 및 주차장 이용률 향상을 위하여 유료로 운영중이며, 사설 유료주차장이 9개소 270면이 운영되고 있음을 알려드립니다.

4. 아울러, 우리 시는 현재 운영중인 남대천 둔치 유료주차장(375면) 주차시스템을 보완하여 무단 장기주차행위 제한을 통한 중앙시장 인근 주차공간 확보방안을 추진 중임을 알려드립니다.

5. 기타 궁금하신 사항은, 강릉시청 교통과(교통시설부서, 033-640-5624)로 연락주시기 바랍니다. 끝.",2021-06-29,강릉시,답변완료
홍제교 하천 우회도로 설치,"현황 및 문제점
홍제동 개통에 따른 차량 통행량 증가
내곡동 강변도로 편도 1차선 교통량 증가로 인한 교통체증
출퇴근시 차량증가로 신호대기시간 길어짐
취약시간 도로변에 주정차량으로인한 차량운행 불편
명주초 하나로마트 도로 확장개통시 더 많은 차량 운행 예상
개선방안
홍제교 아래(명주초교방향) 둔치
차량 우회도로 설치
기대효과
원활한 교통 흐름",2021-06-08,"1. 평소 우리시정 발전을 위하여 관심가져 주시는 귀하께 감사드립니다.

2. 귀하께서 신청하신 제안(1AB-2106-0002537)에 대하여 검토한 결과, 홍제교 하천 우회도로 개설요청으로 판단이 되며 다음과 같이 답변드립니다.

3. 해당 사업요청 구간은 지방하천인 남대천 하천구역에 포함되어 하천기본계획 변경 등 관리청(강원도)과 사전행정절차가 이행되어야 하며 관련 예산확보 등 현재로서는 추진이 어려움이 있음을 양해하여 주시기 바랍니다.

4. 귀하의 제안에 감사드리며, 추가적으로 궁금하신 사항이 있으시다면 강릉시 도로과 (640-5512)로 문의주시면 답변드리도록 하겠습니다. 끝.",2021-07-07,강릉시,답변완료
