제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
강원도청 홈페이지 자유게시판 활성화 방안 제안.,"현황 및 문제점

1> 제안개요
자유게시판[自由揭示板]이란 것이 “여러 사람에게 알리거나 건의하고 싶은 내용 따위를 자유롭게 써서 올리는 인터넷상의 공간”을 의미하는 것으로 정보화에 있어서 기본 환경이 되는 것임에도 본받을 만한 사례를 찾기도 쉽지 않으며, 유익한 방안이 있더라도 적극적으로 추진할만한 곳을 찾기도 쉽지 않다.
서울시 25개 구청 중에서 자유게시판을 개설하여 운영하는 곳이 다섯 곳 정도임을 비롯하여 자유게시판 본래의 취지에 부합되게 본보기의 사례가 시급한 실정이다.
이런 실정에서 강원도가 여러 측면에 비교할 때 이용 정도가 높은 편임에 속함에 비추어 도청에서 본보기 사례 예시가 된다면 여러 의미로 활용될 수 있어서 제안 다음과 같이 제안 한다.
특히 적극 행정 운영 규정 제 16조에 시행에 따라서 도청에서 시작만 한다면 시·군의 경우는 편하고 쉽게 적극적으로 추진할 것이며 타 시·군·구들에 비추어 본보기의 매우 좋은 사례가 될 것으로 확실히 보인다.
개선방안

2> 제안내용
1) 자유게시판 관련 현황과 업무매뉴얼 관리·운영 점검
2) 시행착오 및 문제점 발견과 민원 및 동료나 부서 간의 갈등 발생 시 대안 현황점검
3) 자유게시판 활성화 방안 보유자들 확보방안.
4) 업무량 증가를 비롯한 소요 재원 및 인력확보 방안
공공일자리 및 사회복무 요원 정책 현황과 그 결과물 활용 적용 방안.
5) 구체적인 추진 방안
(1) 현재 홈페이지 관리·운영업무부서 추진 방안 중 자유게시판 활성화 방안 적용.
(2) 자유게시판 외 자유게시판 활성화를 위한 토론방 마련 방안
(3) 자유게시판 부분 관리·운영자와 자문단 구성 방안
(4) 기타 자유게시판 활성 방안 보유자 확보방안
기대효과
3> 기대효과
1) 자유게시판 활성화 환경 조성 효과,
2) 일자리 발굴·창출 효과.
3) 각종 사회문제 예방 해결 효과.
4) 다른 지역 및 국가로 모방 확대 효과
5) 강원도 홍보 효과 등 끝.",2022-09-02,"안녕하십니까? 국민제안(1AB-2209-0001418)에대해 답변을 드리고자 합니다.
자유게시판 활성화를 위한 이용자간의 의견 제시·교환은 자유게시판에서, 답변이 필요한 민원의 경우 국민신문고를 통해 접수하여주시기 바랍니다.

자유게시판 관리·운영자와 자문단 구성의 경우 강원도청 홈페이지 관리, 운영 부서에서 담당하고 있으나 자유게시판의 활성화를 위해 관리에 더 힘쓰도록 하겠습니다.

답변에대한 설명이 필요하신 경우 대변인실 이도경주무관(☎033-249-2145)로 전화주시면 친절히 답변드리겠습니다. 감사합니다.",2022-10-05,강원도,답변완료
강릉 마스코트 범이와 곰이에 대한 상품 제안입니다.,"현황 및 문제점
안녕하세요.
저는 현재 '이연'이라는 필명으로 만화작가로 활동하고 있으며, 캐릭터 및 기획, 제작 등에 참여 또한 하며
활동하고 있습니다.

강릉 여행에 대한 아쉬움 및 많은 후기들을 보며 들었던 생각에 대해 제안을 드리고자 합니다.

이전 평창올림픽으로 인해 수호랑과 반다비가 많은 국민들과 외국인들에게 인기있는 캐릭터로
자리했습니다. 평창 올림픽 당시 관련 상품을 구매하지 못했던 사람들이 아쉬워 할 정도로
현재도 두 캐릭터는 남녀노소에게 많은 사랑을 받고 있습니다.


현재 강릉 관광을 하며 접할 수 있는 관련 상품들이 대부분 키링이나 인형 등 일상용 제품이지만
가격이 저렴하지도 실제 많은 사용은 이루어지지 않는 제품들로 이루어져 있음에
조금 더 다양함을 추구하고 쉽게 구매할 수 있는 홍보 및 상품성을 갖추었으면 하는 바람이 있습니다.

기본적으로 지역 상품은 애정이 있지 않으면 쉽사리 구매하지 않는 성향이 있습니다.
이에 누구나 익숙한 상품으로, 재미를 주는 상품으로 새로운 상품 구성을 고민해보는 것을 제안합니다.
개선방안
일본의 많은 지자체에서 행해왔던 방식이며, 현재 인천 서구에서도 시행한 제품 아이템입니다.

일본에서는 '쿠마몬'이라는 지역 캐릭터를, 인천 서구에서는 '서동이, 동동이' 라는 캐릭터를
프라모델로 제작하여 판매하고 있습니다.
모든 상품은 좋은 반응을 얻고 있으며 판매 및 홍보에도 좋은 효과를 거두고 있습니다.

이에 평창올림픽 마스코트에서 이어져 온 캐릭터라는 큰 의미를 지니고 있는 범이와 곰이 또한
새로운 프라모델이라는 상품 개발과 판매로 국민들, 관광객들에게 좋은 이미지로 어필할 수 있으리라 봅니다.
기대효과
프라모델은, 남녀노소 모두가 가볍게 즐길 수 있는 상품으로 자리매김했습니다.
일본의 캐릭터도 그러하며, 카카오 캐릭터 프라모델들 또한 좋은 반응과 꾸준한 판매, 제품 생산이 이루어지고 있습니다.

적당한 사이즈의 프라모델은,
운전을 하는 경우 차 안의 장식용으로도 사용하는 경우도 많고, 집 안의 자잘한 장식용으로도 사용하는 경우가 많이 있습니다.
강릉의 많은 상업시설들에 이 프라모델의 전시가 이루어진다면 소소한 재미와 함께 홍보의 역할로도 매우 큰 역할을 할 수 있으며 구매욕구를 자극하는 좋은 매개체가 되리라 생각합니다.

'어디에서 온 관광객이든,
강릉에 여행을 가서 범이와 곰이의 프라모델을 사고,
저녁에 숙소에서 조립하고,
자신의 차에 장식하고 집으로 돌아가는 모습'

이것이 제가 생각하는 범이와 곰이의 프라모델로 얻을 수 있는 최고의 기대효과라고 생각합니다.

이 기대효과는 충분히 가능한, 이 후 여러가지의 콜라보, 시리즈 제품 제작이 가능하리라고 생각합니다.",2022-08-27,"1. 귀하께서 제안 해주신 범이&곰이 프라모델 상품개발에 대하여 우리 도 입장에서도 다양하고 인기 있는 상품개발이 필요하다고 판단됩니다.

2. 다만, 우리 도에서는 범이&곰이 상품 개발, 판매 등 직접적인 수익사업을 추진할 수 없어 공기관 협약으로 강원도경제진흥원에서 공모를 통해 도내 기업들이 범이&곰이를 활용한 상품 개발, 판매를 위한 수익사업을 추진할 수 있도록 지원하고 있는 상황입니다. 도 또는 경제진흥원에서 직접적인 상품 개발은 불가능 합니다.

3. 또한, 귀하의 프라모델 개발 제안에 대해서는 타 자치단체와 일반기업에서 이미 많이 활용하고 있는 사항으로 「국민 제안 규정, 제1조(목적) 불-충족(창의적인 의견이나 고안), 제2조(정의)제1항‘마’목의 단순 건의」에 해당하여 정식 제안 채택은 어려움을 말씀드립니다. 귀하의 소중한 의견은 강원 도내 기업들에게 전파하여 프라모델 개발에 대한 계획 또는 관심이 있는 기업이 상품화사업에 참여한다면 적극 협의, 지원하여 상품이 원활하게 진행될 수 있도록 추진하겠습니다. 감사합니다.

붙임 1. 국민제안신청서. 끝.",2022-09-06,강원도,답변완료
강릉바우길 반려견동반확대요청,"현황 및 문제점
바우길 3구간만 허가되어있는 반려견동반에관한 내용으로 반려견 중대형견에대한내용이 모호하며 특히 대형견제한조치는 맹견을 제외하곤 금지시키는이유가 타당치않음
또한,
다른구간에서도 반려견을 제한하는내용은 반려견인구1,500만으로 가고있는현재 시대에 역행하는 탁상행정사고라 생각됨
개선방안
1,바우길 모든구간 반려견동행은 2m리드줄과 배변봉투 에티켓을 지키는견주의 몫으로 소,중,대제한이 없어야함
2.모든구간에 상세 내용에 소,중,대형견에 적합한길인가를 적시해놓는 내용필요
3.모든구간 맹견제한되어야함
4.반려견에게 필요한아이템을 구비,또는판매
5.반려견시설,숙박,상업시설연계안내내용 적시
기대효과
#반려견인구는 앞으로 점점늘어나게 될것이며 또한 중,대형견을데리고 도시에서 뛰어놀수없는반려인의 마음을 강릉바우길 산책로로 유입시킬수있음
#반려견을위한 아이템과 숙박시설 상업시설등의 연계를 통해 활발한 지역상권을 기대할수있음",2022-08-25,"1. 안녕하세요? 귀하께서 국민신문고를 통해 제안하신 민원(강릉바우길 반려견동반 확대요청) 건에 대한 결과를 다음과 같이 알려드립니다.

2. “강릉바우길 모든 구간 반려견 동행은 견주의 몫으로 소형‧중형‧대형견 제한을 없애는 건”에 대한 의견은 바우길 구간은 모든 반려인뿐만아니라 비반려인들도 같이 공유하는 길이라 불특정 다수인이 이용하면서도 강릉 대표하는 길로서 모든 면을 고려하여 운영 초기 기준을 높게 잡고 펫구간을 지정 한 점에 대하여 사전에 귀하의 깊은 양해를 바라는 바입니다. 무엇보다 바우길 모든 구간 반려견 동행 확대 건은 참으로 좋은 의견이오나 아직 지역 여건상 건전한 반려동물 문화 정착단계이고 행정에 있어서 여력이 부족한 상태이므로 향후 확대 방안에 대하여 계속하여 행정력을 집중할 수 있도록 노력하겠습니다.

3.“이번 펫구간 운영에 있어서 상세 내용에 대한 소형‧중형‧대형견에 적합한 길인가를 적시해 놓은 내용” 건, 의견취합 및 사전 안내가 미흡함으로 반려견 동반 바우길 이용에 불편함이 있음을 죄송합니다. 배변 및 반려 에티켓에 관한 현장 안내문 기재는 구간별 휴게 쉼터 등 펫 구간 방문객들이 식별 용이 한 곳으로 안내판을 세워 알리고 있으며 추가적으로 동물보호법상 변경사항 등이 발생하면 적극 홍보토록 하겠습니다.

4. “강릉 바우길 모든 구간 맹견 제한 건”은 동물보호법상 맹견 출입금지 장소는 지정 공고 되어야 함으로 향후 법적 절차 가능 여부 및 주변 여건에 따라 시행 검토하도록 하겠습니다.

5. “반려견에게 필요한 아이템을 구비, 또는 판매” 건은 지역 내 반려동물 관련 산업 발전과 일자리 창출에 좋은 아이템이라 생각됩니다. 현재 전국 평균 반려동물 양육 가구비가 4가구 중 1가구이며 기존 반려견 월평균 양육비가 13만원, 반려동물 산업 규모는 3조 4천억원으로 추산 되는 새로운 블루오션 산업으로 자리잡을 것으로 기대하고 있습니다. 이를 위해 우리시도 발빠르게 반려동물 관련 사업체 유치 및 지역 대학교 반려동물 학과 등 개설 등 기존 인프라 구축에 사업에 적극 지원할 예정입니다.

6. “반려견 시설, 숙박, 상업시설 연계 안내 내용 적시” 건은 지역경제 활성화에 매우 도움이 되는 의견이겠습니다. 현재 우리 시는 지역을 방문하는 내방 객들에 대한 숙박 및 식음료 확충 사업을 실시하고 있고 일정 참여 업소가 확보되면 내년부터 펫구간과 연계하여 적극 홍보 함으로 펫 관련 관광산업 발전에 기여코자 노력하겠습니다.

7. 끝으로 지역 경제 및 관광 활성화 측면에서 홍보부족 사항에 대한 귀하의 고견에 거듭 감사드리며 현재 운영 중인 펫구간에 대하여 저희가 간과하기 쉬운 관리 및 홍보사항을 강화하여 이후 강릉바우길 사이트(www.baugil.org) 및 시 홈페이지 상 온라인 등으로 자세한 사항을 알리도록 힘쓰겠습니다.

8. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 제안 내용 대한 추가 설명이 필요한 경우 강릉시 동물정책과 동물보호담당 홍의천(☏033-640-5576)에게 연락 주시면 친절히 안내해 드리도록 하겠습니다. 다시금 지역발전과 성숙한 반려동물 문화 정착에 항시 관심 가지고 염려해주신 귀하께 감사드립니다. 끝.",2022-09-26,강릉시,답변완료
청원의글 송부,"현황 및 문제점
소고하십니다.
첨부내용과 함께 청원하오니
참고바랍니다.
개선방안
첨부참고
기대효과
첨부참고",2022-08-25,"1. 시정발전을 위한 귀하의 관심과 고견에 깊은 감사를 드립니다.

2. 귀하께서 제안하신 주문진 바다의 갈매기바위 복원에 대하여 아래와 같이 답변 드리겠습니다.

○ 우리 시는 공유수면 관리청으로 바다의 인공구조물 및 시설물 조성에 관련하여 공유수면 점용‧사용 허가 및 관리를 하고 있습니다.

○ 귀하께서 제안해주신 갈매기바위의 복원사항과 관련하여 해당되는 바다가 마을어장이므로 관련어촌계 및 주민들과의 협의 등 중장기적으로 검토해야 할 사항으로 판단됩니다.

○ 향후, 청정 동해안의 관광유치를 위한 바위 복원에 대한 귀하의 고견에 다시 한번 깊은 감사의 말씀을 드리며, 귀 가정의 평안을 기원합니다.

3. 강릉시정에 관심을 가져주신 귀하께 다시 한번 감사드리며, 기타 궁금한 사항이 있으실 경우 강릉시 해양수산과(☏033-640-5199)로 전화 주시면 성심껏 답변 드리겠습니다.

붙임 국민제안신청서 1부. 끝.",2022-09-28,강릉시,답변완료
수중 관광 시설,"현황 및 문제점
강원도 해양 관광이 물 밖 관광이 대부분이다.
개선방안
스쿠버 다이빙을 안해도 물속을 구경 할 수 있는 투명한 재질로 만들어진 수중 관광 시설을 개발하여 해변 근처에 설치하여 수중 관광을 한다.
기대효과
전례 없는 관광 시설로 세계 명소가 되어 강원도 관광 수익이 증대된다.",2022-08-24,"국민신문고 국민제안으로 접수된 민원에 대하여 아래와 같이 회신하고자 합니다.

□ 제안개요
❍ 제 안 자 : 이 희 준
❍ 제안요지 : 강원도 해양관광이 물 밖 관광이 대부분, 스쿠버 다이빙을 안해도
물속을 구경할 수 있는 투명한 재질로 만들어진 수중 관광 시설 설치로
도내 관광 명소 확보.
□ 채택여부 : 불채택
□ 불채택사유 : 시행중, 중장기검토 필요
□ 검토의견 : 붙임파일 참조.


붙임 : 1. 국민제안 신청서 1부.
2. 국민제안 채택 결과 통보 1부. 끝.",2022-09-23,강원도,답변완료
"양양 유명 해변가에 설치된 공용샤워장, 발씻는 장소 등 의 운영기간을 늘려주었으면 합니다.","현황 및 문제점
여름이 생각보다 매우 깁니다. 서울 경기권이 좀 춥거나 날씨가 안좋아지면, 고성 양양 속초 동해 쪽은 날씨가 매우 화창합니다. 따듯하구요.
그로인해 바다에 들어가기도 합니다. 허나 들어갔다 나와서가 문제입니다. 적어도 발씻을때가 전무합니다.
그런 곳이 잇다해도 폐장 한지라, 꽁꽁 잠궈놧습니다.
발씻는 수도꼭지조차도..

그래서 아쉬운대로 공용화장실가서 손이라도 씻을라치면, 해당 화장실 관리하는 분들이 제재를합니다.
발에 모래가 너무 많다고..
못들어가게합니다. 그건 이해할수잇습니다. 일처리가 많아지고 복잡해지니까.
허나 저희같은 사람들도 불편합니다.

동해 바다를 사랑하고 거기서도 양양을 매우 좋아해서 한해에 한달에 한두번씩 방문하는 입장에서는 매우 아쉽습니다.
개선방안
사람들이 적어도 많이 몰리는 지역 해변에, 발씻는 곳이라도 운영 하거나 설치해주셧으면 합니다.
공식 폐장 이 되엇다고해도 말이죠.

그전에 공식 개장 기간을 조금 늘려주엇으면합니다.

코로나로 인한 비대면 시기에 동해 바다 거기서도 가까워진 양양은 최적의 힐링 장소입니다.
기대효과
더 많은 관광객이 몰릴겁니다. 그로인해 꼭 여름만 장사하는 기대하는 상인들 에게도, 함박웃음이 꽃피울겁니다.
모두가 즐거워지겠죠.
손님이든 지역원주민이든..",2022-08-22,"국민신문고를 통해 접수된 국민제안1AB-2208-0018693/2AB-2208-0014108)건에
대하여 다음과 같이 답변하고자 합니다.

1. 제안구분 : 국민제안
2. 신청일/처리기한 : 2022.8.30./ 2022.9.29.
3. 통보방식 : 전자우편, 누리집(홈페이지)
4. 채택여부 : 불채택
-관리에 어려움이 많음
5. 답변내용
- 우리군 해수욕장 운영에 관심을 갖고 제안에 참여해 주셔서 감사드립니다. 귀하의 제안내용은 해변가에 설치된, 공용사워장, 발씻는장소의 운영기간 연장으로 이해 됩니다.

- 제안하신 민원인의 의견에 공감합니다.
해수욕장 관리· 운영 업무를 해수욕장운영기간에는 마을에서 위탁하여 운영하고
있으며, 샤워장이나 세족장을 관리하고 있습니다. 그러나 해수욕장 기간이 끝나면
관리하는 사람이 없으므로 폐쇄를 하고 있습니다. 세족장의 경우 수도꼭지 고장이나 훼손 등으로 관리에 어려움이 많아 폐쇄 조치하고 있음을 알려드리며, 낙산해수욕장은 9월까지 사용이 가능합니다.

- 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명 이 필요한 경우 양양군 관광과 해수욕장운영부서(033-670-2787)로 연락 주시면 안내해 드리도록 하겠습니다.",2022-09-01,양양군,답변완료
춘천 자전거도로 모닝터링단 운영 제안,"현황 및 문제점
춘천에 자전거도로가 많이 거설되어 운영되고 있어 많은 사람들이 찾고 즐겨합니다.

도로가 오래되거나
장마나 태풍등 여러가지 게절적 요인으로 인하여
파손되고 보수할부분들이 참으로 많아집니다.

이에 자전거 모닝터링단 운영하여 파손되고 문제가 되는 분들을 신속하게 모니터링하고 보수하여 안전한 자전거도로 운영이 되었으면 합니다.
개선방안
1. 자건거도로 모니터링단 운영
2. 춘천지역 거주자 및 인근 지역 거주자
기대효과
1.모니터링단 운영으로 안전한 운영에 기여
2.자전거족들에게 쾌적한 여행되도록 운영
3.주민들의 안전한 건강생활유지에 기여",2022-08-14,"1. 시정발전에 관심을 가져주시는 귀하께 감사드립니다.
2. 이전 제안에 답변 드린 바와 같이, 현재 시에서는 자전거길 친환경 시설관리단 8명을 채용하여 자전거도로의 시설물 점검, 제초 및 환경정화 작업 등을 시행하고 있습니다.
3. 또한, 자전거길을 이용하는 보행자나 라이더들이 ‘국민신문고’ 및 ‘춘천시에 바란다’ 등의 민원접수를 통해 수시로 불편사항 및 건의사항에 대한 제보를 주시고 있으며, 이에 우리시에서는 현장 확인을 통해 자전거도로 시설물을 유지·보수하고 있으나, 일시에 모든 시설물을 관리하기에는 유지·보수 인력 및 예산 상 어려움이 많음을 양해하여 주시기 바랍니다.
4. 따라서, 시에서는 매년 점진적으로 자전거도로 관련 유지·보수 예산을 늘려 자전거 관련 시설물 관리에 만전을 기하겠으며, 안전하고 쾌적하게 우리시 자전거도로를 이용할 수 있도록 노력하겠습니다.
5. 기타 자전거도로 관련 궁금하신 사항은 도로과 보행자전거팀(☏033-250-4271)으로 문의하여 주시면 성실히 답변드리겠습니다. 감사합니다. 끝.",2022-11-08,춘천시,답변완료
강원fc 축구 전용구장 적극 유치,"현황 및 문제점
- 구도 축구도시라는 강릉의 명성은 역사의 한 페이지 일뿐, 출향인들이 느끼는 관심도는 거의 열기가 식어가는 느낌이며,
- 우선, 전, 현시장의 관심도가 매우 낮다는 평가이며,
- 현실적으로 강원fc 강릉 경기와 춘천 경기를 비교해보면 관중수에서 춘천경기가 더 우세하며, 참여를 유도하기 위한 홍보도 춘천이 더 관심이 많은 것으로 평가됨.
- 현재, 오렌지하우스는 강릉에 있지만 춘천에 전용구장이 생긴다면 오렌지하우스도 춘천으로 당연히 이전해야 된다고 생각됨
- 프로팀이 주 연고지로 춘천으로 옮겨지면 초, 중, 고 축구를 육성하는 강릉의 학교들이 당연히 열의가 식을꺼라 예상도 되구요
- 어느 한부분이지만 강릉의 뭉친 힘의 한 특성도 사라지겠지요~
개선방안
- 시장님이 관심을 가지시고
- 시민에게 이러한 사실릉 홍보하여 강원fc 경기에 많은 참여를 유도하고
- 강원 fc 관계자와의 밀접한 접촉, 도지사에게 구도 강릉의 역사를 충분히 어필해 주시고
- 전용구장을 위한 장소도 물색하여 제안해 주실것을 부탁드립니다.
* 이것은 다른 시책으로 강릉을 발전시키는 것보다 훨씬 우선적인 강릉인의 자존심인 사안입니다
전용구장 설치 결정이 된후에 이런저런 얘기하지 나오지 않게 시장님, 공무원들의 관심 부탁드립니다.
기대효과
축구 구도 강릉인라는 역사적인 전통성과 강릉인의 자존심, 지역경제를 살리는 한 축잉.",2022-08-12,"1. 강릉시의 축구산업 발전을 위해 의견주심에 감사드립니다.

2. 귀하께서 의견주신 강원FC 축구전용구장 적극 유치건에 대하여 말씀드립니다.

3. 모두가 알고 있듯, 강원FC는 강릉 오렌지하우스, 전용훈련장, 홈경기장 지원, 시민분들의 주주활동 등 강릉시민의 열망과 적극적인 지원으로 강릉에서 시작되었습니다. 당연히 시작점인 강릉에서 다시 한번 강원도, 강릉의 축구 붐이 일어나야 될 것입니다.
초, 중, 고, 대, 실업팀으로 이어지는 계열화 구축, 강릉시민축구단 설립을 통한 유소년팀 운영, K3리그 참여, 축구클럽간의 교류 활성화 등 축구산업 기반 조성, 강원FC 홈경기 전경기 강릉 개최를 통하여 전용구장 유치의 기반을 마련하고자 합니다.

4. 또한, 의견주신 개선방안과 관련하여 강원FC와의 적극적 협상, 전용구장 장소 선정은 검토 시행중 사항으로 부득이 제안 불채택하게 된 점, 전용구장 장소는 현재 외부공개는 어려운 사항인 점을 양해하여 주시기 바랍니다. 축구에 대한 시민분들의 사랑에 보답하기 위하여 전용구장 유치를 위한 최선의 노력을 하겠습니다.

5. 만족스러운 답변이 되었기를 바라며, 의견 있으신 경우 강릉시청 체육과(033-640-5991, 5992)로 연락주시기 바랍니다. 감사합니다. 끝.",2022-09-14,강릉시,답변완료
지역서점 책값반환제 실시 요청,"현황 및 문제점
도서관에서 책 대출시 신간이 늦게 들어와 바로 읽을수 없다는 점과

서점에서 책 구입시 책가격에 부담이 커서 읽고 싶은 책을 맘컷 읽기 어려움
개선방안
춘천시립도서관에 정회원으로 가입한 후 1인당 한달에 2권까지 서점에서 책을 산 뒤 21일 이내 해당 서점에

반납을 하면 책값을 돌려주고 시립도서관에서는 반환된 책을 사들여 도서관에 재비치해서 다시 시민들에게 대출하는 제도임
기대효과
책값을 돌려받을 수 있는 데다 시립도서관에 신간이 들어올 때까지 기다리지 않고 서점에서 사서 읽을 수 있다는 것이다.",2022-08-09,"국민신문고로 들어온 제안에 대해 아래와 같이 답변을 하고자 합니다.

1. 신청번호: 1AB-2208-0008628
2. 접수번호: 2AB-2209-0002911
3. 접 수 일: 2022. 09. 07.
4. 답변내용

1. 춘천시를 향한 귀하의 열정과 관심에 깊은 감사의 말씀 드립니다. '지역서점 책값반환제 실시 요청' 제안에 대하여 다음과 같이 회신하여 드립니다.

2. 귀하께서는 지역서점 책값반환제를 실시하자는 내용으로 제안해주셨습니다.

3. 귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다.
가. 춘천시립공공도서관에서는 이용자가 서점에서 책을 대출·반납하고, 도서관이 서점에 반납된 책을 구입하여 도서관에 비치하는 '희망도서 바로대출'서비스를 2018년부터 시행하고 있습니다.
나. '희망도서 바로대출' 서비스는 춘천시립공공도서관에 정회원으로 가입한 후 1인당 한 달 3권까지 서점에서 책을 대출한 뒤, 14일 이내 해당 서점에 반납하고, 도서관에서는 해당 도서를 납품바당 지역 서점의 활성화에 기여하는 서비스입니다.
다. 이에 따라 기 사업비 투자로 시스템이 구축되어 안정되게 운영하고 있는 '희망도서 바로대출' 서비스를 적극 홍보하고 현재 참여 서점들의 의견수렴을 거쳐 지속적인 발전 방안을 모색하는 것이 옳다고 판단됩니다.

4. 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 이밖에 문의사항은 춘천시 시립도서관 정보팀 김은지(033-245-5113)에게 연락주시기 바랍니다.


붙임 국민제안신청서 1부. 끝.",2022-09-26,춘천시,답변완료
"[INDUSTRY]DONHAE DRINKING-WATERS, and beverage. ※관광지대 활용 및 사각지대 ZERO 《모집공고문》투자비 개발비 관리비용 관리용역 및 인재 육성과 동해시 발전을 목적으로 하는 강원도 시군구 행정자치구","현황 및 문제점
[INDUSTRY]DONHAE DRINKING-WATERS, and beverage.

※관광지대 활용 및 사각지대 ZERO

《모집공고문》투자비 개발비 관리비용 관리용역 및 인재 육성과 동해시 발전을 목적으로 하는 강원도 시군구 행정자치구역을 모집합니다.

[사업개요 및 목적과 지시사항들etc.]동해시 해양심층수 및 천연동굴과 무릉계곡지 등을 활용한 생수산업 개발 착수해주십쇼.

특이사항. 미네랄 워터, 공모전, 브랜드생성, 위원회 개최, 연계연락망 조직도 생성, 투자유치개발금 공정의탁 홍보 및 국가교육기관을 통한 초,중,고 홍보 및 인력개발연계임시위원회및프로그램 착수, 동해시자치위원회 홍보 및 활동비 지원, 종교기관을 통한 홍보 및 인력개발을 위한 위원회 홍보, 법적효력을 위한 법률적인 검토와 승인 etc. 추가적인 리포트는 추후 수정 및 추가 예정.
개선방안
[INDUSTRY]DONHAE DRINKING-WATERS, and beverage.

※관광지대 활용 및 사각지대 ZERO

《모집공고문》투자비 개발비 관리비용 관리용역 및 인재 육성과 동해시 발전을 목적으로 하는 강원도 시군구 행정자치구역을 모집합니다.

[사업개요 및 목적과 지시사항들etc.]동해시 해양심층수 및 천연동굴과 무릉계곡지 등을 활용한 생수산업 개발 착수해주십쇼.

특이사항. 미네랄 워터, 공모전, 브랜드생성, 위원회 개최, 연계연락망 조직도 생성, 투자유치개발금 공정의탁 홍보 및 국가교육기관을 통한 초,중,고 홍보 및 인력개발연계임시위원회및프로그램 착수, 동해시자치위원회 홍보 및 활동비 지원, 종교기관을 통한 홍보 및 인력개발을 위한 위원회 홍보, 법적효력을 위한 법률적인 검토와 승인 etc. 추가적인 리포트는 추후 수정 및 추가 예정.
기대효과
[INDUSTRY]DONHAE DRINKING-WATERS, and beverage.

※관광지대 활용 및 사각지대 ZERO

《모집공고문》투자비 개발비 관리비용 관리용역 및 인재 육성과 동해시 발전을 목적으로 하는 강원도 시군구 행정자치구역을 모집합니다.

[사업개요 및 목적과 지시사항들etc.]동해시 해양심층수 및 천연동굴과 무릉계곡지 등을 활용한 생수산업 개발 착수해주십쇼.

특이사항. 미네랄 워터, 공모전, 브랜드생성, 위원회 개최, 연계연락망 조직도 생성, 투자유치개발금 공정의탁 홍보 및 국가교육기관을 통한 초,중,고 홍보 및 인력개발연계임시위원회및프로그램 착수, 동해시자치위원회 홍보 및 활동비 지원, 종교기관을 통한 홍보 및 인력개발을 위한 위원회 홍보, 법적효력을 위한 법률적인 검토와 승인 etc. 추가적인 리포트는 추후 수정 및 추가 예정.",2022-08-03,"1. 안녕하십니까, 군정발전을 위한 귀하의 제안에 감사의 말씀 전합니다.

2. 귀하의 제안은 관광지대 활용 및 사각지대 ZERO 를 위한 생수산업 개발에 따른 모집 공고문'으로 판단됩니다.

3. 우리군은 해양침층수 및 천연동굴이 없으며, 수도법 제7조의2에 의거 한강상류 지역에 따른 각종 공장시설 건립의 제한이 있습니다. 이에 따라 귀하의 제한이 채택되지 않음을 안내드리며,

4. 기타 문의사항이 있으신 경우 033-480-2123으로 연락주시면 답변드리도록 하겠습니다.

5. 다시한번 귀하의 제안에 감사 말씀 드립니다.",2022-09-06,양구군,답변완료
