제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
교통신호등에 차선 방향 지시 표지판 설치 건의,"현황 및 문제점
대구시 수성구 상동 상동교와 신천 동로가 만나는 사거리에 (신천동로와 상화로가 만나는 사거리) ( 수성구 신천동로 106 번지) 신호등에 차선 방향 지시 표지판을 설치 해 주십시오 .
파동 방면에서 중동교 쪽으로 진행 중 도로에 표시된 차선 표지는 일차로 좌회전, 이차로 좌회전 및 직진 허용으로 되어 있습니다. 그러나 교통 정체시 바닥의 차선 표시를 볼수가 없는 경우가 많고, 위에서 언급한 사거리 신호등에서는 차선 표시가 없어서 초행길인 차들이 일차로에서 직진을 시도 하여 사고 위험이 높습니다.
교통신호등에 차선 구분 및 차선 지시를 하는 표시판(일차로 좌회전, 이차로 직진 및 좌회전)을 달아 주면 사고를 예방할수 있습니다.
개선방안
수성구 상동 상동교와 신천동로가 만나는 사거리에 교통신호등에 차선 구분 및 차선 지시를 하는 표시판을 달아 주면 사고를 예방할수 있습니다.
기대효과
교통사고 예방",2021-10-06,,,수성구,제안심사
아이들을 행복하게 해줄 아동케어센터를 제안합니다.,"현황 및 문제점
아동학대를 당한 피해 아동들의 심리적인 문제와 돌봐줄 사람이 없는 아이들을 보호할 필요성이 있습니다. 아동학대 문제가 2001년 부터 매년 증가하고 있으며 어떤 상황과 시대가 닥치더라도 아이들을 보호 할 수 있는 사회적 안전망을 빨리 구축해야합니다.
개선방안
지역에 여러 아동종합케어센터를 설치하여 심리치료나 숙식제공 등 아동들을 위한 복지를 확대한다.
피해아동을 보호하고 지원하는 정책적 노력을 들인다.
기대효과
아동학대나 폭력을 줄이는 기반을 마련하고 사람들에게 아동학대의 심각성을 상기시킬 수 있을 것입니다. 피해 아동들에게 안정감을 주고 심리치료를 제공하는 공간을 제공해 줄 수 있을 것입니다.",2021-10-05,"1. 제안신청 개요
가. 신청인 : 이◌◌
나. 신청일(신청번호) : 2021. 10. 6.
다. 제안제목 : 아이들을 행복하게 해줄 아동케어센터를 제안합니다.
라. 제안내용 : 아동학대 증가에 따라 학대피해아동의 심리치료나 숙식제공을 위한 아동종합케어센터를 설치

2. 검토의견 : 불채택 (*사유 : 유사사업 시행중)
가. 답변내용
○ 안녕하십니까? 아이들의 건강한 성장을 위해 관심 기울여 주셔서 감사드립니다.
○ 귀하께서 제안하신「아동케어센터 설치」에 대해 검토 결과를 답변드리겠습니다.
○ 아동학대에 대한 사회적 관심이 높아진 가운데, 포용국가 아동정책에 따라 아동학대 발생에 적극대응하고 아동을 보호하기 위한 ‘아동학대 대응체계 공공화’를 지난 11월 1일부터 대구 전지역에서 실시되고 있었습니다.
○ 그 동안 아동보호전문기관에서 경찰의 협조를 받아 아동학대 조사 및 피해아동 심리지원을 전담하던 것을, 아동학대전담공무원을 배치하여 아동학대 의심신고에 대해 경찰과 함께 공동대처하고, 아동보호전문기관은 학대피해 아동과 그 가족에 대해 심리치료를 강화하고 사례관리를 전문화하도록 하였습니다.
○ 또한, 보호분리된 아동은 일시보호시설과 학대피해아동쉼터에서 안전하게 보호하고 이들의 정상적인 가정복귀와 재발방지를 위해 가정복귀프로그램을 의무화하는 등 아동학대 적극대응과 방지를 위해 노력하고 있습니다.
○ 앞으로도 시정에 많은 관심을 가져주시기 바라며, 기타 문의사항이 있으시면 대구광역시 청소년과(담당자 강재국 ☎053-803-5892)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다.

붙임 : 국민제안신청서 1부. 끝.",2021-11-23,대구광역시,답변완료
대구시 북구 국우동 호국로 램프구간 준공 시기를 당겨야합니다,"현황 및 문제점
초기안은 24년 완공이었습니다.
지금 현재 27년 완공이 목표라고 들었습니다.
대략 7년을 공사길이면
새아파트 단지에서 산책도 하고 운동도 하고
아이들은 학교도 가고 학원도 가고 해야 하는데.
공사차량이 그렇게 다녀 걱정입니다.
편안하고 공기좋은 쉴 수 있는 우리집이어야 합니다.
안전하게 살수있는 도남지구가 되길 원합니다.

최대한 빠른기일내 준공 부탁합니다.
개선방안
이미지를 참조 부탁드립니다.
기대효과
쾌적한 교통",2021-10-02,"1. 평소 시정업무에 많은 관심을 가져주신데 대하여 감사드립니다.
2. 귀하께서 제안한 '조야~동명 광역도로 건설사업 조기 준공'관련 건에 대하여 아래와 같이 답변 드립니다.
가. 우리 시에서는 대구 북구와 경북 칠곡·군위를 연결하는 광역도로망 구축을 통한 교통 정체 완화, 물류비용 절감을 목적으로 조야~동명 광역도로 건설사업을 추진하고 있습니다.
나. 본 사업은 현재 기본 및 실시설계를 진행 중으로 2022년 설계를 완료할 예정이며, 2023년부터 토지보상 및 공사를 추진하여 2027년 공사 준공을 목표로 하고 있습니다.
다. 본 사업의 예비타당성조사 시에는 사업완료를 2024년으로 계획하였으나, 추진과정에서 예산확보 및 설계·보상·공사 소요기간 등을 감안하여 계획연도가 2027년으로 변경된 점에 대하여 양해를 구하며, 목표연도에는 사업을 완료 할 수 있도록 노력하겠습니다.
3. 상기 답변내용에 대한 추가 설명이 필요한 경우 김성수 주무관(053-803-8081)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.",2022-01-27,대구광역시,답변완료
대구야구장옆 공터 활용 방안,"현황 및 문제점
파크골프 이용 인구의 급증하고 있으나 수성구내파크골프장이 적어 이용에 어려움이 많음. 특히 시지,만촌지역민들이 사용 가능한곳이 없어 팔현공원에 몰리고 있음
개선방안
대구야구경기장옆 주차장 부지가 공터로 남아 있으므로 파크골프장으로 조성
기대효과
야구경기가 저녁에 진행되므로 낮시간에 운영하면 수성구 파크골프 이용 구민들의 팔현마을 집중을 완화할수 있음. 야구경기가 없는 날에는 주차장도 활용할수 있고 필요시 통행이 없는 도로도 주차장으로 활용가능함",2021-09-22,"○ 먼저, 시정발전과 체육시설 활성화에 관한 소중한 제안에 깊이 감사드리며, 귀하께서 제안하신 “대구야구장옆 공터 파크골프장으로 활용 ”에 관한 검토 결과를 아래와 같이 답변 드립니다.

○ 제안하신 부지(대구광역시 수성구 삼덕동 865번지 일원)는 대구야구장 건립 사업으로 조성된 삼성라이온즈파크(야구장 및 부대시설 등 전체 시설명) 내 공원부지입니다.

○ 대구야구장 건립 사업은 개발제한구역을 해제하여 추진한 사업으로, 개발제한구역 해제 및 대구야구장 건립을 위한 절차로 중앙도시계획위원회를 열어 심의결과를 반영하였습니다.
중앙도시계획위원회 심의결과, 녹지축을 절대 훼손하지 말고 항구적으로 유지,보전하기 위해 남측 주차장 앞 공원부지(제안 대상지)를 추가로 확보한 공간으로 다른 시설 설치는 어려울 것으로 판단되어 본 제안을 불채택하고자 합니다.

○ 앞으로도 시정에 많은 관심을 부탁드리며, 귀하의 건강과 가정의 행복을 기원 드립니다. 감사합니다.",2021-10-29,대구광역시,답변완료
코로나 방역대응,"현황 및 문제점
샛터어린이공원 및 gs25편의점 야간취식및 고성에 대한 민원제기. 코로나 발생후 1년이지나도 주기적인 방역대책무시한 무질서한 행태에 대해 아무런 조치가 이루어지지않아 제보합니다.
인원제한, 편의점외부테라스 취식금지 아무런 조치가 이루어지지않고있습니다.
경찰차량이 지나가도 조치가없어 날이갈수록 위반사항이 끊이지않고 있습니다.
개선방안
지자체 확인후 추후조치가 필요합니다.
기대효과
주위 유흥업소의 영업제한으로 영업시간외 공원및 편의점으로 유입인원 차단효과 및 방역대책 수립.
지역특생상 조폭및 양아치의 위압감요소감소
지자체 신고의 어려움",2021-09-19,"1. 먼저 코로나19 확산 예방을 위하여 적극 협조해 주신 데 대하여 진심으로 감사드립니다.
2. 귀하께서 요청하신 공원 등에서 야간소음 및 방역수칙 위반 단속 건에 대하여 다음과 같이 답변 드리겠습니다.

가. 현재 단계적 일상회복을 위한 거리두기 개편을 진행 중이며 11월 초부터 시행할 경우 식당 및 유흥시설 등에 대한 운영시간 제한이 완화됨에 따라 공원 등 야간취식 및 음주에 따른 민원도 점차 해결될 것으로 보고 있습니다.

나.「도시공원 및 녹지 등에 관한 법률」제49조(도시공원 등에서의 금지행위) 및 [대구시 사회적 거리두기]에 따라 현수막 게시 및 상시 순찰을 강화하여 공원 및 편의점에서의 이용함에 불편함이 없도록 집중 점검 및 계도하겠습니다.

3. 앞으로도 시정에 많은 관심을 갖고 귀한 의견 주시기 바라며, 기타 문의사항이 있으시면 사회재난과(담당 정규복☎053-803-3114)로 전화주시면 성심껏 답변 드리겠습니다.",2021-10-26,대구광역시,답변완료
골목길 일방 통행 제도 실시 제안,"현황 및 문제점
안녕하세요,
대구광역시 수성구에 거주하는 주민입니다.
이면 도로에 차가 두대 다닐 수 있는데, 인근에 주차 환경이 용이치 않아 길 한쪽엔 주차된 차량이 많습니다.
이는 거주 환경을 보면 어쩔 수 없는 상황으로 이해 됩니다.

다만, 아침과 저녁에 차량이 반대방향에서 올경우 이러지도 못하고 저러지도 못하는 상황이 종종 발생되며
이때마다 서로 클락션을 울리고 해서 소음 피해가 큽니다.
개선방안
다음 사항을 제안 합니다.
수성구 청호로 88길 '범어라온프라이빗2차 아파트'와 '영빌라' 사이의 길을 일방통행으로 만들어
차들이 문제 없이 소통될 수 있도록 교통 정책을 추진해 주길 제안 합니다.
또한 이 블럭 유사한 문제들이 많은데 일방통행을 도입하여 문제를 해결해 주시기 바랍니다.
기대효과
불필요한 주민/운전자간 마찰, 교통 사고, 클락션 소음 방지 등 예방 효과가 클 것으로 생각됩니다.",2021-09-17,"1. 먼저 코로나19 확산 예방을 위하여 적극 협조해 주신 데 대하여 진심으로 감사드립니다.
2. 귀하께서 요청하신 공원 등에서 야간소음 및 방역수칙 위반 단속 건에 대하여 다음과 같이 답변 드리겠습니다.

가. 현재 단계적 일상회복을 위한 거리두기 개편을 진행 중이며 11월 초부터 시행할 경우 식당 및 유흥시설 등에 대한 운영시간 제한이 완화됨에 따라 공원 등 야간취식 및 음주에 따른 민원도 점차 해결될 것으로 보고 있습니다.

나.「도시공원 및 녹지 등에 관한 법률」제49조(도시공원 등에서의 금지행위) 및 [대구시 사회적 거리두기]에 따라 현수막 게시 및 상시 순찰을 강화하여 공원 및 편의점에서의 이용함에 불편함이 없도록 집중 점검 및 계도하겠습니다.

3. 앞으로도 시정에 많은 관심을 갖고 귀한 의견 주시기 바라며, 기타 문의사항이 있으시면 사회재난과(담당 정규복☎053-803-3114)로 전화주시면 성심껏 답변 드리겠습니다.",심사 중,수성구,제안심사
대구시 정책제안 아이디어의 새로운 항목 신설,"현황 및 문제점
시민들로부터 새로운 정책 제안의 아이디어 항목 외에
대구시에서 미래에 추진 예정인 정책을 안내해 이에 대한 세부적인 아이디어를 받는 항목도 추가 신설
민관협력의 제안항목으로 추가
개선방안
대구시에서 미래 진행 예정 사업을 시민들에게 사전에 소개함은 물론
미래 사업에 대한 시민들의 세부 아이디어 및 공감, 실효성등을 같이 검토해보고 아이디어를 모으는 항목 부분 추가함
기존에 없는 새로운 항목의 신설 아이디어를 시민들로부터 받는 것도 좋지만,
익년도 및 그 이후년도인 미래에 시행예정인 사업들에 대한 정책을 시민들에게 알려드리고
이에 대한 세부사업의 아이디어를 받고 함께 토의해 보는 미래사업 세부 아이디어 정책제안 코너를 별도로 신설함
정부 추진사업 예정에 대한 세부아이디어등을 시민들로부터 많이 받아볼수 있음
그리고 그 정책 추진에 대한 다양한 애기등을 시민들로부터 들어 볼수있는 자리가 됨
미래사업을 시민들과 함께 사전에 논의하고, 세부의견, 검증, 공감을 모음(기밀등에 해당하는 안건등은 제외함)
기대효과
시민이 새로운 정책을 제안하는 것도 계속 추진하면서
이외에도 하나의 항목을 더 추가하여
대구시가 추진예정인 미래사업에 대한 세부아이디어등을 받는 항목도 추가 신설함
대구시의 미래정책도 소개하여 사전에 시민들로부터 공감, 검증을 받을수 있으며,
이에 대한 다양한 목소리 청취 및 세부사업에 대한 아이디어등을 받아 민관협력의 사업추진에 기여
대구시의 정책제안의 새로운 영역 신설 및 추가. 새로운 제안영역 발굴에 기여",2021-09-13,"○ 안녕 하십니까 먼저 국민제안 발전을 위하여 고견을 주신데 대하여 감사드립니다.
○ 귀하의 ‘대구시 정책제안 아이디어의 새로운 항목 신설’ 제안에 대해 답변 드리겠습니다.
○ 제안하신 내용은 대구시에서 추진 예정인 미래 사업에 대한 정책을 시민들에게 알리고 세부사업에 대한
아이디어를 받을 수 있는 코너를 별도로 신설하자는 의견으로 보여 집니다.
○ 우리시는 현재 대구의 도시발전 및 시민생활과 직결되는 주요 정책에 대해서는 기본 계획수립의 입안단계부터
실시계획의 수립에 이르기까지 관련 규정의 절차에 따라 다양한 시민의 의견을 수렴하여 추진하고 있습니다.
○ 아울러 확정된 주요사업에 대해서도 온·오프라인을 통해 시민홍보를 강화하고 시민의견을 수렴하기 위해
노력하고 있음을 알려드립니다.
○ 앞으로도 대구시정에 많은 관심을 갖고 귀한 의견 주시기 바라며, 기타 문의사항이 있으실 경우
소통민원과(☎803-2934)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다.",2021-11-19,대구광역시,답변완료
대구 씨티투어를 친환경 탄소중립 버스로 제작,"현황 및 문제점
탄소중립의 중요성 부각
시민들에게 탄소중립의 교육이 필요
대구가 탄소중립 선도도시로 나아감
대구에서 공적인것 부터 탄소중립의 실천에 앞장
개선방안
대구 씨티투어 버스를 친환경 탄소중립 버스로 제작 및 운영
먼저 씨티투어 전체를 전기차로 함
그리고 씨투투어 위에는 태양광을 설치하여 태양광으로 축적된 에너지로 에어콘도 가동함
부족할경우 전기에너지 사용함.
그리고 버스내부에 자원재활용을 활용하여 만든 제품등을 벽면에 장식으로 전시해 둠
리싸이클 재활용 제품들임
씨티투어 외에 근대화 골목 차량, 및 각 구에 여러 공적인 시민 탑승 체험 차량등을 탄소중립 실천 및 교육등을 위한 것으로 제작, 개조함
추후 예산상황을 고려하여 점진적으로 고려해 나감
그리고 버스안에 여러 재활용 교육자료등도 비치, 투어 하기전에 탄소중립교육등도 실시
그리고 시민들이 버스안에서 먹은 물병, 비닐 과자, 빵봉지등도 분리수거 하도록 버스안에 분리수거통 비치
그리고 물병은 비닐라벨을 제거해서 분리수거통에 넣도록 비치함
그리고 버스안에 탄소중립의 중요성과 환경오염의 심각성을 알리는 넛지효과 이미지 그림을 버스 내부 곳곳에 그려둠
대구시의 시민들이 이용하는 여러 체험버스등이 탄소중립 버스로 바뀌어 시민들에게 탄소중립의 중요성을 교육함

기대효과
시민들 탄소중립 마인드 교육에 기여
대구시의 체험버스는 탄소중립 버스로 나아감
탄소중립의 선도도시로 나아감
씨티투어를 통해 관광도 하지만, 탄소중립 환경교육도 배우는 1석2조의 효과
시민들의 분리수거와 자원재활용에 대한 다양한 마인드 증대에 기여
전기차와 태양열 에너지에 대한 시민들의 관심증대에 기여",2021-09-12,"국민신문고에 접수된 제안1AB-2109-0008421)에 대하여 다음과 같이 검토한 사항을 회신하고자 합니다.

1. 제안개요
가 제 안 자 : 곽 * *
나. 제안내용 : 대구 시티투어를 친환경 탄소중립 버스로 제작
2. 검토의견 : 불채택
3. 답변내용
가. 먼저 대구시 관광발전과 환경을 위해 소중한 의견 주셔서 감사드립니다.
나. 제안하신 대구 시티투어버스를 친환경 탄소중립 버스로 제작하자는 의견 등에 대하여 다음과 같이 답변드립니다.

- 대구시는 '탄소중립 선도도시 대구'의 슬로건으로 시민생활과 교육, 신재생 에너지 전환, 탄소중립 기반도시 조성 등을 위해
탄소중립 정책을 추진하고 있습니다. 현재 공공기관은「환경친화적 자동차의 개발 및 보급 촉진에 관한 법률」에 따라 전기 또는
수소전기자동차로 우선 의무 구매해야 하므로 차량의 교체시 친환경 자동차로 전환될 계획입니다.

- 아울러, 우리시는 미세먼지 저감을 위하여 2016년부터 선도적으로 노후 업무용 차량 교체 시 배출가스가 적게 배출되는 전기·수소·
하이브리드 차량으로 구매하고 있으며, 승용차뿐 아니라 화물(트럭)차 부분도 긴급차량 등 특수한 경우를 제외하고 수소전기차로
우선 구매하여 미세먼지, 온실가스 저감을 위해 노력하고 있음을 알려드립니다.

- 또한 탄소중립의 중요성과 환경오염의 심각성을 알리기 위해 차량 내 ‘안내 모니터’를 통해 ‘홍보영상을 송출’하는 등 투어를 이용하는
시민들에게 수시 홍보할 수 있도록 적극 노력 하겠습니다.

- 현재 시티투어버스는 총6대(2층버스1, 일반버스5)가 운영되고 있으며, 제안하신 사항에 대하여 예산 등의 사유로 당장 추진하기는
어려우나, 향후 장기적으로 검토할 예정임을 알려드립니다.

다. 대구 관광발전을 위하여 많은 관심을 가져주신데 대하여 깊은 감사를 드리며, 기타 궁금
하신 사항은 관광과(☎803-3894)로 연락주시면 성심껏 답변드리겠습니다.

붙임 국민제안신청서. 끝.",2021-10-12,대구광역시,답변완료
장애인 일자리 제공,"현황 및 문제점
장애인 일자리



코로나 정국에도 노인 일자리에 70~80세 노인분이 등 하교 주변이나

횡단보도에서 신호봉 하나씩 들고서 보행자가 안전하게 건널 수 있게

하시는 모습을 보고 휠 체를 타고 다니시는 장애인도 손이 건강한 장애인

정도면 오전 오후에 2~4시간 정도의 보행자 관리 정도는 맡겨도 되지

않을까 생각합니다 그들도 의욕은 앞서지만 할 일이 없으니까 무료하게

하루하루를 보내고 있는 그들에게 기회가 주어 진다면 행복할 것입니다

또한 달성 군에서 전국 최초 시범 적으로 중증 장애인에게 일자리 제공

이라는 획기적 발상은 분명히 칭찬받을 일이고 칭찬받을 것입니다

개선방안
지금 시대에 장애인 복지가 낳아지고 있지만 중증 장애인에게 일자리 제공은 어려운게 현실입니다
이번 기회에 장애인도 일할수 있다는 희망을 가지게 하여 주세요
기대효과
일자리 제공은 장애인에게 삶에 희망에 동화줄이 될 것입니다",2021-09-05,"1. 평소 군정발전에 관심을 가져주셔서 감사드립니다.

2. 귀하께서 제안하신 「장애인 일자리 제공」에 대해 다음과 같이
답변 드립니다.
- 귀하의 내용을 검토한 결과, 현재 장애인일자리사업의 직무배치 및 배치기관 선정은 일자리 유형별 사업운영에 따라 시행되는 사업입니다. 뿐만 아니라 노인일자리에서 이미 시행중에 있는 사업으로 귀하께서 제안하신 사업은 별도의 사업으로 적용하기에는 어려운 점을 알려드립니다.

3. 기타 문의사항은 달성군청 희망지원과(053-668-2564)로 연락 주시면 성실히 답변 드리겠습니다. 감사합니다.",2022-01-11,달성군,답변완료
현수막 설치 실명제,"현황 및 문제점
시중에 설치되 현수막을 보면 허가된 현수막 무허가 현수막이 무분별하게 설치되여 있습니다
문제는 제때 철거하지 않아서 도시 미관을 해치고 각 기관에서 철거 하면서 아까운 국민 세금이
헡으로 사용되고 있다는 것입니다
개선방안
현수막 실명제

거리 곳곳에 설치된 각종 현수막 그중에 허가된 것과 무허가로 설치한 불법 현수막이 제때 철거하지 못한 현수막은 도시 미관을 해치고 있습니다 그리고 구청에서 철거하면서 인력과 세금이 낭비되고 있습니다
이를 바로잡기 위한 현수막 실명제 란 정책을 제안합니다

1] 현수막을 만든 업체의 상호와 연락처를 기재한다
2] 설치 기한을 명시한다 예 [ 1~10일 ]
3] 설치 기한 초과 후에는 설치 업체가 의무 적으로 철거한다
4] 설치 기한이 지난 현수막 미 철거 시 전적으로 설치 업자에게 책임을 묻는다
5] 불법 현수막 하루 초과 시 과태료 의무 부과한다
6] 위 현수막 설치 실명제 사항에 동의 시 허가함
7] 불법 현수막 미 철거 현수막 신고 시 소속 기관에서 인센티브 제공

기대효과
거리에 설치된 현수막은 허가제로 정착되여 현수막 설치 업자가 설치와 철거를 책임지고 철거 함으로
실명제가 실행 된다면 소모적인 인력과 국민세금을 줄이고 자원 낭비를 막는데 기여 할 것입니다",2021-09-01,"1. 평소 군정발전에 관심을 가져주셔서 감사드립니다.
2. 귀하의 제안은 가로 변 현수막 게시 시 광고물 실명제를 적용하자는 내용으로 판단됩니다. 광고물 실명제는 「옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률」 제16조 및 「대구광역시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례」제26조에 따라 규정되어 있습니다.
3. 해당 규정에서 광고물 실명제의 적용 범위는 벽면 이용 간판, 돌출간판, 공연간판, 옥상간판, 지주 이용 간판으로 규정되어 현수막에 적용할 수 없음으로, 채택이 어려운 점을 알려드립니다.
4. 기타 문의사항은 달성군청 도시과(053-668-3893)으로 연락주시면 성실히 답변드리겠습니다. 감사합니다.",2022-01-11,달성군,답변완료
