제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
지하철 벽에 게시된 문장 삭제하고 따뜻한 문장으로 교체 제안,"현황 및 문제점
1.지하철 계명대역 5-6번 출구 에스컬레이터 벽면에 게시된 문장을 보고 경악했습니다. 대학교역이어서 젊은이들을 의식해서 게시했는지 모르나 기타 대다수의 일반 아동, 청소년, 시민 이용객들이 과연 해당 문장을 보고 공감할까요?

2.오랫만에 만난 반가운 친구에게 커피 값은 내가 아닌 ""네""가 낼게 -라는, 해괘망칙하고 국어 사용법에도 맞지 않는 문장을 부착하여 배려하고 손 내미는 대구 시민 정신을 우롱하는듯해 몹시 불쾌했습니다.
개선방안
1. 현재 게시된 문장 전면 삭제

2. 배려와 나눔의 아름다운 시민정신을 성원하는 문장으로 교체 게시
기대효과
1. 올바른 국어 문장 사용
2. 주요 이동 수단인 지하철을 이용하는 시민들에 대한 배려와 응원",2021-06-20,"안녕하십니까? 귀하의 제안에 대한 검토결과를 다음과 같이 알려드립니다.

귀하의 제안내용은 계명대역 벽면에 부착된 문구가 불편하니 교체(삭제) 하자는 것으로 이해됩니다.

귀하의 제안에 대해 검토한 의견은 아래와 같습니다.

가. 고객님께서 제안해 주신 계명대 역에 부착된 문구는 문화기획단체를 통해 밝고 건강한 역사 분위기를 위하여 긍정적인 에너지를 창출하기 위해 만든 문구입니다.
그러나, 지적해 주신대로 어법에 맞지 않는 측면이 있고, 시민정신을 훼손한다는 취지에 공감하여 해당 문구는 6.25(금)에 삭제하였음를 알려드립니다.
항상 고객에 귀 기울이는 도시철도가 되도록 노력하겠습니다.

나. 추가 개선사항이나 의문사항이 있으시면 대구시 철도시설과(박대일,053-803-6646)로 연락주시면 성심껏 답변 드리겠습니다.",2021-06-30,대구광역시,제안실현
대구 지하철 2호선 문양/영남대역 열차시간표 게시,"현황 및 문제점
1.현황
대구 지하철 2호선 문양역과 영남대역에 지하철시간표가 게시되어 있지 않음

2. 문제점
다른 역에는 지하철 시간표가 프렛홈에 게시되어 있으 나 위 2개역에는
시간표가 게시되지 않아 초행길 이용객의 경우 시간에 맞추어 탑승하기가 어려움

개선방안
다른 역과 같은 방법으로 시간표을 게시함으로서 이용객이 역 주변에
일을 보고 정확한 시간에 탑승함으로서 일정에 차질이 없이 열차를
이용할 수 있음
기대효과
1. 열차 이용시 시간 절약
2. 일정 조정을 쉡게할 수 있음
3. 고객 서비스 만족도 증진
4. 효과적인 영차 이용으로 이용객의 신뢰감을 높일 수 있음",2021-06-19,"안녕하십니까? 귀하의 제안에 대한 검토결과를 다음과 같이 알려드립니다.

귀하의 제안내용은 문양역과 영남대역에는 지하철 시각표가 게시되어 있지 않아 불편하므로 이용객의 편의를 위하여 지하철 시각표를 게시하자는 것으로 이해됩니다.

귀하의 제안에 대해 검토한 의견은 아래와 같습니다.

가. 문양역과 영남대역 확인결과, 문양역의 승강장(영남대방면), 영남대역 승강장(문양방면)에 시간표는 부착되어 있으나, 다음과 같은 개선점이 발견되어 열차시각표를 아래와 같이 조치하겠습니다.

나. 문양역 승강장(영남대방면)에는 열차시각표가 현재 1개소에 부착되어 있으므로 1개소에 추가로 부착하여 도시철도 이용에 불편함이 없도록 하겠으며, 영남대역 승강장(문양방면)의 열차시각표는 눈높이보다 높은 위치에 부착되어 있어 승객들이 보시기에 불편하므로 적정한 위치로 조정하도록 하겠습니다.
참고로 문양역과 영남대역의 종착역 방면 승강장은 탑승 승객이 없으므로 열차시각표가 없음을 알려드립니다.

다. 추가 개선사항이나 의문사항이 있으시면 대구시 철도시설과(박대일,053-803-6646)로 연락주시면 성심껏 답변 드리겠습니다.",2021-07-01,대구광역시,제안실현
합법적인 주차공간 설치를 구하는 제안(대구시 수성구 일원),"현황 및 문제점
소관기관에 제안 드립니다.
검토 회신 부탁드립니다.
단, 제안 신청인에게만 필요시 연락을 취해 주시길 바라며(타인에게 연락 금지),
제안 내용 불명확 시 보완 요청을 이메일 또는 국민신문고 사이트 내에서 해 주시길 바랍니다.
감사합니다.

● 제안의 요지
- 합법적인 주차공간 설치를 구하는 제안

● 대상 위치
- 대구시 수성구 만촌동 656-33번지 (첨부파일: 성심개발, 피자나라 건물)

● 현황 및 문제점
가. 해당건물에 거주자와 상가세입자는 각각 자동차가 있고
나. 합법적인 주차 공간이 없어서 이면도로 주차를 자주 하였고
다. 그 이면도로 주차는 소화전과 횡단보도에 접하게 되고
라. 횡단보도 이용자는 주정차위반 민원 신고를 소관청에 하게 되고
마. 소관청은 민원이 접수되면 과태료 부과 처분을 위해 현장을 확인하고
바. 소관청은 차주의 상황을 듣고 처분 여부를 결정할 수 없고
마. 위반 여부만 확인하고 과태료 처분을 하고
사. 피처분자는 처분청에 그 부당성을 이의 제기 하여도 수용되지 않고
아. 피처분자는 주정차 문제의 근본적인 해결을 원하여 소관청에 제안을 함.

● 청원 근거 규정
가. 헌법제26조
나. 행정기본법제3조제1항,제2항과 제4조제1항,제2항
다. 민원처리에관한법률제45조제1항
라. 국민제안규정제5조제1항
마. 대구광역시주차장설치및관리조례제1조의3

● 거주자 우선 주차구역 설치 규정
주차장법제10조제1항 각호
주차장법시행규칙제6조의 2제3항

● 횡단보도 설치 규정
도로교통법제10조제1항
도로교통법 시행규칙제11조

● 소화전 설치 규정
소방기본법제10조제1항

● 첨부파일
- 현장사진 2장
개선방안
● 개선방안 (제안의 취지)
1. 거주자, 방문자가 합법적으로 주차를 할 수 있는 주차장을 설치한다.
2. 도로에 거주자 우선 주차구역을 지정한다.
3. 도로 소화전을 이동시켜 거주자 우선 주차 구역이 지정될 수 있도록 한다.
4. 횡단보도 위치가 적절한지 검토하여 이동 설치한다.

라는 결정을 구합니다.
기대효과
● 기대효과
1. 인근 주민들은 적법한 주차시설에 안전한 주차를 할 수 있다.
2. 횡단보도와 이면도로 흐름에 영향을 주지 않는다.
3. 유사시 소화전 사용을 신속하게 할 수 있다.",2021-06-17,"○ 만촌동 656-33번지 일원 공경로에는 인근 주민의 주차편의를 위해 노상주차장을 설치하여 무료로 운영 중에 있습니다. 귀하께서 제안해 주신 거주자 우선주차제는 노상주차장을 유료화하고 일정한 요금을 납부하는 주민에게 우선적으로 주차면을 배정하는 제도로서, 본 제도의 시행에 지역 주민이 적극적으로 찬성할 경우 시행이 가능합니다.
○ 한편, 우리 구에서는 거주자 우선주차제와 관련한 조례를 정비하고 제도 시행을 위해 주민 설명회도 개최한 바 있으나, 대부분의 주민이 주차요금 부담을 이유로 반대하고 있어서 향후 노상주차장 유료화에 대한 주민의 공감대가 형성되면 재추진할 계획임을 이해해 주시기 바랍니다.
○ 소방시설의 이설은 수성소방서에 문의한 결과, 인근 주택가(골목길 내부주택)의 화재발생 등 비상시 필요한 필수 시설물로서 원활한 소방활동을 위해 적정지점에 설치한 상황으로 주차불편에 따른 이설은 어려우며, 해당 지점의 차량 진출입구 사용 등 보차도 점용에 따라 이설이 필요할 경우 원인자 부담으로 소방활동에 지장을 초래하지 않는 범위에서 이설이 가능하다는 답변이 있었습니다.
○ 또한, 횡단보도의 이설에 대해 관할 수성경찰서에 문의한 결과, 보행 편의 및 안전을 고려하였을 때, 횡단보도의 이설은 부적절하다는 답변이 있었음을 이해해 주시기 바랍니다.
○ 한편, 해당 도로는 주민의 주차불편을 고려하여 불법주차 단속을 유예하고 있는 구간이나, 관련 법에 따라 횡단보도와 교차로는 주민신고제 대상으로 해당 지점의 경우 횡단보도와 소방시설 외에 교차로에 해당되어 불법주차 시 주민신고에 의해 과태료가 부과될 수 있음을 알려 드립니다.",2021-08-01,수성구,답변완료
솔밭어린이공원 대구구앙동,"현황 및 문제점
놀이터에는 벤치가없어서 다리가마파요 2세3세 아기들은 옆에 있어야됩니다 농구장에는 벤치가 남아돕니다 노인들 몆분 늘 2개사용하고 솔밭아린이기ㅡㅇ원인데 놀이기구쪽에는 벤치가 없어요 두개정됴설치하면 옆에서 이기볼수잇어요 벤치가 없어서 원룸에서 박스 갇다가 앉앗서 아기봅니다 매일 아기가 공줜에서놀고있어요
개선방안
벤취 2개정도
설치 요청
기대효과
기대엄정바랍니다",2021-06-14,"가. 구정 발전에 많은 관심을 가지고 제안하여 주심에 깊이 감사드리며, 귀하께서 국민신문고에 신청하신 제안(신청번호 1AB-2106-0006665/2AB-2106-0005396)에 대한 검토의견을 다음과 같이 알려드립니다.

나. 귀하께서 제안하신 내용이 솔밭공원 어린이놀이시설 내 벤치 설치를 요청하는 것으로 판단됩니다. 어린이 놀이시설 인근 벤치가 없어 이용 시 불편함 등을 전반적으로 고려하였을 때 등의자 2개 정도 설치하는 것이 적절하다고 생각이 됩니다.

다. 위와 같은 사유로 귀하의 제안을 수용하며, 앞으로도 구정에 도움이 되는 다양한 제안을 부탁드립니다. 그 밖의 문의사항은 북구청 공원녹지과(☎665-2868)로 연락주시면 성실히 답변드리겠습니다.",2021-09-28,북구,제안실현
5대 불법주차 앱신고 개선해 주세요 대구시와 달서구청은 기피신청합니다,"현황 및 문제점
대구 달서구 에서는 성서공단이라고 안전신문고 앱으로신고를 제외합나다
소회전에 불법으로 주차하고 횡단보도 불법주차인도 불법주차 교차로모퉁이등 앱으 여러번 신고 공단이라고 불수용
유선으로 교통지도단속신고 했으나 아직도불법 주차
제가 자전거를 타고 가는데 횡단보도 ㆍ인도를막고있어서 차도로 갑니다 자전거도로표시해 놓아는데 불법주차로 가지도 못합니다 아예 인도에 10대 정도 오전9시부타 오후5시까 주차를 합니다

아무리 지차체 마다 달리할수있다고하지만 너무합니다
개선방안
안전신문고 앱으로 신고하게 제도개선해 주세요
기대효과
안전신문고 앱으로 신고하면 단속된차량은
괴태료 내면 동료에게 불법주차하지마라고 이야기합니다 전파되어 불법 주차안합니다
해당 구청에 여러번 유선으로 전화할필요없고
해당구청도 전화안받고 단속차량 안보내도되고
소화전은 불이나면 빨리 사용할수있어야 인명과 재산을 보호할수있습니다
횡단보도로 옆으로 차도로가는 경우가 없어서 안전하게 다닐수있습니다
불법주정차가 우선입니까",2021-06-14,"안녕하십니까?
달서구 구정발전에 관심을 기울여 주시고 제안하여 주심에 감사드리며, “성서산업단지공단 내 불법주정차 차량의 안전신문고 앱 신고 제한에 대해 앱 신고가 가능하게 하여 주차질서를 확립하자”는 제안에 대하여 아래와 같이 답변 드립니다.
현재 성서산업단지는 대구의 대표적인 산업단지로 자가용 출퇴근자가 대부분으로 절대적으로 부족한 주차공간의 확보와 지역경제 활성화 등을 위해 안전신문고 앱 신고를 제한하고 있습니다.
향후 성서산업단지의 특수한 여건을 감안한 주차 관련 인프라 구축 방안을 강구하고 있으며, 아울러 지속적인 불법주정차 계도 등을 통해 안전한 보행과 원활한 통행을 위해 노력하겠습니다.
해당 제안 내용은 구정운영에 참고하겠으며 금번 제안채택심사 결과는 아쉽게도 불채택 되었습니다.
해당 답변에 대하여 궁금한 점이 있으신 경우 주차관리과 곽지영 주무관(053-667-3048)로 문의하시면 친절히 답변 드리겠습니다.",2021-07-15,달서구,답변완료
"횡단보도, 육교 등 유도선 설치 제안","현황 및 문제점
대중교통을 이용 할 때
초행길일 경우 횡단보도를 찾기위해 해매는 경우가
종종 있음.
특히 지하철 출구에 따라 횡단보도(육교) 유무가 달라 돌아가거나 무단 횡단을 하기도 함.
개선방안
인도 바닥이나 지하철 출구 주변에 횡단보도(육교)의 거리와 유도선(하이패스 유도선 처럼) 설치
기대효과
대중교통 편리성 증대, 무단횡단 감소",2021-06-10,"1. 보행자 통행편의 제공과 관련하여 소중한 제안을 주신데 대하여 감사드립니다.

2. 선생님께서 제안하신 횡단보도(육교)까지 거리 및 위치 안내 유도선 표기는 횡단보도 또는 육교 이용자의 통행에 도움은 될 것으로 사료되나, 차도와 달리 보도의 경우에는 보행자의 통행이 양측으로 이루어지고, 대부분의 기존 보도가 블록형태의 포장으로 되어 있어 문자 또는 유도선 표기가 용이하지 않고 지속적인 유지관리에도 어려움이 있어 시행(채택)은 어렵다는 점 널리 이해하여 주시기 바랍니다.

3. 보행자 통행편의를 위해 소중한 의견을 주신데 대하여 다시 한번 깊은 감사드리며, 앞으로도 궁금하시거나 건의사항은 교통정책과(☎803-4753)로 문의해 주시면 성심껏 답변 드리겠습니다. 감사합니다. 끝.",2021-06-21,대구광역시,답변완료
공공데이터 활용 유형별 안전그림 넛지효과 제작,"현황 및 문제점
반복적으로 안전사고가 발생하는 지역에 안전그림으로 제2차 사고를 막는 넛지효과 그림 설치가 필요
반복적으로 사고가 발생하는 공사현장, 현장 제조공장, 사고다발 도로등에 환기를 주고, 조심하라는 인지를 주는 그림으로 표현한 안전그림 넛지효과 그림 설치
무리하게 위험작업을 시키는 위험작업현장의 개선이 필요
개선방안
공사 건설 현장에서 자주 발생하는 사항등을 말로만 주의를 주다보니 사람들의 경각심이 약함. 안전사망사고 반복 발생(단순표어로만 안전을 지키자, 안전을 생명줄등...)
각 현장의 반복 사망사고, 재해사고등을 공공데이터등을 활용하여 유형 분석
그 유형들을 그림등으로 나타냄, 넛지효과 유발 그림표현
사고유형의 형태, 사고유형시 부주의하여 발생하는 그림, 그 옆에 사랑하는 가족이 슬퍼하는 그림, 위험한 작업을 혼자하게 하는 위험한 그림등을 그려 사람의 인지와 감성, 양심을 자극하여 작업감독자, 작업자 모두 안전사항을 지키도록 유도함
작업자 스스로도 안전을 잘 지키도록 유도하지만, 작업현장에서도 작업자들에게 무리하게 위험한 일을 혼자 시키지 않도록 유도하는 넛지효과 그림도 제작해 설치
제조공장 현장에서도 안전시설 점검시 위 그림의 사항등을 수시로 체크하도록 안내하며 작업 현장 곳곳에 필수로 설치함
작업자에게 안전을 무시하고 위험하게 작업시키는 안전사고 사항의 그림을 곳곳에 필수 배치함. 작업자들에게도 안내하도록 하며, 모든 작업현장의 안전 작업지시를 유도함
그리고 작업자들의 근무 현장에 안전그림 넛지효과 그림을 수시로 배치하여 작업자들도 안전수칙을 철저히 지키도록 유도함
어린이들이 자주 통행하는 어린이 통학로에 상습 불법 주차가 많이 있을 경우 국민들의 안전 양심을 지키도록 유도. 어린이들의 안전한 통학을 함께 지키자는 안전 양심 넛지효과 그림 설치, 야간에도 가능한 로고젝트등으로 설치
넛지효과 인지 그림은 시민공모로 다양한 감성 그림 발굴
글보다는 그림의 표현이 더 효과적임
넛지효과를 유발하는 안전그림, 양심그림등으로 설치
바닥에 그리거나 또는 게시판 설치 그림등 특성에 맞게 다양하게 설치
기대효과
제2차 사고를 예방하는 목적, 사람의 양심, 감성을 자극
단순 표어, 말보다는 곳곳의 넛지효과 유발 그림이 더 효과적
공공데이터 활용하여 유형별로 제작하여 보급함
반복적인 사망사고 감소에 기여, 공공데이터 활용하여 전과 후 비교",2021-06-07,"○ 안녕하십니까, 먼저 국민제안 발전을 위해 고견을 주신 데 대하여 감사드립니다.

○ 귀하의 ‘공공데이터 활용 유형별 안전그림 넛지효과 제작’ 제안에 대해 답변드리겠습니다.

○ 정부부처(국토관리청, 고용노동부 등) 및 우리 시에서는 건설현장, 제조공장 등에서 근로자의 안전사고 예방 및 사망사고 감소와 안전문화가 조기 정착될 수 있도록 안전에 관한 포스터, 현수막 등을 건설현장 및 제조공장에 지속적으로 배부·게시하고 있으며, 배부되는 포스터 등은 추락사고 및 각종 재해사고 등 안전과 관련된 그림과 문구 등이 들어가고 있음을 알려드립니다.

○ 또한, 건설현장 및 제조공장 현장에서의 안전은 안전관리계획에 따라 관리되고 있으며, 산업안전보건법에 의거 일정규모 이상의 건설현장 및근로기준법의 적용을 받는 사업체에는 안전관리자가 선임되어 안전관리 및 안전교육 등을 실시하여 안전사고 예방을 위해 노력하고 있습니다.

○ 향후 각 현장의 반복 사망사고, 재해사고 등은 공공데이터를 활용하여 유형을 분석 후 안전과 관련된 포스터 배부시 단순한 안전그림이 아닌 넛지효과 안전그림이 설치될 수 있도록 정부부처와 적극 협의·검토하겠습니다.

○ 어린이 통학로 상습 불법 주·정차 근절을 위해 어린이보호구역 및 차도에 넛지효과 표지 및 로고젝터를 설치하기 위해서는 도로교통법에 의한 안전표지의 종류, 만드는 방식 및 설치관리기준에 적합해야 하므로 설치가 어려운 상황입니다.

○ 현재 어린이보호구역 불법 주·정차 근절을 위해 절대 주·정차 금지구역 지정, 주민신고제 운영, 단속카메라 설치, 과태료 상향, 불법 주·정차 근절 홍보 등 다양한 방법을 시행 중에 있습니다.

○ 양심이나 감성을 자극하는 넛지효과 안전그림 제작에 대해 좋은 제안해 주신 것 감사드리며, 앞으로도 시정에 많은 관심을 가지고 귀한 의견 주시기 바랍니다.

○ 기타 문의사항이 있으실 경우 대구광역시 안전정책관 조미영 주무관(☎803-5923), 건축주택과 김영빈 주무관(☎803-4623), 교통정책과 이대진 주무관(☎803-4888)으로 문의하시면 성심껏 답변드리겠습니다. 감사합니다.",2021-07-01,대구광역시,답변완료
수성구 진밭골야영장 외부인 출입객 관리 개선 제안의 건,"현황 및 문제점
불철주야 공무와 코로나19 방역에 힘쓰시는 노고에 감사드립니다.

코로나 19의 장기화로 외부활동에 제약이 많은바, 수성구 진밭골야영장을 종종 예약 이용하고 있습니다
입장시 입장인원 전원 발열체크 및 철저한 확인조사 후 입장을 하며, 직원분들의 상시 방역 조치 및 관리로 잠시나마 휴식의 시간을 가지곤 합니다.

다만, 아쉬운점이 있어 개선되었으면 하는 바램이 있어 제안을 합니다.

1. 야영장 동측에 위치한 출입구(개방화장실 위치)에 야영장 내부로의 출입을 금지한다는 내용의 배너와 현수막이 게시되어있으나, 대다수의 사람들이 무단으로 야영장 내부를 배회, 기타 시설물(정자, 평상)을 이용합니다. 물론 직원분들의 안내로 장시간 머무르지는 못하나, 그 인원들에 대해서는 어떠한 관리도 이루어지지 않습니다.
예를들어 상기 인원들의 무단출입으로 코로나19확산등의 가능성도 배제하지 못합니다. 발열체크, 출입자 명부등의 관리가 이루어지지 않기 때문입니다

2. 상기 무단출입 인원들이 야영장 내부에서 배회시 직원분들이 무단출입 인원인지, 야영장 이용객인지 구분이 되지 않아 일일이 물어보는 상황이 발생됩니다. 이는 실로 아쉬운 업무형태입니다.
개선방안
상기 무단출입 인원에 대한 빠른 확인 조치 및 쾌적한 야영장 환경 조성, 코로나19 방역조치 강화가 방안을 제안합니다.
타 시군구에서 관리하는 캠핑장의 경우 입장객에게 팔찌를 제공합니다
팔찌 운영방안
1. 입장객 전원(방문객 포함) 팔찌 제공
2. 미착용자 퇴실조치
3. 팔찌 분실시 재발급 불가
4. 팔찌 훼손시 기존팔찌 반납후 재발급
5. 날짜별로 팔찌 색상변경
6. 팔찌 내 사이트 번호 기재

수성구 진밭골 야영장도 팔찌 시스템을 제안합니다
팔찌 운영중인 시군구 캠핑장
- 구미 낙동강 체육공원 캠핑장
- 칠곡보 캠핑장
*실제 팔찌운영 사진 첨부
기대효과
1. 무단출입자에대한 빠른 조치 가능
2. 안전한 야영장문화 정착
3. 직원들의 업무형태 향상에 따른 시설 관리시스템 우수
적은 예산으로 큰 기대효과 창출 가능하오니 긍정적인 검토 바랍니다",2021-06-03,"1. 평소 구정발전에 많은 관심을 가져주셔서 감사드리며, 귀하의 무궁한 발전과 건승을 기원합니다.

2. 귀하께서 국민신문고를 통해 제안하신(신청번호 1AB-2106-0001154) “수성구 진밭골야영장 외부인 출입객 관리 개선 제안의 건”에 대하여 다음과 같이 안내드립니다.
가. 1박 이상 하는 이용객이 팔찌를 장시간 착용에 따른 불편함을 호소하는 이용객도 예상되며, 현재 사회적 거리두기에 따라 예약을 축소 운영하고 있으므로 직원의 이용객과 외부인 구분이 어렵지 않은 점이 있습니다.
나. 진밭골 둘레길과 연접한 평상 쪽은 야영장 내부로 출입 안 되도록 현수막을 게시하고 폐쇄 중에 있습니다.
다. 데크 사이트 쪽 정자와 평상은 야영장 공간내부에서도 안쪽에 위치하고 있고 야영장 출입구에 외부인 출입금지 현수막을 게시하고 있으며, 직원들이 더욱 유의하여 수시로 순찰하고 있으니 넓은 마음으로 양해하여 주시기 바랍니다.

3. 좋은 제안을 해주셨으나 귀하께서 제안하신 사항은 안타깝게도 불채택 되었음을 알려드리며, 답변에 대한 추가 설명이 필요한 경우 공원녹지과(☏053-666-2808)로 연락주시면 친절히 안내해 드리도록 하겠습니다.",2021-06-17,수성구,답변완료
비슬산 산림치유센터 활성화,"현황 및 문제점
현수막이나 블로그에 홍보하지만 사람들이 비슬산 산림치유센터에 대해 잘 모름
요즘 코로나19로 우울증대
마음의 치유와 회복에도 산림이 효과적임
난임부부들에게도 산림치유가 효과적임
거리두기 유지와 야외로 코로나19에도 비교적 안전
개선방안
비슬산 산림치유센터 활성화를 위해 현재는 체험비를 1인당 1만원 받고 있음.
비슬산 체험 산림 상품권등을 만들어 대구시 관련 대외행사 기념품이나 대회 시상시 상품권등으로 활용함
본인외에 산림 상품권 대여도 가능함
지역의 여러 행사시 회복과 치유가 필요한 사람들, 어려운 사람들에게 무료 선물 쿠폰으로 제공하기도 함. 홍보의 의미
대구지역의 각 구청에 산림쿠폰등을 어느정도 배부함. 지역의 행사시 어려운 사람들에게 활용하도록
1년안에 사용하면 되며 구체적인 방문 날짜는 전화로 예약이 가능함
비슬산 산림치유센터의 이용객 활성화.
그리고 지역의 난임 부부, 코로나 확진 완치후 우울증 지역 주민, 여러 상처로 힘든 분들에게
산림치유 이용 쿠폰을 무료로 제공함, 아젤리아 호텔의 숙박, 식사권등과도 연계한 상품권등도 개발하여 정신적으로 어려운 대구시민들에게 선물로 제공
코로나19극복 대구 희망 선물로 개발
대구의 어려운 시민들의 회복와 치유에 달성군청이 앞장섬
대구시에서 어느정도 예산을 교부함
달성군 홈페이지에 여러 사연을 적어서 기록해 주시면(비밀글) 사연을 보고 희망 인원수 만큼의 무료체험 쿠폰 제공
청소년들은 요즘 스마트폰 중독이 심각
부모님들이 사연을 홈페이지에 사연을 적어서 주시면 무료 체험 쿠폰 제공. 추첨을 통해 아젤리아 숙박권, 식사권등도 같이 제공함
이용자 증가시 직원들의 인력 보강도 추진
다양한 산림 체험 맞춤형의 프로그램 개발도 추진(난임 부부용, 코로나 우울증 회복 프로그램, 청소년 분노조절 및 회복 프로그램)
비슬산 산림치유센터의 대구시민 이용 활성화 추진에 기여
참여후 만족도 후기 적는난을 홈페이지에 마련, 후기도 추첨을 통해 산림체험 쿠폰 선물 제공, 다른 지인들에게 선물로 제공이 가능
대구의 산림을 통해 대구시민의 정신회복을 지원해 주고 지역자원을 최대한 맞춤식으로 잘 활용해 나가자
기대효과
지역의 어려운 분들의 산림치유센터 이용 증가에 기여
비슬산 산림치유센터의 활성화
대구시민들의 산림치유, 코로나치유, 우울증 치유에 도움",2021-06-03,"-평소 군정발전에 많은 관심을 가져주셔서 감사드립니다.

- 비슬산 치유의숲 산림치유프로그램은 매년 전문기관을 선정하여 위탁운영을 하고 있으며 체험료는 해당 조례를 근거로 받고 있습니다.
- 해당 제안의 내용은 산림청에서 실시하고 있는 산림복지서비스이용권 지원사업-산림바우처제도(경제적, 사회적 어려움을 가진 산림복지소외자가 산림복지서비스를 이용할 수 있도록 일정 금액의 이용권을 지원하는 사업)와 유사하여 중복되는 사항입니다.
- 현재 비슬산 치유의 숲에 대한 홍보를 꾸준하게 하고 있으며, 향후 코로나19 상황이 좋아지면 이용률이 더 증가할 것으로 예상됩니다.

-기타 궁금하신 사항은 달성군청 공원녹지과(053-668-3763)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다.",2021-06-30,달성군,답변완료
청소년 대상 걷기&탄소중립 봉사활동 프로그램 마련(대구 달서구 청소년 특화 프로그램),"현황 및 문제점
요즘 코로나19로 청소년들의 스마트폰, 컴퓨터, 아이패드등의 중독이 심각
패스트푸드 음식 증가와 운동부족으로 어린이, 청소년 비만 증가
길거리에 쓰레기가 있어도 내가 버린것이 아니라 줍는 습관이 부족
개인주의화 경향으로 바뀜
청소년들의 걷기 활성화와 우리동네 쓰레기기 스스로 줍는 봉사활동 실시, 융합
개선방안
청소년 대상 걷기와 쓰레기 줍기를 융합한 봉사활동 프로그램 개발
자신의 휴대폰 만보계 이용, 매일 만보계수로 봉사시간 부여
자신의 동네와 공원등을 걸을때 걷기도 하면서 체중감소와 건강관리도 하지만.
걷다가 손으로 주울수 있는 쓰레기가 있는 경우 주워서 지급한 달서구 청소년 탄소중립이라는 로고가 새겨진 종량제 쓰레기봉지에 넣음
신청학생들에게 달서구 탄소중립 로고가 새겨진 장갑과 종량제 봉투를 지급함
확인은 연초에 한번 신청하면 1년과정으로 운영
일주일동안 2만보의 걸음과 걸으면서 쓰레기를 주운 활동을 한 학생에게는 일주일 마다 3시간의 봉사시간 부여
쓰레기 주운것의 확인은 본인이 쓰레기 주워 깨끗해진 도로 장면과 쓰레기를 담은 청소년 탄소중립 로고가 새겨진 종량제 쓰레기 봉지를 찍어 본인의 소감문과 함께 주별로 올리면 봉사시간 부여함. 그리고 소감문 양식에 아래에 부모님의 코멘트한줄과 칭찬확인 싸인을 받음(지녀와의 관계 증진, 환경교육, 가정인성교육에도 기여)
걷는것은 본인의 휴대폰 만보계 화면을 캡쳐하여 제출
연말에 우수활동자 시상 및 나눔의 장 마련(서로의 활동 발표공유회 장 마련, 온라인, 오프라인으로 실시)
청소년 체중감소 성공, 우리동네 환경등 다양한 수기공모전등도 실시
청소년들에게 온라인 올바른 걷기방법과 우리동네에 버려진 일회용 쓰레기, 사람들이 먹고 아무렇게나 버리거나 올려놓은 쓰레기 관련 영상을 발송해 줌
그리고 봉사활동 방법등에 대한 영상도 보내줌, 코로나19로 인해 비대면 활동이 가능함
달서구청에 별도 메뉴를 만들어 봉사활동 관련 소감문과 관련 확인 사진(만보계 화면 캡쳐, 우리동네 거리, 종량제 봉투 쓰레기 담은 사진)등의 탑재한 사진 첨부가 가능하도록 함. 달서구청 홈페이지 활용, 달서구 청소년들의 달서구청 홈페이지 참여 증대, 관심 증대
기대효과
청소년 걷기 활성화증진, 쓰레기 줍는 습관 형성
스마트폰, 컴퓨터게임 대신 걷기와 쓰레기 줍는 활동 장려
건강과 내 주위를 돕는 봉사와 연계한 건강증진 인성 프로그램
나 스스로 활동이 가능함
우리동네 환경에 관심. 청소년들의 길거리에 아무렇게나 쓰레기 버리는 습관이 줄어듬
걷기 활성화로 청소년 건강증진에 기여. 건강보험공단의 병원료 청구도 감소. 국가예산 절감에도 기여
동네가 깨끗해 짐
내가 버린 것은 아니지만 우리동네를 위해 내가 먼저 줍는 아름다운 문화형성에 기여
달서구 구민 모두에게 걷는 문화 장려에 기여
달서구 청소년들의 건강증진 및 우리동네 아름다운 환경 만들기 특화 봉사활동 프로그램 추진",2021-05-31,"-평소 군정발전에 많은 관심을 가져주셔서 감사드립니다.

- 비슬산 치유의숲 산림치유프로그램은 매년 전문기관을 선정하여 위탁운영을 하고 있으며 체험료는 해당 조례를 근거로 받고 있습니다.
- 해당 제안의 내용은 산림청에서 실시하고 있는 산림복지서비스이용권 지원사업-산림바우처제도(경제적, 사회적 어려움을 가진 산림복지소외자가 산림복지서비스를 이용할 수 있도록 일정 금액의 이용권을 지원하는 사업)와 유사하여 중복되는 사항입니다.
- 현재 비슬산 치유의 숲에 대한 홍보를 꾸준하게 하고 있으며, 향후 코로나19 상황이 좋아지면 이용률이 더 증가할 것으로 예상됩니다.

-기타 궁금하신 사항은 달성군청 공원녹지과(053-668-3763)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다.",심사 중,달서구,제안심사
