제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
수성구민운동장에 '맨발걷기 황톳길 조성'을 제안합니다,"현황 및 문제점
수성구민운동장에 운동을 자주 가는데 요즘 '맨발걷기'가 건강증진 및 유지의 핫이슈입니다.
맨발걷기가 좋은 것은 이미 언론이나 학교에서 교육을 받고 있고 특별한 부작용이 없고 비용도 드는 것이 아니라 국민의 건강 유지증진에 큰 도움이 됩니다. 수성구민운동장에서 맨발걷기를 하는 사람들이 많은데 수성구민운동장 모래는 그렇게 보드랍지도 않고 넓은 운동장 한 면이라도 황톳길을 조성하여 대구시민의 건강을 위해 환경을 조성해 주시면 좋겠습니다. 맨발걷기에 필요시설인 세족장도 이미 갖추고 있으니 황토만 구입하여 깔아주시면 될 것 같습니다.
부디 검토하시어 맨발걷기에도 좋은 수성구민운동장이 되면 좋겠습니다.
개선방안
수성구민운동장 한 면에 황토를 구입하여 황톳길을 조성해 주세요.
이미 세족장도 갖추고 있습니다.
기대효과
대구 수성구 주민들의 건강유지 및 증진에 크게 기여할 수 있습니다.
대구에 황톳길은 대구수목원과 두류공원에만 조성이 되어 있는데 수성구에도 있으면 주민들이 더 좋은 환경에서 건강을 유지할 수 있을 것 같습니다.",2023-03-23,,,수성구,제안심사
수성구에 캠핑장을 좀 늘려 주세요,"현황 및 문제점
캠핑을 가까운 곳에서 하고 싶은 구민입니다 그런데 진밭골 캠핑자은 늘 인기고 예약하기도 힘듭니다
그만큼 캠핑 수요는 많은데 구청에서 못따라 가는 것 같습니다



개선방안
1안 적절한 자리에 캠핑장을 추가한다 금호강 주변 이나 천을산 주변 등

2안 수성패밀리파크 부지를 활용한다
수성패밀리파크 부지를 활용하여 캠핑장으로 만드는 방법이 있고 아니면 취침을 안하고 낮에라도 이용하도록
.. 한강처럼 낮하고 저녁에 텐트를 칠 수 있게 한다면 지역 주민들이 자주 이용하는 명소가 될 것 같습니다

3안 대구스타디움 부지를 활용하여 낮하고 저녁에만 캠핑할 수 있는 공간을 만든다
기대효과
가족이 쉴 수 있는 캠핑장소가 늘어나 구민들의 행복도 증진

감사합니다",2023-03-17,"1. 안녕하십니까? 평소 구정에 많은 관심을 가져주셔서 감사드리며, 귀하께서 수성구청으로 접수하신 민원에 대해 다음과 같이 답변 드립니다.
2. 먼저 귀하의 의견에 감사의 말씀을 전합니다. 귀하께서 신청해 주신 민원의 요지는 ""수성패밀리파크 내 텐트 설치 허용 요청""으로 판단됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 수성패밀리파크 내 텐트설치는 안전사고 및 범죄의 예방 등의 이유로 인해 지정된 장소에서,(첨부파일에서 확인가능합니다.) 주간에만 가 능하며, 잔디 보호 및 그늘 제공을 위해 소형 원터치형 텐트 사용을 권장하고 있습니다.
나. 텐트 상시 설치는 위와 같은 이유로 인해 불가하다는 말씀을 드립니다.
4. 이와 관련하여 보다 자세한 설명이 필요하시거나 궁금하신 사항에 대하여는 공원녹지과 정광열(☏053-666-2833)로 연락 주시면 친절히 안내해 드리겠습니다. 감사합니다.",2023-03-31,수성구,답변완료
전동차(지하철)과 승강장 사이가 넓은 곳의 위험을 없애기 위한 방법 제안,"현황 및 문제점
현재 지하철 진입시 승강장과의 틈이 넓어 위험한 곳이 많습니다.
이는 승강장이 직선이 아닌 곡선 구간에서 발생하는 문제로, 구조적으로 해결방안을 마련하기가 어렵습니다.
현재 스파크 점멸등으로 위험표시를 하는 등 사후 조치가 있으나
이는 충분히 지하철 역을 설계할 때 예방할 수 있는 부분이었습니다.


개선방안
앞으로 더 많은 도시에 지하철역 시공이 이루어질 것입니다.
그 때에는, 전 역과 현재역 다음역을 잇는 부분이 급격하게 꺽여있다할때
현재역을 급격하게 휘게 설계하지말고
전역에서 현재역에 들어오기 전에 미리 곡선구간을 만들고
현재역에 다다를때에는 직선구간으로 진입하게 하면 될 것입니다.

지상의 도로를 감안할 이유가 크게 없는 지하의 환경입니다.
어차피 땅을 파고 지하시설을 만드는 일입니다.

이미지로 설명 드리자면,
그람 '가'는 부산 서면역 상황입니다.
서면역은 전동차와 승강장 사이가 넓습니다. (그람침조 : 서면역.jpg)
실제로는 그림'나'처럼 휘어져 있습니다.

이것을 그림'다'처럼 진입 전 미리 휘어지게 지하철로를 계획하면
전동차와 승강장 사이의 위험을 예방할 수 있습니다.
(기존라인 : B / 개선된 라인 : A)

현재 이미 지어진 역에 적용할수는 없겠지만
추후 지어질 지하철역에는 충분히 고려해 주시기 바랍니다.
기대효과
지하철 승하차시 안전사고를 예방할 수 있음.
지하철 운행자의 시야 확보에 도움이 됨.",2023-03-14,"1. 안녕하십니까? 평소 구정에 많은 관심을 가져주셔서 감사드리며, 귀하께서 수성구청으로 접수하신 민원에 대해 다음과 같이 답변 드립니다.
2. 먼저 귀하의 의견에 감사의 말씀을 전합니다. 귀하께서 신청해 주신 민원의 요지는 ""수성패밀리파크 내 텐트 설치 허용 요청""으로 판단됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 수성패밀리파크 내 텐트설치는 안전사고 및 범죄의 예방 등의 이유로 인해 지정된 장소에서,(첨부파일에서 확인가능합니다.) 주간에만 가 능하며, 잔디 보호 및 그늘 제공을 위해 소형 원터치형 텐트 사용을 권장하고 있습니다.
나. 텐트 상시 설치는 위와 같은 이유로 인해 불가하다는 말씀을 드립니다.
4. 이와 관련하여 보다 자세한 설명이 필요하시거나 궁금하신 사항에 대하여는 공원녹지과 정광열(☏053-666-2833)로 연락 주시면 친절히 안내해 드리겠습니다. 감사합니다.",심사 중,대구광역시,제안심사
보훈 명예수당 지원 확대,"현황 및 문제점
현재 지자체별 보훈명예수당이 대구는 만 65세이상에게만 주어지고 있습니다. 그 금액또한 현대시대에 맞지 않은 금액이라 생각됩니다.

https://n.news.naver.com/article/079/0003708666?sid=102

https://www.news700.kr/11423

https://n.news.naver.com/article/468/0000925167?sid=102
개선방안
현재 대구 보다 작은 도시들도 보훈명예수당을 전연령으로 확대하고 있는 추세입니다. 최근 경기도 화성시도 보훈지원을 확대하였습니다. 작년엔 재정문제상 확대가 불가피 하다고 하였는데 올해는 대구도 보훈명예수당지원대상 및 지원을 확대하여 앞서가는 광역시가 되었으면 좋겠습니다
기대효과
국가유공자등 보훈대상자들의 삶의 질 향상, 보훈도시로서의 대구 위상 향상",2023-03-13,"1. 안녕하십니까? 평소 구정에 많은 관심을 가져주셔서 감사드리며, 귀하께서 수성구청으로 접수하신 민원에 대해 다음과 같이 답변 드립니다.
2. 먼저 귀하의 의견에 감사의 말씀을 전합니다. 귀하께서 신청해 주신 민원의 요지는 ""수성패밀리파크 내 텐트 설치 허용 요청""으로 판단됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 수성패밀리파크 내 텐트설치는 안전사고 및 범죄의 예방 등의 이유로 인해 지정된 장소에서,(첨부파일에서 확인가능합니다.) 주간에만 가 능하며, 잔디 보호 및 그늘 제공을 위해 소형 원터치형 텐트 사용을 권장하고 있습니다.
나. 텐트 상시 설치는 위와 같은 이유로 인해 불가하다는 말씀을 드립니다.
4. 이와 관련하여 보다 자세한 설명이 필요하시거나 궁금하신 사항에 대하여는 공원녹지과 정광열(☏053-666-2833)로 연락 주시면 친절히 안내해 드리겠습니다. 감사합니다.",심사 중,대구광역시,제안심사
"저소득층 대학생들에게 대중교통비 (버스,지하철 등) 를 면제하거나 , 현금 또는 교통카드로 지급하자","현황 및 문제점

기초생활수급자(생계 의료 주거급여등) 와 차상위계층등 저소득층 대학생들이

대학교를 통학할때 버스 지하철등의 대중교통비를 면제하거나 , 현금 또는 교통카드로
대중교통비(버스,지하철요금)를 충전하는식으로 지급했으면 한다

저소득층 대학생들이 학업에 좀더 열중할 수 있는 기회를 제공하는 마음이다
개선방안

1. 대중교통비 (버스,지하철 요금) 면제

2. 현금 또는 교통카드로 충전해서 대중교통비 매월 지급
기대효과

저소득층 대학생들이 대중교통비를 면제받아서

좀 더 학업에 열중할 수 있는 계기 마련",2023-03-12,"1. 안녕하십니까? 평소 구정에 많은 관심을 가져주셔서 감사드리며, 귀하께서 수성구청으로 접수하신 민원에 대해 다음과 같이 답변 드립니다.
2. 먼저 귀하의 의견에 감사의 말씀을 전합니다. 귀하께서 신청해 주신 민원의 요지는 ""수성패밀리파크 내 텐트 설치 허용 요청""으로 판단됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 수성패밀리파크 내 텐트설치는 안전사고 및 범죄의 예방 등의 이유로 인해 지정된 장소에서,(첨부파일에서 확인가능합니다.) 주간에만 가 능하며, 잔디 보호 및 그늘 제공을 위해 소형 원터치형 텐트 사용을 권장하고 있습니다.
나. 텐트 상시 설치는 위와 같은 이유로 인해 불가하다는 말씀을 드립니다.
4. 이와 관련하여 보다 자세한 설명이 필요하시거나 궁금하신 사항에 대하여는 공원녹지과 정광열(☏053-666-2833)로 연락 주시면 친절히 안내해 드리겠습니다. 감사합니다.",심사 중,대구광역시,제안심사
"전국임대아파트관리사무소 직원들이 불친절한지 , 공무원 임대아파트 관리사무소와 비교하여 국민들에게 공개하라","현황 및 문제점

임대아파트 관리사무소 직원이 불친절하고 반말로 아파트 입주민 (저소득층, 장애인 등) 들을 대하는 경우가 있다

공무원 임대아파트와 전격 비교하여 공무원 임대아파트 관리사무소 직원들도 공무원들에게 반말하는지 전수조사하라
개선방안
1. 공무원 임대아파트 관리사무소 직원이 공무원에게 반말하는지 대구시청 공무원 상대로 설문조사하라

2. 공무원 이외에 임대아파트 관리사무소 직원들은 임대아파트 입주민에게 불친절하고 반말로 응대하는지 조사하라
기대효과

임대아파트 관리사무소 직원들의 친절도 향상

공무원 임대아파트 거주하는 공무원들에게만 친절한지 조사해서 불이익 받는 저소득층 임대아파트 입주민이 없도록 한다",2023-03-12,"1. 평소 시정 발전에 협조하여 주신데 대하여 감사드리며, 먼저 관리사무소 직원의 불친절로 인하여 불쾌감을 느끼신데 대하여 죄송하다는 말씀을 드립니다.

2. 귀하의 제안은 '임대주택 관리 사무소 직원들의 불친절로 인한 저소득층 임대아파트 입주민이 불이익을 받지 않도록 하자는 목적'으로 이해되어, 입주민의 거주 만족도가 향상 될수 있도록 공공임대주택 관리를 하는 LH대구경북본부, 대구도시개발공사에 임대아파트 관리사무소 직원들에 대한 친절도 향상을 위한 교육을 시행토록 요청하였음을 알려드립니다.

3. 다시 한번 불편을 겪으신데 대하여 죄송하다는 말씀을 드리며 귀하의 민원은 비제안처리됨을 알려드립니다. 추가로 문의사항이 있으시면 대구시청 건축주택과 박지연 주무관(전화 : 053-803-6901)에게 연락주시면 성실히 답변드리겠습니다. 감사합니다.",2023-03-27,대구광역시,답변완료
공무원의 근무경력 (몇년차 공무원인지) 을 국민들에게 공개하라,"현황 및 문제점

신규 공무원 이나 공무원 입직한지가 얼마 안된 공무원들은 실수도 할수 있고 미숙할수 있다

경력이 긴 오랫동안 근무한 공무원들이 아직도 민원처리를 미숙하게 한다면 문제일수 있다

공무원들이 공무원 합격해서 근무한지 몇년차인지 국가직 지방직 특정직공무원들의 근속연수(근무경력, 몇년차
공무원인지를) 국민들에게 공개하도록 하자
개선방안

공무원 조직도 에 이름 옆에 몇년차 공무원인지 국민들에게 공개할것
기대효과

신규공무원이 민원업무를 실수해도 국민들이 초보운전자처럼 조금 너그럽게 이해할 수 있다

경력이 오랜 , 근무경력이 수십년이나 된 공무원들이 민원업무를 함부로 보거나 미숙하다면 민원사항이 될수 있다

위 2가지 사항을 차별화 시켜서 국민들이 판단 가능하게 하여 민원업무 실수를 한 신규공무원들을 좀 더 너그럽게
이해할수 있도록 한다 그리고 도덕적 해이에 빠진 나이 많고 근무경력이 오래된 공무원들을 퇴출시킨다

국민들에 대한 행정서비스의 질 향상",2023-03-11,"□ 제안신청 개요
- 신청인(제안코드): 박**(1AB-2303-0005993)
- 제안제목: 공무원의 근무경력(몇년차 공무원인지)을 국민들에게 공개하라
- 제안내용: 공무원 근무경력(근속연수, 연차) 대국민 공개

□ 검토의견 : 불채택(*사유 : 현행법·제도의 취지와 목적에 위배)

□ 답변내용
1. 평소 시정발전을 위하여 많은 관심을 가져주신 데 대하여 감사드립니다.
2. 귀하께서 제안해 주신 '공무원 근무경력(근속연수, 연차) 대국민 공개'에 대해 아래와 같이 답변드리겠습니다.
3.「공공기관의 정보공개에 관한 법률 제9조 제1항 제6조」에 따라 귀하꼐서 제안하신 '공무원 근무경력'은 비공개 정보에 해당함을 알려드립니다.
4. 앞으로도 시정에 많은 관심 부탁드리며, 기타 문의사항이 있으실 경우 인사혁신과(☎803-2751)로 전화주시면 성심껏 답변드리겠습니다. 감사합니다. 끝.",2023-04-13,대구광역시,답변완료
"대구시청 8개 구군청 공무원 야간초과근무, 주말 초과근무자들이 같은 고교 대학동기 , 직장내 동호회 사람들끼리 뭉쳐서 나오는지 전수조사하라","현황 및 문제점

할 일 없이 돈 더 타갈려고 초과근무하는 대구시청 사업소 8개 구군청 소속 공무원들이 많다

야간 초과근무, 주말 토일 초과근무수당 타내려고 직장에 친한 사람없는 공무원들은 집에 일찍 가거나 주말에 안나오는데
고교동기 대학동기 선후배, 대구시청 8개 구군청 소속 직장동호회에서 인맥을 튼 사람들이 심심풀이 놀러 남아서
대화하거나 주말에 인터넷 서핑하면서 돈벌려고 나오는 경우가 많은지 상관관계를

홍준표 대구시장의 지시하에 전수조사하라

대구시청 8개 구군청 소속 공무원들중 친한 공무원이 없는 공무원들은 집에 일찍 가거나 주말(토요일 일요일)에
초과근무수당 타내려고 출근하지 않는 경우가 많을 것이다

이런 폐단을 극복하기 위해서 대구시청 감사실과 8개 구군청 감사실에서 초과근무 수당비 지급한 것을 전수조사하여서
고교동기선후배 대학동기선후배 친한사람들끼리, 또는 구청 시청내의 직장동호회 친한사람들끼리 담합하여
할일없는데도 야간에 초과근무하거나 주말에 초과근무하는 경우의 상관관계를 조사하여서

세금 낭비를 줄이도록 하자
개선방안

1. 고교 친구동기선후배 대구시청 공무원 전수조사

2. 대학동기선배후배 대구시청 공무원 전수조사

3. 대구시청 소속 직장동호회 명단 공무원 전수조사

----- > 평일 오후 6시 이후에 초과근무자와 주말 토요일 일요일 공휴일에 초과근무하는 공무원들이 친한사람들이 그룹을
형성지어서 할일도 없는데 나와서 밥값과 초과근무수당을 타내는지 전수조사한다

그리고 친한사람이 없는 공무원들의 초과근무 실태도 비교조사한다
의미있는 수치통계가 나오면 개선한다
기대효과

국민세금 절약가능하다

친한 공무원 없는 공무원들의 불이익을 방지한다",2023-03-03,"1. 항상 시정에 관심을 가져 주셔서 감사드리며, 제안하신 “대구시청 8개 구군청 공무원 야간초과근무, 주말 초과근무자들이 같은 고교 대학동기, 직장내 동호회 사람들끼리 뭉쳐서 나오는지 전수조사 제안”과 관련하여 검토의견을 아래와 같이 알려드립니다.
가. 대구시공무원은 「지방공무원 복무규정」 제4조에 따라 공무수행상 필요하다고 인정될 때에는 근무시간외 근무명령을 득하여 근무할 수 있으며,
나. 대구시에서는 같은 법 제1조의2에 따른 소속 공무원의 근무기강 확립을 위하여「지방공무원 수당 등에 관한 규정」 제15조에 따라 시간외근무에 대해 자체점검을 연 2회 실시하고 있습니다.
다. 그리고 대구광역시 감사위원회에서도 습관적·비업무적 시간외근무에 대한 복무실태를 상시 점검하고 있음을 알려드립니다.
3. 시정 발전을 위하여 소중한 의견을 제안하여 주신 것에 대해 다시 한 번 감사드리며, 더 궁금하신 사항이 있으실 경우 감사위원회(053-803-2293)로 문의하여 주시기 바랍니다.",2023-03-28,대구광역시,답변완료
버스 지하철 화장실 등에서 장애인(노인사회적약자임산부포함등)을 위한 좌석 및 장애인 화장실 이외에 장애인들이 일반석에도 앉을수 있는지 명확하게 하라,"현황 및 문제점
대구 시내 버스 지하철에 장애인석 즉 사회적약자석(강제할당되어 있다)이 있다.

장애인들이 버스 지하철에 타면 일반석(비장애인이 앉을수 있는 좌석)에도 앉는경우가 있을수 있다.

왠만하면 일반인(장애인, 사회적약자 아닌자, 노인이 아닌 자들)들은 장애인석이 비어 있어도 앉지 않지만 앉는경우도 있다

그렇다면 장애인들은 버스 지하철타면 어떡하는가?
즉, 장애인석이 꽉차 있으면 비장애인들이 앉는 일반석에도 앉아서 가는가?

여기에 대해서 보건복지부와 대구시청에서 협의하여 장애인들에게 명확한 개념을 정립시켜주자
즉, 일반석에도 장애인석에도 두 좌석 모두에 장애인들이 앉아서 가도되는지
아니면 무조건 장애인들끼리만 경쟁하여서
장애인석이 꽉차있으면 서서 가야하는지를 ,

대구시청 홍준표시장과 대구시청 장애인복지과 그리고
보건복지부에서 대구시에 있는
그리고 전국에 있는 장애인들에게 교육(명확한 개념정립)을 시킨다.

화장실도 장애인석도 똑같은 원리다.... 유추 적용시킨다

국민들도 장애인들도 노인들도 임산부도 혼란을 일으키기 때문에 명확한 개념정립 교육이 필요하다 계도가 필요하다
개선방안

1. 임산부 노인 장애인 등 사회적 약자석에 어떻게 앚아야 되는지 , 일반석에도 앉아도 되는지 , 아니면 할당된 사회적약자
좌석에만 그들끼리 경쟁해서 앉아야 되는지 대구시청 장애인 복지과 공무원들과 홍준표 대구시장, 보건복지부에서
협의하여 임산부 노인 장애인들에게 명확한 교육을 시킨다

2. 그래서 국민들이 혼란을 느끼지 앉도록 한다

3. 화장실 장애인석도 유추 적용시킨다
기대효과

국민들의 죄책감을 줄이고 국민들의 혼란을 방지할수 있다
( 사회적약자석이 비어있는데 힘들면 일반인들도 앉을수 있지 하는 국민들도 있지만
그렇지 않은 국민들도 있다. 찜찜해 하는 국민들도 있다 ---> 죄책감으로 연결된다)

그리고 장애인 임산부 노인들도 명확한 일반석 VS 사회적약자석(장애인 임산부 노인등을 위한 할당된 버스 지하철 좌석,
화장실 장애인석 등) 2곳에 동시에 앉아도 되는지 아니면 그들끼리 경쟁해야 되는지를 명확하게 인식시켜주어 혼란을
방지한다

----> 국민들의 사회적약자에 대한 배려심을 고취하고 굳이 많이 사회적 약자석이 비어있다면 죄책감을 심어주지 말고
일반석으로 바꾸고 적절히 유동적으로 사회적약자석 TO를 한달마다 변화시킨다
즉, 버스와 지하철에 사회적약자석이 많이 비어있다면 수요가 적은것이므로 할당된 자리를 일반석으로 바꾸어 일반인들
이 편하게 버스 지하철에서 앉아서 갈수 있도록 하고 만약 사회적약자석이 꽉차서 버스 지하철이 운행된다면 장애인 임산부
노인 등 사회적 약자석을 더 증가시켜서 그들을 배려한다 ------> 사회적 약자에 대한 배려를 국가기관(보건복지부, 대구시청 지자체에서 앞장서서 )에서 앞장선다


1. 국민들 혼란방지 예방
2. 사회적약자(장애인 임산부 노인) 배려심 고취
3. 청소년들에게 사회적약자에 대한 배려심을 배울수 있는 기회제공
4. 국민들의 죄책감 감소시킬수 있다
5. 버스 지하철 좌석의 고객수요에 맞는 유연적인 좌석숫자 변화를 유도하여 대중교통 서비스의 질을 높일수 있다.
6. 공무원들이 좀더 책임감있게 ""서민들의 발""인 버스 및 지하철운영을 하는데 책임감 부여 와
동시에 사회적 약자에 대한 배려심을 공무원들에게 심어준다
7. 화장실에도 장애인들이 일반인들이 사용하는 소변기 대변기를 사용할수 있는지 교육시켜서 정확한 개념을 인지하도록 한다
장애인도 일반인들 소변기 대변기 이용하면 죄책감 느낄수 있으므로 그들끼리 경쟁시키든지 , 아니면 일반인들이 사용하는
대변기 소변기도 사용가능하게 할수 있는 특권을 주든지 공무원들이 명확하게 장애인들에게 개념 탑재 시킨다

8. 공무원들이 명확한 개념정립을 국민들과 장애인을 비롯한 어르신 임산부들에게도 심어준다",2023-03-02,"국민신문고(신청번호 : 1AB-2303-0000586, 교통약자석에 대한 개념정립 및 교육 요청)에 대하여 다음과 같이 답변을 하고자 합니다.

- 답변내용 -

1. 안녕하십니까? 교통약자의 편의를 위해 적극적인 참여와 관심을 가져주신 데 대하여 감사드리며, 귀하의 제안에 대한 검토결과를 다음과 같이 안내해 드립니다.

2.「교통약자의 이동편의 증진법」에 따라 교통약자용 좌석은 승강구 부근의 앉기
편리한 위치에 지정하며, 전체 좌석의 3분의 1 이상의 좌석을 교통약자석으로 지정되어 있습니다. 귀하께서 문의하신 일반석, 교통약자석 두 좌석 모두 교통약자가 앉을 수 있는지에 대해서는 일반석 및 교통약자석 모두 가능합니다.
※ 교통약자 : 고령자, 영유아, 어린이, 장애인, 임산부

3. 현재 버스운전자, 나드리콜 운전자, 개인택시(장애인콜) 운전자는 교통약자를 위한 이동편의 증진교육을 반드시 이수하여야 합니다.
※ 운수종사자 교육 : 총 10회, 1,596명 (′22년 기준)
또한, 교통약자 중 63%를 차지하는 고령자에게는 방문교육을 실시하고 있으며,
어린이 교통랜드를 통해 어린이를 위한 교통안전교육을 시행하고 있습니다.
장애인들을 위한 상담 및 1대1 교육을 더욱 확충하겠습니다.
※ 고령자 1,108명, 어린이 17,975명 교육 (′22년 기준)

4. 아울러, 귀하께서 말씀주신 제안은 우리 시에서도 충분히 공감하고 있는 부분이며, 그 외 궁금하신 사항은 대구광역시 교통정책과 김대옥(☎053-803-4914)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 제안신청서 1부. 끝.",2023-04-11,대구광역시,답변완료
사회복지공무원 통합조사관리팀에게 기능경진대회 실시하라,"현황 및 문제점
사회복지공무원 통합조사관리팀은 행복 e 음 (사회복지통합관리망) 시스템으로

기초수급자(생계급여 주거급여 의료급여 자활급여 대상자 등등) 및 차상위계층 장애인 기초연금(어르신) 대상자들의

소득 재산 자산을 조사하여 수급자 인지 아닌지를 가려내는 작업을 하고있다

기능경진대회를 실시하여서

일정자료를 사회복지공무원들에게 제시한뒤

빠른시간내에 정확한 소득 재산 (자산) 현황을 가려내는 사회복지공무원에게 승진 가점을 부여시킨다
개선방안

기초수급자 장애인 임대아파트 차상위 기초연금 아동수당 등 대상자들은 빠른시간내에 소득 자산조사를 하여서

그 결과를 알고 싶어한다

그런데 사회복지공무원들의 작업 기능 능력이 떨어져서 ( 정년보장에 따른 복지부동 도덕적 해이등) 빠른시간내에

소득 재산(자산) 을 조사하지 못한다면 국민들에게 돌아가는 피해가 크다

따라서 기능경진대회를 진행하여서 사회복지공무원들의 수급자들의 소득 자산현황을 누가 빠르게 계산할수 있는지

경쟁시켜서 빠른시간내에 정확하게 계산하는 사회복지공무원에게 승진가산점을 부여하여서 승진시킨다

기대효과

임대아파트 대상자 선정, 기초수급자 여부 , 장애인 기초연금등 수급자인지 아닌지 궁금해하는 국민들이

빠른시간내에 정확한 결과를 얻을수 있고

사회복지공무원들의 복지부동 정년보장에 따른 도덕적해이를 방지하고 세금절약이 가능하다

사회복지공무원들의 1명의 통합조사관리능력이 떨어지면 더 사회복지공무원을 확충해돌라고 징징거리면서 울텐데

이런것을 예방할수 있다 ---- 공무원 채용에 따른 인건비를 아낄수 있다. (세금 절약)",2023-03-02,"1. 사회복지업무에 관심을 가지고 제안에 참여해 주신 데 대하여 감사드립니다.

2. 귀하의 ‘사회복지공무원 통합조사관리팀에게 기능경진대회를 실시하라’는 제안에 대해 아래와 같이 답변드립니다.

가. 통합조사관리팀에서는 신청접수 시 신고 된 사항과 차세대사회보장정보시스템을 통한 공적자료 조회결과, 주택조사결과, 금융재산 조회결과, 근로능력 판정결과 등을 확인합니다. 또한 공적자료로 파악이 어려운 사항 등에 대해서 추가 제출서류 징구 및 가구방문을 통한 생활실태조사를 실시하는 등 종합적인 검토과정을 거쳐 급여종류별 대상자 선정기준에 적합한지 판단합니다.

나. 이러한 통합조사관리팀의 업무처리시스템은 숙련된 기술개발 및 기능수준의 향상을 도모하는 데 목적을 둔 기능경진대회와는 성격이 다른 것으로 사료됩니다.

다. ‘사회복지공무원들의 작업 기능 능력이 떨어져서 빠른 시간 내에 소득 재산을 조사하지 못하는’ 것에 대해서는 앞서 말씀드린 바와 같이 차세대사회보장정보시스템을 통한 공적자료 등이 회신되는 데 일정한 기간이 소요되고 종합적인 검토과정을 거쳐야 하기 때문에 「사회보장급여의 이용·제공 및 수급권자 발굴에 관한 법률의 시행령」등에도 사회보장급여의 제공 결정의 통지를 신청일부터 30일 이내에 하여야 하며, 조사 등에 시일을 요하는 특별한 사유가 있는 경우에는 60일 이내에 통지할 수 있도록 명시하고 있습니다.

라. ‘경쟁시켜서 빠른 시간 내에 정확하게 계산하는 사회복지공무원에게 승진가산점을 부여하여서 승진시킨다’는 승진가산점 제안에 대해서는 각 구·군에서 자체 인사규칙에 따라 추진할 사안으로 판단됩니다.

3. 이와 같이 통합조사관리팀의 업무는 관련 기관으로부터 취합한 공적자료 등을 바탕으로 검토 및 판단 과정을 거쳐 추가적인 서류징구, 생활실태조사 등을 통하여 결과를 도출하는 시스템으로 운영되고 있으며, 일반적인 기능경진대회 개최의 목적과 부합하지 않으므로 귀하의 제안은 불채택 처리됨을 알려드립니다. 감사합니다.",2023-03-30,대구광역시,답변완료
