제목,날짜,내용,발행사,링크
"군위 삼국유사면 여성자원봉사대, 사랑의 반찬 나눔 봉사",2023-04-16 12:46:52+00:00,"군위군 삼국유사면 여성자원봉사대는 지난 16일 독거노인, 중증장애인 대상으로 총 8가정에 매월 반찬을 직접 조리해서 전달하는 봉사활동을 펼쳤다. 매월 첫째, 셋째 금요일을 ‘행복한 반찬 배달 봉사 DAY’로 지정하여 사랑의 나눔 봉사를 하고 있다. 회원들과 함께 정성이 가득 담긴 밑반찬을 직접 만들어 배달하며, 안부를 묻는 것도 잊지 않았다. 삼국유사면 여성자원봉사대는 이번 봉사활동 외에도 경로당 청소, 손마시지, 독거노인 안전지킴이 봉사 등 다양한 나눔 봉사를 실천하고 있다. 김희자 봉사회장은 “반찬 나눔 봉사활동에 참여해준 회원들에게 감사의 마음을 전하며, 어르신들이 따뜻한 밥 한끼 드시고 항상 건강하시길 바란다”고 말했다. 김동백 면장은 “어려운 이웃을 위해 밑밭찬을 만들어 주신 여성자원봉사대에 감사드리며, 어르신들이 행복한 삼국유사면이 될 수 있도록 최선을 다하겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388199
"군위 청소년상담복지센터, 1대1 결연 지정후원",2023-01-30 14:27:31+00:00,"군위군 청소년상담복지센터는 군위지역 소외계층 청소년 5명에 대해 1년 동안 1대1 지정 결연 후원을 연계했다고 밝혔다. 지역 내 저소득가정·한부모가정 청소년 등 어려움을 겪고 있는 아이들에게 조금이나마 힘과 용기가 되길 바라는 후원자들의 마음과 상담복지센터의 대상자 발굴 노력이 더해져 이번 후원연계가 성사됐으며, 애정어린 마음으로 지켜보며 응원하기로 했다. 군위 청소년상담복지센터는 앞으로도 도움이 필요한 청소년들을 적극 발굴해 1대1 후원연계를 지속해나갈 예정이다.김진열 군수는 “군위지역의 어려운 청소년들이 행복하기 위해 모은 작은 힘들로 밝고 건강하게 성장하며 꿈을 이뤄갈 수 있기를 바란다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=379533
"군위축협, 교육발전기금 1천만원 기탁",2022-12-29 13:58:26+00:00,"군위축협은 지난 23일 군위군청을 방문해 교육발전기금 1천만원을 군위군교육발전위원회에 기탁했다. 군위축협은 15년 연속 종합경영평가 1등급과 11년 연속 클린뱅크 달성, 가축분뇨 퇴·액비 품평회 퇴비부문 3회 수상까지 매년 괄목할 만한 성장과 안정적인 경영시스템으로 지역 축산업을 선도하는 대표 금융기관으로 인정받고 있다. 특히 한국산업기술시험원(KTL)과 탄소저감 실증시설 준공 및 성공적인 가동으로 축산분뇨처리의 새로운 채널을 열어 깨끗한 군위군 환경조성에 기여하고 있다. 김성조 조합장 직무대행은 “지역의 우수한 인재를 키우는 밑거름이 되길 바란다”며 “군위군의 밝은 미래를 위해 학생들의 학업 환경개선과 미래 인재 양성을 위해 힘써달라”고 전했다. (사)군위군교육발전위원회 김진열 이사장은 “군위군의 학생들이 올바르게 성장할 수 있는 자양분이 되길 바라는 소중한 정성에 감사드린다”며 “교육발전위원회는 기탁해주신 분들의 귀한 마음을 이어받아 지역인재육성에 최선을 다하겠다”고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=376288
"김외순 전 안계면 명예면장, 의성군 고향사랑기부금 500만원 기탁",2023-04-19 14:49:21+00:00,의성군은 지난 17일 김외순 전 안계면 명예면장이 고향사랑기부금 500만원을 기탁했다고 밝혔다. 대한민국 식품명인인 김외순 전 안계면 명예면장(수원시 소재 ‘가보정’ 대표)은 지역주민 복리증진에 기여하는 고향사랑기부금 취지에 공감해 이날 개인 고향사랑기부금 최고액인 500만원을 의성군에 기탁했다.김외순 전 명예면장은 코로나로 힘든시기 취약계층에게 생필품을 전달하는 등 남다른 고향사랑의 마음을 가지고 고향 의성을 위한 봉사활동을 해왔다.김주수 의성군수는 “고향에 보내주신 따뜻한 마음에 감사드리며 기부금이 주민 복리증진과 지역경제 활성화에 쓰이도록 최선을 다하겠다”라고 전했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388675
"청송군, 제51회 청송군민체육대회 개최",2023-04-27 13:06:25+00:00,"청송군은 다음달 2일 청송군민운동장에서 군민 화합의 장인 ‘제51회 청송군민체육대회’를 개최한다. 청송군체육회가 주최·주관하고 청송군, 청송군의회, 청송교육지원청, 청송경찰서, 청송소방서, 전국청송군향우회연합회 등이 후원하는 이번 청송군민체육대회는 5년 만에 개최되면서 군민들에게 많은 관심을 받고 있어 참가규모 또한 역대 최대가 될 것으로 예상된다. 읍·면 입장식을 시작으로 400m이벤트 계주, 400m 계주, 100m 달리기 등의 육상종목, 보드레이스, 단체줄넘기, 어르신체육경기 등 다양한 경기가 펼쳐지고, 체육경기가 끝난 후에는 ‘군민화합한마당 노래자랑’을 진행할 계획이다. 특히 체육활동과 군민화합한마당 노래자랑을 통해 단결과 화합을 도모하고 초청가수 공연으로 군민들의 지친 일상을 회복시키는 것은 물론, 어르신체육경기를 준비해 건강증진에도 기여할 것으로 기대된다. 윤경희 청송군수는 “군민 화합의 장인 청송군민체육대회가 오랜만에 개최되는 만큼 청송군체육회와 함께 최선을 다해 준비하고 있다”며 “군민들께서 지친 일상을 회복하고 화합하며 즐길 수 있는 대회가 되었으면 좋겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389709
"청송소방서-청송양수발전소, 재난현장 공조 업무협약 체결",2023-04-25 14:19:09+00:00,"청송소방서와 청송양수발전소는 각종 재난 사고로부터 군민의 생명과 재산을 보호하고 안전문화 정착을 위한 상호 업무협약을 체결했다. 두 기관은 25일 청송양수발전소에서 윤태승 청송소방서장과 배봉원 청송양수발전소장을 비롯한 관계자들이 재난현장 공조체계를 구축하고자 업무협약을 체결하고, 업무협약에 따라 보유한 자산과 역량을 바탕으로 상호 협력해 화재 및 재난으로부터 안전한 지역사회를 만들기로 약속했다. 이에 따라 앞으로 청송소방서는 재난안전교육 및 훈련을 시 적극 협조하고, 청송양수발전소는 관내 화재취약대상애 대한 소방 및 전기안전에 관한 예방대책 등에 상호 협력할 것을 다짐했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389398
[동정] 윤경희 청송군수,2023-04-25 11:59:06+00:00,윤경희 청송군수는 26일 안덕시장에서 열리는 ‘제43회 안덕면 장애인 한마음 큰잔치’에 참석해 관계자를 격려한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=389347
"청송군, `사회적경제기업 창업지원사업` 참여자 모집",2023-04-25 11:57:30+00:00,"청송군은 ‘청송군 사회적경제기업 창업지원사업’ 공모전 참여자를 모집한다. ‘청송군 도약형 사회적경제조직 육성사업’의 일환으로 시행하는 이번 공모전은 관내 우수한 사회적경제기업을 발굴·육성하여 예비 창업인들의 창의적이고 혁신적인 사회적경제 비즈니스 모델을 찾아 사업화를 지원하고자 기획됐다. 신청조건은 청송군에 주 사무소를 두고 사업 기간 중 (예비)사회적기업 인·지정, (예비)마을기업 지정 신청, 협동조합 설립을 희망하는 예비 창업팀 혹은 창업한 개인사업자로, 대표자가 청년(만 45세 이하)이거나 여성인 경우 선정 시 우대된다. 사회적기업·마을기업·협동조합 3가지 부문에서 1차 서류심사를 거쳐 2차 발표심사까지 최종 3개소 정도의 예비 창업팀을 선정하여, 인·지정과 설립을 위한 컨설팅 지원, 사업화 지원금(팀별 1천만원 내외)을 지급하며, 5월 21일까지 (사)지역과소셜비즈 이메일(coop@sebiz.or.kr)로 신청(053-942-8002)하면 된다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389346
"(재)청송군인재육성장학회, 2023년도 장학증서 수여",2023-04-24 12:30:00+00:00,"(재)청송군인재육성장학회는 지난 21일 청송문화예술회관 대공연장에서 2023년도 장학증서 수여식을 열고, 대학생 및 중·고등학생 229명에게 장학금 3억9500만원을 전달했다. 이날 수여식에는 윤경희 군수, 군의원, 각 학교장, 장학회 임원들과 장학생 및 학부모 200여명이 참석해 축하와 격려의 시간을 가졌다. 윤경희 이사장은 “여러분이 청송의 미래이고 주인공이다”며 “앞으로도 더욱 많은 학생들이 장학사업을 통해 더 큰 꿈과 희망을 펼칠 수 있도록 최선을 다하겠다.”고 말했다. 한편 (재)청송군인재육성장학회는 2005년 설립한 이래 장학금 지급뿐만 아니라 청송인재양성원과 재경청송학사 운영, 관내 학교와 교육지원청 교육여건개선사업 지원 등 다양한 장학사업을 펼치고 있다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389198
청송군 대표 캐릭터 ‘청이와 송이’ 탄생,2023-04-24 12:26:48+00:00,"청송군은 캐릭터를 활용한 지역 홍보와 경쟁력 강화를 위해 대표 캐릭터 ‘청이와 송이’를 개발하고 군청 홈페이지와 청송새소식지를 통해 공식적으로 발표했다. 군은 귀엽고 친근한 이미지로 대중들의 관심을 이끌어 내 지자체의 홍보대사가 되어줄 대표 캐릭터의 필요성을 느끼고 뉴미디어의 다양한 흐름에 대응하기 위해 2021년부터 대표 캐릭터 신규개발에 착수했다. 청송군은 지역 특성을 캐릭터에 반영하기 위해 스토리라인을 설계하고 ‘산소카페 청송군’ 청정 이미지와의 조화를 위해 첫 번째로 캐릭터 색상과 표정, 동작까지 세심하게 고민하는 개발 과정을 거쳐 다양한 캐릭터 후보를 선정했다. 이어서 두 번째로 직원대상 네이밍, 호응도, 향후 활용방안 등의 설문조사 후 최종적으로 ‘청이와 송이’ 캐릭터를 개발하게 됐다. 2023년 대표브랜드 대상에서 사과부문 11년 연속 대상수상, 도시브랜드 부문 4연속 대상 수상에 빛나는 브랜드 강자 청송에서 태어난 ‘청이와 송이’는 빨갛고 노란 청송사과를 나타낸다. ‘청이와 송이’의 얼굴은 청송사과의 싱싱한 과육을 나타내며 머리 위 갈색 꼭지와 초록색 잎은 맑고 건강한 공기를 마시며 자란 우수한 품질의 청송사과의 특성을 보여준다. 앞으로 ‘청이와 송이’는 관광객을 맞이하고 청송사과 뿐만 아니라 청송군 농특산물과 청송을 홍보하는 일에 앞장설 예정으로, 이미 군정 알림이나 행사를 홍보하는 곳에서는 ‘청이와 송이’가 활동하고 있어 군민뿐만 아니라 관광객들의 호기심을 이끌어내며 좋은 반응을 얻고 있다. 특히 캐릭터가 단순하고 기억하기 쉬우며 보자마자 청송사과가 생각나고 캐릭터 명에서도 바로 청송이 연상되는 특징을 가지고 있어, 이러한 점은 청송군을 알리는 플러스 요인으로 작용할 것으로 예상된다. 윤경히 청송군수는 “‘청이와 송이’를 통해 청송군의 친근하고 청정한 이미지가 전국으로 확산되면 브랜드 경쟁력을 강화 하는데 큰 도움이 될 것”이라며, “대표 캐릭터가 지역 홍보와 발전에 큰 도움이 되도록 활용도를 점차 높여 나가겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389197
[동정] 윤경희 청송군수,2023-04-21 18:48:19+00:00,"윤경희 청송군수는 24일 오전 9시 군청 제1회의실에서 실과원소읍면장이 참석하는 확대 간부회의를 주재하고, 각 부서별 당면업무 추진에 철저를 당부한다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388996
"남경수 청송 안덕면 노래1리 전 이장, 이웃돕기물품 기부",2023-04-21 18:46:26+00:00,청송군 안덕면 노래1리 전 이장 남경수씨와 모친 황말분씨가 지난 21일 어려운 이웃을 위해 150만원 상당의 쌀 50포를 기부했다. 남경수씨는 “앞으로도 이웃돕기 활동을 통해 따뜻한 손길이 이어질 수 있도록 노력하겠다”고 소감을 전했다. 윤경희 청송군수는 “이웃과 더불어 함께하는 나눔 정성에 감사드리며 보내주신 마음은 취약계층에게 잘 전달될 수 있도록 힘쓰겠다”고 말했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388995
"청송군, ‘제43회 장애인의 날 기념식’ 개최",2023-04-20 13:12:46+00:00,"청송군은 20일 청송문화예술회관 대공연장에서 ‘제43회 장애인의 날 기념식’을 개최했다. (사)경북지체장애인협회 청송군지회가 주관한 이번 행사는 ‘차별은 없이, 기회는 같이, 행복은 높이’라는 슬로건을 앞세워 맞춤형 지원으로 장애인의 평등한 삶을 실현하는 행복 사회 구현을 위해 마련됐다. 장애인과 장애인가족 500여 명이 참석한 가운데 장애인 인권선언, 유공자 시상, 한마음 큰잔치로 진행되었으며, 장애인에 대한 군민의 이해와 배려, 그리고 화합·소통하는 기회를 만들고, 장애인의 복지증진을 위한 노력을 다짐하는 장이 됐다. 강의수 지회장은 “일상생활에서 장애를 이유로 편견과 차별을 받지 않고 모두 함께 행복한 사회가 되기를 바라며, 이번 행사가 장애인의 삶을 격려하는 자리가 되었으면 한다”고 말했다. 한편 윤경희 청송군수는 “2023년도 장애인의 날 슬로건처럼 차별 없이, 기회는 같이, 행복은 높일 수 있도록 다양한 복지정책을 펼치겠으니 항상 희망과 용기를 가지길 바란다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388813
"청송군, 올해 첫 외국인 계절근로자 입국",2023-04-20 13:10:28+00:00,"청송군은 지난 19일 필리핀 말바르시 및 카빈티시에서 MOU방식의 올해 첫 외국인 계절근로자 76명이 입국했다고 밝혔다. 입국 후 청송군으로 이동한 외국인 근로자는 청송문화예술회관 소공연장에서 신체검사, 마약검사, 통장개설 신청 후 청송경찰서 범죄예방 교육을 모두 마쳤으며, 다문화 이해, 인권침해 예방, 고충사항 또는 위급사항 발생 시 대처방법 등에 대해 교육을 추가로 받았다. 이번에 입국한 계절근로자는 이달부터 9월 중순까지 5개월 간 지역 내 22농가에서 일을 하게 된다. 향후 상반기 내 결혼이민자 방식인 본국 가족·친척 초청으로 54농가 298명이 추가로 입국할 계획이며, 이들 모두는 바쁜 농번기 부족한 일손을 거들 예정이다. 윤경희 청송군수는 “계절근로자는 농가 일손부족 해소에 큰 도움을 주기에 안전과 인권에 관심을 가지고 무사히 끝날 수 있도록 각별히 신경 쓰겠다”며 “하반기에도 외국인 계절근로자 수급을 확대하여 농촌 일손부족 문제를 해결하기 위해 적극적으로 나서겠다”고 밝혔다",일간경북신문,http://www.kbsm.net/news/view.php?idx=388810
"청송도서관, ‘2023년 미래교육 학부모 아카데미’ 수강생 모집",2023-04-20 10:59:42+00:00,"청송도서관은 이달 25일부터 학부모의 올바른 교육관을 정립하고 자녀교육 역량을 강화하기 위해 ‘2023년 미래교육 학부모 아카데미’ 수강생을 모집한다. 학부모 및 자녀교육에 관심 있는 지역주민을 대상으로 5월 13일부터 6월 10일까지 매주 토요일에 운영하며 교육철학, 자녀이해교육, 미래교육, 진로진학지도 4가지 주제로 전문 강사진의 특강을 진행한다. 특히 이번 미래교육 학부모 아카데미는 변화하는 교육 환경 속에서 미래사회에 대비하고 우리 아이의 미래를 위한 진로·진학·자녀교육에 중점을 둔 특강으로 진행된다. 특강은 정남환 한국진로진학연구원장의 ‘고교학점제와 우리의 교육철학’을 시작으로 심동화 식스센스 코칭센터연구소장의 ‘우리 아이의 계열성향과 직업, 학과 찾기’, 정동완 EBS대표강사의 ’미래역량을 위한 과제탐구‘, ’변화하는 정책속에 우리 아이 성장 전략‘으로 구성되어 학부모들에게 최신 교육 트렌드와 정보를 제공한다. 청송도서관 김미연 관장은 “지난해보다 더욱 발전된 내용으로 구성되어 있으며 자녀의 미래에 대한 이해를 높이고 자녀의 성장과 발전을 지원할 수 있는 역량을 키울 수 있는 좋은 기회가 되기를 바라며 많은 학부모님들의 참여를 기대한다” 고 전했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388789
"청송군의회, 제265회 임시회 폐회... 1회 추경 5140억원 통과",2023-04-19 11:03:07+00:00,"청송군의회는 19일 제265회 임시회 의사일정을 모두 마치고 폐회했다. 지난 17일부터 열린 이번 임시회에서는 ‘제1회 추가경정예산안’을 심의해 당초예산보다 480억원(10.3%)이 증가한 5140억원으로 최종 통과됐다. 특히 청송군의회는 이번 회기 동안 2023년도 제1회 추가경정 예산안 및 집행부 조례 3건, 의원발의조례안으로 ▲청송군 각종 위원회 설치 및 운영에 관한 조례안(정미진 의원) 외 2건, ▲동의안 외 5건 등 총 13건을 심의·의결했다. 이날 권태준 의원이 대표 발의한 ‘2023년 지역사랑상품권 발행지원 사업 종합지침 개선 촉구 건의안’을 만장일치로 채택했다. 권태준 의장은 산회를 선포하면서, “집행부에서는 1차 추경 예산을 신속히 집행하여 군민들의 생활과 지역 경제가 활성화될 수 있도록 신속하고 적극적인 행정을 추진해 주시길 바란다”며 “또한, 꽃피는 봄을 맞아 청송을 방문하는 관광객이 늘고 있어 안전사고 없이 청송을 즐기실 수 있도록 만전을 기해주길 당부 드린다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388604
[동정] 윤경희 청송군수,2023-04-19 10:24:25+00:00,윤경희 청송군수는 20일 오전 11시 청송문화예술회관 대공연장에서 열리는 ‘제43회 장애인의 날 기념식 및 한마음 큰잔치’에 참석해 관계자를 격려한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388594
"청송군, 취약계층 통합주거환경 개선사업 추진",2023-04-19 10:22:55+00:00,"청송군은 지역 내 주거환경이 열악한 저소득·취약계층 가구를 대상으로 부처별 다양한 주거환경개선사업을 매칭하여 지원하는 ‘통합주거환경 개선사업’을 추진한다. 군은 매년 연초에 읍·면사무소를 통해 추천받은 가구를 현장조사 후 대상가구로 선정하고 있으며, 해당 가구에서 필요로 하는 집수리(지붕 보수, 화장실·욕실·부엌 수리, 샷시 교체 등)를 지원하고, 타 부처 집수리사업을 매칭하여 큰 도움을 주고 있다. 이 사업은 집수리 분야의 전문 자원봉사자와 일반봉사자 30여 명으로 구성된 행복나눔집수리봉사단이 시행하며, 이달부터 11월까지 매월 1~2가구씩 가구당 보수규모에 따라 자재비 500~1500만원 이내에서 재능기부 자원봉사활동을 펼칠 계획이다. 윤경희 청송군수는 “전문기술인력인 자원봉사자들의 재능기부활동에 감사와 응원을 보내며, 앞으로도 자력으로 주거환경 개선이 어려운 군민들의 쾌적하고 안락한 주거 공간 마련을 위해 최선을 다하겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388593
[동정] 윤경희 청송군수,2023-04-18 13:53:00+00:00,윤경희 청송군수는 19일 오전 10시30분 국민체육센터에서 열리는 ‘2023년 청송군이장연합회 한마음 체육대회’에 참석해 관계자를 격려한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388451
"청송군의회, 제265회 임시회 개회",2023-04-17 11:47:08+00:00,"청송군의회는 17일 제265회 임시회를 개회하고 3일간 회기 일정에 들어갔다. 이번 임시회는 청송군이 제출한 5140억원 규모의 2023년도 제1회 추가경정예산안을 다룬다. 1회 추경은 당초예산 보다 480억(10.6%) 증가한 수치다. 추경안에 편성된 주요사업으로는 경로당 개보수사업 6억원, 진보장례식장 기본조사 및 부지매입비 8억원, 현동면 공용주차장확충부지매입비 10억원, 황금사과연구단지 등 부지매입비 15억원, 청송클라이밍아카데미 리모델링 6억원, 전기화물차 보급 6억원, 청송 상수도 어천2리 급수구역 확장공사 6억원, 신기천·서시천 하상준설 및 정비공사 7억원, 안덕면 고와리 길안천 정비사업 6억원, 현동면 개일리 고무곡지 신설공사 9억원, 진보로 전선지중화 사업 9억원, 종합문화복지타운 주차장 확장공사 10억원 등이 반영됐다. 또한 ▲ 2023년도 제1회 추가경정 예산안 및 집행부 조례 3건 ▲ 의원발의 조례안으로 청송군 각종 위원회 설치 및 운영에 관한 조례안(정미진 의원) 외 2건 ▲동의안 외 4건 등 총 12건을 처리한다. 권태준 의장은 개회사를 통해 “동료 의원께 어려움을 겪고 있는 군민들을 위해 민생안정과 일자리창출, 청송사랑화폐 유통 확대 등으로 침체된 지역경제 활성화에 중점을 두고 심도 있는 심사를 부탁드리며, 집행부에 봄철 산불예방 계도와 당면한 영농철을 맞아 적기영농에 차질이 없도록 농업인 지도와 대응방안 마련을 당부 드린다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388294
"청송군, 구제역 예방백신 접종 실시",2023-04-17 11:33:42+00:00,"청송군은 가축 구제역 예방 및 차단방역을 위해 이달 3일부터 내달 12일까지 예방백신 접종을 실시한다. 소, 돼지 50두 이상의 가축사육 농가는 축협을 통해 구제역 백신을 구입(50%보조)해 자율접종을 실시하고, 자가 접종이 어려운 50두 미만의 소규모 사육농가나 노령농가 등은 수의사로 구성된 접종반을 투입해 예방접종을 지원하고 있다. 특히 군은 농가별로 구제역 백신접종을 지도하고 접종실태를 확인하는 등 구제역 백신 접종율 100% 달성을 목표로 총력을 기울이고 있다. 한편 청송군은 매년 우제류 사육 농가를 대상으로 정기접종 2회(4월, 10월), 상시접종 4회(2월, 6월, 8월, 12월)를 실시하고, 축산물이력관리시스템을 통해 정기적으로 구제역 백신접종을 모니터링하는 관리 체계를 구축했다. 이밖에도 아프리카돼지열병(ASF) 및 조류인플루엔자(AI)를 예방하기 위하여 거점소독시설 1개소를 24시간 가동하고 가축전염병예방 상황실을 운영하며, 농가별 전담공무원을 지정하여 전화·방문예찰을 실시하는 등 각종 가축질병예방에 최선을 다하고 있다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388292
[동정] 윤경희 청송군수,2023-04-17 11:30:26+00:00,"윤경희 청송군수는 18일 오전 10시30분 서울 신라호텔에서 열리는 2023 대한민국 대표브랜드 대상 시상식에 참석해 사과브랜드(청송사과), 도시브랜드(산소카페 청송군) 2개 부문에서 대상을 수상한다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388290
"청송군의회, 공무국외출장 심사위원회 위원 위촉",2023-04-14 17:25:03+00:00,"청송군의회는 14일 군의회 의장실에서 공무국외출장 심사위원회 위원 위촉식을 가졌다.이날 위촉식은 ‘청송군의회 의원 공무국외출장 규칙’에 따라 민간인위원 6명, 군의원 2명을 위촉해 총 8명의 심사위원으로 구성했다.위원들은 2025년 2월 까지 2년간 출장 필요성 및 출장자의 적합성, 출장국과 출장기관및 장기간의 타당성 및 출장경비의 적정성 등을 종합적으로 심사하고 검토한다.권태준 의장은 위촉식에서 “지자체의 공무국외출장에 대한 외유성 논란이 불거지면서 연일 언론과 사회단체에서는 의정활동의 투명성과 책임성 강화를 촉구하는 목소리가 높아지고 있다”며 “세간의 우려를 불식시킬 수 있도록 위원 여러분께서는 면밀하고 내실 있는 심사로 철저를 기해주시길 당부드린다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388088
[동정] 윤경희 청송군수,2023-04-14 17:19:24+00:00,윤경희 청송군수는 17일 오전 10시 청송군의회 본회의장에서 열리는 제265회 청송군의회 임시회 개회식에 참석한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388087
"청송 유네스코 세계지질공원, 교육 프로그램 운영...`유아부터 시니어까지`",2023-04-14 17:11:29+00:00,"청송군은 유아부터 시니어까지 다양한 연령이 함께 참여하는 청송 유네스코 세계지질공원 교육 프로그램을 운영한다. 올해 추진하는 교육 프로그램은 지질공원해설사와 함께하는 주왕산 화산폭발 체험, 중생대 공룡액자 만들기, 퇴적암 냄비 받침대 만들기 등 지질공원을 보다 쉽고 재미있게 이해할 수 있는 체험 위주의 콘텐츠들로 구성됐다. 특히 기존에 유아 위주, 특정 읍·면 위주로 운영되던 프로그램들을 시니어까지 참여 연령을 확대하고 8개 읍·면 전역으로 지역을 확장함으로써, 지질공원 정책을 전연령·전지역으로 확산시키는 것을 목표로 잡았다. ‘청송 지질공원과 꿈꾸는 아이들’은 청송군 방과후아카데미, 지역아동센터, 화목유치원과 협력하여 청송 지질공원을 놀이와 체험으로 알아보는 대표적인 유아 및 어린이 대상 프로그램으로, 아이들의 건강한 성장 발달을 위해 기획됐다. 또한 ‘청송 지질공원 협력학교’는 관내 협력학교 4개교(파천초, 청송중, 진성중, 청송여중고)를 대상으로, 교과서에서만 배우던 지질과 자연을 현장에서 체험할 수 있는 기회를 제공하는 프로그램이다. 특히, 파천초등학교는 2023 미래교육과정의 지역 연계 과목으로 ‘우리 고장 지질여행’을 편성해 운영한다. 대표적인 시니어 대상 프로그램 ‘찾아가는 청송 지질공원’은 지역 어르신들이 지리적 제한 없이 지질공원 교육 프로그램을 즐길 수 있도록 청송 지질공원해설사들이 임하댐노인복지관, 금곡리 경로당, 노인대학 등을 방문하여 체험교육을 진행하는 프로그램으로 어르신들의 높은 호응을 얻고 있다. 윤경희 청송군수는 “유아부터 시니어까지 다양한 연령이 참여할 수 있도록 교육 프로그램들을 준비했다”며“앞으로도 지속적으로 프로그램을 발굴해 보다 많은 주민들이 참여해 즐길 수 있도록 더욱 노력하겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388085
[동정] 윤경희 청송군수,2023-04-13 11:20:01+00:00,윤경희 청송군수는 14일 봄철 산불예방을 위해 각 읍·면을 방문해 각종 불법 소각행위 근절 등 홍보와 함께 현장점검을 실시한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=387936
"청송군, 외국인 계절근로자 고용주 사전교육 실시",2023-04-13 11:18:21+00:00,"청송군은 지난 12일 청송문화예술회관 소공연장에서 상반기 외국인 계절근로자 고용주(농가)를 대상으로 사전교육을 실시했다. 이날 교육은 고용주 21명이 참석한 가운데 외국인 계절근로자 프로그램과 고용주 필수 준수사항을 알리기 위해 마련되었으며, 근로자의 입국 일정과 다문화 이해, 근로자 인권 보호, 근로기준법 및 출입국관리법 준수 등을 설명하고, 산재보험 가입 및 농업인 안전보험 가입절차와 근로계약서 작성에 대해 안내했다. 올해 상반기 청송군 외국인 계절근로자 프로그램은 청송군과 필리핀 말바르시 및 카빈티시 MOU방식으로 21농가에 76명을 배정했으며, 결혼이민자 본국 가족·친척 초청으로 54농가 298명을 도입할 계획이다. 상반기 외국인 근로자는 이달 중으로 입국하여 9월까지 상반기 일손이 부족한 농가에 도움을 줄 예정이다. 윤경희 청송군수는 “외국인 계절근로자 프로그램이 인구감소 및 고령화로 인한 농번기 일손 부족 해소에 보탬이 될 것”이라며, “하반기에도 외국인 계절근로자 수급을 확대하여 사과 등 농산물 수확의 일손 부족 문제를 해결하기 위해 적극 노력할 계획”이라고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=387935
[동정] 윤경희 청송군수,2023-04-10 12:10:27+00:00,윤경희 청송군수는 11일 오전 11시 부남면 양숙2리 마을회관에서 열리는 ‘양숙2리 마을만들기사업 준공식’에 참석한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=387453
